Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
PTC,https://www.crunchbase.com/organization/parametric-technology,5001-10000,Active,http://www.ptc.com,info@ptc.com,+1 (781) 370-5000,4,4,1,,,,,,"Design, Hardware, Information Technology, Internet Services, Software","3D Technology, CAD, Developer Platform, Enterprise Software, Information Technology, Internet of Things, Product Design, Software",117,74,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Boston, Massachusetts, United States",$1B to $10B,1985-01-01,year,"Rockwell Automation, Bosch Capital",http://www.linkedin.com/company/ptc
Digital Realty,https://www.crunchbase.com/organization/digital-realty-trust,1001-5000,Active,http://www.digitalrealty.com,customersuccessteam@digitalrealty.com,+1 737 281 0101,3,3,2,,,,,,"Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Media and Entertainment, Mobile, Software","3D Technology, Analytics, Data Center, Digital Media, Finance, Mobile, Social Media",3,40,Computing; Calculating,Scientific and technological services,703775100,USD,703775100,,,"Austin, Texas, United States",$1B to $10B,2004-01-01,year,,http://www.linkedin.com/company/digitalrealty
Roblox,https://www.crunchbase.com/organization/roblox,1001-5000,Active,https://corp.roblox.com,roblox@thehatchagency.com,888-858-2569,1,1,,,,,,,"Gaming, Hardware, Media and Entertainment, Software","3D Technology, Gaming, Metaverse, Online Games, Software, Video Games",207,24,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Mateo, California, United States",$1B to $10B,2004-01-01,year,"Employee Stock Option Fund, Warner Music Group, Tencent, Andreessen Horowitz, Dragoneer Investment Group",https://www.linkedin.com/company/roblox
Autodesk,https://www.crunchbase.com/organization/autodesk,10001+,Active,http://www.autodesk.com,india.info@designerscommunity.org,(415)507-5000,53,60,14,9,,,,1,"Hardware, Manufacturing, Real Estate, Science and Engineering, Software","3D Technology, Architecture, Construction, Manufacturing, Software Engineering","1,063",252,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$1B to $10B,1982-01-01,year,OK Blockchain Capital,http://www.linkedin.com/company/autodesk
Dassault Systemes,https://www.crunchbase.com/organization/dassault,10001+,Active,http://www.3ds.com,info@dascce.de,+33 (0)1 6162 6162,8,11,5,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","3D Technology, Analytics, Apps, Artificial Intelligence (AI), Big Data, Information Technology, Manufacturing, Product Design, Software, Virtual Reality",0,10,,Scientific and electric apparatus and instruments,,,,,,"Vélizy-villacoublay, Ile-de-France, France",$1B to $10B,1981-01-01,year,,http://www.linkedin.com/company/dassaultsystemes
GoPro,https://www.crunchbase.com/organization/gopro,251-500,Active,https://gopro.com/,,,,,,,,,,,"Consumer Electronics, Content and Publishing, Hardware, Media and Entertainment, Software, Video","3D Technology, Consumer Electronics, Hardware, Photography, Software, Video, Wearables","1,584",94,Electric Communication Technique,Scientific and electric apparatus and instruments,16763498,USD,16763498,,,"San Mateo, California, United States",$1B to $10B,2002-01-01,day,"Riverwood Capital, U.S. Venture Partners, Walden International, Sageview Capital, Clear Ventures",http://www.linkedin.com/company/gopro_3
Spatial,https://www.crunchbase.com/organization/spatial,10001+,Active,http://www.spatial.com/,support@3ds.com,303-544-2900,,,,,,,,,"Apps, Design, Hardware, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software","3D Technology, Apps, Audio, Business Development, CAD, Developer Tools, Information Technology, Internet, Software, Software Engineering",1,2,Computing; Calculating,Scientific and electric apparatus and instruments,1014003,USD,1014003,,,"Broomfield, Colorado, United States",$1B to $10B,1986-01-01,year,"Shea Ventures, Capstone Ventures, Roser Ventures, Cypress Growth Capital, Dolphin Asset Management",https://www.linkedin.com/company/869207
Unity Technologies,https://www.crunchbase.com/organization/unity-technologies-da52,5001-10000,Active,https://unity.com/,dpo@unity3d.com,,,,,,,,,,"Hardware, Other, Software","3D Technology, Real Time",,,,,107328509,USD,107328509,,,"San Francisco, California, United States",$1B to $10B,2004-01-01,year,,https://www.linkedin.com/company/unity
Conrad.com,https://www.crunchbase.com/organization/conrad-com,1001-5000,Active,http://www.conrad.com,webmaster@conrad.de,(435) 090-7020,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Manufacturing, Software","3D Printing, 3D Technology, Consumer Electronics, E-Commerce, Electronics, Hardware",,,,,24725437,USD,24725437,,,"Hirschau, Bayern, Germany",$1B to $10B,1923-10-01,day,,http://www.linkedin.com/company/conrad-electronic-international
JAE Electronics,https://www.crunchbase.com/organization/jae-electronics,5001-10000,Active,http://www.jaeusa.com,marketing@jae.com,+1 949 753 2600,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Manufacturing, Software","3D Technology, Electronics, Manufacturing, Wholesale",,,,,149397747,USD,149397747,,,"Irvine, California, United States",$1B to $10B,1977-03-01,month,,https://www.linkedin.com/company/jae-electronics
National Robotics Engineering Center,https://www.crunchbase.com/organization/national-robotics-engineering-center-nrec,101-250,Active,http://www.nrec.ri.cmu.edu,contact@nrec.ri.cmu.edu,(412) 576-9027,,,,,,,,,"Hardware, Science and Engineering, Software","3D Technology, Robotics, Software",,,,,1177198,USD,1177198,,,"Pittsburgh, Pennsylvania, United States",$1B to $10B,1996-01-01,year,,https://www.linkedin.com/company/national-robotics-engineering-center-nrec/about/
Worldwide Partners,https://www.crunchbase.com/organization/worldwide-partners,5001-10000,Active,http://www.worldwidepartners.com,info@worldwidepartners.com,+1 720 362 0164,,,,,,,,,"Advertising, Design, Hardware, Sales and Marketing, Software","3D Technology, Advertising, Digital Marketing, Graphic Design",0,1,,Advertising; business,174763,USD,174763,,,"Denver, Colorado, United States",$1B to $10B,1938-01-01,year,,https://www.linkedin.com/company/worldwide-partners-inc.
BANDAI NAMCO ARTS,https://www.crunchbase.com/organization/bandai-namco-arts,101-250,Active,http://www.bandainamcoarts.co.jp,,,,,,,,,,,"Hardware, Media and Entertainment, Music and Audio, Software, Video","3D Technology, Music, Video",,,,,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,1983-08-23,day,,
Renishaw,https://www.crunchbase.com/organization/renishaw,5001-10000,Active,http://www.renishaw.com,uk@renishaw.com,+44 1453 524524,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","3D Technology, Civil Engineering, Manufacturing",649,35,Testing,Scientific and electric apparatus and instruments,62162228,USD,62162228,,,"Gloucester, Gloucestershire, United Kingdom",$500M to $1B,1973-04-01,day,,https://www.linkedin.com/company/renishaw
Onto Innovation,https://www.crunchbase.com/organization/onto-innovation,1001-5000,Active,http://www.ontoinnovation.com,info@ontoinnovation.com,(978) 253-6200,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","3D Technology, Manufacturing, Semiconductor",226,78,Testing,Scientific and electric apparatus and instruments,75950391,USD,75950391,,,"Wilmington, Massachusetts, United States",$500M to $1B,2019-01-01,year,,https://www.linkedin.com/company/onto-innovation/
SANSI,https://www.crunchbase.com/organization/sansi,1001-5000,Active,http://www.sansi.com,overseas@sansitech.com,86 021 5488 3432,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Real Estate, Software","3D Technology, Electronics, Manufacturing, Smart Cities",39,3,Lighting,Environmental control apparatus,,,,,,"Shanghai, Shanghai, China",$500M to $1B,1993-02-04,day,,https://www.linkedin.com/company/sansiled
Matterport,https://www.crunchbase.com/organization/matterport,501-1000,Active,http://www.matterport.com,info@matterport.com,+1 408 805 3347,1,1,,,,,,,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Real Estate, Software","3D Technology, Cloud Computing, Data Visualization, PropTech, Virtual Reality",0,0,Electric Communication Technique,,10503121,USD,10503121,,,"Sunnyvale, California, United States",$100M to $500M,2011-01-01,year,"Fidelity, PTC, Employee Stock Option Fund, Dow Jones, DCM Ventures",https://www.linkedin.com/company/matterport
Carbon,https://www.crunchbase.com/organization/carbon3d,251-500,Active,https://www.carbon3d.com,info@carbon3d.com,+1 650 285 6307,,,,,,,,,"Design, Hardware, Manufacturing, Software","3D Printing, 3D Technology, Hardware, Manufacturing, Product Design",319,7,Working Of Plastics,Chemical substances,2081539,USD,2081539,,,"Redwood City, California, United States",$100M to $500M,2013-01-01,year,"Fidelity, FIS, Sequoia Capital, Autodesk, Emerson Collective",https://www.linkedin.com/company/carbon
Formlabs,https://www.crunchbase.com/organization/formlabs,501-1000,Active,http://www.formlabs.com,hello@formlabs.com,617-702-8476,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Software","3D Printing, 3D Technology, Consumer Electronics, Hardware, Manufacturing",132,25,Working Of Plastics,Machines and machine tools,3723442,USD,3723442,,,"Somerville, Massachusetts, United States",$100M to $500M,2011-01-01,year,"Autodesk, MIT Media Lab, DFJ Growth, The E14 Fund, Vintage Investment Partners",http://www.linkedin.com/company/formlabs
