Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Telstra,https://www.crunchbase.com/organization/telstra,10001+,Active,https://www.telstra.com.au,,+61439125109,7,8,4,,,,,,"Hardware, Mobile, Platforms, Sales and Marketing, Software","Android, iOS, Mobile, Public Relations, Telecommunications",19,48,Electric Communication Technique,Telecommunications,,,,,,"Melbourne, Victoria, Australia",$10B+,1975-07-01,day,VIC,http://www.linkedin.com/company/telstra
Taxi Fares app,https://www.crunchbase.com/organization/taxi-fares-app,1-10,Closed,http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=315967259&mt=8,support@taxifaresapp.com,,,,,,,,,,"Mobile, Platforms, Software, Transportation","Android, Automotive, iOS, Mobile, Software",,,,,,,,,,"Madrid, Madrid, Spain",$10B+,2009-01-01,year,,https://www.linkedin.com/company/apple
Sports Betting Secrets by Ron Raymond,https://www.crunchbase.com/organization/sports-betting-secrets-by-ron-raymond,,Active,http://itunes.apple.com/us/book/ron-raymonds-50-greatest-sports/id591597556?ls=1,,,,,,,,,,,"Apps, Gaming, Mobile, Platforms, Software, Sports","Android, Gaming, iOS, Mobile Apps, Sports",,,,,22458,USD,22458,,,"Cupertino, California, United States",$10B+,1976-01-01,year,,https://www.linkedin.com/company/apple
Dash! Transit,https://www.crunchbase.com/organization/dash-transit,,Closed,https://itunes.apple.com/us/app/dash!-transit-real-time-bus/id808427675?mt=8,,,,,,,,,,,"Apps, Mobile, Platforms, Software","Android, iOS, Mobile Apps",,,,,22458,USD,22458,,,"Cupertino, California, United States",$10B+,1976-01-01,year,,https://www.linkedin.com/company/apple
BBB,https://www.crunchbase.com/organization/bbb-3,11-50,Active,http://bbbtech.com,contact@bbbtech.com,,,,,,,,,,"Health Care, Mobile, Platforms, Software","Android, Health Diagnostics, Mobile",,,,,,,,,,"Mountain View, California, United States",$1B to $10B,2014-12-28,day,"HAX, SOSV, Eurasante, Mirae Asset Capital, HB Investment",https://www.linkedin.com/company/bbbinc
King.com,https://www.crunchbase.com/organization/king,251-500,Active,https://www.king.com/,,+44 20 3451 5464,,,,,,,,,"Media and Entertainment, Mobile, Platforms, Software","Android, Digital Entertainment, Mobile",,,,,,,,,,"Stockholm, Stockholms Lan, Sweden",$1B to $10B,2003-08-01,day,"Apax Partners, Mosaic Ventures, Index Ventures, Konstantin von Unger",http://www.linkedin.com/company/king
Uniti,https://www.crunchbase.com/organization/uniti,1-10,Active,http://www.uniti.io,,,,,,,,,,,"Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Payments, Platforms, Privacy and Security, Software","Android, Fraud Detection, Messaging, Mobile, Software",,,,,,,,,,"Gilbert, Arizona, United States",$1B to $10B,2015-01-01,year,,https://www.linkedin.com/company/uniti--contextual-communication/
Cineplex Entertainment,https://www.crunchbase.com/organization/cineplex-entertainment,5001-10000,Active,https://www.cineplex.com,guestservices@cineplex.com,(180) 033-3006,1,1,1,,,,,,"Media and Entertainment, Mobile, Platforms, Software","Android, Digital Entertainment, Media and Entertainment",0,87,,Education; entertainment,103640229,USD,103640229,,,"Toronto, Ontario, Canada",$1B to $10B,1920-01-01,year,,http://www.linkedin.com/company/cineplex-entertainment
SIXT ride - Germany,https://www.crunchbase.com/organization/mydriver-germany,1-10,Active,https://www.sixt.de/ride,service@mydriver.com,+49 30 340440440,,,,,,,,,"Mobile, Platforms, Software, Transportation, Travel and Tourism","Android, Automotive, iOS, Tourism",,,,,1302734,USD,1302734,,,"Munich, Bayern, Germany",$1B to $10B,2013-01-01,month,,https://www.linkedin.com/company/mydriver-com
HelloTech Android Development,https://www.crunchbase.com/organization/hellotech-android-development,51-100,Active,https://hellotechapp.wordpress.com/,mail.hellotech@gmail.com,,,,,,,,,,"Apps, Information Technology, Mobile, Platforms, Software","Android, Apps, Information Technology, Mobile Apps",,,,,,,,,,"West Covina, California, United States",$1B to $10B,2013-01-01,day,,https://www.linkedin.com/company/studio-dentistico
Sony Mobile Phones,https://www.crunchbase.com/organization/sony-mobile-phones,11-50,Active,https://www.sony.com/electronics/mobile,,,,,,,,,,,"Apps, Hardware, Mobile, Platforms, Software","Android, Hardware, Mobile, Mobile Apps, Software",,,,,,,,,,"New York, New York, United States",$1B to $10B,2013-04-07,day,,http://www.linkedin.com/company/sony-mobile-communications
Invista Solutions,https://www.crunchbase.com/organization/invista-solutions,1-10,Active,https://in-vista.nl,info@in-vista.nl,+31 (0)85 488 26 07,,,,,,,,,"Apps, Financial Services, Mobile, Payments, Platforms, Software","Android, iOS, Mobile Apps, Mobile Payments",,,,,255338,USD,255338,,,"Nistelrode, Noord-Brabant, The Netherlands",$1B to $10B,2015-01-01,year,BOM,https://www.linkedin.com/company/invista-solutions-bv
MyShake,https://www.crunchbase.com/organization/myshake,101-250,Active,http://myshake.berkeley.edu/,info@seismo.berkeley.edu,,,,,,,,,,"Apps, Hardware, Mobile, Platforms, Software","Android, Mobile Apps, Sensor",,,,,,,,,,"Berkeley, California, United States",$1B to $10B,2016-02-01,month,,https://www.linkedin.com/company/uc-berkeley
App Central Jamaica,https://www.crunchbase.com/organization/app-central-jamaica,,Active,https://appcentralja.wordpress.com,,,,,,,,,,,"Apps, Commerce and Shopping, Mobile, Platforms, Software","Android, Apps, E-Commerce, Mobile",,,,,,,,,,"Loria, Veneto, Italy",$1B to $10B,1985-01-01,year,,https://www.linkedin.com/company/studio-dentistico
14773 STONES,https://www.crunchbase.com/organization/14773-stones,1-10,Active,https://14773stones.wordpress.com/,,,,,,,,,,,"Apps, Mobile, Platforms, Software","Android, iOS, Mobile, Mobile Apps",,,,,,,,,,"New York, New York, United States",$1B to $10B,1985-01-01,year,,https://www.linkedin.com/company/studio-dentistico
Depop,https://www.crunchbase.com/organization/depop,251-500,Active,http://www.depop.com,press@depop.com,,,,,,,,,,"Commerce and Shopping, Mobile, Platforms, Software","Android, E-Commerce, iOS, Marketplace, Mobile",,,,,,,,,,"London, England, United Kingdom",$500M to $1B,2011-11-01,day,"Octopus Ventures, Creandum, Red Circle Investment, H-FARM, Upscale",https://www.linkedin.com/company/depop
Mason,https://www.crunchbase.com/organization/mason,51-100,Active,http://www.bymason.com,contact@bymason.com,(866) 217-5164,,,,,,,,,"Consumer Electronics, Hardware, Internet Services, Mobile, Platforms, Software","Android, Hardware, Internet of Things, Mobile Devices, SaaS, Software",0,2,,Scientific and electric apparatus and instruments,1846807,USD,1846807,,,"Seattle, Washington, United States",$500M to $1B,2015-10-01,day,"Notable Capital, Soma Capital, Social Capital, Y Combinator, Justin Mateen",https://www.linkedin.com/company/mason-america/
Pivotal Labs,https://www.crunchbase.com/organization/pivotal-labs,101-250,Closed,http://www.pivotal.io,contact@pivotallabs.com,(415) 777-4868,2,3,1,1,,,,,"Mobile, Other, Platforms, Software","Android, Collaboration, Enterprise Software, iOS, Mobile, Software, Web Development, WebOS",,,,,,,,,,"San Francisco, California, United States",$500M to $1B,1989-07-01,day,,https://www.linkedin.com/showcase/pivotalcf/
NIX Solutions Ltd,https://www.crunchbase.com/organization/nix-solutions-ltd,1001-5000,Active,https://www.nixsolutions.com/,ask@nixsolutions.com,+38 057 784-06-00,,,,,,,,,"Apps, Design, Hardware, Information Technology, Internet Services, Mobile, Platforms, Science and Engineering, Software","Android, DevOps, Internet, iOS, IT Management, Mobile Apps, Robotics, Software, UX Design, Web Development",,,,,,,,,,"Kharkov, Kharkivs'ka Oblast', Ukraine",$500M to $1B,1994-09-10,day,,https://www.linkedin.com/company/52527/admin/
PROTOIO Inc,https://www.crunchbase.com/organization/proto-io,11-50,Active,https://protoioinc.com/,info@proto.io,,,,,,,,,,"Mobile, Platforms, Software","Android, iOS, Mobile, Software",0,4,,Scientific and electric apparatus and instruments,271632,USD,271632,,,"San Francisco, California, United States",$500M to $1B,2011-01-01,year,,http://www.linkedin.com/company/proto-io
Base,https://www.crunchbase.com/organization/base-4,1001-5000,Active,https://www.base.be/,,,,,,,,,,,"Internet Services, Media and Entertainment, Mobile, Platforms, Software","Android, Mobile, Social Media",,,,,99807321,USD,99807321,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$500M to $1B,2002-01-01,year,,
Charge Communication,https://www.crunchbase.com/organization/charge,1-10,Active,https://charge.co/,hello@charge.co,,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software","Android, iOS, Messaging, Mobile, Telecommunications, VoIP",,,,,123375,USD,123375,,,"San Francisco, California, United States",$500M to $1B,2013-05-01,day,,https://www.linkedin.com/company/3669727
Life360,https://www.crunchbase.com/organization/life360,251-500,Active,http://www.life360.com,info@life360.com,415-462-0002,,,,,,,,,"Apps, Community and Lifestyle, Mobile, Platforms, Software","Android, Apps, Family, Mobile, Mobile Apps",,,,,,,,,,"San Francisco, California, United States",$100M to $500M,2008-01-01,year,"ADT, Google, 500 Global, Kapor Capital, DCM Ventures",http://www.linkedin.com/company/life360
Zubale,https://www.crunchbase.com/organization/zubale,501-1000,Active,https://www.zubale.com/,hola@zubale.com,,,,,,,,,,"Apps, Commerce and Shopping, Hardware, Mobile, Other, Platforms, Software","Android, Apps, Crowdsourcing, E-Commerce, iOS, Marketplace, Retail Technology",,,,,,,,,,"Mexico City, Distrito Federal, Mexico",$100M to $500M,2018-04-10,day,"Pear VC, Industry Ventures, XFactor Ventures, MAYA Capital, Transform Capital",https://www.linkedin.com/company/zubale/
Tapjoy,https://www.crunchbase.com/organization/tapjoy,101-250,Active,http://www.tapjoy.com,info@tapjoy.com,415-766-6900,,,,,,,,,"Advertising, Apps, Mobile, Platforms, Sales and Marketing, Software","Advertising, Android, Apps, Brand Marketing, iOS, Marketing Automation, Mobile, Mobile Apps",16,20,Computing; Calculating,Advertising; business,5378678,USD,5378678,,,"San Francisco, California, United States",$100M to $500M,2007-01-01,year,"D. E. Shaw & Co., JPMorgan Partners, InterWest Partners, North Bridge Venture Partners & Growth Equity, Rho Capital Partners",http://www.linkedin.com/company/tapjoy
