Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
CGI,https://www.crunchbase.com/organization/cgi,10001+,Active,https://www.cgi.com,info@cgi.com,+1 514 841 3200,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Software","Analytics, Application Performance Management, Business Intelligence, Consulting, Cyber Security, Finance, Information Technology, Technical Support",0,79,,Scientific and technological services,993022340,USD,993022340,,,"Montréal, Quebec, Canada",$10B+,1976-01-01,year,,https://www.linkedin.com/company/cgi
Rise,https://www.crunchbase.com/organization/rise-f0b6,101-250,Active,https://risefoc.com,contact@risefoc.com,1 (248) 213-6330,,,,,,,,,"Data and Analytics, Health Care, Professional Services, Software","Application Performance Management, Business Development, Electronic Health Record (EHR), Health Care, Software",,,,,,,,,,"Southfield, Michigan, United States",$10B+,2012-01-01,year,,
Daily Press Media Group,https://www.crunchbase.com/organization/daily-press-media-group,501-1000,Active,http://www.dailypress.com,outfront@dailypress.com,(757) 247-4600,,,,,,,,,"Advertising, Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Software, Video","Advertising, Application Performance Management, Broadcasting, Media and Entertainment, News, Publishing",,,,,,,,,,"Newport News, Virginia, United States",$10B+,1896-01-01,year,,https://www.linkedin.com/company/daily-press
Filefly,https://www.crunchbase.com/organization/filefly,1-10,Active,,contact@catchfilefly.com,,,,,,,,,,"Data and Analytics, Platforms, Software","Application Performance Management, Facebook, File Sharing",,,,,,,,,,,$10B+,2011-04-23,day,,
Sentry,https://www.crunchbase.com/organization/sentry,251-500,Active,https://www.sentry.io,hello@sentry.io,,,,,,,,,,"Apps, Data and Analytics, Other, Software","Application Performance Management, Developer Tools, Real Time, Web Apps",0,6,,Scientific and technological services,6301650,USD,6301650,,,"San Francisco, California, United States",$1B to $10B,2012-02-01,day,"Slack, Bond, K5 Global, Accel, New Enterprise Associates",https://www.linkedin.com/company/getsentry
LexisNexis,https://www.crunchbase.com/organization/lexisnexis-2782,51-100,Active,https://mlexmarketinsight.com,customerservices@mlex.com,+44 800 999 3237,,,,,,,,,"Data and Analytics, Professional Services, Software","Application Performance Management, Legal",,,,,241063773,USD,241063773,,,"London, England, United Kingdom",$1B to $10B,1968-01-01,year,,https://www.linkedin.com/company/lexisnexis-uk/
Milestone Technologies,https://www.crunchbase.com/organization/milestone-technologies,1001-5000,Active,http://www.milestonepowered.com,ITsolutions@milestonepowered.com,+1 510 651 2454,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Information Technology, Software","Application Performance Management, Consumer Electronics, Information Technology",0,1,,Advertising; business,54535984,USD,54535984,,,"Fremont, California, United States",$500M to $1B,1997-01-01,year,"H.I.G. Capital, Monroe Capital",http://www.linkedin.com/company/milestone-technologies
New Relic,https://www.crunchbase.com/organization/new-relic,1001-5000,Active,http://newrelic.com,pr@newrelic.com,(877) 643-8776,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Mobile, Software","Analytics, Application Performance Management, Cloud Computing, IT Infrastructure, Mobile, SaaS, Software",39,23,Computing; Calculating,Scientific and technological services,,,,,,"San Francisco, California, United States",$500M to $1B,2008-02-01,day,"Fidelity, Wellington Management, Dragoneer Investment Group, T. Rowe Price, Allen & Company",https://www.linkedin.com/company/new-relic-inc-
Matrix,https://www.crunchbase.com/organization/matrix-3,1001-5000,Active,http://www.matrix.net/,,,,,,,,,,,"Data and Analytics, Internet Services, Software","Application Performance Management, Internet",,,,,28206427,USD,28206427,,,"Austin, Texas, United States",$500M to $1B,1996-01-01,year,"TL Ventures, Meritage Funds",https://www.linkedin.com/company/dynatrace/about/
M Systems International,https://www.crunchbase.com/organization/m-systems-international,11-50,Active,http://www.msystemsintl.com,info@msystemsintl.com,919-493-6012,,,,,,,,,"Commerce and Shopping, Data and Analytics, Software","Application Performance Management, Database, E-Commerce, Software",0,3,,Scientific and electric apparatus and instruments,355389,USD,355389,,,"Durham, North Carolina, United States",$500M to $1B,1996-01-01,year,,http://www.linkedin.com/company/m-systems-international-inc-
AppDynamics,https://www.crunchbase.com/organization/appdynamics,1001-5000,Active,http://www.appdynamics.com,info@appdynamics.com,(415)442-8400,,,,,,,,,"Data and Analytics, Information Technology, Software","Analytics, Application Performance Management, Business Intelligence, Information Services, Information Technology, Software",5,3,Computing; Calculating,Scientific and technological services,26622335,USD,26622335,,,"San Francisco, California, United States",$100M to $500M,2008-04-01,day,"Employee Stock Option Fund, Sands Capital Ventures, EquityZen, Adage Capital Management, Goldman Sachs",http://www.linkedin.com/company/appdynamics
Puppet,https://www.crunchbase.com/organization/puppet-labs,501-1000,Active,https://www.puppet.com ,info@puppet.com,+1 877 575 9775,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Software","Application Performance Management, Data Center Automation, Information Services, Information Technology, IT Infrastructure, Software",0,40,,Scientific and technological services,7992402,USD,7992402,,,"Portland, Oregon, United States",$100M to $500M,2005-01-01,year,"Employee Stock Option Fund, Cisco, VMware, Google Ventures, EDBI",https://www.linkedin.com/company/puppet
Radixweb,https://www.crunchbase.com/organization/radix-web,501-1000,Active,https://radixweb.com/,sales@radixweb.com,+1 312 528 3083,,,,,,,,,"Apps, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Application Performance Management, Cloud Computing, Cloud Management, Consumer Applications, Information Services, Information Technology, SaaS, Software, Software Engineering, Web Development",,,,,,,,,,"Ahmedabad, Gujarat, India",$100M to $500M,2000-07-21,day,,https://www.linkedin.com/company/radixweb
GAVS Technologies,https://www.crunchbase.com/organization/gavs-technologies,501-1000,Active,http://www.gavstech.com/,,303 782 0402,,,,,,,,,"Data and Analytics, Information Technology, Other, Software","Application Performance Management, DevOps, Information Technology, Infrastructure",4,0,,Scientific and electric apparatus and instruments,47295872,USD,47295872,,,"Chennai, Tamil Nadu, India",$100M to $500M,1998-01-01,year,,https://www.linkedin.com/company/gavs
Google Launchpad Accelerator,https://www.crunchbase.com/organization/launchpad-accelerator,,Active,https://developers.google.com/,,,117,117,105,7,,,,,"Apps, Community and Lifestyle, Data and Analytics, Financial Services, Lending and Investments, Mobile, Software","Application Performance Management, Banking, Communities, Developer Platform, Insurance, Mobile Apps",,,,,,,,,,"Mountain View, California, United States",$100M to $500M,2015-01-01,year,,https://www.linkedin.com/showcase/launchpad-program/
Cenit,https://www.crunchbase.com/organization/cenit,251-500,Active,https://www.cenit.com,info@cenit.de,41 52 354 10 10,,,,,,,,,"Data and Analytics, Information Technology, Software","Application Performance Management, Document Management, Information Technology, Software",,,,,18436232,USD,18436232,,,"Effretikon, Zurich, Switzerland",$100M to $500M,1988-01-01,day,,https://www.linkedin.com/company/cenit
Airnow,https://www.crunchbase.com/organization/airnow,251-500,Active,https://airnowplc.com/,hello@airnowplc.com,,,,,,,,,,"Apps, Data and Analytics, Mobile, Sales and Marketing, Software","App Discovery, App Marketing, Application Performance Management, Apps, Mobile Apps, SaaS",5,2,Computing; Calculating,Scientific and electric apparatus and instruments,571567,USD,571567,,,"London, England, United Kingdom",$100M to $500M,2010-01-01,year,Asher Delug,https://www.linkedin.com/company/airnowplc/
JAT,https://www.crunchbase.com/organization/jat,1001-5000,Active,https://jatnet.com/,info@jatconsulting.com,(908) 203-9153,,,,,,,,,"Administrative Services, Data and Analytics, Information Technology, Other, Software","Application Performance Management, Database, Enterprise Resource Planning (ERP), Information Technology, Project Management, Software",,,,,26693,USD,26693,,,"New Jersey, Saint Patrick, Trinidad and Tobago",$100M to $500M,1985-01-01,year,,https://www.linkedin.com/showcase/jat-computer-consulting-ms-isv
SPECTRAMI (formerly Network Performance Channel) GmbH,https://www.crunchbase.com/organization/network-performance-channel-gmbh,11-50,Active,https://www.spectrami.com/de,eu@spectrami.com,+49610274870,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Privacy and Security, Software, Transportation","Application Performance Management, IT Infrastructure, Logistics, Network Hardware, Network Security, Security",,,,,,,,,,"Neu Isenburg, Hessen, Germany",$100M to $500M,2006-07-01,day,,http://www.linkedin.com/company/spectrami-gmbh/
SevOne,https://www.crunchbase.com/organization/sevone,101-250,Active,http://www.sevone.com,info@sevone.com,(302) 319-5400,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Software","Application Performance Management, Computer, Enterprise Software, Software",4,0,Computing; Calculating,,8103587,USD,8103587,,,"Boston, Massachusetts, United States",$50M to $100M,2005-01-01,year,"Bain Capital Ventures, Bain Capital, HarbourVest Partners, Osage Venture Partners, Westfield Capital Management",http://www.linkedin.com/company/sevone-inc
NBT,https://www.crunchbase.com/organization/nbt-5e6c,101-250,Active,https://nbt.com,,+82-1522-1859,,,,,,,,,"Apps, Data and Analytics, Mobile, Software","Application Performance Management, Mobile Apps, Software",3,0,Optics,,,,,,,"Seocho, Seoul-t'ukpyolsi, South Korea",$50M to $100M,2012-09-17,day,"Korea Investment Partners, Shinhan Venture Investment, Smilegate Investment, Bokwang Investment, Albatross Investment",https://www.linkedin.com/company/nbt/
