Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Tenstorrent,https://www.crunchbase.com/organization/tenstorrent,251-500,Active,http://tenstorrent.com,info@tenstorrent.com,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Artificial Intelligence (AI), Electronics, Hardware, Machine Learning, Semiconductor",4,0,Computing; Calculating,,6155924,USD,6155924,,,"Toronto, Ontario, Canada",Less than $1M,2016-03-01,month,"Fidelity, Creative Destruction Lab (CDL), Moore Capital, Real Ventures, Maverick Capital",https://www.linkedin.com/company/tenstorrent-inc.
Bitmain,https://www.crunchbase.com/organization/bitmain,501-1000,Active,https://www.bitmain.com,info@bitmaintech.com,+65-3138-9024,36,42,17,,,,,,"Blockchain and Cryptocurrency, Consumer Electronics, Financial Services, Hardware, Manufacturing, Payments, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Bitcoin, Electronics, Manufacturing, Semiconductor",146,0,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$1B to $10B,2013-01-01,year,"Sequoia Capital China, EDBI, Sinovation Ventures, Newegg, Coatue",https://www.linkedin.com/company/bitmain/
Ventana Micro Systems,https://www.crunchbase.com/organization/ventana-micro-systems,51-100,Active,https://www.ventanamicro.com/,,(408) 216-9015,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Electronics, Information Technology, Semiconductor, Software",,,,,296266,USD,296266,,,"San Jose, California, United States",Less than $1M,2018-01-01,year,"Weili Dai, Sehat Sutardja",https://www.linkedin.com/company/ventana-micro-systems/
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,101-250,Active,https://www.cnexlabs.com,info@cnexlabs.com,+1.408.217.6136,,,,,,,,,"Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Big Data, Cloud Infrastructure, Data Storage, Flash Storage, Semiconductor, Software",6,0,Computing; Calculating,,5889126,USD,5889126,,,"San Jose, California, United States",$1M to $10M,2013-01-01,year,"Alumni Ventures, Sierra Ventures, Celesta Capital, Castor Ventures, M12 - Microsoft's Venture Fund",https://www.linkedin.com/company/cnex-labs/
Yuntu Semiconductor,https://www.crunchbase.com/organization/yuntu-semiconductor,101-250,Active,http://ytmicro.com/,info@YTMicro.com,+86 13817212555,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor",,,,,,,,,,"Suzhou, Jiangsu, China",,2020-07-01,month,"Wuxi Capital, China Structural Reform Fund, BAIC Capital, New Alliance Capital, Sunic Capital",https://www.linkedin.com/company/苏州云途半导体有限公司
Eggtronic,https://www.crunchbase.com/organization/eggtronic,51-100,Active,https://eggtronic.com/,investors@eggtronic.com,415-299-2305,,,,,,,,,"Consumer Electronics, Hardware, Mobile, Professional Services","Application Specific Integrated Circuit (ASIC), Consumer Electronics, Electronics, Hardware, Intellectual Property, Wireless",,,,,171040,USD,171040,,,"San Francisco, California, United States",$1M to $10M,2012-09-13,day,"European Investment Bank, CDP Venture Capital, Doorway, iStarter, Rinkelberg Capital",https://www.linkedin.com/company/eggtronic
Jariet Tech,https://www.crunchbase.com/organization/jariet-tech,51-100,Active,http://jariettech.com,info@jariettech.com,310.698.1009,,,,,,,,,"Hardware, Information Technology, Manufacturing","Application Specific Integrated Circuit (ASIC), Information Technology, Manufacturing",,,,,978713,USD,978713,,,"Redondo Beach, California, United States",$10M to $50M,2015-01-01,year,,https://www.linkedin.com/company/jariet-technologies-inc.
Tianyu Semiconductor,https://www.crunchbase.com/organization/tianyu-semiconductor,51-100,Active,http://www.sicty.com,enquiry@sicty.com,0769-22891678,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor",,,,,,,,,,"Guangdong, Jilin, China",,2009-01-01,year,"BYD Company, China Merchants Venture Capital, SAIC Venture Capital, Huawei Hubble, Stem Capital",
JLSemi,https://www.crunchbase.com/organization/jlsemi,501-1000,Active,https://www.jlsemi.com,info@jlsemi.com,,1,1,1,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor",,,,,,,,,,"Shanghai, Shanghai, China",,2009-01-01,year,"CDH Investments, Matrix Partners China, GP Capital, Summitview Capital, Hengxu Capital",https://www.linkedin.com/company/jlsemi
Sensylink,https://www.crunchbase.com/organization/sensylink,101-250,Active,http://www.sensylink.com/,brianna.dai@sensylink.com,+86 156 1878 7499,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor",0,1,,Scientific and electric apparatus and instruments,,,,,,"Shanghai, Shanghai, China",$1M to $10M,2015-01-01,year,"Infotech Ventures, Lotus Lake Ventures, Guofang Capital, Kaishi Investment, Wofo Capital",https://www.linkedin.com/company/%E4%B8%8A%E6%B5%B7%E7%94%B3%E7%9F%BD%E5%87%8C%E5%BE%AE%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/
Shenzhen Shichuangyi Electronics,https://www.crunchbase.com/organization/shenzhen-shichuangyi-electronics,501-1000,Active,https://www.shichuangyi.com,,0755 33801130,,,,,,,,,"Hardware, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Data Storage, Embedded Software, Semiconductor",1,0,Computing; Calculating,,,,,,,"Shenzhen, Guangdong, China",,2008-01-01,year,"Dynamic Futures, Xiaomi",https://www.linkedin.com/company/shenzhen-shichuangyi-electronics-co-ltd
CIP United Co. Ltd.,https://www.crunchbase.com/organization/xinlianxin-intelligent-technology,51-100,Active,https://www.cipunited.com,mips@cipunited.com,+86 21 61050891,,,,,,,,,"Consumer Electronics, Design, Hardware","Application Specific Integrated Circuit (ASIC), Computer, Hardware, Product Design",,,,,,,,,,"Shanghai, Shanghai, China",,2018-01-01,year,"Chinarun Capital, Huyu Equity Investment Fund",https://www.linkedin.com/company/cip-united/
Keyang Semiconductor,https://www.crunchbase.com/organization/keyang-semiconductor,251-500,Active,http://www.keyangsemi.com/cn/index.aspx,liyufang@ky-sz.com,+86 0512-68838988,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor",0,2,,Hand tools and implements,,,,,,"Suzhou, Jiangsu, China",,2010-07-01,month,"SooChow Securities, CDH Investments, Zhongxin Capital, China Fortune-Tech Capital, Sunic Capital",
Shifan Microelectronics,https://www.crunchbase.com/organization/shifan-microelectronics,51-100,Active,,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor",,,,,,,,,,"Shenzhen, Guangdong, China",,2021-01-01,year,"Cowin Capital, Highlight Capital, SEE Fund",
Silexica,https://www.crunchbase.com/organization/silexica,51-100,Closed,http://www.silexica.com,,,,,,,,,,,"Hardware, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Developer Tools, Embedded Software, Embedded Systems, Enterprise Software, Field-Programmable Gate Array (FPGA), Software",0,3,,Scientific and electric apparatus and instruments,1390206,USD,1390206,,,"Cologne, Nordrhein-Westfalen, Germany",$10M to $50M,2014-08-20,day,"SquareOne Venture Capital, Merus Capital, TechVision Fund, EQT Ventures, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/silexica/
KnCMiner,https://www.crunchbase.com/organization/kncminer,101-250,Closed,http://kncminer.com,info@kncminer.com,(468) 559-2532,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Hardware, Other, Payments, Software","Application Specific Integrated Circuit (ASIC), Bitcoin, Blockchain, Hardware",0,2,,Scientific and electric apparatus and instruments,,,,,,"Stockholm, Stockholms Lan, Sweden",$10M to $50M,2013-04-01,day,"Creandum, GP Bullhound, Accel, Martin Wattin",http://www.linkedin.com/company/kncminer
FABU.ai,https://www.crunchbase.com/organization/fabu-ai,51-100,Active,http://www.fabu.ai/en,angela.suen@fabu.ai,408-475-2556,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Application Specific Integrated Circuit (ASIC), Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Logistics, Semiconductor",,,,,,,,,,"Hangzhou, Zhejiang, China",$10M to $50M,2017-08-01,month,"Sinovation Ventures, Qingsong Fund, MSA Capital",https://www.linkedin.com/company/fabu-ai
Yusheng Optoelectronics,https://www.crunchbase.com/organization/yusheng-optoelectronics,501-1000,Active,http://www.ysod.com,sales@ysod.com,027-81739820,,,,,,,,,"Hardware, Manufacturing","Application Specific Integrated Circuit (ASIC), Manufacturing",,,,,,,,,,"Wuhan, Hubei, China",,2001-01-01,year,AIS CAPITAL,
Digital Light Core,https://www.crunchbase.com/organization/digital-light-core,251-500,Active,https://www.light-chip.cn/,jinjiao@bjdodc.com,86-18830377896,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Advanced Materials, Application Specific Integrated Circuit (ASIC)",,,,,,,,,,"Beijing, Beijing, China",,2019-01-01,year,"Gree Electric Appliance, Leaguer Venture Capital, Fibonacci VC, Nanjing Venture Capital, Shanhan Venture Capital",
Chuangxin Microelectronics,https://www.crunchbase.com/organization/chuangxin-microelectronics,51-100,Active,http://www.icm-semi.com,sales@icm-semi.com,0755-85222796,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Hardware, Manufacturing, Semiconductor",0,2,,Chemical substances,,,,,,"Longgang, Guangdong, China",,2017-01-01,year,"Shenzhen Capital Group, CDF-Capital, Sharewin Investment, Hua Ventures, Juchen Capital",https://www.linkedin.com/company/%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%88%9B%E8%8A%AF%E5%BE%AE%E5%BE%AE%E7%94%B5%E5%AD%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
Qingxin Technology,https://www.crunchbase.com/organization/qingxin-technology,51-100,Active,http://www.jsunitytechnology.com/,eddiechua@jsunitytechnology.com,0573-87220555,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor",,,,,,,,,,"Jiaxing, Zhejiang, China",,2021-01-01,year,"CDH Investments, ZSVC, Living Water Investment",
Shengteng Semiconductor,https://www.crunchbase.com/organization/shengteng-semiconductor,51-100,Active,http://www.wxs-tech.com/,wangyb@wxs-tech.com,0510-85384910,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor",,,,,,,,,,"Hefei, Anhui, China",,2019-01-01,year,"October Capital, Beyond Moore, Shenzhen Southern Equity Investment Fund Management, Qingdao Huazi Shengtong Equity Investment Fund, Hefei Guoxin Capital",
Arctic Hero Core,https://www.crunchbase.com/organization/arctic-hero-core,51-100,Active,http://www.bjxx.tech,mengf@bjxx.tech,029-81292600,,,,,,,,,"Hardware, Science and Engineering","Application Specific Integrated Circuit (ASIC), Semiconductor",,,,,,,,,,"Xian Shi, Shaanxi, China",,2021-01-01,year,"Semiconductor Manufacturing International, Iflytek, Sequoia Capital China, SEE Fund, Inno-Chip",
Wanxietong Information Technology,https://www.crunchbase.com/organization/wanxietong-information-technology,51-100,Active,https://www.wisectech.com.cn,sales@wisectech.com.cn,010 62967607,,,,,,,,,"Hardware, Internet Services, Manufacturing, Science and Engineering","Advanced Materials, Application Specific Integrated Circuit (ASIC), Internet of Things",,,,,,,,,,"Guangzhou, Guangdong, China",,2019-01-01,year,"Guangzhou Industrial Investment Group, Wanlian Tianze, Taihe Capital, Guangzhou Nan Yue Fund, Unicom Venture Capital",
MotionSilicon,https://www.crunchbase.com/organization/motionsilicon,51-100,Active,http://motionsilicon.com,contact@motionsilicon.com,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor",,,,,,,,,,"Wuxi, Anhui, China",,2021-01-01,year,"Prosperity Investment, Shenzhen Qianhai Xingwang Investment, Xintou Group",
Dao Bio-Link,https://www.crunchbase.com/organization/dao-bio-link,51-100,Active,http://www.taolink-tech.com,info@taolink-tech.com,13671599773,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Application Specific Integrated Circuit (ASIC), Information Technology, Internet of Things, Software",,,,,,,,,,"Jiading, Shanghai, China",,2017-01-01,year,"Jiadao Capital, Xinyi Capital, Ruijing Investment, Gongshan Capital",
Super Rui Technology,https://www.crunchbase.com/organization/ultrarisc-technology-shanghai-co-ltd,51-100,Active,https://ultrarisc.com,,,,,,,,,,,"Consumer Electronics, Hardware","Application Specific Integrated Circuit (ASIC), Electronics",,,,,,,,,,"Shanghai, Shanghai, China",,,,"Shenzhen Venture Capital, China Information Technology",
Chaoyi Microelectronics,https://www.crunchbase.com/organization/chaoyi-microelectronics,51-100,Active,,,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Manufacturing, Semiconductor",,,,,,,,,,"Shenyang, Liaoning, China",,2021-01-01,year,,
Yuchuang Semiconductor,https://www.crunchbase.com/organization/yuchuang-semiconductor,51-100,Active,http://www.erised-semi.com/en/,wben34690@gmail.com,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor",,,,,,,,,,"Shenzhen, Guangdong, China",,2018-08-01,month,"Shenzhen Capital Group, Oceanpine Capital, Junsan Capital",https://www.linkedin.com/company/erised-semiconductor-co-ltd/about/
Shanghai Yudu Semiconductor Technology,https://www.crunchbase.com/organization/ncatest,51-100,Active,http://www.ncatest.com/,marketing@ncaest.com,021-20940020,,,,,,,,,"Hardware, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Hardware, Manufacturing, Semiconductor",,,,,,,,,,"Shanghai, Shanghai, China",,2014-01-01,year,Shanghai Internet-of-Things Venture Capital Fund,
Taogent,https://www.crunchbase.com/organization/taogent,251-500,Active,http://www.taogent.com/,zhaoxian@taogent.com,0519-85510108,,,,,,,,,"Hardware, Manufacturing","Application Specific Integrated Circuit (ASIC), Manufacturing",,,,,,,,,,"Changzhou, Zhejiang, China",,2014-01-01,year,"Addor Capital, Shanghai Jianke Group, Qitai Capital, Keli Sensing Technology, Changzhou Venture Capital Group Co., Ltd.",
Kuaidian Electric Power Design Institute,https://www.crunchbase.com/organization/kuaidian-electric-power-design-institute,51-100,Active,http://www.kuailaidian.com.cn/,,,,,,,,,,,"Hardware, Mobile","Application Specific Integrated Circuit (ASIC), Wireless",,,,,,,,,,"Shunyi, Beijing, China",,2021-01-01,year,,
InnoGrit Corporation,https://www.crunchbase.com/organization/innogrit-corporation,101-250,Active,https://innogritcorp.com/,sales@innogritcorp.com,(408) 708-1885,,,,,,,,,Hardware,Application Specific Integrated Circuit (ASIC),0,0,Computing; Calculating,,237518,USD,237518,,,"San Jose, California, United States",$1M to $10M,2016-01-01,year,"Amino Capital, China Merchants Venture Capital, Perpetual Capital Partners, Summitview Capital",https://www.linkedin.com/company/innogritcorp
Zentech Manufacturing,https://www.crunchbase.com/organization/zentech-manufacturing,251-500,Active,https://www.zentech.com,info@zentechman.com,(443) 348-4500,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing","Application Specific Integrated Circuit (ASIC), Electronics, Industrial Manufacturing, Manufacturing, RFID",0,1,,Treatment of materials,4812565,USD,4812565,,,"Baltimore, Maryland, United States",$50M to $100M,1998-01-01,year,Merion Investment Partners,https://www.linkedin.com/company/zentech-manufacturing/
Photronics,https://www.crunchbase.com/organization/photronics,5001-10000,Active,http://www.photronics.com,sales@photronics.com,+1 203 775 9000,1,1,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Manufacturing, Science and Engineering","Application Specific Integrated Circuit (ASIC), Cloud Data Services, Electronics, Information Technology, Manufacturing, Semiconductor",36,18,Photography; Cinematography; Electrography,Scientific and electric apparatus and instruments,62301908,USD,62301908,,,"Brookfield, Connecticut, United States",$500M to $1B,1969-01-01,year,,https://www.linkedin.com/company/photronics
eASIC,https://www.crunchbase.com/organization/easic,51-100,Closed,http://www.easic.com,ecore@eASIC.com,408-855-9200,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Electronics, Industrial Design, Manufacturing, Semiconductor, Software Engineering",12,0,Basic Electric Elements,,,,,,,"Santa Clara, California, United States",$50M to $100M,1999-01-01,year,"Merck, Seagate Technology, Khosla Ventures, Kleiner Perkins, Evergreen Venture Partners",http://www.linkedin.com/company/easic
Shengyi Electronics Co,https://www.crunchbase.com/organization/shengyi-electronics-co,1001-5000,Active,http://www.sye.com.cn,,+86 769 - 23153888,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing","Application Specific Integrated Circuit (ASIC), Consumer Electronics, Electronics, Manufacturing",25,3,Electric Techniques Not Otherwise Provided For,Scientific and electric apparatus and instruments,,,,,,"Dongguang, Guangdong, China",,1985-01-01,year,,https://www.linkedin.com/company/dongguan-shengyi-electronics-ltd.-%E4%B8%9C%E8%8E%9E%E7%94%9F%E7%9B%8A%E7%94%B5%E5%AD%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-/about/
BlackPepper Technologies,https://www.crunchbase.com/organization/blackpepper-technologies,251-500,Active,http://www.blackpeppertech.com/#,info@blackpeppertech.com,+91080 2552 0252,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Professional Services, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Consulting, Electronics, Industrial Design, Manufacturing, Semiconductor, Software, Software Engineering",,,,,,,,,,"Bangalore, Karnataka, India",,2010-01-01,year,,https://www.linkedin.com/company/black-pepper-technologies-pvt-ltd/
Siliconus Technologies,https://www.crunchbase.com/organization/siliconus-technologies,51-100,Active,https://siliconus.com,contact@siliconus.com,+91 789 366 2522,,,,,,,,,"Hardware, Privacy and Security, Science and Engineering","Application Specific Integrated Circuit (ASIC), Security, Semiconductor",,,,,,,,,,"Bangalore, Karnataka, India",$1M to $10M,2016-01-01,year,,https://www.linkedin.com/company/siliconus-technologies-pvt-ltd
MFS Technology,https://www.crunchbase.com/organization/mfs-tech,51-100,Active,http://mfstech.com.sg,contactmfs@mfstechnology.com,65-68-61-3168,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing",0,2,,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",,1988-01-01,year,,https://www.linkedin.com/company/mfs-technology-s-pte-ltd
"KUM Co., Ltd.",https://www.crunchbase.com/organization/kum-co-ltd,251-500,Active,http://www.ikum.kr/,,82 5 2255 0300,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing","Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing",13,0,Basic Electric Elements,,,,,,,"Ulsan, Kyongsang-bukto, South Korea",$100M to $500M,1987-08-03,day,,
ILITEK,https://www.crunchbase.com/organization/ilitek,501-1000,Active,http://www.ilitek.com,sales-tw@ilitek.com,886-3-5600099,,,,,,,,,"Hardware, Software","Application Specific Integrated Circuit (ASIC), Electronic Design Automation (EDA), Hardware",,,,,,,,,,"Hsinchu, T'ai-wan, Taiwan",$100M to $500M,2004-11-01,month,,https://www.linkedin.com/company/ilitek-corp-
