Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
GE Healthcare,https://www.crunchbase.com/organization/ge-healthcare,10001+,Active,http://www.gehealthcare.com,,+1 617 443 3400,20,23,12,3,,,,,"Apps, Health Care, Internet Services, Real Estate, Software","Apps, Health Care, Health Diagnostics, Home Improvement, Home Renovation, Internet, Medical",820,68,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products",1385823401,USD,1385823401,,,"Chicago, Illinois, United States",$10B+,1892-01-01,year,Bill & Melinda Gates Foundation,
Uber Freight,https://www.crunchbase.com/organization/uber-freight,10001+,Active,https://www.uberfreight.com,freight@uber.com,,,,,,,,,,"Apps, Mobile, Software, Transportation","Apps, Logistics, Mobile Apps, Supply Chain Management",,,,,2459562793,USD,2459562793,,,"San Francisco, California, United States",$10B+,2017-01-01,year,"GCM Grosvenor, Greenbriar Equity Group, Abu Dhabi Growth Fund, D1 Capital Partners",https://www.linkedin.com/showcase/uber-freight/
Compass Group,https://www.crunchbase.com/organization/compass-group-plc,10001+,Active,http://www.compass-group.com,info@compass-group.com,+44 1932 573 000,3,3,1,,,,,,"Apps, Food and Beverage, Health Care, Mobile, Software, Travel and Tourism","Apps, Food and Beverage, Hospitality, mHealth",0,318,,Services for providing food and drink; temporary accommodations,602352640,USD,602352640,,,"Chertsey, Surrey, United Kingdom",$10B+,1941-01-01,year,U.S. Department of Health & Human Services,http://www.linkedin.com/company/compass-group
DoorDash,https://www.crunchbase.com/organization/doordash,10001+,Active,http://www.doordash.com,support@doordash.com,+1 650 681 9470,4,5,1,,,,,,"Administrative Services, Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation","Apps, Delivery, E-Commerce Platforms, Food Delivery, Logistics, Mobile Apps, Online Portals, Software",237,75,Computing; Calculating,Advertising; business,507930541,USD,507930541,,,"San Francisco, California, United States",$10B+,2013-01-01,month,"Fidelity, Wellcome Trust, Pear VC, Dragoneer Investment Group, T. Rowe Price",http://www.linkedin.com/company/doordash
Rocket Money,https://www.crunchbase.com/organization/truebill,101-250,Active,https://www.rocketmoney.com/,,+1 310-990-2803,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Financial Services, Mobile, Payments, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Education, Financial Services, Mobile, Mobile Apps, Mobile Payments, Payments, Personal Finance, Task Management",0,4,,Insurance; financial affairs,,,,,,"Silver Spring, Maryland, United States",$10B+,2015-01-01,year,"Social Capital, Y Combinator, Cota Capital, ACME Capital, Eldridge Industries",https://www.linkedin.com/company/rocketmoney/
Instagram,https://www.crunchbase.com/organization/instagram,251-500,Active,http://instagram.com,,,,,,,,,,,"Apps, Internet Services, Media and Entertainment, Software","Apps, Social Media, Software",0,89,,Scientific and electric apparatus and instruments,,,,,,"Menlo Park, California, United States",$10B+,2010-10-06,day,"Thrive Capital, Sequoia Capital, Andreessen Horowitz, Jack Dorsey, Adam D’Angelo",http://www.linkedin.com/company/instagram
UUUM,https://www.crunchbase.com/organization/uuum,251-500,Active,http://en.uuum.co.jp,contact+inquiry_en@uuum.jp,03-6434-9500,3,3,2,,,,,,"Advertising, Apps, Events, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Apps, Content, Events, Internet, Marketing, Media and Entertainment, SNS, Social Media",0,3,,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",$10B+,2013-06-01,month,"Sumitomo Mitsui Banking Corporation, JAFCO, ANRI, Mizuho Bank",https://www.linkedin.com/company/uuum
NXP Semiconductors,https://www.crunchbase.com/organization/nxp-semiconductors,10001+,Active,https://www.nxp.com,info.software@nxp.com,+31 40 272 8686,8,8,5,,,,,,"Apps, Content and Publishing, Energy, Hardware, Information Technology, Manufacturing, Media and Entertainment, Mobile, Science and Engineering, Software, Sustainability, Transportation, Video","Apps, Automotive, Energy Efficiency, Information Technology, Manufacturing, Mobile, News, Semiconductor, Software, Video",2,0,Electric Communication Technique,,285132210,USD,285132210,,,"Eindhoven, Noord-Brabant, The Netherlands",$10B+,1953-01-01,year,"Apax Partners, HarbourVest Partners, NYSERDA",http://www.linkedin.com/company/nxp-semiconductors
Optus,https://www.crunchbase.com/organization/optus,5001-10000,Active,http://www.optus.com.au/,,+61 1300 298 011,1,1,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Apps, Cyber Security, Messaging, Mobile, Mobile Apps, Telecommunications",0,1,,Advertising; business,,,,,,"Sydney, New South Wales, Australia",$10B+,1981-01-01,year,,http://www.linkedin.com/company/optus
Alibaba.com,https://www.crunchbase.com/organization/alibaba-com,10001+,Active,https://www.alibaba.com,,,,,,,,,,,"Apps, Commerce and Shopping, Consumer Electronics, Hardware, Internet Services, Manufacturing, Mobile, Software","Apps, E-Commerce Platforms, Electronics, Internet, Manufacturing, Marketplace, Mobile Apps, Retail, Shopping, Social Shopping",,,,,12078064384,USD,12078064384,,,"Hangzhou, Zhejiang, China",$10B+,1999-09-01,month,,https://www.linkedin.com/company/alibaba-com
PagSeguro,https://www.crunchbase.com/organization/pagseguro,5001-10000,Active,https://pagseguro.uol.com.br/,,55 11 3038 8127,,,,,,,,,"Apps, Commerce and Shopping, Financial Services, Gaming, Mobile, Other, Payments, Software","Apps, Financial Services, FinTech, Lending, Mobile Payments, Online Games, Peer to Peer, Point of Sale, Small and Medium Businesses, Software",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$10B+,2006-09-05,day,,https://www.linkedin.com/company/pagseguro-uol/
Salesforce,https://www.crunchbase.com/organization/salesforce,10001+,Active,https://www.salesforce.com,info@salesforce.com,+1 800 667 6389,61,69,31,2,,,,2,"Apps, Information Technology, Internet Services, Mobile, Platforms, Sales and Marketing, Software","Apps, Cloud Computing, CRM, Enterprise Software, Information Technology, iOS, Mobile Apps, SaaS, Sales Enablement, Software","4,313",6,Computing; Calculating,Scientific and electric apparatus and instruments,618362,USD,618362,,,"San Francisco, California, United States",$10B+,1999-01-01,day,"Emergence, Meritech Capital Partners, Marc Benioff, New Enterprise Associates, Morgenthaler Ventures",https://www.linkedin.com/company/salesforce
Wegmans Food Markets,https://www.crunchbase.com/organization/wegmans,10001+,Active,http://www.wegmans.com,comments@wegmans.com,+1 585 464-4762,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Internet Services, Media and Entertainment, Software, Travel and Tourism","Apps, E-Commerce, Food and Beverage, Hospitality, Social Media",0,33,Vehicles In General,Meats and prepared or preserved foods; dairy products,199366750,USD,199366750,,,"New York, New York, United States",$10B+,1916-01-01,year,,https://www.linkedin.com/company/wegmans-food-markets
Stadtwerke München GmbH,https://www.crunchbase.com/organization/mux-de-metaquark,5001-10000,Active,http://www.swm.de,facebook.bieberbach@swm.de,+49 89 23300,,,,,,,,,"Apps, Health Care, Mobile, Platforms, Software, Travel and Tourism","Apps, Health Care, iOS, Travel",,,,,1066102910,USD,1066102910,,,"Munich, Bayern, Germany",$10B+,1848-10-31,day,,https://www.linkedin.com/company/swm-gmbh-munich
Digital China,https://www.crunchbase.com/organization/digital-china-information-technology-services-company,5001-10000,Active,https://www.dcholdings.com,,(86 10) 8270-7777,2,2,2,,,,,,"Apps, Information Technology, Software","Apps, Enterprise Software, Information Technology",,,,,,,,,,"Haidian, Beijing, China",$10B+,2001-01-01,year,"Suzhou Ventures, Infinite Real Estate Investment Company",https://www.linkedin.com/company/digital-china-information-technology-services-company-limited?trk=top_nav_home
GE Healthcare,https://www.crunchbase.com/organization/ge-healthcare-747f,10001+,Active,https://www.gehealthcare.fi,support@gehealthcare.com,+35 800 528 474,,,,,,,,,"Apps, Data and Analytics, Health Care, Software","Analytics, Apps, Health Care, Medical",,,,,,,,,,"Helsinki, Southern Finland, Finland",$10B+,1892-01-01,year,,https://www.linkedin.com/company/gehealthcare/
Snap,https://www.crunchbase.com/organization/Snapchat,5001-10000,Active,https://www.snap.com,,+1 310 399-3339,17,17,5,4,,,,,"Apps, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Apps, Messaging, Mobile, Social Media, Software",37,0,Computing; Calculating,,,,,,,"Venice, California, United States",$1B to $10B,2011-05-01,day,"Alibaba Group, Fidelity, Kingdom Holding Company, Tencent, Yahoo",https://www.linkedin.com/company/snap-inc-co
Urban Company,https://www.crunchbase.com/organization/urbanclap,501-1000,Active,https://www.urbancompany.com,help@urbancompany.com,+91 124 457 0250,2,2,1,,,,,,"Apps, Commerce and Shopping, Other, Real Estate, Software","Apps, Home Services, Marketplace, Service Industry",0,0,,Scientific and electric apparatus and instruments,,,,,,"Gurgaon, Haryana, India",$1B to $10B,2014-11-10,day,"Wellington Management, Dragoneer Investment Group, Titan Capital, Prosus Ventures, Steadview Capital",https://www.linkedin.com/company/urbancompany
Reliance Jio,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd-234,10001+,Active,https://www.jio.com,care@jio.com,(860)893-3333,3,3,3,,,,,,"Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Software","Apps, Consumer Electronics, Electronics, Information Services, Information Technology, Internet, Telecommunications",45,0,Electric Communication Technique,,,,,,,"Mumbai, Maharashtra, India",$1B to $10B,2007-01-01,year,"Citi, Silver Lake, Bank of America, Reliance Industries, HDFC Bank",https://www.linkedin.com/company/jio
Thoughtworks,https://www.crunchbase.com/organization/thoughtworks,10001+,Active,http://www.thoughtworks.com,contact-us@thoughtworks.com,+1 312 373 1000,,,,,,,,,"Apps, Information Technology, Other, Professional Services, Software","Apps, Consulting, Information Technology, Open Source, Professional Services, Software, Web Development",0,22,,Scientific and technological services,,,,,,"Chicago, Illinois, United States",$1B to $10B,1993-01-01,year,"Siemens, Fidelity, Cowen Group, Mubadala, GIC",http://www.linkedin.com/company/thoughtworks
Global Payments,https://www.crunchbase.com/organization/global-payments,10001+,Active,https://www.globalpayments.com/,info@globalpay.com,1-800-367-2638,,,,,,,,,"Apps, Financial Services, Lending and Investments, Other, Payments, Software","Apps, Banking, Credit, Enterprise, Finance, Financial Services, Payments",8,73,Computing; Calculating,Insurance; financial affairs,910333046,USD,910333046,,,"Atlanta, Georgia, United States",$1B to $10B,1967-01-01,year,,https://www.linkedin.com/company/global-payments
Element,https://www.crunchbase.com/organization/new-vector-im,101-250,Active,https://element.io,contact@vector.im,,,,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Apps, Commercial, Communications Infrastructure, Information Technology, Software, VoIP",0,2,,Scientific and electric apparatus and instruments,450836,USD,450836,,,"London, England, United Kingdom",$1B to $10B,2017-07-19,day,"Automattic, Status.im, Protocol Labs, Notion Capital, Dawn Capital",https://www.linkedin.com/company/element-hq
Kakao Corp,https://www.crunchbase.com/organization/kakao,1001-5000,Active,http://www.kakaocorp.com/en/main,globalmedia@kakaocorp.com,+8207074921300,16,17,8,,,,,,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Apps, Internet, Messaging, Mobile",109,133,Computing; Calculating,Scientific and electric apparatus and instruments,476935815,USD,476935815,,,"Jeju, Cheju-do, South Korea",$1B to $10B,2006-01-01,year,"TPG, DCM Ventures, Wemade, Korea Investment Partners, Maverick Ventures",https://www.linkedin.com/company/kakaocorp
Hello TransTech,https://www.crunchbase.com/organization/hellobike,1001-5000,Active,https://www.hello-inc.com,mk@hellobike.com,4000-910-857,,,,,,,,,"Apps, Software, Sports, Transportation, Travel and Tourism","Apps, Cycling, Last Mile Transportation, Ride Sharing, Travel",1,0,Computing; Calculating,,,,,,,"Shanghai, Shanghai, China",$1B to $10B,2016-01-01,year,"Alibaba Group, Ant Group, Fosun International, WM Motor, Primavera Capital Group",https://www.linkedin.com/company/hellobike/
Tujia,https://www.crunchbase.com/organization/tujia,1001-5000,Active,http://tujia.com,cs@tujia.com,400-188-1234,2,2,,,,,,,"Apps, Internet Services, Other, Professional Services, Software, Travel and Tourism","Apps, Customer Service, Internet, Tourism, Travel",0,9,,"Paper, cardboard and goods made from these materials",,,,,,"Beijing, Beijing, China",$1B to $10B,2011-12-01,day,"Trip.com, Qiming Venture Partners, HomeAway, CDH Investments, Glade Brook Capital Partners",https://www.linkedin.com/company/tujia/
Lyft,https://www.crunchbase.com/organization/lyft,5001-10000,Active,http://lyft.com,press@lyft.com,(844) 250-2773,3,3,2,1,,,,,"Apps, Mobile, Software, Transportation","Apps, Mobile Apps, Ride Sharing, Software, Transportation",562,74,Computing; Calculating,Scientific and electric apparatus and instruments,614270250,USD,614270250,,,"San Francisco, California, United States",$1B to $10B,2012-05-22,day,"Alibaba Group, Fidelity, Didi, General Motors, Autotech Ventures",https://www.linkedin.com/company/lyft
Temenos,https://www.crunchbase.com/organization/temenos,5001-10000,Active,http://www.temenos.com,salesteam@temenos.com,22 708 1150,2,3,3,,,,,,"Apps, Financial Services, Lending and Investments, Software","Apps, Banking, Finance, Software",1,15,Computing; Calculating,Scientific and electric apparatus and instruments,65542482,USD,65542482,,,"Geneva, Geneve, Switzerland",$1B to $10B,1993-01-01,year,Global Finance,http://www.linkedin.com/company/temenos
MuleSoft,https://www.crunchbase.com/organization/mulesoft,1001-5000,Active,http://www.mulesoft.com,press@mulesoft.com,(415) 229-2009,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Software","Apps, Cloud Infrastructure, Data Integration, Developer APIs, Enterprise Software, Robotic Process Automation (RPA)",11,0,,,100438200,USD,100438200,,,"San Francisco, California, United States",$1B to $10B,2006-07-01,day,"Employee Stock Option Fund, Sands Capital Ventures, Meritech Capital Partners, Adage Capital Management, Lightspeed Venture Partners",https://www.linkedin.com/company/mulesoft
STAGE,https://www.crunchbase.com/organization/stage-4240,51-100,Active,https://www.stage.in/,support@stage.in,,,,,,,,,,"Apps, Media and Entertainment, Music and Audio, Software","Apps, Content Creators, Music",,,,,,,,,,"Indore, Madhya Pradesh, India",$1B to $10B,2019-11-01,day,"Inflection Point Ventures, Venture Catalysts, Google for Startups, Blume Ventures, Better Capital",https://www.linkedin.com/company/stagedotin
OKX,https://www.crunchbase.com/organization/okx,1001-5000,Active,https://www.okx.com,support@okx.com,+852 5808 5768,3,3,0,,,,,,"Apps, Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Other, Payments, Software","Apps, Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet, Web3",,,,,,,,,,"Victoria, Beau Vallon, Seychelles",$1B to $10B,2017-01-01,year,,https://www.linkedin.com/company/okxofficial
Fitbit,https://www.crunchbase.com/organization/fitbit,251-500,Active,http://www.fitbit.com,info@fitbit.com,415-513-1000,3,3,1,,,,,,"Apps, Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Health Care, Software, Sports","Apps, Consumer Electronics, Fitness, Health Care, Personal Health, Quantified Self, Wearables",,,,,85812851,USD,85812851,,,"San Francisco, California, United States",$1B to $10B,2007-05-01,day,"Qualcomm Ventures, Y Combinator, True Ventures, Felicis, Sapphire Ventures",http://www.linkedin.com/company/fitbit
Dassault Systemes,https://www.crunchbase.com/organization/dassault,10001+,Active,http://www.3ds.com,info@dascce.de,+33 (0)1 6162 6162,8,11,5,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","3D Technology, Analytics, Apps, Artificial Intelligence (AI), Big Data, Information Technology, Manufacturing, Product Design, Software, Virtual Reality",0,10,,Scientific and electric apparatus and instruments,,,,,,"Vélizy-villacoublay, Ile-de-France, France",$1B to $10B,1981-01-01,year,,http://www.linkedin.com/company/dassaultsystemes
Mint,https://www.crunchbase.com/organization/haveamint,5001-10000,Active,https://mint.intuit.com,aaron@mint.com,(650) 944-5656,3,3,,,,,,,"Apps, Financial Services, Software","Apps, Finance, Financial Services, FinTech, Personal Finance, Wealth Management",1,0,Computing; Calculating,,205934,USD,205934,,,"Mountain View, California, United States",$1B to $10B,2006-01-01,year,"Ronald Conway, Founders Fund, DAG Ventures, Benchmark, First Round Capital",https://www.linkedin.com/company/mintbills
Recruit Holdings,https://www.crunchbase.com/organization/recruit,501-1000,Active,https://www.recruit.co.jp,,+81-3-6835-1111,19,19,7,2,,,,,"Administrative Services, Apps, Community and Lifestyle, Information Technology, Media and Entertainment, Professional Services, Software","Apps, Business Development, Career Planning, Employment, Human Resources, Information Technology, Lifestyle, Media and Entertainment, Recruiting",64,78,Computing; Calculating,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,1960-03-31,day,JAFCO Group,https://www.linkedin.com/company/recruitcoltd/
Giant Eagle,https://www.crunchbase.com/organization/giant-eagle,10001+,Active,https://www.gianteagle.com/,gianteaglerx@mscripts.com,7247727471,1,1,1,,,,,,"Apps, Commerce and Shopping, Consumer Electronics, Food and Beverage, Hardware, Health Care, Software","Apps, Computer, Food and Beverage, Pharmaceutical, Retail, Shopping",,,,,196355837,USD,196355837,,,"Pittsburgh, Pennsylvania, United States",$1B to $10B,1931-01-01,year,,http://www.linkedin.com/company/10080
Cielo SA,https://www.crunchbase.com/organization/cielo,10001+,Active,http://www.cielo.com.br,,(877) 797-3379,1,1,,,,,,,"Apps, Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Mobile, Payments, Software","Apps, Banking, Bitcoin, Credit Cards, Debit Cards, FinTech, Mobile Apps, Payments",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/cielo
Bite Squad,https://www.crunchbase.com/organization/bite-squad,5001-10000,Active,http://www.bitesquad.com,support@bitesquad.com,,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Software, Transportation","Apps, E-Commerce, Food Delivery, Food Processing, Restaurants",,,,,61361,USD,61361,,,"Minneapolis, Minnesota, United States",$1B to $10B,2012-08-01,day,"Bregal Sagemount, Brightstone Venture Capital",https://www.linkedin.com/company/bite-squad
Conair,https://www.crunchbase.com/organization/conair-corporation,1001-5000,Closed,http://www.conair.com/,,(609) 490-5050,,,,,,,,,"Apps, Manufacturing, Software, Travel and Tourism","Apps, Hospitality, Manufacturing",,,,,37745341,USD,37745341,,,"Glendale, Arizona, United States",$1B to $10B,1959-01-01,year,,https://www.linkedin.com/company/conair-corporation/
Spatial,https://www.crunchbase.com/organization/spatial,10001+,Active,http://www.spatial.com/,support@3ds.com,303-544-2900,,,,,,,,,"Apps, Design, Hardware, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software","3D Technology, Apps, Audio, Business Development, CAD, Developer Tools, Information Technology, Internet, Software, Software Engineering",1,2,Computing; Calculating,Scientific and electric apparatus and instruments,1014003,USD,1014003,,,"Broomfield, Colorado, United States",$1B to $10B,1986-01-01,year,"Shea Ventures, Capstone Ventures, Roser Ventures, Cypress Growth Capital, Dolphin Asset Management",https://www.linkedin.com/company/869207
American Greetings,https://www.crunchbase.com/organization/americangreetings,5001-10000,Active,http://americangreetings.com,,2162527300,,,,,,,,,"Apps, Commerce and Shopping, Consumer Electronics, Consumer Goods, Content and Publishing, Financial Services, Hardware, Media and Entertainment, Real Estate, Software","Apps, Consumer Goods, Digital Media, E-Commerce, Electronics, Gift, Gift Card, Home Decor, Printing",205,345,Bookbinding; Albums; Files; Special Printed Matter,"Paper, cardboard and goods made from these materials",,,,,,"Cleveland, Ohio, United States",$1B to $10B,1906-01-01,year,,https://www.linkedin.com/company/american-greetings
Commercial Bank of Dubai,https://www.crunchbase.com/organization/commercial-bank-of-dubai,1001-5000,Active,http://www.cbd.ae,,+971 800 223,6,6,2,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Platforms, Software","Apps, Banking, Finance, iOS, Mobile",,,,,,,,,,"Dubai, Dubai, United Arab Emirates",$1B to $10B,1969-01-01,year,,http://www.linkedin.com/company/commercial-bank-of-dubai
Primus Global Services,https://www.crunchbase.com/organization/primus-global-services,1001-5000,Active,https://primusglobal.com/,info@primusglobal.com,1-972-753-6500,,,,,,,,,"Apps, Professional Services, Software","Apps, Consulting, Enterprise Resource Planning (ERP)",,,,,113063888,USD,113063888,,,"Irving, Texas, United States",$1B to $10B,2002-01-01,year,,https://www.linkedin.com/company/primus-global-services/
