Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Didi,https://www.crunchbase.com/organization/didi-dache,10001+,Active,https://www.didiglobal.com,support@didiglobal.com,+86 1083043181,25,30,8,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Mobile, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), InsurTech, Mobile Apps, Public Transportation, Ride Sharing, Transportation",,,,,,,,,,"Haidian, Beijing, China",$10B+,2012-09-01,day,"Citi, Silver Lake, SoftBank, Alibaba Group, Ant Group",https://www.linkedin.com/company/didiglobal
BIGO Technology,https://www.crunchbase.com/organization/bigo-technology,1001-5000,Active,https://www.bigo.sg,press@bigo.sg,+65 6351 9330,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Professional Services, Science and Engineering, Software, Video","Artificial Intelligence (AI), Business Development, Internet, Social Media, Software, Video Streaming",204,23,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$10B+,2014-01-01,year,"JOYY, 5Y Capital, Ping An Overseas Holdings, Xueling Li",https://www.linkedin.com/company/bigo-technology-pte.-ltd.?
Coforge,https://www.crunchbase.com/organization/niit-technologies,10001+,Active,https://www.coforgetech.com,webmaster@niit-tech.com,0120-7119100,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",3,2,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"New Delhi, Delhi, India",$10B+,2004-01-01,year,"Canada Pension Plan Investment Board, BPEA EQT",https://www.linkedin.com/company/coforge-tech
NVIDIA,https://www.crunchbase.com/organization/nvidia,10001+,Active,https://www.nvidia.com,info@nvidia.com,+1 (140) 848-6200,64,77,19,7,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), GPU, Hardware, Software, Virtual Reality","4,907",284,Computing; Calculating,Scientific and electric apparatus and instruments,2081257545,USD,2081257545,,,"Santa Clara, California, United States",$10B+,1993-01-01,year,"Sequoia Capital, TriplePoint Capital, ARK Investment Management, DARPA, ARPA-E",https://www.linkedin.com/company/nvidia
Rocket,https://www.crunchbase.com/organization/rocket,51-100,Active,https://www.getrocket.com,info@getrocket.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Information Technology, Internet, Machine Learning, Recruiting",0,3,,Alcoholic beverages,,,,,,"San Francisco, California, United States",$10B+,2016-01-01,year,"TheVentureCity, New Enterprise Associates",https://www.linkedin.com/company/18076748/
Rocket Money,https://www.crunchbase.com/organization/truebill,101-250,Active,https://www.rocketmoney.com/,,+1 310-990-2803,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Financial Services, Mobile, Payments, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Education, Financial Services, Mobile, Mobile Apps, Mobile Payments, Payments, Personal Finance, Task Management",0,4,,Insurance; financial affairs,,,,,,"Silver Spring, Maryland, United States",$10B+,2015-01-01,year,"Social Capital, Y Combinator, Cota Capital, ACME Capital, Eldridge Industries",https://www.linkedin.com/company/rocketmoney/
Intel,https://www.crunchbase.com/organization/intel,10001+,Active,http://www.intel.com,,+1 408-765-8080,69,77,19,6,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Product Design, Semiconductor, Software",,,,,4764282684,USD,4764282684,,,"Santa Clara, California, United States",$10B+,1968-07-18,day,"Commerz Markets LLC, Standard Chartered Bank, Morgan Stanley, BNP Paribas, Goldman Sachs",https://www.linkedin.com/company/intel-corporation
Facebook,https://www.crunchbase.com/organization/facebook-ai,501-1000,Active,https://ai.meta.com/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Hardware, Machine Learning, Software","1,633",13,Computing; Calculating,Scientific and technological services,8705701500,USD,8705701500,,,"Menlo Park, California, United States",$10B+,2004-01-01,year,"Rahim Thawer, Milliways Ventures",https://www.linkedin.com/company/facebook
Qualcomm,https://www.crunchbase.com/organization/qualcomm,10001+,Active,http://www.qualcomm.com,Careers@Qualcomm.com,(858) 587-1121,69,89,18,3,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Software, Telecommunications, Wireless",209,0,Electric Communication Technique,,,,,,,"San Diego, California, United States",$10B+,1985-01-01,day,KB Securities,https://www.linkedin.com/company/qualcomm
Nvidia Inception,https://www.crunchbase.com/organization/nvidia-inception,10001+,Active,https://www.nvidia.com/en-us/deep-learning-ai/startups/,,,20,20,7,1,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",,,,,2081257545,USD,2081257545,,,"Santa Clara, California, United States",$10B+,1993-01-01,year,,https://www.linkedin.com/company/nvidia/
Jorie AI,https://www.crunchbase.com/organization/jorie-healthcare-partners,1001-5000,Active,https://www.jorie.ai,info@jorie.ai,(888) 522 - 0022,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Financial Services, Health Care, Hospital",0,1,,Advertising; business,,,,,,"Oak Brook, Illinois, United States",$10B+,2015-01-01,year,,https://www.linkedin.com/company/jorieai/
Huawei Enterprise,https://www.crunchbase.com/organization/huawei-enterprise,10001+,Active,https://e.huawei.com/us/,,1-855-464-8293,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Cloud Computing, Internet of Things, Software",,,,,,,,,,"Cupertino, California, United States",$10B+,1987-09-15,day,,https://www.linkedin.com/showcase/huawei-enterprise/
IBM Watson,https://www.crunchbase.com/organization/ibm-watson,10001+,Active,http://www.ibm.com/watson/,,,1,1,1,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Market Research, Software",,,,,4670599948,USD,4670599948,,,"Armonk, New York, United States",$10B+,,,,https://www.linkedin.com/company/ibm-watson
IBM Cloud,https://www.crunchbase.com/organization/ibm-cloud,10001+,Active,https://www.ibm.com/cloud,,(914) 499-1900,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Machine Learning, Security",,,,,4670599948,USD,4670599948,,,"New York, New York, United States",$10B+,2011-04-07,day,,https://www.linkedin.com/groups/IBM-Cloud-Computing-2002441
SoftBank Capital,https://www.crunchbase.com/organization/softbank-capital,101-250,Active,https://group.softbank/,ContactUs@SoftBank.com,03-6889-2000,219,313,119,45,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Mobile, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Finance, Financial Services, FinTech, Information Technology, Mobile, Risk Management, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",$10B+,1981-01-01,year,,https://www.linkedin.com/company/softbankgroup
Bosch Center for Artificial Intelligence (BCAI),https://www.crunchbase.com/organization/bosch-center-for-artificial-intelligence-bcai,251-500,Active,https://www.bosch-ai.com/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Product Research",,,,,645450,USD,645450,,,"Renningen, Baden-Wurttemberg, Germany",$10B+,2017-01-01,year,,https://www.linkedin.com/company/bosch-center-for-artificial-intelligence-bcai/
Stanford Artificial Intelligence Laboratory,https://www.crunchbase.com/organization/stanford-artificial-intelligence-laboratory,51-100,Active,https://ai.stanford.edu,,(943) 059-010,,,,,,,,1,"Artificial Intelligence (AI), Data and Analytics, Education, Other, Science and Engineering, Software","Artificial Intelligence (AI), Association, Education",,,,,,,,,,"Stanford, California, United States",$10B+,1962-01-01,year,,https://www.linkedin.com/company/stanford-university
AHPCRC,https://www.crunchbase.com/organization/ahpcrc,10001+,Active,,fontanilla@stanford.edu,650-725-4107,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Manufacturing",,,,,,,,,,"Stanford, California, United States",$10B+,,,,
Taboola,https://www.crunchbase.com/organization/taboola,1001-5000,Active,https://www.taboola.com,info@taboola.com,212-206-7663,,,,,,,,,"Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Advertising, Advertising Platforms, Artificial Intelligence (AI), Content Discovery, Content Marketing, Native Advertising",,,,,104934762,USD,104934762,,,"New York, New York, United States",$1B to $10B,2007-01-01,year,"Fidelity, Arrowshare Ventures, Phoenix Insurance Company, Crescent Point Energy, Yahoo",http://www.linkedin.com/company/taboola
PatSnap,https://www.crunchbase.com/organization/patsnap,1001-5000,Active,https://www.patsnap.com/,hello@patsnap.com,(+65) 6589 8770,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Intelligence",1,0,Computing; Calculating,,22151518,USD,22151518,,,"Singapore, Central Region, Singapore",$1B to $10B,2007-01-01,year,"Tencent, Sequoia Capital China, Summit Partners, Vertex Ventures, Shunwei Capital",https://www.linkedin.com/company/patsnap/
Gilion,https://www.crunchbase.com/organization/gilion,51-100,Active,https://www.gilion.com/,hello@gilion.com,,5,5,5,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), FinTech, Funding Platform, Machine Learning",0,4,,Insurance; financial affairs,,,,,,"Stockholm, Stockholms Lan, Sweden",$1B to $10B,2021-01-01,year,"Henrik Garvner, Göran Garvner, Creandum, Omid Ashtari, Christer Holloman",https://www.linkedin.com/company/gilionofficial
Mphasis,https://www.crunchbase.com/organization/mphasis,10001+,Active,https://www.mphasis.com,,+91 80 4004 4444,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cyber Security, Information Technology",4,17,,Scientific and technological services,,,,,,"Bangalore, Karnataka, India",$1B to $10B,1998-01-01,year,Blackstone Group,https://www.linkedin.com/company/mphasis/
OpenAI,https://www.crunchbase.com/organization/openai,501-1000,Active,https://www.openai.com,press@openai.com,(650) 387-6701,10,10,3,1,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software",0,3,,Scientific and technological services,,,,,,"San Francisco, California, United States",$1B to $10B,2015-12-11,day,"Thrive Capital, Bedrock, Sequoia Capital, Andreessen Horowitz, K2 Global",https://www.linkedin.com/company/openai
Kuaishou Technology,https://www.crunchbase.com/organization/kuaishou,10001+,Active,http://www.kuaishou.com,support@kuaishou.com,400-650-7337,14,15,7,,,,,,"Apps, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Science and Engineering, Software, Video","Artificial Intelligence (AI), Mobile Apps, Photo Sharing, Social Network, Video Streaming",,,,,,,,,,"Beijing, Beijing, China",$1B to $10B,2011-01-01,year,"Tencent, Sequoia Capital China, DCM Ventures, Canada Pension Plan Investment Board, Mubadala Capital Ventures",https://www.linkedin.com/company/%E5%BF%AB%E6%89%8B
Sutherland,https://www.crunchbase.com/organization/sutherland,10001+,Active,https://www.sutherlandglobal.com,sales@sutherlandglobal.com,+1 585 586 5757,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Consulting, Information Services, Information Technology, Outsourcing",10,14,Computing; Calculating,Scientific and technological services,615871144,USD,615871144,,,"Pittsford, New York, United States",$1B to $10B,1986-01-01,year,"TPG, Oak Investment Partners",https://www.linkedin.com/company/sutherland-global/
Habana,https://www.crunchbase.com/organization/habana,101-250,Active,https://habana.ai,info@habana.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Cloud Management, Hardware, Software",,,,,206770,USD,206770,,,"San Jose, California, United States",$1B to $10B,2016-01-01,year,"Samsung Catalyst Fund, Bessemer Venture Partners, Battery Ventures, Intel Capital, WRV Capital",https://www.linkedin.com/company/habana-ai/
Databricks,https://www.crunchbase.com/organization/databricks,5001-10000,Active,https://databricks.com,help@databricks.com,+1 866 330 0121,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning",40,10,,Scientific and technological services,141784800,USD,141784800,,,"San Francisco, California, United States",$1B to $10B,2013-01-01,year,"Fidelity, NVIDIA, Gaingels, DCVC, Dragoneer Investment Group",https://www.linkedin.com/company/databricks
Noventiq,https://www.crunchbase.com/organization/noventiq,5001-10000,Active,https://noventiq.com/,hq@noventiq.com,,2,2,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Information Technology, Software",0,4,,Advertising; business,,,,,,"London, England, United Kingdom",$1B to $10B,1993-01-01,year,"Da Vinci Capital, Zubr Capital",https://www.linkedin.com/company/noventiq/
Iflytek,https://www.crunchbase.com/organization/anhui-ustc-iflytek-science-and-technology-co-ltd,1001-5000,Active,http://www.iflytek.com,bingli6@iflytek.com,400-076-8881,67,69,25,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software, Speech Recognition",61,18,Musical Instruments; Acoustics,Scientific and electric apparatus and instruments,,,,,,"Hefei, Anhui, China",$1B to $10B,1999-12-30,day,"Fosun International, China Asset Management, Legend Capital, Infotech Ventures, Intel Capital",https://www.linkedin.com/company/anhui-ustc-iflytek-co
Blue Yonder,https://www.crunchbase.com/organization/blue-yonder,101-250,Active,https://blueyonder.com,info@blue-yonder.com,+49 721 3831170,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Predictive Analytics, Software",0,0,,Scientific and electric apparatus and instruments,165000000,USD,165000000,,,"Karlsruhe, Baden-Wurttemberg, Germany",$1B to $10B,2008-01-01,year,Warburg Pincus,https://www.linkedin.com/company/blueyondergmbh/
Inspur Cloud,https://www.crunchbase.com/organization/inspur-cloud,10001+,Active,https://cloud.inspur.com/,cloud@inspur.com,86 53 1851 02127,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Enterprise, Information Technology, Software",180,11,Computing; Calculating,Scientific and technological services,,,,,,"Jinan, Shandong, China",$1B to $10B,2010-01-01,year,"CCB International, China Minsheng Bank, China Development Bank, Junci Investment, Blue Economy Zone Industrial Fund",https://www.linkedin.com/company/inspur-group-co-ltd-/
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,5001-10000,Active,http://www.crowdstrike.com,info@crowdstrike.com,+1 888 512 8906,7,8,1,1,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Cloud Security, Cyber Security, Network Security",145,36,Computing; Calculating,Scientific and technological services,184249,USD,184249,,,"Sunnyvale, California, United States",$1B to $10B,2011-01-01,year,"Employee Stock Option Fund, Warburg Pincus, CapitalG, Rackspace, March Capital",https://www.linkedin.com/company/crowdstrike
