Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ClearOne,https://www.crunchbase.com/organization/clearone,51-100,Active,https://www.clearone.com,socialmedia@clearone.com,(801)975-7200,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Music and Audio, Sales and Marketing","Audio/Visual Equipment, Digital Signage, Public Relations, Telecommunications, Unified Communications",72,47,Electric Communication Technique,Scientific and electric apparatus and instruments,2227019,USD,2227019,,,"Salt Lake City, Utah, United States",$10M to $50M,1983-01-01,year,,http://www.linkedin.com/company/clearone-
Forty Two Inc,https://www.crunchbase.com/organization/forty-two-event-production,51-100,Active,http://www.fortytwo4u.com,,3307992108,,,,,,,,,"Events, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Music and Audio","Audio/Visual Equipment, Concerts, Event Management, Events, Information Technology, Unified Communications",,,,,233237,USD,233237,,,"Youngstown, Ohio, United States",$1M to $10M,2007-04-01,day,,https://www.linkedin.com/company/fortytwo4u
New Era Technology,https://www.crunchbase.com/organization/new-era-technology,1001-5000,Active,https://www.neweratech.com/,solutions@neweratech.com,877-696-7720,,,,,,,,,"Hardware, Information Technology, Internet Services, Music and Audio","Audio/Visual Equipment, Information Technology, Internet",2,0,Headwear,Clothing; footwear; headgear,164516100,USD,164516100,,,"New York, New York, United States",$1B to $10B,2013-06-27,day,,https://www.linkedin.com/company/new-era-technology-us/
AVI-SPL,https://www.crunchbase.com/organization/avi-spl,1001-5000,Active,https://avispl.com,questions@avispl.com,(813) 884-1013,,,,,,,,,"Hardware, Media and Entertainment, Music and Audio, Other, Software","Audio, Audio/Visual Equipment, Digital Media, Professional Services, Software",0,4,,Advertising; business,38485831,USD,38485831,,,"Tampa, Florida, United States",$1B to $10B,1979-01-01,year,H.I.G. Growth Partners,https://www.linkedin.com/company/avi-spl
DBpixelhouse,https://www.crunchbase.com/organization/dbpixelhouse,101-250,Active,https://www.dbpixelhouse.com/,info@dbpixelhouse.com,+44 345 226 3083,,,,,,,,,"Events, Hardware, Information Technology, Media and Entertainment, Music and Audio, Real Estate","Audio/Visual Equipment, Event Promotion, Events, Information Technology, Rental Property",,,,,97488,USD,97488,,,"Tewkesbury, Gloucestershire, United Kingdom",,1994-01-01,year,WestBridge Capital,https://www.linkedin.com/company/dbpixelhouse/
Crestron Electronics,https://www.crunchbase.com/organization/crestron-electronics,1001-5000,Active,http://www.crestron.com,pr@crestron.com,6783390066,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Music and Audio, Real Estate","Audio/Visual Equipment, Consumer Electronics, Manufacturing, Smart Building",480,102,Electric Communication Technique,Scientific and electric apparatus and instruments,74911080,USD,74911080,,,"Rockleigh, New Jersey, United States",$500M to $1B,1968-01-01,year,,https://www.linkedin.com/company/crestron
DB Systems,https://www.crunchbase.com/organization/db-systems,101-250,Closed,https://www.dbsystems.co.uk/,hiredesk@dbsystems.co.uk,+4403452263083,,,,,,,,,"Commerce and Shopping, Events, Hardware, Media and Entertainment, Music and Audio, Software","Audio, Audio/Visual Equipment, Event Management, Rental, Software",,,,,1206548,USD,1206548,,,"Tewkesbury, Gloucestershire, United Kingdom",$1M to $10M,1994-01-01,year,WestBridge Capital,https://in.linkedin.com/company/db-systems-ltd
NEP Group,https://www.crunchbase.com/organization/nep-group,5001-10000,Active,https://www.nepgroup.com/,info@nepinc.com,,,,,,,,,,"Content and Publishing, Events, Hardware, Media and Entertainment, Music and Audio, Video","Audio/Visual Equipment, Broadcasting, Events, Media and Entertainment, TV Production, Video Streaming",0,1,,Scientific and electric apparatus and instruments,88812651,USD,88812651,,,"Pittsburgh, Pennsylvania, United States",$100M to $500M,1984-01-01,year,"The Carlyle Group, Pamlico Capital",https://www.linkedin.com/company/nep-group-inc/
Yamaha,https://www.crunchbase.com/organization/yamaha,10001+,Active,https://heylink.me/spmbet77_link/,,81 534 60 2883,1,1,,,,,,,"Hardware, Manufacturing, Media and Entertainment, Music and Audio, Software","Audio/Visual Equipment, Manufacturing, Music, Software, Telecommunications",,,,,,,,,,"Buena Park, California, United States",$10B+,1887-01-01,year,,http://www.linkedin.com/company/166998
Anixter International,https://www.crunchbase.com/organization/anixter-international,5001-10000,Active,http://www.anixter.com,,+1 800 323 8167,,,,,,,,,"Commerce and Shopping, Energy, Hardware, Music and Audio","Audio/Visual Equipment, Electrical Distribution, Hardware, Retail",3,12,Computing; Calculating,Scientific and electric apparatus and instruments,221419241,USD,221419241,,,"Glenview, Illinois, United States",$1B to $10B,1957-01-01,day,,http://www.linkedin.com/company/anixter
