Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Hailo,https://www.crunchbase.com/organization/hailo-technologies,101-250,Active,https://hailo.ai,contact@hailo.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Embedded Systems, Machine Learning, Semiconductor",22,0,Computing; Calculating,,,,,,,"Tel Aviv, Tel Aviv, Israel",$10M to $50M,2017-02-02,day,"Alfred Akirov, DCLBA, NEC Corporation, OurCrowd, Shlomo Group",https://www.linkedin.com/company/hailo-technologies
Gather,https://www.crunchbase.com/organization/gather-4189,51-100,Active,https://gather.town,,,,,,,,,,,"Community and Lifestyle, Hardware, Information Technology, Media and Entertainment, Software","Augmented Reality, Virtual Reality, Virtual World, Virtualization",,,,,348900,USD,348900,,,"San Bruno, California, United States",$1M to $10M,2020-01-01,year,"Sequoia Capital, Y Combinator, Founders, Inc., Next Play Ventures, Index Ventures",https://www.linkedin.com/company/gathertown
Rokid,https://www.crunchbase.com/organization/rokid,251-500,Active,http://rokid.ai,sales@rokid.ai,650-294-0103,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Design, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Consumer Electronics, Human Computer Interaction, Robotics",,,,,,,,,,"Redwood City, California, United States",$10M to $50M,2014-01-01,year,"Bilibili, Walden International, CDIB Capital, Vision Plus Capital, Temasek Holdings",https://www.linkedin.com/company/rokid-inc
Vinivia AG,https://www.crunchbase.com/organization/vinivia-ag,51-100,Active,https://www.vinivia.com,info@vinivia.com,+41415527200,,,,,,,,,"Commerce and Shopping, Content and Publishing, Hardware, Internet Services, Media and Entertainment, Software, Video","Augmented Reality, E-Commerce, Social Media, Software, Video Streaming",0,1,,Scientific and electric apparatus and instruments,2132964,USD,2132964,,,"Zug, Zug, Switzerland",$10M to $50M,2020-02-01,month,Dariush Soudi,https://www.linkedin.com/company/vinivia/
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,51-100,Active,https://startupwiseguys.com/,info@startupwiseguys.com,,418,582,128,8,,,22,1,"Financial Services, Hardware, Information Technology, Other, Privacy and Security, Software, Sustainability","Augmented Reality, B2B, Cyber Security, FinTech, SaaS, Sustainability, Virtual Reality",,,,,,,,,,"Tallinn, Harjumaa, Estonia",$1M to $10M,2012-01-01,year,European regional development fund (ERDF),https://www.linkedin.com/company/startup-wise-guys
Meow Wolf,https://www.crunchbase.com/organization/meow-wolf,501-1000,Active,http://www.meowwolf.com,press@meowwolf.com,(505)395-6369,,,,,,,,,"Events, Hardware, Media and Entertainment, Music and Audio, Other, Software","Art, Augmented Reality, Digital Media, Events, Podcast, Service Industry, Virtual Reality",0,31,,Education; entertainment,5501052,USD,5501052,,,"Santa Fe, New Mexico, United States",$1M to $10M,2008-01-01,year,"Alsop Louie Partners, New Mexico Economic Development Department, Creative Startups",https://www.linkedin.com/company/meow-wolf
Virtualitics,https://www.crunchbase.com/organization/virtualitics,101-250,Active,https://www.virtualitics.com,info@virtualitics.com,626-714-7155,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Machine Learning, Natural Language Processing, Virtual Reality",9,7,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Pasadena, California, United States",$1M to $10M,2016-08-01,month,"Citi, The Venture Reality Fund/VRF, Alpine Meridian, Smith Point Capital, Centricus",https://www.linkedin.com/company/virtualitics
Talespin,https://www.crunchbase.com/organization/talespin-company,51-100,Active,https://www.talespin.com,learnmore@talepsin.company,+1 323 452 6998,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Education, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Content Delivery Network, Corporate Training, Skill Assessment, Software, Virtual Reality",2,0,Education; Cryptography; Display; Advertising; Seals,,3339900,USD,3339900,,,"Culver City, California, United States",Less than $1M,2015-01-01,year,"Cornerstone OnDemand, Go1, SEEK, HTC, Accenture Ventures",https://www.linkedin.com/company/talespin
RED 6,https://www.crunchbase.com/organization/red-6,51-100,Active,https://www.red6ar.com,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software, Transportation","Air Transportation, Artificial Intelligence (AI), Augmented Reality, Information Technology",0,0,Education; Cryptography; Display; Advertising; Seals,,2615250,USD,2615250,,,"Orlando, Florida, United States",$10M to $50M,2018-01-01,year,"Green D Ventures, Alumni Ventures, Starburst Accelerator, Disney Accelerator, Alpha Edison",https://www.linkedin.com/company/red6
Avataar,https://www.crunchbase.com/organization/avataar-me,251-500,Active,https://avataar.ai,contactus@avataar.ai,9811284591,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software","3D Technology, Artificial Intelligence (AI), Augmented Reality, E-Commerce, Virtual Reality",,,,,,,,,,"Bangalore, Karnataka, India",,2014-01-01,year,"Tiger Global Management, Peak XV Partners",https://www.linkedin.com/company/avataar-
