Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
TSYS,https://www.crunchbase.com/organization/total-system-services,10001+,Active,http://www.tsys.com,socialmedia@tsys.com,+1 844 663 8797,1,1,1,,,,,,"Financial Services, Payments, Software","Billing, Financial Services, Payments, Transaction Processing",0,28,,Insurance; financial affairs,954713128,USD,954713128,,,"Columbus, Georgia, United States",$10B+,1983-01-01,year,,https://www.linkedin.com/company/tsys
Xero,https://www.crunchbase.com/organization/xero,1001-5000,Active,http://xero.com,investors@xero.com,,,,,,,,,,"Financial Services, Payments, Professional Services, Software","Accounting, Billing, FinTech, Personal Finance, SaaS, Software",66,31,Computing; Calculating,Advertising; business,,,,,,"Wellington, Wellington, New Zealand",$1B to $10B,2006-07-01,day,"TCV, Valar Ventures, Matrix Capital Management, Founders Fund, Accel",http://www.linkedin.com/company/xero
Recurly,https://www.crunchbase.com/organization/recurly,251-500,Active,http://recurly.com,sales@recurly.com,844-732-8759,,,,,,,,,"Financial Services, Information Technology, Payments, Software","Billing, Enterprise Software, Financial Services, Information Technology, SaaS, Software",0,2,,Advertising; business,4700074,USD,4700074,,,"San Francisco, California, United States",$1B to $10B,2009-09-01,month,"Fidelity, 500 Global, Polaris Partners, Eight Roads Ventures, F-Prime Capital",http://www.linkedin.com/company/recurly-inc.
Workrise,https://www.crunchbase.com/organization/rigup,501-1000,Active,https://www.workrise.com,support@workrise.com,+1 866 467 4487,,,,,,,,,"Administrative Services, Commerce and Shopping, Internet Services, Payments, Professional Services, Software","Billing, Compliance, Employment, Human Resources, Marketplace, Online Portals",0,6,,Advertising; business,19382376,USD,19382376,,,"Austin, Texas, United States",$1B to $10B,2014-01-01,year,"Franklin Templeton, Andreessen Horowitz, Baillie Gifford, Brookfield Asset Management, Bedrock",https://www.linkedin.com/company/workrise
ACI Worldwide,https://www.crunchbase.com/organization/aci-worldwide-c824,1001-5000,Active,https://www.aciworldwide.com,,+1 305 894 2200,,,,,,,,,"Financial Services, Mobile, Payments, Software","Billing, InsurTech, Mobile Payments, Payments, Software",,,,,110870134,USD,110870134,,,"Coral Gables, Florida, United States",$1B to $10B,1975-01-01,year,,https://www.linkedin.com/company/aci-worldwide/
Water Corporation,https://www.crunchbase.com/organization/water-corporation-e458,1001-5000,Active,https://watercorporation.com.au,,+61 8 9420 2420,,,,,,,,,"Natural Resources, Payments, Professional Services, Software, Sustainability","Billing, Consulting, Waste Management, Water, Water Purification",,,,,,,,,,"Perth, Western Australia, Australia",$1B to $10B,1996-01-01,month,,https://www.linkedin.com/company/watercorporation
Enel Distribuzione,https://www.crunchbase.com/organization/enel-distribuzione,10001+,Active,https://www.e-distribuzione.it/,,,,,,,,,,,"Consumer Electronics, Energy, Hardware, Payments, Professional Services, Software, Sustainability","Billing, Compliance, Electrical Distribution, Electronics, Energy, Renewable Energy",2,1,Testing,Machines and machine tools,90875544,USD,90875544,,,"Rome, Lazio, Italy",$1B to $10B,,,,https://www.linkedin.com/company/e-distribuzione
Missouri American Water,https://www.crunchbase.com/organization/missouri-american-water,501-1000,Active,https://www.amwater.com/moaw/,infomo@amwater.com,+1 866 430 0820,,,,,,,,,"Financial Services, Natural Resources, Other, Payments, Professional Services, Software, Sustainability","Billing, Customer Service, Payments, Waste Management, Water",,,,,98771343,USD,98771343,,,"Carol Stream, Illinois, United States",$1B to $10B,1879-01-01,year,,https://www.linkedin.com/company/missouri-american-water-company
MedSrv,https://www.crunchbase.com/organization/medsrv,51-100,Active,https://www.medsrv.co/,,+1 423-899-0121,,,,,,,,,"Financial Services, Health Care, Payments, Professional Services, Software","Accounting, Billing, Financial Services, Health Care",,,,,,,,,,"Chattanooga, Tennessee, United States",$1B to $10B,1985-01-01,year,,https://www.linkedin.com/company/medsrv/
Flex,https://www.crunchbase.com/organization/flex-a989,5001-10000,Active,https://www.flexbpo.com.br,faleconosco@flexcontact.com.br,+55 30037656,,,,,,,,,"Information Technology, Other, Payments, Professional Services, Sales and Marketing, Software","Billing, Customer Service, Information Technology, Sales",,,,,,,,,,"Santa Catarina, Sao Paulo, Brazil",$1B to $10B,2009-01-01,year,,https://www.linkedin.com/company/flexbpo
mCare Solutions,https://www.crunchbase.com/organization/mcare-solutions-llc,11-50,Active,http://www.mcare-solutions.com,,312.543.6411,,,,,,,,,"Health Care, Payments, Software","Billing, Enterprise Software, Health Care",,,,,623359,USD,623359,,,"Oak Brook, Illinois, United States",$1B to $10B,2005-01-01,day,,https://www.linkedin.com/company/meeting-planner-&-event-consultant
Everyware,https://www.crunchbase.com/organization/b-everyware,11-50,Active,http://www.EVERYWARE.com,info@everyware.com,+1-844-311-5597,,,,,,,,,"Financial Services, Internet Services, Messaging and Telecommunications, Mobile, Payments, Software","Billing, Financial Services, FinTech, Mobile, Mobile Payments, Payments, SMS, Software",1,1,Computing; Calculating,Scientific and technological services,,,,,,"Austin, Texas, United States",$500M to $1B,2015-01-01,year,"Capital Factory, TTV Capital, Silicon Road Ventures, Naples Technology Ventures, Kinetic Ventures",http://www.linkedin.com/company/everyware
Better,https://www.crunchbase.com/organization/better-5,1-10,Active,https://getbetter.co/,support@getbetter.co,,,,,,,,,,"Financial Services, Health Care, Payments, Software","Billing, Health Care, Health Insurance, Insurance, Medical",0,2,,Medical apparatus and instruments,,,,,,"San Francisco, California, United States",$500M to $1B,2016-01-01,year,"Designer Fund, Lee Linden, Initialized Capital, Techammer, Quiet Capital",https://www.linkedin.com/company-beta/12904360/
cleverbridge,https://www.crunchbase.com/organization/cleverbridge,251-500,Active,http://www.cleverbridge.com,media@cleverbridge.com,(312) 955-3600,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Professional Services, Software","Billing, Cloud Computing, Customer Service, E-Commerce, E-Commerce Platforms, Payments, SaaS, Software, Subscription Service",0,3,,Advertising; business,3811259,USD,3811259,,,"Cologne, Nordrhein-Westfalen, Germany",$500M to $1B,2005-01-01,year,,https://www.linkedin.com/company/cleverbridge/
Infinx Services,https://www.crunchbase.com/organization/infinx-services,1001-5000,Active,https://www.infinx.com/,sales@infinx.com,1 408-404-0500,,,,,,,,,"Financial Services, Health Care, Information Technology, Payments, Software","Billing, Health Care, Information Services, Information Technology, Insurance, Medical, Medical Device",,,,,,,,,,"Mumbai, Maharashtra, India",$500M to $1B,1978-01-01,day,Norwest Venture Partners,https://www.linkedin.com/company/infinx-healthcare
Savista,https://www.crunchbase.com/organization/savista-fa92,1001-5000,Active,https://www.savistarcm.com,information@savistarcm.com,,,,,,,,,,"Financial Services, Health Care, Payments, Professional Services, Software","Accounting, Billing, Health Care",0,0,,Scientific and electric apparatus and instruments,64956754,USD,64956754,,,"Alpharetta, Georgia, United States",$500M to $1B,2021-01-01,year,,https://www.linkedin.com/company/savistarcm
DKV Mobility Services Group,https://www.crunchbase.com/organization/dkv-mobility-services-group,1001-5000,Active,https://www.dkv-mobility.com,info@dkv-mobility.com,+49 (0) 2102 5368-0,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Payments, Science and Engineering, Software, Transportation","Billing, Fleet Management, Intelligent Systems",,,,,,,,,,"Ratingen, Nordrhein-Westfalen, Germany",$500M to $1B,1934-01-01,year,CVC Capital Partners,https://www.linkedin.com/company/dkv-mobility
Alto,https://www.crunchbase.com/organization/alto-c08d,1-10,Active,https://www.alto.co/,,,,,,,,,,,"Apps, Financial Services, Information Technology, Payments, Professional Services, Software","Accounting, Apps, Billing, Information Technology, Payments, Software",,,,,111725,USD,111725,,,"Saint Joseph, Michigan, United States",$500M to $1B,2015-01-01,year,,https://www.linkedin.com/company/invoice-by-alto/about/
MedBillingExperts,https://www.crunchbase.com/organization/medbillingexperts,501-1000,Active,http://www.medbillingexperts.com/,info@medbillingexperts.com,+91 00 1242 12450,,,,,,,,,"Health Care, Payments, Software","Billing, Health Care",,,,,,,,,,"Bangalore, Karnataka, India",$500M to $1B,2002-01-01,day,,https://www.linkedin.com/company/medbillingexperts
MedConverge,https://www.crunchbase.com/organization/medconverge,101-250,Active,https://medconverge.com,info@medconverge.com,+1 (800) 898-0709,,,,,,,,,"Health Care, Payments, Software","Billing, Health Care, Hospital, Medical",,,,,,,,,,"Duluth, Georgia, United States",$500M to $1B,2015-01-01,year,,https://www.linkedin.com/company/medconverge-llc/
India Healthcare Solutions,https://www.crunchbase.com/organization/india-healthcare-solutions,1001-5000,Active,https://indiahealthcaresolutions.com/,Contact@indiahealthcaresolutions.com,+91 (44) 4555 8333,,,,,,,,,"Financial Services, Health Care, Information Technology, Payments, Software","Billing, Business Information Systems, Financial Services, Health Care",,,,,,,,,,"Chennai, Tamil Nadu, India",$500M to $1B,1999-01-01,year,,https://www.linkedin.com/company/ghbp/
