Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
LinkedIn,https://www.crunchbase.com/organization/linkedin,10001+,Active,http://linkedin.com,,,12,14,1,1,,,,,"Blockchain and Cryptocurrency, Community and Lifestyle, Internet Services, Media and Entertainment, Professional Services, Real Estate","Mortgage, Professional Networking, Recruiting, Social Media, Social Recruiting, Web3",83,128,Computing; Calculating,Advertising; business,1500000000,USD,1500000000,,,"Sunnyvale, California, United States",$10B+,2003-05-05,day,"SAP, TCV, S&P Global, Bain Capital Ventures, Sequoia Capital",http://www.linkedin.com/company/linkedin
Hyundai Motor Group,https://www.crunchbase.com/organization/hyundai-motor-group,10001+,Active,https://www.hyundaimotorgroup.com,,,23,25,6,,,,,,"Blockchain and Cryptocurrency, Manufacturing, Other, Transportation","Automotive, Blockchain, Manufacturing",,,,,,,,,,"Seocho, Seoul-t'ukpyolsi, South Korea",$10B+,1998-01-01,year,,https://www.linkedin.com/company/hyundai-motor-group
Sky Mavis,https://www.crunchbase.com/organization/sky-mavis,101-250,Active,https://www.Skymavis.com,Aleksander@Skymavis.com,,4,4,,,,,,,"Blockchain and Cryptocurrency, Gaming, Information Technology, Other","Blockchain, Information Technology, Video Games",0,9,,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$1B to $10B,2019-04-24,day,"Hashed, BlockTower Capital, Animoca Brands, FTX, 500 Global",https://www.linkedin.com/company/skymavis
Bitmain,https://www.crunchbase.com/organization/bitmain,501-1000,Active,https://www.bitmain.com,info@bitmaintech.com,+65-3138-9024,36,42,17,,,,,,"Blockchain and Cryptocurrency, Consumer Electronics, Financial Services, Hardware, Manufacturing, Payments, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Bitcoin, Electronics, Manufacturing, Semiconductor",146,0,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$1B to $10B,2013-01-01,year,"Sequoia Capital China, EDBI, Sinovation Ventures, Newegg, Coatue",https://www.linkedin.com/company/bitmain/
Mphasis,https://www.crunchbase.com/organization/mphasis,10001+,Active,https://www.mphasis.com,,+91 80 4004 4444,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cyber Security, Information Technology",4,17,,Scientific and technological services,,,,,,"Bangalore, Karnataka, India",$1B to $10B,1998-01-01,year,Blackstone Group,https://www.linkedin.com/company/mphasis/
Bitcoin,https://www.crunchbase.com/organization/bitcoin-llc,101-250,Active,https://www.bitcoin.com,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Hardware, Media and Entertainment, Payments, Software","Bitcoin, Communications Infrastructure, Hardware, Media and Entertainment",,,,,21336177,USD,21336177,,,"San Francisco, California, United States",$1B to $10B,2008-01-01,year,"Breyer Labs, Larry Zhao, Kadda Sheekoff, Ed King",https://www.linkedin.com/company/bitcoin.com
Virtu Financial,https://www.crunchbase.com/organization/virtu-financial,501-1000,Active,https://www.virtu.com/,info@virtu.com,+1.646.682.6000,7,8,2,,,,,,"Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Payments, Software","Analytics, Cryptocurrency, Finance, Financial Services, FinTech",,,,,149662146,USD,149662146,,,"New York, New York, United States",$1B to $10B,2008-01-01,year,North Island,https://www.linkedin.com/company/virtu-financial/
Pocket Network,https://www.crunchbase.com/organization/pocket-network,51-100,Active,https://www.pokt.network,hola@pokt.network,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software","Blockchain, Cryptocurrency, Developer Platform, Infrastructure, IT Infrastructure, Software",0,0,,Scientific and technological services,466111,USD,466111,,,"Tampa, Florida, United States",$1B to $10B,2017-02-01,day,"Arrington XRP Capital, Borderless Capital, Decentral Park Capital, Mechanism Capital, Placeholder",https://www.linkedin.com/company/pocket-network/
Bitcoin.com,https://www.crunchbase.com/organization/bitcoin-com,101-250,Active,https://bitcoin.com,support@bitcoin.com,,5,5,1,,,,,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, FinTech, Payments, Virtual Currency",,,,,,,,,,"Charlestown, Saint John Figtree, Saint Kitts and Nevis",$1B to $10B,2015-01-01,year,"Blockchain.com, KuCoin Ventures, Digital Strategies, 4SV, BoostX",https://www.linkedin.com/company/bitcoin.com/
Black Banx,https://www.crunchbase.com/organization/wb21-group-holdings-sa,5001-10000,Active,https://www.blackbanx.com,support@blackbanx.com,+16474922448,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Banking, Bitcoin, Cryptocurrency, FinTech, Payments",,,,,149550000,USD,149550000,,,"Toronto, Ontario, Canada",$1B to $10B,2014-08-08,day,Gastauer Family Office,
Coinbase,https://www.crunchbase.com/organization/coinbase,1001-5000,Active,http://www.coinbase.com,support@coinbase.com,1 (888) 908-7930,32,33,5,1,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform",88,45,Computing; Calculating,Scientific and electric apparatus and instruments,268859,USD,268859,,,"San Francisco, California, United States",$1B to $10B,2012-06-20,day,"Digital Currency Group, Polychain, Union Square Ventures, Bracket Capital, Boost VC",https://www.linkedin.com/company/coinbase
Circle,https://www.crunchbase.com/organization/circle-2,501-1000,Active,https://www.circle.com,customer-support@circle.com,(888) 762-4966,29,29,2,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software","Banking, Blockchain, Cryptocurrency, Financial Services, FinTech",4,0,Computing; Calculating,,24480508,USD,24480508,,,"Boston, Massachusetts, United States",$1B to $10B,2013-01-01,year,"Fidelity, Bitmain, CICC, Coinbase, FTX",https://www.linkedin.com/company/circle-internet-financial
Robinhood,https://www.crunchbase.com/organization/robinhood,1001-5000,Active,https://www.robinhood.com,support@robinhood.com,(650) 940-2700,4,4,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Cryptocurrency, FinTech, Stock Exchanges, Trading Platform",14,40,,Insurance; financial affairs,85943912,USD,85943912,,,"Menlo Park, California, United States",$1B to $10B,2013-01-01,year,"Thrive Capital, LAUNCH, ICONIQ Growth, Unusual Ventures, CapitalG",https://www.linkedin.com/company/robinhood
X (formerly Twitter),https://www.crunchbase.com/organization/twitter,1001-5000,Active,https://twitter.com/home?lang=en,press@twitter.com,,8,10,2,1,,,,,"Blockchain and Cryptocurrency, Content and Publishing, Internet Services, Media and Entertainment, Real Estate","Blogging Platforms, Mortgage, Social Media, Social Network, Web3","1,135",98,Computing; Calculating,Scientific and technological services,,,,,,"San Francisco, California, United States",$1B to $10B,2006-03-21,day,"Fidelity, Employee Stock Option Fund, Morgan Stanley, Union Square Ventures, Binance",http://www.linkedin.com/company/twitter
FTX,https://www.crunchbase.com/organization/ftx-exchange,101-250,Closed,https://ftx.com,support@ftx.com,+60 11-3400 8099,25,25,6,3,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Trading Platform",,,,,23492496,USD,23492496,,,"Nassau, New Providence, Bahamas",$1B to $10B,2019-01-01,year,"Hercules Capital, Binance, ICONIQ Growth, Multicoin Capital, Bond",https://www.linkedin.com/company/ftx
"Block, Inc.",https://www.crunchbase.com/organization/square,10001+,Active,https://block.xyz,,,20,22,3,3,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Hardware, Mobile, Payments, Software","Bitcoin, FinTech, Mobile Payments, Productivity Tools, Retail Technology",143,1,Computing; Calculating,Insurance; financial affairs,2629738050,USD,2629738050,,,"San Francisco, California, United States",$1B to $10B,2009-02-01,day,"Notable Capital, Starbucks, JP Morgan Chase, DCVC, VMware",https://www.linkedin.com/company/joinblock
Binance,https://www.crunchbase.com/organization/binance,1001-5000,Active,https://www.binance.com,Business@binance.com,,30,31,17,2,,,,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Payments, Software","Bitcoin, Cryptocurrency, FinTech, Stock Exchanges, Web3",,,,,,,,,,"Valletta, NA - Malta, Malta",$1B to $10B,2017-01-01,year,"ICONIUM, Black Hole Capital, Fundamental Labs, Vertex Ventures Southeast Asia & India, Limitless Crypto Investments",https://www.linkedin.com/company/binance
OKX,https://www.crunchbase.com/organization/okx,1001-5000,Active,https://www.okx.com,support@okx.com,+852 5808 5768,3,3,0,,,,,,"Apps, Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Other, Payments, Software","Apps, Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet, Web3",,,,,,,,,,"Victoria, Beau Vallon, Seychelles",$1B to $10B,2017-01-01,year,,https://www.linkedin.com/company/okxofficial
Nets,https://www.crunchbase.com/organization/nets,1001-5000,Active,https://nets.eu,,+45 44 68 44 68,1,1,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Privacy and Security, Software","Blockchain, Financial Services, Information Services, Payments, Security, Software",1,37,Computing; Calculating,Insurance; financial affairs,104987479,USD,104987479,,,"Ballerup, Hovedstaden, Denmark",$1B to $10B,2003-01-01,year,"Bain Capital, Advent International, ATP Private Equity Partners, VIA Equity",https://www.linkedin.com/company/nets-group
Cielo SA,https://www.crunchbase.com/organization/cielo,10001+,Active,http://www.cielo.com.br,,(877) 797-3379,1,1,,,,,,,"Apps, Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Mobile, Payments, Software","Apps, Banking, Bitcoin, Credit Cards, Debit Cards, FinTech, Mobile Apps, Payments",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/cielo
Guotai Junan Securities,https://www.crunchbase.com/organization/guotai-junan-securities,10001+,Active,http://www.gtja.com,website@gtjas.com,400-8888-666,32,33,4,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Privacy and Security, Professional Services, Software","Banking, Bitcoin, Consulting, Security, Venture Capital",,,,,,,,,,"Shanghai, Shanghai, China",$1B to $10B,1999-01-01,year,Apax Partners,https://www.linkedin.com/company/guotai-junan-securities-co.-ltd
OpenXcell,https://www.crunchbase.com/organization/openxcell,501-1000,Active,http://www.openxcell.com,sales@openxcell.com,888 777 4629,,,,,,,,,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Mobile, Sales and Marketing, Software","CRM, Mobile, Semantic Search, SEO, Smart Contracts, Social Media Marketing, Software",,,,,,,,,,"Hicksville, New York, United States",$1B to $10B,2008-08-19,day,,http://www.linkedin.com/company/openxcell-technolabs-pvt.-ltd
China Merchants Securities,https://www.crunchbase.com/organization/china-merchants-securities,1001-5000,Active,https://www.cmschina.com/,sbox@cmschina.com.cn,86 755 2531 0403,53,56,10,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Banking, Bitcoin, Crowdfunding, Finance, Financial Services, Venture Capital",1,0,,,,,,,,"Shenzhen, Guangdong, China",$1B to $10B,1991-01-01,year,Zhonghe Capital,https://www.linkedin.com/company/china-merchants-securities-co.-ltd.
ING Deutschland,https://www.crunchbase.com/organization/ing-deutschland,5001-10000,Active,https://www.ing.de/,info@ing.de,+41 069 / 50 50 90 69,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Mobile, Other, Payments, Software","Banking, Blockchain, Credit, Financial Services, FinTech, Lending, Mobile Payments",0,13,,Advertising; business,75597402,USD,75597402,,,"Frankfurt, Hessen, Germany",$1B to $10B,1965-01-01,year,,https://www.linkedin.com/company/ing-de/
KB Kookmin Card,https://www.crunchbase.com/organization/kb-kookmin-card,1001-5000,Active,http://www.kbcard.com/,,+82 1588-1688,12,14,5,,,,,,"Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Financial Services, Insurance",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1B to $10B,2011-03-02,day,,https://www.linkedin.com/company/kbcard/
Marshall of Cambridge Aerospace Limited,https://www.crunchbase.com/organization/marshall-of-cambridge-aerospace-limited,5001-10000,Active,http://marshallgroup.co.uk/,,+44 (0) 1223 373 737,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Health Care, Payments, Software","Bitcoin, Health Care, Insurance",0,3,,Scientific and electric apparatus and instruments,,,,,,"Cambridge, Massachusetts, United States",$1B to $10B,1909-01-01,year,,
Blockchain at Berkeley,https://www.crunchbase.com/organization/blockchain-at-berkeley,51-100,Active,https://blockchain.berkeley.edu,consulting@blockchain.berkeley.edu,,,,,,,,,,"Blockchain and Cryptocurrency, Other",Blockchain,,,,,742259,USD,742259,,,"Berkeley, California, United States",$1B to $10B,2016-01-01,year,,https://www.linkedin.com/company/17875622
Punjab National Bank,https://www.crunchbase.com/organization/oriental-bank-of-commerce,10001+,Active,http://www.obcindia.co.in,gad@obc.co.in,+99 1800 180 2222,1,1,,,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Lending and Investments, Payments, Software","Banking, Bitcoin, E-Commerce, Financial Services, Retail",,,,,,,,,,"Gurgaon, Haryana, India",$1B to $10B,1943-01-01,year,,https://www.linkedin.com/company/punjab-national-bank
MedRec,https://www.crunchbase.com/organization/medrec-f40f,501-1000,Active,https://medrec.media.mit.edu/,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other","Blockchain, Ethereum, Financial Services, Information Technology",,,,,925357,USD,925357,,,"San Antonio, Texas, United States",$1B to $10B,1861-01-01,year,,https://www.linkedin.com/company/mit
