Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Automattic,https://www.crunchbase.com/organization/automattic,1001-5000,Active,http://automattic.com,,(877) 273-3049,18,19,5,1,,,,,"Commerce and Shopping, Content and Publishing, Design, Media and Entertainment, Software","Blogging Platforms, Content, E-Commerce, Web Design, Web Development",1,53,Electric Communication Technique,Scientific and technological services,3348037,USD,3348037,,,"San Francisco, California, United States",$100M to $500M,2005-01-01,year,"The New York Times, Polaris Partners, ICONIQ Growth, Aglaé Ventures, BlackRock",http://www.linkedin.com/company/automattic
WP Engine,https://www.crunchbase.com/organization/wp-engine,1001-5000,Active,https://wpengine.com,press@wpengine.com,(877)973-6446,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Software","Blogging Platforms, Content, Enterprise Software, Web Development, Web Hosting",0,24,,Scientific and technological services,,,,,,"Austin, Texas, United States",$100M to $500M,2010-03-01,day,"Silver Lake, Automattic, Guidepost Growth Equity, Capital Factory, Silverton Partners",http://www.linkedin.com/company/wp-engine
Barstool Sports,https://www.crunchbase.com/organization/barstool-sports,251-500,Active,http://www.barstoolsports.com,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Music and Audio, Sports","Blogging Platforms, Music, Sports",0,204,,Education; entertainment,6228329,USD,6228329,,,"New York, New York, United States",$100M to $500M,2003-01-01,year,"PENN Entertainment, TCG",https://www.linkedin.com/company/barstool-sports
Weibo,https://www.crunchbase.com/organization/weibo,5001-10000,Active,http://weibo.com,smallnest@gmail.com,,17,18,11,,,,,,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Software","Blogging Platforms, Information Technology, Internet, Social Media, Social Network, Software",0,3,,Hand tools and implements,,,,,,"Beijing, Beijing, China",$1M to $10M,2016-08-18,day,"Alibaba Group, East Los Capital",https://www.linkedin.com/company/%E5%BE%AE%E5%8D%9A
Flywheel,https://www.crunchbase.com/organization/flywheel,51-100,Active,http://getflywheel.com,sales@getflywheel.com,(402) 235-6105,,,,,,,,,"Content and Publishing, Design, Internet Services, Media and Entertainment, Software","Blogging Platforms, Content, Enterprise Software, Software, Web Design, Web Development, Web Hosting",,,,,1108991,USD,1108991,,,"Omaha, Nebraska, United States",$10M to $50M,2012-10-01,day,"Lightbank, Five Elms Capital, Ludlow Ventures, Hyde Park Venture Partners, Saratoga Partners",https://www.linkedin.com/company/heyflywheel
Edmodo,https://www.crunchbase.com/organization/edmodo,51-100,Closed,https://new.edmodo.com,contact@edmodo.com,,,,,,,,,,"Content and Publishing, Education, Internet Services, Media and Entertainment, Software","Blogging Platforms, EdTech, Education, Social Media",,,,,205700,USD,205700,,,"San Mateo, California, United States",$1M to $10M,2008-09-02,day,"Union Square Ventures, Learn Capital, Singtel Innov8, Glynn Capital Management, New Enterprise Associates",https://www.linkedin.com/company/edmodo/
Sportskeeda,https://www.crunchbase.com/organization/absolute-sports-pvt-ltd,101-250,Active,https://app.sportskeeda.com/Download,contact@sportskeeda.com,,,,,,,,,,"Content and Publishing, Media and Entertainment, Sports","Blogging Platforms, News, Publishing, Sports",,,,,,,,,,"Bangalore, Karnataka, India",$10M to $50M,2009-05-16,day,"Nazara Technologies, SeedFund.in",https://in.linkedin.com/company/sportskeeda-com
X (formerly Twitter),https://www.crunchbase.com/organization/twitter,1001-5000,Active,https://twitter.com/home?lang=en,press@twitter.com,,8,10,2,1,,,,,"Blockchain and Cryptocurrency, Content and Publishing, Internet Services, Media and Entertainment, Real Estate","Blogging Platforms, Mortgage, Social Media, Social Network, Web3","1,135",98,Computing; Calculating,Scientific and technological services,,,,,,"San Francisco, California, United States",$1B to $10B,2006-03-21,day,"Fidelity, Employee Stock Option Fund, Morgan Stanley, Union Square Ventures, Binance",http://www.linkedin.com/company/twitter
Tripoto Travel Private Limited,https://www.crunchbase.com/organization/tripoto,101-250,Active,https://www.tripoto.com,anirudh.gupta@tripoto.com,,,,,,,,,,"Advertising, Community and Lifestyle, Content and Publishing, Media and Entertainment, Travel and Tourism","Advertising Platforms, Blogging Platforms, Communities, Content Delivery Network, Publishing, Tourism, Travel",,,,,,,,,,"New Delhi, Delhi, India",,2013-10-01,day,"500 Global, Titan Capital, 3one4 Capital, Sandbox Industries, Chiratae Ventures",https://www.linkedin.com/company/tripoto/
Takumi,https://www.crunchbase.com/organization/takumi,51-100,Active,http://www.takumi.com,hello@takumi.com,,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Blogging Platforms, Brand Marketing, Content Creators, Marketing, Social Media, Social Media Advertising, Social Media Marketing",0,2,,Advertising; business,281181,USD,281181,,,"London, England, United Kingdom",,2015-04-01,day,"QibiTech, Hambro Perks Ltd., Scrum Software",https://www.linkedin.com/company/takumihq
Hatena,https://www.crunchbase.com/organization/hatena-japan,101-250,Active,https://www.hatena.ne.jp/,cs@hatena.ne.jp,,,,,,,,,,"Consumer Electronics, Content and Publishing, Hardware, Internet Services, Media and Entertainment, Mobile, Other, Platforms, Software","Blogging Platforms, Consumer Electronics, iOS, Photo Sharing, SaaS, Social Bookmarking, Social Media",0,1,,Scientific and technological services,,,,,,"Minato, Chiba, Japan",,2001-07-01,day,"SMBC Nikko Securities Japan, Shogo Kawada, Yuji Mori",https://www.linkedin.com/company/hatena.co.ltd/about/
TapInfluence,https://www.crunchbase.com/organization/tapinfluence,51-100,Closed,http://tapinfluence.com,info@tapinfluence.com,(720)726-4074,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Blogging Platforms, Brand Marketing, SaaS, Social Media, Software",,,,,,,,,,"Mountain View, California, United States",$10M to $50M,2009-06-01,day,"Techstars, Techstars Ventures, Grotech Ventures, Noro-Moseley Partners, Knollwood Investment Advisory",http://www.linkedin.com/company/3019138
FanBox,https://www.crunchbase.com/organization/fanbox-2,51-100,Active,http://FanBox.com,,619-788-1398,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment","Advertising Platforms, Blogging Platforms, Social Media",,,,,455864,USD,455864,,,"San Diego, California, United States",$1M to $10M,2000-10-01,month,"Invest Nebraska, CSA Partners LLC",https://www.linkedin.com/company/fanbox
Three Ships,https://www.crunchbase.com/organization/three-ships-media,101-250,Active,https://www.three-ships.com,info@threeshipsmedia.com,+1 919-576-0460,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Blogging Platforms, Social Media",,,,,52866,USD,52866,,,"Raleigh, North Carolina, United States",$1M to $10M,2009-11-01,day,,https://www.linkedin.com/company/492841
TreasureHunter,https://www.crunchbase.com/organization/treasurehunter,101-250,Active,https://treasurehunter.media/,contact@treasurehunter.media,,,,,,,,,,"Advertising, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Blogging Platforms, Content, Content Syndication, Digital Media, Information Technology, Media and Entertainment, SEO, Social Media, Software",,,,,,,,,,"Munich, Bayern, Germany",,2021-05-21,day,"Finn Wentzler, Felix Brosius, Daniel Schellhoss, Tim Albrecht, Michael Fink",https://www.linkedin.com/company/treasurehunter/
Sports.ru,https://www.crunchbase.com/organization/sports-ru,101-250,Active,https://www.sports.ru/,marketing@sports.ru,+74959846660,,,,,,,,,"Content and Publishing, Media and Entertainment, Sports","Blogging Platforms, Content, Digital Media, News, Sports",,,,,,,,,,"Moscow, Moscow City, Russian Federation",$1M to $10M,1998-12-01,day,Impulse VC,https://www.linkedin.com/company/sports.ru
Tumblr,https://www.crunchbase.com/organization/tumblr,1001-5000,Active,https://www.tumblr.com,dmca@tumblr.com,+1 646 513 4321,1,1,1,,,,,,"Content and Publishing, Internet Services, Media and Entertainment","Blogging Platforms, Social Media, Social Network",,,,,1760804,USD,1760804,,,"New York, New York, United States",$50M to $100M,2007-01-01,year,"Betaworks, Union Square Ventures, Sequoia Capital, TCG, DFJ Growth",https://www.linkedin.com/company/tumblr/
DiYiDan,https://www.crunchbase.com/organization/diyidan,101-250,Active,http://www.diyidan.com/,wuping@diyidan.com,86 0551-63823045,,,,,,,,,"Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment","Blogging Platforms, Leisure, Social Media",,,,,,,,,,"Minhang, Shanghai, China",,2014-01-01,day,"Northern Light Venture Capital, China Growth Capital | CGC, Everbright, Youzu Interactive, Xianghe Capital",
TheRigh,https://www.crunchbase.com/organization/therigh,1001-5000,Active,https://www.therigh.com/,Support@TheRigh.com,+9-332-9844445,,,,,,,,,"Content and Publishing, Financial Services, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing","Blogging Platforms, Content, Digital Media, Financial Services, Information Technology, Internet of Things, Journalism, News, Publishing, Social Media Marketing",,,,,,,,,,"Karachi, Sindh, Pakistan",,2022-07-10,day,Google for Startups,https://www.linkedin.com/company/therigh
LTMAN,https://www.crunchbase.com/organization/ltman,51-100,Active,http://www.ltman.com,contact@ltman.com,,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Blogging Platforms, Content Creators, Creative Agency, Digital Media, Social Network",,,,,,,,,,"Bangkok, Krung Thep, Thailand",,2017-09-26,day,,https://www.linkedin.com/company/ltman/
Weebly,https://www.crunchbase.com/organization/weebly,1001-5000,Active,http://www.weebly.com,press@weebly.com,,,,,,,,,,"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Blogging Platforms, E-Commerce, E-Commerce Platforms, Mobile, Software",,,,,19985696,USD,19985696,,,"San Francisco, California, United States",$1M to $10M,2007-01-01,year,"Tencent, Floodgate, Sequoia Capital, Paul Buchheit, Baseline Ventures",http://www.linkedin.com/company/weebly
Enjoius,https://www.crunchbase.com/organization/enjoius,101-250,Closed,https://www.enjoius.com/,info@enjoius.com,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Social Impact","Blogging Platforms, E-Commerce, Internet, Marketplace, Social Entrepreneurship, Social Network",0,1,,Scientific and electric apparatus and instruments,,,,,,"Los Angeles, California, United States",$1M to $10M,2015-01-01,year,"Kent Wakeford, Daniel Murray, Nancy Tellem, Angela Mathes",https://www.linkedin.com/company/enjoius-inc/
MediaLink,https://www.crunchbase.com/organization/medialink,101-250,Active,http://www.medialink.com,info@medialink.com,310-586-3411,5,5,,1,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Professional Services, Sales and Marketing","Advertising, Blogging Platforms, Consulting, Content, Internet, Journalism, Marketing, Public Relations, Social Media",,,,,2247070,USD,2247070,,,"New York, New York, United States",$10M to $50M,2004-04-04,day,"JFDI.Asia, Singular Ventures, Geekbeans Capital, Byte Ventures, S.Capital",https://www.linkedin.com/company/medialink
Pixafy,https://www.crunchbase.com/organization/pixafy,101-250,Active,http://www.pixafy.com,uri@pixafy.com,1(212) 596-7404,1,1,,,,,,,"Commerce and Shopping, Content and Publishing, Media and Entertainment, Software","Blogging Platforms, Content, E-Commerce, Software",0,2,,Scientific and technological services,1129206,USD,1129206,,,"New York, New York, United States",$1M to $10M,2010-10-01,day,,http://www.linkedin.com/company/pixafy
10up,https://www.crunchbase.com/organization/10up,251-500,Active,http://10up.com,sales@10up.com,888-571-7130,,,,,,,,,"Apps, Content and Publishing, Design, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Software","Blogging Platforms, CMS, Consulting, Digital Marketing, Web Apps, Web Design, Web Development",0,3,,Scientific and technological services,3761140,USD,3761140,,,"Roseville, California, United States",$10M to $50M,2011-02-17,day,,http://www.linkedin.com/company/1959734
Adsterra,https://www.crunchbase.com/organization/adsterra-network,51-100,Active,https://clc.to/2Cmr4w,marketing@adsterra.com,+35725261070,,,,,,,,,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing","Ad Network, Ad Retargeting, Ad Targeting, Affiliate Marketing, Blogging Platforms, Digital Marketing, Marketing, Mobile Advertising, Video Advertising",,,,,,,,,,"Nicosia, Nicosia, Cyprus",$1M to $10M,2013-07-01,month,,https://www.linkedin.com/company/adsterra/
