Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Mozilla,https://www.crunchbase.com/organization/mozilla,5001-10000,Active,https://www.mozilla.org,mozspaces@mozilla.com,,20,21,7,5,,,,,"Internet Services, Software","Browser Extensions, Internet, Open Source, Software, Web Browsers",7,12,Electric Communication Technique,Scientific and technological services,10411321,USD,10411321,,,"Mountain View, California, United States",$100M to $500M,1998-03-31,day,"AOL, Mitchell Kapor",https://www.linkedin.com/company/mozilla-corporation
Brijesh Solutions,https://www.crunchbase.com/organization/brijesh-solutions,1-10,Active,http://brijeshsolutions.blogspot.com,brijesh.singh879@gmail.com,8471072869,,,,,,,,,"Education, Hardware, Media and Entertainment, Software","Art, Browser Extensions, Developer APIs, Education, Flash Storage, Software, Web Development",,,,,,,,,,"New Delhi, Delhi, India",$100M to $500M,2012-12-10,day,,https://www.linkedin.com/company/wga-engenharia-e-consultoria-ltda
Pocket,https://www.crunchbase.com/organization/pocket,11-50,Active,http://getpocket.com,info@getpocket.com,415-692-6111,,,,,,,,,"Content and Publishing, Internet Services, Other, Software","Browser Extensions, Internet, Social Bookmarking, Web Browsers",,,,,550985,USD,550985,,,"San Francisco, California, United States",$10M to $50M,2007-08-06,day,"Google Ventures, New Enterprise Associates, Baseline Ventures, Digital Garage (TSE: 4819), DG VENTURES",https://www.linkedin.com/company/1966128
ZenMate,https://www.crunchbase.com/organization/zenmate,11-50,Active,https://zenmate.com/,support@zenmate.com,+49 (0)30 - 2900 9405,,,,,,,,,"Privacy and Security, Software","Browser Extensions, Privacy, Security, Software",0,1,,Scientific and electric apparatus and instruments,6586037,USD,6586037,,,"Berlin, Berlin, Germany",$10M to $50M,2013-01-01,year,"Bessemer Venture Partners, Saarbruecker 21, Deutsche Telekom Strategic Investments, Project A Ventures, HV Capital",http://www.linkedin.com/company/zenguard-gmbh
eyeo,https://www.crunchbase.com/organization/eyeo,51-100,Active,http://eyeo.com,info@eyeo.com,49 721 91374246,1,1,,,,,,,"Internet Services, Privacy and Security, Software","Browser Extensions, Internet, Open Source, Privacy, Software",0,3,,Scientific and technological services,5989337,USD,5989337,,,"Cologne, Nordrhein-Westfalen, Germany",$10M to $50M,2011-01-01,year,,https://www.linkedin.com/company/2765271?trk=hp-feed-company-name
Parle,https://www.crunchbase.com/organization/parle,1-10,Active,http://parle.co,contactus@parle.co,,,,,,,,,,"Internet Services, Software","Browser Extensions, Developer Tools, Search Engine",,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",$10M to $50M,2015-01-01,year,,https://www.linkedin.com/company/parle/
Bignest,https://www.crunchbase.com/organization/bignest-inc,1-10,Active,https://bignest.com,info@bignest.com,+38640238994,,,,,,,,,"Content and Publishing, Media and Entertainment, Software","Browser Extensions, Content Discovery, Productivity Tools, Software",0,1,,Scientific and electric apparatus and instruments,,,,,,"Ljubljana, Ljubljana Urban Commune, Slovenia",$10M to $50M,2017-01-01,year,,
Trove,https://www.crunchbase.com/organization/pantheon-9e18,1-10,Active,https://www.trove.so/,,,,,,,,,,,"Community and Lifestyle, Software","Browser Extensions, Social, Software",,,,,,,,,,"San Francisco, California, United States",$10M to $50M,2020-02-01,month,"Y Combinator, Sunghwan Choi",https://www.linkedin.com/company/trovehq
WiseStamp,https://www.crunchbase.com/organization/wisestamp,51-100,Active,http://www.wisestamp.com,marketing@wisestamp.com,,,,,,,,,,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Sales and Marketing, Software","Brand Marketing, Browser Extensions, E-Signature, Email, Email Marketing, Messaging, Social Media Advertising, Web Browsers",,,,,,,,,,"Bellevue, Washington, United States",$10M to $50M,2008-02-01,day,"Zohar Gilon, Fabrice Grinda, Naftali Bennett, Kerim Baran, Simon Gelfand",https://www.linkedin.com/company/wisestamp
Radix,https://www.crunchbase.com/organization/radix,51-100,Active,https://radix.website,contact@radix.email,+971 415 223-2604,,,,,,,,,"Internet Services, Software","Browser Extensions, Domain Registrar, Internet",0,0,,Legal services,,,,,,"Dubai, Dubai, United Arab Emirates",$10M to $50M,2012-01-01,year,,https://www.linkedin.com/company/radix-fzc/
