Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SAP,https://www.crunchbase.com/organization/sap,10001+,Active,https://www.sap.com,sapnetwork@sap.com,+496227747474,29,35,7,,,,,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Analytics, Business Intelligence, Business Process Automation (BPA), Computer, Data Management, Finance, Software","9,774",349,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Walldorf, Baden-Wurttemberg, Germany",$10B+,1972-04-01,day,"Elliott Investment Management, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/sap
DocuSign,https://www.crunchbase.com/organization/docusign,1001-5000,Active,http://www.docusign.com,info@docusign.com,866-219-4318,6,6,1,1,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Business Process Automation (BPA), Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",162,40,Computing; Calculating,Scientific and technological services,8664352,USD,8664352,,,"San Francisco, California, United States",$1B to $10B,2003-01-01,year,"Employee Stock Option Fund, Microsoft, Visa, Bain Capital Ventures, Deutsche Telekom",http://www.linkedin.com/company/docusign
Quadient,https://www.crunchbase.com/organization/neopost,1001-5000,Active,https://www.quadient.com,info@quadient.com,+33 0 892 892 111,1,1,1,,,,,,"Financial Services, Information Technology, Software, Transportation","Business Process Automation (BPA), Enterprise Software, Financial Services, Information Technology, Insurance, Logistics",8,18,Computing; Calculating,Scientific and electric apparatus and instruments,172893619,USD,172893619,,,"Bagneux, Ile-de-France, France",$1B to $10B,1924-01-01,year,,https://www.linkedin.com/company/quadient
Dynatrace,https://www.crunchbase.com/organization/dynatrace-software,1001-5000,Active,https://www.dynatrace.com,ir@dynatrace.com,,,,,,,,,,"Information Technology, Software","Business Process Automation (BPA), Developer Tools, Enterprise Software, Information Technology, SaaS, Software",85,38,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Waltham, Massachusetts, United States",$1B to $10B,2005-02-02,day,"Bain Capital Ventures, KB Securities, Bay Partners",https://www.linkedin.com/company/dynatrace
TIBCO,https://www.crunchbase.com/organization/tibco-software,1001-5000,Active,http://www.tibco.com,investor.relations@tibco.com,650 846 1000,10,11,1,1,,,,,"Data and Analytics, Other, Software","Analytics, Big Data, Business Intelligence, Business Process Automation (BPA), Collaboration, Enterprise Software, Infrastructure, Productivity Tools, SaaS, Software",40,55,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Palo Alto, California, United States",$1B to $10B,1997-01-01,year,,http://www.linkedin.com/company/tibco-software-inc-
Genpact,https://www.crunchbase.com/organization/genpact,10001+,Active,http://www.genpact.com/home,corporate.communications@genpact.com,+1 124 402 2000,1,1,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Business Process Automation (BPA), Compliance, Consulting, InsurTech, Professional Services, Risk Management",2,0,Computing; Calculating,,319787375,USD,319787375,,,"New York, New York, United States",$1B to $10B,1997-01-01,year,General Atlantic,http://www.linkedin.com/company/210064
Maximus,https://www.crunchbase.com/organization/maximus,10001+,Active,http://www.maximus.com/,info@maximus.com,7032518240,,,,,,,,,"Education, Government and Military, Health Care, Information Technology, Professional Services, Software","Business Process Automation (BPA), Consulting, Education, Government, GovTech, Health Care, Information Technology",8,26,Computing; Calculating,Advertising; business,357319684,USD,357319684,,,"Mclean, Virginia, United States",$1B to $10B,1975-01-01,year,,https://www.linkedin.com/company/maximus/
ServiceNow,https://www.crunchbase.com/organization/service-now-com,5001-10000,Active,http://www.servicenow.com,info@servicenow.com,+1 408 501 8550,31,33,12,2,,,,,"Artificial Intelligence (AI), Financial Services, Information Technology, Internet Services, Software","Business Process Automation (BPA), Cloud Management, Enterprise Software, InsurTech, Robotic Process Automation (RPA), SaaS, Software","1,491",80,Computing; Calculating,Scientific and technological services,,,,,,"Santa Clara, California, United States",$1B to $10B,2004-01-01,year,"Sequoia Capital, JMI Equity, KB Securities, Greylock",http://www.linkedin.com/company/servicenow
EFI,https://www.crunchbase.com/organization/efi,51-100,Active,http://efi.org/,solutions@efi.org,(508) 870-2277,,,,,,,,,"Content and Publishing, Media and Entertainment, Other, Software","Business Process Automation (BPA), Printing, Professional Services, Software",,,,,2871300,USD,2871300,,,"Fremont, California, United States",$1B to $10B,1982-01-01,year,,https://www.linkedin.com/company/energy-federation
Workiva,https://www.crunchbase.com/organization/webfilings,1001-5000,Active,http://www.workiva.com,info@workiva.com,(888) 275-3125,,,,,,,,,"Data and Analytics, Government and Military, Professional Services, Software","Analytics, Business Process Automation (BPA), Enterprise Software, Government, Risk Management, Software",81,30,Computing; Calculating,Scientific and technological services,41501312,USD,41501312,,,"Ames, Iowa, United States",$500M to $1B,2008-08-01,day,Bluestem Capital,http://www.linkedin.com/company/workiva
