Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Vention,https://www.crunchbase.com/organization/vention,251-500,Active,https://www.vention.io,info@vention.io,1-800-940-3617,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), CAD, Hardware, Industrial Automation, Mechanical Engineering, Robotics",1,3,Engineering Elements And Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations,Scientific and electric apparatus and instruments,5364635,USD,5364635,,,"Montréal, Quebec, Canada",$10M to $50M,2016-01-01,year,"BDC Venture Capital, Creative Destruction Lab (CDL), Bain Capital Ventures, White Star Capital, Georgian",https://www.linkedin.com/company/vention
Mighty Buildings,https://www.crunchbase.com/organization/mighty-buildings,101-250,Active,https://www.mightybuildings.com,info@mightybuildings.com,415-583-5657,1,1,,,,,,,"Design, Manufacturing, Real Estate, Software, Sustainability","3D Printing, Building Material, CAD, Construction, Sustainability",34,8,Working Of Plastics,Common metals and their alloys; ores,385790,USD,385790,,,"Oakland, California, United States",Less than $1M,2017-01-01,year,"MicroVentures, Gaingels, Alumni Ventures, One Way Ventures, Roman Smolevskiy",https://www.linkedin.com/company/mightybuildings
PTC,https://www.crunchbase.com/organization/parametric-technology,5001-10000,Active,http://www.ptc.com,info@ptc.com,+1 (781) 370-5000,4,4,1,,,,,,"Design, Hardware, Information Technology, Internet Services, Software","3D Technology, CAD, Developer Platform, Enterprise Software, Information Technology, Internet of Things, Product Design, Software",117,74,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Boston, Massachusetts, United States",$1B to $10B,1985-01-01,year,"Rockwell Automation, Bosch Capital",http://www.linkedin.com/company/ptc
Onshape,https://www.crunchbase.com/organization/onshape-inc-,101-250,Active,http://www.onshape.com,,1(844) 667-4273,,,,,,,,,"Data and Analytics, Design, Mobile, Science and Engineering, Software","Analytics, CAD, Data Management, Enterprise Software, Mechanical Engineering, Mobile, SaaS, Software",11,1,Computing; Calculating,Scientific and electric apparatus and instruments,1048962,USD,1048962,,,"Cambridge, Massachusetts, United States",$10M to $50M,2012-01-01,year,"Commonwealth Capital Ventures, Andreessen Horowitz, North Bridge Venture Partners & Growth Equity, Commonweal Ventures, New Enterprise Associates",https://www.linkedin.com/company/onshape-inc
SimScale,https://www.crunchbase.com/organization/simscale,101-250,Active,https://www.simscale.com/,contact@simscale.com,+49 89 809 132770,,,,,,,,,"Design, Hardware, Internet Services, Software","3D Technology, CAD, Cloud Computing, Internet, Product Design, Simulation, Software",0,3,,Scientific and electric apparatus and instruments,1969144,USD,1969144,,,"Munich, Bayern, Germany",$10M to $50M,2012-01-01,year,"Molten Ventures, Earlybird Venture Capital, Union Square Ventures, Palm Drive Capital, Bayern Kapital",http://www.linkedin.com/company/2864479
Ergeon,https://www.crunchbase.com/organization/ergeon,251-500,Active,https://www.ergeon.com/,contact@ergeon.com,,,,,,,,,,"Design, Real Estate, Software","CAD, Construction, Consumer Software, Home and Garden, Home Services",0,1,,Building; repairs,,,,,,"Palo Alto, California, United States",$50M to $100M,2018-01-01,year,"Notable Capital, Basis Set Ventures, Prysm Capital, FJ Labs, DST Global",https://www.linkedin.com/company/ergeoninc
Vection Technologies,https://www.crunchbase.com/organization/servtech-global,101-250,Active,http://www.vection.com.au/,,,,,,,,,,,"Design, Hardware, Information Technology, Internet Services, Other, Software","3D Technology, Augmented Reality, CAD, Information Technology, Internet of Things, Real Time, Software, Virtual Reality",0,2,,Scientific and electric apparatus and instruments,,,,,,"Perth, Western Australia, Australia",$10M to $50M,2016-01-01,year,European Commission,https://www.linkedin.com/company/vection-group-ltd
ZWSOFT,https://www.crunchbase.com/organization/zwsoft,101-250,Active,https://www.zwsoft.com,sales@zwsoft.com,+86-20-38289780,,,,,,,,,"Design, Manufacturing, Software","CAD, Manufacturing, Software",0,7,,Scientific and electric apparatus and instruments,,,,,,"Guangzhou, Guangdong, China",$1M to $10M,1998-08-01,month,"Fortune Venture Capital, Addor Capital, Guangzhou Yuexiu Industrial Investment Fund, Guangdong Technology Financial Group, China Internet Investment Fund",https://www.linkedin.com/company/zwsoft
canibuild,https://www.crunchbase.com/organization/canibuild,51-100,Active,https://canibuild.com/,support@canibuild.com,,,,,,,,,,"Design, Information Technology, Internet Services, Real Estate, Software","Architecture, CAD, Construction, Information Technology, Internet, Property Development, SaaS, Software",0,1,,Scientific and technological services,,,,,,"Sydney, New South Wales, Australia",$1M to $10M,2019-02-06,day,"EVP, Regal Funds Management",https://www.linkedin.com/company/canibuild/
Plethora,https://www.crunchbase.com/organization/plethora-2,51-100,Closed,https://plethora.io,contact@plethora.com,+1 415 726 2256,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Software","CAD, Machinery Manufacturing, Manufacturing, Robotics",16,1,Controlling,Scientific and electric apparatus and instruments,418600,USD,418600,,,"Marietta, Georgia, United States",$1M to $10M,2013-01-01,year,"Autodesk, Google Ventures, Root Ventures, Founders Fund, Lux Capital",https://www.linkedin.com/company/plethora
Snaptrude,https://www.crunchbase.com/organization/snaptrude,51-100,Active,http://www.snaptrude.com,info@snaptrude.com,,,,,,,,,,"Data and Analytics, Design, Hardware, Information Technology, Real Estate, Software","3D Technology, CAD, Data Visualization, Real Estate",2,0,Computing; Calculating,,,,,,,"New York, New York, United States",$1M to $10M,2017-12-01,day,"Roman Smolevskiy, Accel, CapitalX, Remote First Capital, Clark Valberg",https://www.linkedin.com/company/snaptrude
Model Debao,https://www.crunchbase.com/organization/model-debao,51-100,Active,http://www.moldbao.com,sales@moldbao.com,+86 0755-86363500,,,,,,,,,"Design, Hardware, Manufacturing, Software","CAD, Machinery Manufacturing, Manufacturing, Mechanical Design",,,,,,,,,,"Shenzhen, Guangdong, China",,2012-05-01,month,Tencent,
Shapr3D,https://www.crunchbase.com/organization/shapr3d,101-250,Active,http://shapr3d.com,info@shapr3d.com,,,,,,,,,,"Apps, Design, Hardware, Manufacturing, Software","3D Printing, 3D Technology, Apps, CAD, Software",,,,,582593,USD,582593,,,"Budapest, Budapest, Hungary",$10M to $50M,2015-11-01,month,"Creandum, Lifeline Ventures, Adjacent, InReach Ventures, Speedinvest",https://www.linkedin.com/company/shapr3d/
Thomas Storey,https://www.crunchbase.com/organization/thomas-storey-5a2f,51-100,Active,http://www.thos-storey.co.uk,info@thos-storey.co.uk,+44 0161 220 3960,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Software, Transportation","CAD, Machinery Manufacturing, Manufacturing, Product Design, Robotics, Supply Chain Management",,,,,125666,USD,125666,,,"Openshaw, Manchester, United Kingdom",$10M to $50M,1930-01-01,year,HSBC UK,https://www.linkedin.com/company/thos-storey/
Bentley Systems,https://www.crunchbase.com/organization/bentley-systems,1001-5000,Active,http://www.bentley.com,info@bentley.com,(610) 458-5000,3,3,1,,,,,,"Design, Information Technology, Internet Services, Other, Real Estate, Software","Architecture, CAD, Construction, Enterprise Software, Information Technology, Infrastructure, Internet of Things, Software",197,167,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Exton, Pennsylvania, United States",$1B to $10B,1984-01-01,year,,http://www.linkedin.com/company/bentley-systems
Silvaco,https://www.crunchbase.com/organization/silvaco,251-500,Active,http://www.silvaco.com/company/,,(408)567-1000,,,,,,,,,"Design, Hardware, Science and Engineering, Software","CAD, Semiconductor, Software",20,3,Computing; Calculating,Scientific and electric apparatus and instruments,882149,USD,882149,,,"Santa Clara, California, United States",$10M to $50M,1984-01-01,year,Micron Technology,https://www.linkedin.com/company/silvaco
Ntop,https://www.crunchbase.com/organization/ntop-1d38,51-100,Active,https://www.ntop.com,marketing@ntop.com,,,,,,,,,,"Design, Manufacturing, Science and Engineering, Software","3D Printing, CAD, Mechanical Engineering, Product Design, Software",,,,,2431092,USD,2431092,,,"New York, New York, United States",,2015-01-01,year,CSC Upshot,https://www.linkedin.com/company/ntopology
3Shape,https://www.crunchbase.com/organization/3shape,501-1000,Active,http://www.3shape.com/,info@3shape.com,+45 70 27 26 20,,,,,,,,,"Design, Health Care, Manufacturing, Software","CAD, Dental, Health Care, Manufacturing, Medical, Software",292,47,Medical Or Veterinary Science; Hygiene,Scientific and electric apparatus and instruments,,,,,,"Copenhagen, Hovedstaden, Denmark",$1M to $10M,2000-01-01,year,EQT,https://www.linkedin.com/company/3shape
Pinnacle Infotech,https://www.crunchbase.com/organization/pinnacle-infotech,501-1000,Active,http://pinnaclecad.com/,info@pinnaclecad.com,713 780 2135,,,,,,,,,"Design, Real Estate, Software","Architecture, CAD, Construction, Software",,,,,33809980,USD,33809980,,,"Durgapur, West Bengal, India",$10M to $50M,1992-01-23,day,,https://www.linkedin.com/company/pinnacle-infotech
Lectra,https://www.crunchbase.com/organization/lectra,5001-10000,Active,http://www.lectra.com/en/index.html,,+33153644200,,,,,,,,,"Design, Software","CAD, Software",3,25,Wearing Apparel,Scientific and electric apparatus and instruments,91323484,USD,91323484,,,"Paris, Ile-de-France, France",$500M to $1B,1973-01-01,year,,http://www.linkedin.com/company/lectra
Spatial,https://www.crunchbase.com/organization/spatial,10001+,Active,http://www.spatial.com/,support@3ds.com,303-544-2900,,,,,,,,,"Apps, Design, Hardware, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software","3D Technology, Apps, Audio, Business Development, CAD, Developer Tools, Information Technology, Internet, Software, Software Engineering",1,2,Computing; Calculating,Scientific and electric apparatus and instruments,1014003,USD,1014003,,,"Broomfield, Colorado, United States",$1B to $10B,1986-01-01,year,"Shea Ventures, Capstone Ventures, Roser Ventures, Cypress Growth Capital, Dolphin Asset Management",https://www.linkedin.com/company/869207
Vee Technologies,https://www.crunchbase.com/organization/veetechnologies-usa,1001-5000,Active,http://www.veetechnologies.com,info@veetechnologies.com,(646) 837-0837,1,1,,,,,,,"Design, Financial Services, Health Care, Professional Services, Software, Transportation","Accounting, CAD, Finance, Health Care, Legal, Logistics, Outsourcing",0,3,,Scientific and technological services,158501700,USD,158501700,,,"New York, New York, United States",$10M to $50M,2000-03-07,day,,https://www.linkedin.com/company/vee-technologies
TriMech,https://www.crunchbase.com/organization/trimech,101-250,Active,https://trimech.com/,marketing@trimech.com,(804)257-9965,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Software","3D Printing, 3D Technology, CAD, Mechanical Engineering, Software",0,3,,Scientific and technological services,11345068,USD,11345068,,,"Glen Allen, Virginia, United States",$50M to $100M,1998-01-01,year,"McCarthy Capital, Halifax Group, Audax Private Debt",https://www.linkedin.com/company/trimech-solutions
"Vectorworks, Inc.",https://www.crunchbase.com/organization/vectorworks,251-500,Active,http://www.vectorworks.net/,pr@vectorworks.net,(410)290-5114,,,,,,,,,"Design, Software","CAD, Enterprise Software, Product Design, Software",,,,,4755319,USD,4755319,,,"Columbia, Maryland, United States",$50M to $100M,1985-01-01,year,,https://www.linkedin.com/company/vectorworks-inc/
TriTech Software Systems,https://www.crunchbase.com/organization/tritech-software-systems,501-1000,Closed,http://www.tritech.com,,(858)799-7000,1,1,,,,,,,"Consumer Electronics, Design, Government and Military, Hardware, Information Technology, Software","CAD, Computer, Consumer Electronics, Government, GovTech, Information Technology, Public Safety, Software",5,5,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"San Diego, California, United States",$100M to $500M,1992-01-01,year,"HarbourVest Partners, WestView Capital Partners",http://www.linkedin.com/company/tritech-software-systems
OptiTex,https://www.crunchbase.com/organization/optitex,101-250,Active,https://optitex.com/,support@optitex.com,+97239049979,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Electronics, Design, Hardware, Software","3D Technology, CAD, Computer, Fashion, Made to Order, Software, Virtual Reality",1,2,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Petah Tiqva, HaMerkaz, Israel",$10M to $50M,1988-01-01,year,Danny Hadar,https://www.linkedin.com/company/optitex
Planitar,https://www.crunchbase.com/organization/planitar,51-100,Active,http://www.goiguide.com,info@planitar.com,(519) 568-1723,,,,,,,,,"Content and Publishing, Design, Hardware, Media and Entertainment, Navigation and Mapping, Real Estate, Software","3D Technology, CAD, Commercial Real Estate, Hardware, Mapping Services, Navigation, Photography, Property Management, Real Estate, Software",3,5,Testing,Scientific and electric apparatus and instruments,,,,,,"Waterloo, Ontario, Canada",$1M to $10M,2013-02-11,day,Angel One Network,https://www.linkedin.com/company/2990083
Visiativ,https://www.crunchbase.com/organization/visiativ,251-500,Active,http://www.visiativ.com,,33 4 78 87 29 29,,,,,,,,,"Design, Education, Professional Services, Software","Business Development, CAD, Education, Enterprise Software, Software",0,21,,Scientific and electric apparatus and instruments,40182333,USD,40182333,,,"Lyon, Rhone-Alpes, France",$100M to $500M,1987-02-01,day,Tikehau Capital,http://www.linkedin.com/company/visiativ
SrinSoft Technologies,https://www.crunchbase.com/organization/srinsofttech,501-1000,Active,http://www.srinsofttech.com,info@srinsofttech.com,614-333-5277,,,,,,,,,"Design, Hardware, Information Technology, Professional Services, Real Estate, Science and Engineering, Software","CAD, Consulting, Enterprise Software, Information Technology, Interior Design, Mechanical Design, Product Design, Software, Software Engineering",,,,,,,,,,"Dublin, Ohio, United States",$10M to $50M,2005-01-01,year,,https://www.linkedin.com/company/srinsoft-technologies
Amann Girrbach,https://www.crunchbase.com/organization/amann-girrbach,251-500,Active,https://www.amanngirrbach.com,,43552362333392,,,,,,,,,"Design, Health Care, Manufacturing, Software","CAD, Dental, Manufacturing, Medical Device",36,36,Medical Or Veterinary Science; Hygiene,Medical apparatus and instruments,6664114,USD,6664114,,,"Koblach, Vorarlberg, Austria",$100M to $500M,2004-01-01,year,"TA Associates, Project A Ventures",https://in.linkedin.com/company/amann-girrbach
Logis,https://www.crunchbase.com/organization/logis-34fb,51-100,Active,https://logissolutions.net/,,+1 206 426 9920,,,,,,,,,"Design, Health Care, Payments, Software","Billing, CAD, Health Care, Software",,,,,,,,,,"Issaquah, Washington, United States",$1M to $10M,2000-01-01,year,,https://www.linkedin.com/company/logis-solutions/
Cincinnati,https://www.crunchbase.com/organization/cincinnati,251-500,Active,https://www.e-ci.com,info@e-ci.com,1 513-367-7100,,,,,,,,,"Design, Hardware, Manufacturing, Other, Software","3D Technology, CAD, Commercial, Manufacturing, Software",2,15,Additive Manufacturing Technology,Machines and machine tools,880877,USD,880877,,,"Harrison, Ohio, United States",$1M to $10M,1898-01-01,year,,https://www.linkedin.com/company/1299480
BobCAD CAM,https://www.crunchbase.com/organization/bobcad-cam,51-100,Active,http://bobcad.com/,contactus@bobcad.com,877-262-2231,,,,,,,,,"Design, Education, Manufacturing, Software","3D Printing, CAD, Manufacturing, Software, Training",,,,,91410,USD,91410,,,"Clearwater, Florida, United States",$10M to $50M,1985-01-01,year,,https://in.linkedin.com/company/bobcad-cam-inc-
Arkance Systems,https://www.crunchbase.com/organization/arkance-systems,251-500,Active,https://www.arkance-systems.fr/,contact@aricad.fr,+33 (0) 1 39 44 18 18,,,,,,,,,"Design, Information Technology, Software","CAD, Information Services, Information Technology, Software",,,,,1061609,USD,1061609,,,"Montigny-le-bretonneux, Ile-de-France, France",$10M to $50M,1987-01-01,year,,https://www.linkedin.com/company/aricad/
Neilsoft,https://www.crunchbase.com/organization/neilsoft,501-1000,Active,http://www.neilsoft.com,info@neilsoft.com,+91 20 3054 2200,,,,,,,,,"Design, Other, Professional Services, Software, Transportation","Automotive, CAD, Consulting, Infrastructure",,,,,,,,,,"Pune, Maharashtra, India",,1993-06-24,day,,http://www.linkedin.com/company/neilsoft
think3,https://www.crunchbase.com/organization/think3,51-100,Active,http://www.think3.com/,,,,,,,,,,,"Design, Information Technology, Internet Services, Software","CAD, Cloud Data Services, Product Design, SaaS, Software",,,,,83793,USD,83793,,,"Austin, Texas, United States",$10M to $50M,1979-01-01,year,"DCM Ventures, Globespan Capital Partners",
BRZ,https://www.crunchbase.com/organization/brz,501-1000,Active,https://www.brz.eu/de/,info.de@brz.eu,49 911 3607-899,1,1,,,,,,,"Design, Information Technology, Real Estate, Software","CAD, Information Services, Information Technology, Residential",,,,,694748,USD,694748,,,"Nuremberg, Bayern, Germany",Less than $1M,1968-06-01,month,,https://www.linkedin.com/company/brz-deutschland/
Alibre,https://www.crunchbase.com/organization/alibre,501-1000,Active,http://www.alibre.com,sales@alibre.com,972-671-8492,,,,,,,,,"Design, Hardware, Information Technology, Manufacturing, Software","3D Technology, CAD, Enterprise Software, Industrial Manufacturing, Information Technology, Machinery Manufacturing, Manufacturing, Software",,,,,2745433,USD,2745433,,,"Richardson, Texas, United States",$1M to $10M,1997-01-01,year,"August Capital, CenterPoint Venture Partners, Rho Management, Bain Capital Public Equity, Benjamin M. Rosen",https://www.linkedin.com/company/alibrellc/
EMA Design Automation,https://www.crunchbase.com/organization/ema-design-automation,51-100,Active,http://www.ema-eda.com/,info@ema-eda.com,(800) 813-7494,,,,,,,,,"Design, Education, Manufacturing, Software","CAD, Developer Platform, Manufacturing, Training",0,9,,Scientific and electric apparatus and instruments,1232366,USD,1232366,,,"Rochester, New York, United States",$10M to $50M,1989-01-01,year,,http://www.linkedin.com/company/ema-design-automation
"Felsomat USA, Inc",https://www.crunchbase.com/organization/felsomat-usa-inc,101-250,Active,http://felsomat.com,info@felsomat.com,+49 723 240 10,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Software, Transportation","Automotive, CAD, Electronics, Industrial Manufacturing, Manufacturing, Product Design",38,10,Machine Tools,Machines and machine tools,542908,USD,542908,,,"Königsbach-stein, Baden-Wurttemberg, Germany",$10M to $50M,1981-01-01,year,,https://www.linkedin.com/company/felsomat-gmbh-co-kg/
OPEN MIND Technologies,https://www.crunchbase.com/organization/open-mind-technologies,101-250,Active,http://www.openmind-tech.com/,info.europe@openmind-tech.com,+49 8153 933-500,,,,,,,,,"Design, Manufacturing, Software","CAD, Manufacturing, Software",10,14,Machine Tools,Scientific and electric apparatus and instruments,266708,USD,266708,,,"Weßling, Bayern, Germany",$1M to $10M,1994-01-01,year,,https://www.linkedin.com/company/open-mind-technologies-ag/
Structural Dynamics Research Corporation,https://www.crunchbase.com/organization/structural-dynamics-research-corporation,5001-10000,Active,https://www.sdrc.com,,,,,,,,,,,"Design, Information Technology, Software","CAD, Information Technology, Software",,,,,,,,,,"Milford, Ohio, United States",,1967-01-01,year,"Morgenthaler Ventures, Venrock",
