Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Edelman,https://www.crunchbase.com/organization/edelman,10001+,Active,http://www.edelman.com,contact_us@edelman.com,(212) 768-0550,1,1,,,,,,,"Advertising, Data and Analytics, Information Technology, Sales and Marketing, Software","Advertising, Advertising Platforms, Analytics, Brand Marketing, CMS, Content Marketing, CRM, Marketing, Public Relations",,,,,2001764,USD,2001764,,,"New York, New York, United States",$1B to $10B,1952-10-01,day,,http://www.linkedin.com/company/edelman
Focus Softnet Pte Ltd,https://www.crunchbase.com/organization/focus-softnet,1001-5000,Active,https://www.focussoftnet.com/sg/,dm@focussoftnet.com,+918008403263,,,,,,,,,"Apps, Information Technology, Sales and Marketing, Software, Transportation","CMS, CRM, Enterprise Applications, Enterprise Resource Planning (ERP), Enterprise Software, SaaS, Software, Warehousing",,,,,,,,,,"Singapore, Central Region, Singapore",$500M to $1B,1992-01-01,day,,https://www.linkedin.com/company/focussoftnet
Webflow,https://www.crunchbase.com/organization/webflow,501-1000,Active,http://www.webflow.com,contact@webflow.com,+1 415-964-0555,,,,,,,,,"Design, Information Technology, Internet Services, Software","CMS, Web Design, Web Hosting",0,8,,Scientific and technological services,12603150,USD,12603150,,,"San Francisco, California, United States",$100M to $500M,2013-01-01,year,"Y Combinator, CapitalG, Amino Capital, Khosla Ventures, Silversmith Capital Partners",http://www.linkedin.com/company/webflow-inc-
Cendyn,https://www.crunchbase.com/organization/cendyn,501-1000,Active,https://www.cendyn.com,info@cendyn.com,561-750-3173,,,,,,,,,"Advertising, Information Technology, Sales and Marketing, Software, Travel and Tourism","Advertising, CMS, CRM, Digital Marketing, Hospitality, Information Technology, Software",,,,,22967100,USD,22967100,,,"Boca Raton, Florida, United States",$100M to $500M,1996-01-01,year,Accel-KKR,https://www.linkedin.com/company/cendyn/
Liferay,https://www.crunchbase.com/organization/liferay,501-1000,Active,https://www.liferay.com,sales@liferay.com,+1 877 543 3729,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Other, Software","CMS, Collaboration, Developer Platform, E-Commerce Platforms, Enterprise Software, Online Portals, SaaS, Software",4,15,Computing; Calculating,Scientific and technological services,19448578,USD,19448578,,,"Diamond Bar, California, United States",$100M to $500M,2004-01-01,year,,https://www.linkedin.com/company/liferay-inc-
Vital Records Control,https://www.crunchbase.com/organization/vital-records-control,1001-5000,Active,https://vitalrecordscontrol.com/,info@vitalrecordscontrol.com,877-898-7450,,,,,,,,,"Education, Financial Services, Government and Military, Health Care, Information Technology, Internet Services, Lending and Investments, Manufacturing, Professional Services, Software","Banking, Cloud Storage, CMS, Education, Electronic Health Record (EHR), Government, Health Care, Insurance, Legal, Manufacturing",,,,,57950400,USD,57950400,,,"Memphis, Tennessee, United States",$100M to $500M,1988-01-01,year,,https://www.linkedin.com/company/vital-records-control-llc/
Americaneagle.com,https://www.crunchbase.com/organization/americaneagle-com,501-1000,Active,http://www.americaneagle.com,shawn.griffin@americaneagle.com,(847)699-0300,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","CMS, E-Commerce, Marketing, Web Development, Web Hosting",,,,,,,,,,"Des Plaines, Illinois, United States",$100M to $500M,1978-01-01,year,,https://www.linkedin.com/company/americaneagle-com
Investis Digital,https://www.crunchbase.com/organization/investis,501-1000,Active,https://www.investisdigital.com,uk@investisdigital.com,+44 (0)20 7038 9000,,,,,,,,,"Advertising, Design, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, CMS, Content, Digital Marketing, Digital Media, SaaS, SEO, Web Design, Web Development, Web Hosting",0,1,,Scientific and technological services,13844699,USD,13844699,,,"London, England, United Kingdom",$100M to $500M,2000-03-01,day,,https://www.linkedin.com/company/investisdigital/
Databank IMX,https://www.crunchbase.com/organization/databank-imx,501-1000,Active,http://www.databankimx.com/,contactus@databankimx.com,3012105348,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Business Process Automation (BPA), CMS, Document Management, Machine Learning, Software",,,,,16001431,USD,16001431,,,"Chesterton, Indiana, United States",$100M to $500M,1996-01-01,year,"Fifth Third Bank, Merion Investment Partners, Akoya Capital Partners, Svoboda Capital",https://www.linkedin.com/company/databank-imx
AMPLEXOR,https://www.crunchbase.com/organization/amplexor,1001-5000,Active,http://www.amplexor.com/,marketing@amplexor.com,+32 16 44 25 10,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), CMS, Consulting, Content, Document Management, Enterprise Applications, Marketing, Software, Training, Translation Service",0,5,,Scientific and technological services,11402347,USD,11402347,,,"Bertrange, Luxembourg, Luxembourg",$100M to $500M,2001-01-01,year,,https://www.linkedin.com/company/amplexor-international
