Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
IBM,https://www.crunchbase.com/organization/ibm,10001+,Active,http://www.ibm.com,ews@us.ibm.com,(914)499-1900,61,66,20,5,,,,,"Data and Analytics, Information Technology, Professional Services, Sales and Marketing, Software","Business Development, Business Information Systems, CRM, Data Management, Software","54,628","1,295",Computing; Calculating,Scientific and electric apparatus and instruments,4251481,USD,4251481,,,"Armonk, New York, United States",$10B+,1911-06-06,day,,https://www.linkedin.com/company/ibm
Swiss Re,https://www.crunchbase.com/organization/swiss-re,10001+,Active,http://www.swissre.com,,914 828 8000,17,19,9,2,,,,,"Commerce and Shopping, Financial Services, Information Technology, Professional Services, Sales and Marketing, Software","CRM, Information Technology, Insurance, Risk Management, Wholesale",216,79,Computing; Calculating,Insurance; financial affairs,1791460751,USD,1791460751,,,"Zürich, Zurich, Switzerland",$10B+,1863-01-01,year,"SoftBank, JP Morgan",http://www.linkedin.com/company/swiss-re
Radian6,https://www.crunchbase.com/organization/radian6,1001-5000,Active,https://www.salesforce.com,community@radian6.com,1-888-747-9736,,,,,,,,,"Advertising, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Navigation and Mapping, Sales and Marketing, Software, Video","Advertising, CRM, Information Technology, Location Based Services, Messaging, Social Media Management, Social Media Marketing, Software, Video",,,,,,,,,,"Fredericton, Nova Scotia, Canada",$10B+,2006-04-01,day,"BDC Venture Capital, Brightspark Ventures, BDC IT Venture Fund, New Brunswick Innovation Foundation, East Valley Ventures",https://www.linkedin.com/company/salesforce
Quanta Services,https://www.crunchbase.com/organization/quanta-services-inc,10001+,Active,http://www.quantaservices.com/,info@quantaservices.com,+1 713 629 7600,1,1,,,,,,,"Energy, Information Technology, Natural Resources, Real Estate, Sales and Marketing, Software","Construction, CRM, Energy, Information Technology, Oil and Gas",197,174,Generation; Conversion Or Distribution Of Electric Power,Building; repairs,209561,USD,209561,,,"Houston, Texas, United States",$10B+,1997-01-01,year,First Reserve Corporation,http://www.linkedin.com/company/quanta-services
IBM Security Services,https://www.crunchbase.com/organization/ibm-security-services,10001+,Active,http://www.ibm.com/security/,,,,,,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software","CRM, Information Technology, Network Security, Security, Software",,,,,4670599948,USD,4670599948,,,"Armonk, New York, United States",$10B+,1911-01-01,year,,https://www.linkedin.com/company/ibm/about/
Salesforce,https://www.crunchbase.com/organization/salesforce,10001+,Active,https://www.salesforce.com,info@salesforce.com,+1 800 667 6389,61,69,31,2,,,,2,"Apps, Information Technology, Internet Services, Mobile, Platforms, Sales and Marketing, Software","Apps, Cloud Computing, CRM, Enterprise Software, Information Technology, iOS, Mobile Apps, SaaS, Sales Enablement, Software","4,313",6,Computing; Calculating,Scientific and electric apparatus and instruments,618362,USD,618362,,,"San Francisco, California, United States",$10B+,1999-01-01,day,"Emergence, Meritech Capital Partners, Marc Benioff, New Enterprise Associates, Morgenthaler Ventures",https://www.linkedin.com/company/salesforce
Goddard Enterprises,https://www.crunchbase.com/organization/goddard-enterprises,51-100,Active,http://www.goddardenterprisesltd.com/,gelinfo@thegelgroup.com,(246)430-5700,1,2,2,2,,,,,"Information Technology, Manufacturing, Sales and Marketing, Software","CRM, Manufacturing, Marketing",,,,,,,,,,"Bridgetown, Saint Michael, Barbados",$10B+,1921-01-01,year,,https://www.linkedin.com/company/goddard-enterprises-ltd-1
Embratel,https://www.crunchbase.com/organization/embratel-2,10001+,Active,https://www.embratel.com.br/,,0800 721 1021,,,,,,,,,"Hardware, Information Technology, Internet Services, Professional Services, Sales and Marketing, Software","CRM, Information Technology, Internet of Things, Outsourcing, Software, Telecommunications",,,,,,,,,,"Rio De Janeiro, Rio de Janeiro, Brazil",$10B+,1965-01-01,year,,https://www.linkedin.com/company/embratel/
Dixons Retail PLC.,https://www.crunchbase.com/organization/dixons-retail-plc,10001+,Closed,http://www.dixonsretail.com/,,,,,,,,,,,"Commerce and Shopping, Information Technology, Sales and Marketing, Software","CRM, Information Technology, Retail",,,,,,,,,,"Hemel Hempstead, Hertford, United Kingdom",$10B+,1937-01-01,year,,http://www.linkedin.com/company/dixons-stores-group
IBM United Kingdom Ltd,https://www.crunchbase.com/organization/ibm-united-kingdom-ltd,10001+,Active,https://www.ibm.com/uk-en,,,,,,,,,,,"Information Technology, Professional Services, Sales and Marketing, Software","CRM, Information Technology, Outsourcing, Software",,,,,4670599948,USD,4670599948,,,"Armonk, New York, United States",$10B+,1928-01-01,year,,
