Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
IGT Solutions,https://www.crunchbase.com/organization/interglobe-technologies,10001+,Active,https://www.igtsolutions.com,mktg@igtsolutions.com,+91 (0124) 435 5101,,,,,,,,,"Artificial Intelligence (AI), Information Technology, Other, Professional Services, Software, Travel and Tourism","Chatbot, Consulting, Customer Service, Information Technology, Robotic Process Automation (RPA), Travel",0,3,,Advertising; business,,,,,,"Haryana, Haryana, India",$1B to $10B,1998-01-01,year,,https://www.linkedin.com/company/igtsolutions
Samsung Electronics Service,https://www.crunchbase.com/organization/samsung-electronics-service,5001-10000,Active,https://www.samsungsvc.co.kr,,15-883-366,,,,,,,,,"Consumer Electronics, Hardware, Professional Services, Software","Chatbot, Consulting, Consumer Electronics, Electronics",,,,,,,,,,"Suwon, Ch'ungch'ong-namdo, South Korea",$1B to $10B,1998-10-27,day,,
Kore.ai,https://www.crunchbase.com/organization/kore-ai,501-1000,Active,https://kore.ai,info@kore.ai,(844) 756-7324,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Collaboration, Enterprise Software, Generative AI, Machine Learning, Natural Language Processing",9,1,,Scientific and electric apparatus and instruments,847578,USD,847578,,,"Orlando, Florida, United States",$100M to $500M,2013-01-01,year,"NVIDIA, FTV Capital, Vistara Growth, PNC, Dallas Venture Capital",https://www.linkedin.com/company/kore-inc
Drift,https://www.crunchbase.com/organization/drift,501-1000,Active,https://www.drift.com,,+1 855 266 1567,,,,,,,,,"Sales and Marketing, Software","Chatbot, Enterprise Software, Marketing, SaaS",14,12,Musical Instruments; Acoustics,Scientific and technological services,8427727,USD,8427727,,,"Boston, Massachusetts, United States",$100M to $500M,2015-01-01,year,"Employee Stock Option Fund, HubSpot, Sequoia Capital, General Catalyst, Dharmesh Shah",https://www.linkedin.com/company/drift
Take Blip,https://www.crunchbase.com/organization/take-blip,1001-5000,Active,https://take.net/en/,marketing@take.net,+55 31 3349-6201,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Customer Service, Information and Communications Technology (ICT), Marketing Automation, Messaging, Natural Language Processing, Sales Automation, Text Analytics",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$100M to $500M,1999-07-01,month,"Warburg Pincus, Hugo Barra",https://www.linkedin.com/company/takeblip/
Kaleyra,https://www.crunchbase.com/organization/kaleyra,501-1000,Active,https://www.kaleyra.com/,,,,,,,,,,,"Consumer Electronics, Financial Services, Hardware, Software","Chatbot, Computer, Financial Services, Software",0,3,,Scientific and electric apparatus and instruments,34975945,USD,34975945,,,"Milano, Lombardia, Italy",$100M to $500M,1999-01-01,year,,https://www.linkedin.com/company/kaleyra/
Circle,https://www.crunchbase.com/organization/circle-3,,Active,http://circle.co,,,,,,,,,,,"Information Technology, Internet Services, Software","Chatbot, Information Technology, Internet, Software",,,,,,,,,,,$100M to $500M,2018-07-22,day,,
Fred,https://www.crunchbase.com/organization/fred-2,1-10,Active,http://cafefred.es/en/,hola@cafefred.es,,,,,,,,,,"Food and Beverage, Software","Chatbot, Coffee",,,,,174391,USD,174391,,,"Barcelona, Catalonia, Spain",$100M to $500M,2016-01-01,year,,https://www.linkedin.com/company/fred-cold-brew-s.l.
Web Spiders Inc.,https://www.crunchbase.com/organization/ws-group,101-250,Active,https://www.webspiders.com/,hello@webspiders.com,+65 6534 9746,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Cloud Management, Content Marketing, Digital Marketing, Enterprise Software, Information Technology, Service Industry, Social Media Marketing, Web Development",,,,,4474773,USD,4474773,,,"New York, New York, United States",$50M to $100M,2000-04-11,day,,https://www.linkedin.com/company/web-spiders
ProJuris,https://www.crunchbase.com/organization/projuris,101-250,Active,https://www.projuris.com.br/,,0800-608-0056,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Legal, Legal Tech, SaaS, Software",,,,,,,,,,"Joinville, Santa Catarina, Brazil",$50M to $100M,2010-01-01,year,,https://www.linkedin.com/company/projuris
Chatkit,https://www.crunchbase.com/organization/shoppe-ai,51-100,Closed,https://chatkit.com/,hello@chatkit.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Content Marketing, Marketing, Marketing Automation, Messaging, Social Media Marketing",,,,,,,,,,"Toronto, Ontario, Canada",$50M to $100M,2016-01-01,year,"CIBC, Inovia Capital, 500 Startups Canada, Mantella Venture Partners, Dream Maker Ventures (DMV)",https://www.linkedin.com/company/shoppe-ai/
Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,51-100,Active,https://www.perplexity.ai,support@perplexity.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Generative AI, Search Engine, Software",0,0,,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$10M to $50M,2022-01-01,year,"NVIDIA, Kindred Ventures, Nat Friedman, Jeff Bezos, E1 Ventures",https://www.linkedin.com/company/perplexity-ai
Parloa,https://www.crunchbase.com/organization/parloa,251-500,Active,https://parloa.com,contact@parloa.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Information Technology, SaaS, Software, Telecommunications",0,1,,Scientific and electric apparatus and instruments,2505999,USD,2505999,,,"Berlin, Berlin, Germany",$10M to $50M,2017-01-01,year,"La Famiglia, Mosaic Ventures, Newion, Senovo, Mario Götze",https://www.linkedin.com/company/parloa
