Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SWECO,https://www.crunchbase.com/organization/sweco-industry-oy,10001+,Active,https://www.sweco.fi,viesti@sweco.fi,+358 20 739 3000,,,,,,,,,"Government and Military, Information Technology, Science and Engineering, Sustainability","CivicTech, Civil Engineering, Environmental Engineering",,,,,129905817,USD,129905817,,,"Helsinki, Southern Finland, Finland",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/sweco/
Asunaro Aoki Construction,https://www.crunchbase.com/organization/asunaro-aoki-construction,1001-5000,Active,https://www.aaconst.co.jp/,,,,,,,,,,,"Government and Military, Information Technology, Real Estate, Science and Engineering","CivicTech, Civil Engineering, Construction",,,,,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,,,,
ServiceOntario,https://www.crunchbase.com/organization/serviceontario,1001-5000,Active,https://www.ontario.ca/page/government-ontario,CEO@ServiceOntario.ca,+1 800-267-8097,,,,,,,,,"Government and Military, Health Care, Information Technology, Other","CivicTech, Government, Health Care, Service Industry",,,,,615849244,USD,615849244,,,"Toronto, Ontario, Canada",$1B to $10B,2006-01-01,year,,https://www.linkedin.com/company/government-of-ontario
Chemring Group,https://www.crunchbase.com/organization/chemring-group,1001-5000,Active,https://www.chemring.com,info@chemring.co.uk,+44 1489 881880,,,,,,,,,"Data and Analytics, Government and Military, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering","Aerospace, CivicTech, Consulting, Manufacturing, Service Industry, Test and Measurement",62,5,Basic Electric Elements,Scientific and electric apparatus and instruments,29588809,USD,29588809,,,"Romsey, Hampshire, United Kingdom",$500M to $1B,1905-01-01,year,"European Commission, Government of Norway",https://www.linkedin.com/company/chemring-group-plc
Geo Designs and Research,https://www.crunchbase.com/organization/geo-designs-and-research,501-1000,Active,https://www.geogroup.in,info@geogroup.in,+91 265 229 0222,,,,,,,,,"Administrative Services, Design, Government and Military, Information Technology, Other, Professional Services, Real Estate, Science and Engineering","CivicTech, Civil Engineering, Consulting, Interior Design, Project Management",,,,,,,,,,"Vadodara, Gujarat, India",$500M to $1B,2007-01-01,year,,https://www.linkedin.com/company/geo-designs-&-research-pvt-ltd-
Nextdoor,https://www.crunchbase.com/organization/nextdoor,501-1000,Active,http://nextdoor.com,press@nextdoor.com,,12,12,12,,,,,,"Apps, Community and Lifestyle, Government and Military, Information Technology, Internet Services, Media and Entertainment, Mobile, Software","CivicTech, Communities, Internet, Mobile Apps, Social Media",7,16,Electric Communication Technique,Advertising; business,28829550,USD,28829550,,,"San Francisco, California, United States",$100M to $500M,2011-10-01,month,"Dragoneer Investment Group, T. Rowe Price, Bond, Meritech Capital Partners, Allen & Company",https://www.linkedin.com/company/nextdoor-com
Veritone,https://www.crunchbase.com/organization/veritone,501-1000,Active,https://www.veritone.com,info@veritone.com,888-507-1737,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Government and Military, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Asset Management, CivicTech, GovTech, Information Technology, Machine Learning, Search Engine, Speech Recognition, Visual Search",0,24,Computing; Calculating,Scientific and technological services,8896693,USD,8896693,,,"Denver, Colorado, United States",$100M to $500M,2014-01-01,year,"US Department of Energy, Acacia Research, Miramar Ventures, Checketts Partners Investment Fund",https://www.linkedin.com/company/veritone-inc-
Kofile,https://www.crunchbase.com/organization/kofile,251-500,Active,https://kofile.com/,info@kofile.us,(214) 351-4800,,,,,,,,,"Government and Military, Information Technology","CivicTech, Government, Information Technology",1,0,Layered Products,,,,,,,"Dallas, Texas, United States",$100M to $500M,2009-01-01,year,,https://www.linkedin.com/company/kofile
Associação Brasileira de Cimento Portland,https://www.crunchbase.com/organization/associação-brasileira-de-cimento-portland,51-100,Active,http://www.abcp.org.br,dcc@abcp.org.br,+55 11 3760 5300,,,,,,,,,"Government and Military, Information Technology, Other, Real Estate, Science and Engineering, Social Impact","Association, CivicTech, Civil Engineering, Construction, Non Profit",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$100M to $500M,1936-01-01,year,,https://www.linkedin.com/company/abcpcimento
Slachtofferhulp Nederland,https://www.crunchbase.com/organization/slachtofferhulp-nederland,501-1000,Active,http://www.slachtofferhulp.nl,,0900 - 01 01,,,,,,,,,"Community and Lifestyle, Government and Military, Information Technology, Internet Services","CivicTech, Social, Social Network",,,,,,,,,,"Utrecht, Utrecht, The Netherlands",$100M to $500M,1990-01-01,year,,https://www.linkedin.com/company/slachtofferhulp-nederland/?originalSubdomain=nl
