Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Moloco,https://www.crunchbase.com/organization/moloco,501-1000,Active,http://www.moloco.com/,contact@moloco.com,425.442.8566,,,,,,,,,"Advertising, Apps, Hardware, Internet Services, Mobile, Sales and Marketing, Software","Advertising, Cloud Infrastructure, Mobile, Mobile Apps",,,,,225166,USD,225166,,,"Redwood City, California, United States",$1M to $10M,2013-01-01,year,"Fidelity, Samsung Ventures, EDBI, Mirae Asset Venture Investment, LG Technology Ventures",https://www.linkedin.com/company/moloco
Render,https://www.crunchbase.com/organization/render,51-100,Active,https://render.com,support@render.com,,,,,,,,,,"Hardware, Internet Services, Software","Cloud Infrastructure, Internet, Software",0,1,,Scientific and technological services,,,,,,"San Francisco, California, United States",$1M to $10M,2018-01-01,month,"Abstract Ventures, General Catalyst, South Park Commons, Bessemer Venture Partners, Lee Fixel",https://www.linkedin.com/company/renderco
Aiven,https://www.crunchbase.com/organization/aiven,501-1000,Active,https://aiven.io,support@aiven.io,,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Infrastructure, Database, Open Source",0,10,,Scientific and electric apparatus and instruments,4707621,USD,4707621,,,"Helsinki, Southern Finland, Finland",$10M to $50M,2016-01-01,year,"Eurazeo, Earlybird Venture Capital, BlackRock, WiL (World Innovation Lab), First Fellow Partners",https://www.linkedin.com/company/aiven/
DriveWealth,https://www.crunchbase.com/organization/drivewealth,251-500,Active,https://drivewealth.com,support@drivewealth.com,1 800 461 2680,1,1,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Hardware, Internet Services, Lending and Investments, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Infrastructure, Cryptocurrency, Developer APIs, Financial Services, FinTech, Personal Finance, Software, Trading Platform, Wealth Management",0,4,,Insurance; financial affairs,3855135,USD,3855135,,,"Jersey City, New Jersey, United States",$10M to $50M,2012-01-01,year,"FTX, Fenway Summer Ventures, Point72 Ventures, Citi Ventures, SBI Group",https://www.linkedin.com/company/drivewealth
BrowserStack,https://www.crunchbase.com/organization/browserstack,501-1000,Active,http://www.browserstack.com/,support@browserstack.com,,,,,,,,,,"Hardware, Internet Services, Software","Cloud Infrastructure, Developer Tools, SaaS, Software",14,17,,Scientific and technological services,,,,,,"Dublin, Dublin, Ireland",$100M to $500M,2011-09-01,day,"Bond, Accel, Insight Partners",https://www.linkedin.com/company/browserstack
Teleport,https://www.crunchbase.com/organization/gravitational,101-250,Active,http://goteleport.com/,info@goteleport.com,855-818-9008,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security","Cloud Data Services, Cloud Infrastructure, Cyber Security, Identity Management, Privacy",0,2,,Advertising; business,,,,,,"Oakland, California, United States",$10M to $50M,2015-01-01,year,"Four Cities Capital, Zillionize, Y Combinator, Insight Partners, Bessemer Venture Partners",https://www.linkedin.com/company/go-teleport/
Yugabyte,https://www.crunchbase.com/organization/yugabyte,251-500,Active,https://www.yugabyte.com,info@yugabyte.com,,,,,,,,,,"Data and Analytics, Hardware, Internet Services, Software","Cloud Infrastructure, Database, Enterprise Software, Open Source",0,3,,Scientific and technological services,7876950,USD,7876950,,,"Sunnyvale, California, United States",$50M to $100M,2016-02-01,month,"Meritech Capital Partners, Dell Technologies Capital, Lightspeed Venture Partners, Greenspring Associates, Wipro Ventures",https://www.linkedin.com/company/yugabyte
Veeam Software,https://www.crunchbase.com/organization/veeam-software,1001-5000,Active,http://www.veeam.com,veeam_team@veeam.com,800-691-1991,1,1,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Data Center, Data Management, Enterprise Software, Software, Virtualization",7,5,Computing; Calculating,Scientific and electric apparatus and instruments,108021078,USD,108021078,,,"Columbus, Ohio, United States",$500M to $1B,2006-01-01,year,"Canada Pension Plan Investment Board, Insight Partners",https://www.linkedin.com/company/veeam-software/
Krutrim,https://www.crunchbase.com/organization/krutrim-si-designs,101-250,Active,https://olakrutrim.com,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Cloud Infrastructure",,,,,,,,,,"Bangalore, Karnataka, India",,2023-01-01,year,"Matrix Partners India, Matrix, Bhavish Aggarwal",https://www.linkedin.com/company/krutrim
LogicMonitor,https://www.crunchbase.com/organization/logicmonitor,1001-5000,Closed,http://www.logicmonitor.com,press@logicmonitor.com,805-617-3884,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Analytics, Application Performance Management, Cloud Infrastructure, DevOps, Information Technology, IT Infrastructure, IT Management, SaaS",9,14,Electric Communication Technique,Scientific and technological services,22416611,USD,22416611,,,"Santa Barbara, California, United States",$10M to $50M,2007-01-01,year,"Providence Equity Partners, Saratoga Partners",https://www.linkedin.com/company/logicmonitor
Pantheon,https://www.crunchbase.com/organization/pantheon,501-1000,Active,https://pantheon.io,hello@pantheon.io,+1 855 927 9387,,,,,,,,,"Hardware, Internet Services, Software","Cloud Infrastructure, Internet, SaaS, Software, Web Development, Web Hosting",2,7,,Scientific and technological services,,,,,,"San Francisco, California, United States",$1M to $10M,2010-01-01,year,"Floodgate, Scale Venture Partners, Industry Ventures, Sageview Capital, Heavybit",https://www.linkedin.com/company/getpantheon
Securonix,https://www.crunchbase.com/organization/securonix-inc-,101-250,Active,https://www.securonix.com/,info@securonix.com,855-732-6649,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Analytics, Cloud Infrastructure, Cyber Security, Software",,,,,10514772,USD,10514772,,,"Addison, Texas, United States",$100M to $500M,2008-01-01,year,"Eight Roads Ventures, Volition Capital, Capital One Ventures, Verizon Ventures, Wipro Ventures",https://www.linkedin.com/company/securonix
Hasura,https://www.crunchbase.com/organization/hasura,101-250,Active,http://hasura.io/,suuport@hasura.io,,,,,,,,,,"Hardware, Internet Services, Software","Cloud Infrastructure, Developer APIs, Developer Tools, Open Source, Software",,,,,20121935,USD,20121935,,,"Bangalore, Karnataka, India",$1M to $10M,2017-01-01,year,"Nexus Venture Partners, Vertex Ventures, Lightspeed Venture Partners, Vertex Ventures US, STRIVE",https://www.linkedin.com/company/hasura/
Storj,https://www.crunchbase.com/organization/storj,51-100,Active,http://storj.io,hello@storj.io,404-855-1407,,,,,,,,,"Hardware, Information Technology, Internet Services, Other, Software","Cloud Data Services, Cloud Infrastructure, Collaborative Consumption, Software",0,8,,Education; entertainment,1417950,USD,1417950,,,"Atlanta, Georgia, United States",$1M to $10M,2014-01-01,year,"BnkToTheFuture, GVA Capital, TechSquare Labs, Gabriel Jarrosson, Iterative Capital Management",https://www.linkedin.com/company/storjlabs/
Passport,https://www.crunchbase.com/organization/passportparking,251-500,Active,http://www.passportinc.com,info@passportinc.com,+1 980 939 0990,,,,,,,,,"Financial Services, Government and Military, Hardware, Information Technology, Internet Services, Mobile, Payments, Software, Transportation","CivicTech, Cloud Infrastructure, Mobile Payments, Public Transportation, SaaS",5,9,,Scientific and technological services,207523,USD,207523,,,"Charlotte, North Carolina, United States",$50M to $100M,2010-04-01,day,"Bain Capital Ventures, Sixth Street, Grotech Ventures, Rho Capital Partners, H.I.G. Growth Partners",https://www.linkedin.com/company/passport-labs/
Anaconda,https://www.crunchbase.com/organization/continuum-analytics,101-250,Active,https://www.anaconda.com,info@anaconda.com,512-222-5440,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Cloud Infrastructure, Enterprise Software, Machine Learning, Open Source",1,25,Computing; Calculating,Scientific and technological services,53866,USD,53866,,,"Austin, Texas, United States",$10M to $50M,2012-01-01,day,"BuildGroup, General Catalyst, Citi Ventures, Apertu Capital",https://www.linkedin.com/company/anacondainc/
