Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Dell EMC,https://www.crunchbase.com/organization/emc,10001+,Active,https://www.dellemc.com,edservices_cma_apj@emc.com,1-866-438-3622,25,29,6,2,,,,,"Hardware, Information Technology, Internet Services, Other, Privacy and Security, Software","Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Collaboration, Data Storage, IT Infrastructure, Software, Virtualization",619,67,Computing; Calculating,Scientific and electric apparatus and instruments,146032,USD,146032,,,"Hopkinton, Massachusetts, United States",$10B+,1979-01-01,year,,https://www.linkedin.com/company/dellemc
Zscaler,https://www.crunchbase.com/organization/zscaler,5001-10000,Active,https://www.zscaler.com,info@zscaler.com,1(408) 533-0288,4,5,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Enterprise Software, Security",226,21,Electric Communication Technique,Scientific and technological services,124764345,USD,124764345,,,"San Jose, California, United States",$1B to $10B,2008-01-01,year,"Employee Stock Option Fund, EquityZen, CapitalG, TPG Growth, Lightspeed Venture Partners",https://www.linkedin.com/company/zscaler
Sophos,https://www.crunchbase.com/organization/sophos,1001-5000,Active,http://www.sophos.com,support@sophos.com,+441235559933,,,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Network Security, Software",315,120,Computing; Calculating,Scientific and technological services,112142062,USD,112142062,,,"Abingdon, Oxfordshire, United Kingdom",$1B to $10B,1985-01-01,year,TA Associates,https://www.linkedin.com/company/sophos
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,5001-10000,Active,http://www.crowdstrike.com,info@crowdstrike.com,+1 888 512 8906,7,8,1,1,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Cloud Security, Cyber Security, Network Security",145,36,Computing; Calculating,Scientific and technological services,184249,USD,184249,,,"Sunnyvale, California, United States",$1B to $10B,2011-01-01,year,"Employee Stock Option Fund, Warburg Pincus, CapitalG, Rackspace, March Capital",https://www.linkedin.com/company/crowdstrike
Keysight Technologies,https://www.crunchbase.com/organization/keysight-technologies,10001+,Active,https://www.keysight.com,usa_orders@keysight.com,+1 800 829 4444,3,4,1,,,,,,"Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Mobile, Privacy and Security, Software","Analytics, Cloud Security, Electronics, Manufacturing, Network Security, Product Design, Software, Test and Measurement, Wireless",786,327,Testing,Scientific and electric apparatus and instruments,,,,,,"Santa Rosa, California, United States",$1B to $10B,1939-01-01,year,"Department for Science, Innovation and Technology (DSIT)",https://www.linkedin.com/company/keysight-technologies/
Trend Micro,https://www.crunchbase.com/organization/trend-micro,5001-10000,Active,http://www.trendmicro.com,media_relations@trendmicro.com,+1 (817) 522-7911,4,4,1,,,,,,"Hardware, Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Security, Virtualization",618,2,Computing; Calculating,Scientific and technological services,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,1988-01-01,year,,http://www.linkedin.com/company/trend-micro
Nutanix Beam,https://www.crunchbase.com/organization/botmetric,5001-10000,Active,https://www.nutanix.com/products/beam,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software","Analytics, Cloud Management, Cloud Security, IT Management",,,,,158662,USD,158662,,,"San Jose, California, United States",$1B to $10B,2014-01-01,year,"Blume Ventures, Pallav Nadhani, Jocelyn Goldfein, Faiyaz Shahpurwala, Vishal Gupta",https://www.linkedin.com/company/nutanix
NICE,https://www.crunchbase.com/organization/nice-e1d1,5001-10000,Active,https://www.nice.com/,nice.sales@nice.com,+1 866 965 7227,1,1,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security, Software","Cloud Security, Fraud Detection, Security, Software",295,32,Computing; Calculating,Scientific and technological services,,,,,,"Ra'anana, HaMerkaz, Israel",$1B to $10B,1986-01-01,year,,https://www.linkedin.com/company/nice-systems/
Denave,https://www.crunchbase.com/organization/denave-india-pvt-ltd,1001-5000,Active,http://www.denave.com,marketing@denave.com,+91 120 387 5100,,,,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software","Cloud Security, Information Technology, SaaS, Sales Automation, Software",,,,,,,,,,"Noida, Uttar Pradesh, India",$1B to $10B,1999-01-01,year,,https://in.linkedin.com/company/denave
T-Systems International,https://www.crunchbase.com/organization/t-systems,10001+,Active,http://www.t-systemsus.com,info@t-systems.com,(496)920-0600,,,,,,,,,"Hardware, Information Technology, Internet Services, Mobile, Privacy and Security, Professional Services, Software","Cloud Infrastructure, Cloud Management, Cloud Security, Consulting, Information and Communications Technology (ICT), Information Technology, Mobile",2,15,Electric Communication Technique,Scientific and technological services,739640807,USD,739640807,,,"Frankfurt, Hessen, Germany",$1B to $10B,2000-01-01,year,,https://www.linkedin.com/company/t-systems/
