Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Juniper Networks,https://www.crunchbase.com/organization/juniper-networks,5001-10000,Active,http://www.juniper.net,social-media@juniper.net,888-586-4737,42,52,9,4,,,,1,"Hardware, Information Technology, Other, Privacy and Security, Software","Communication Hardware, DevOps, Information Technology, Infrastructure, Security","3,250",98,Electric Communication Technique,Scientific and electric apparatus and instruments,428063100,USD,428063100,,,"Sunnyvale, California, United States",$1B to $10B,1996-01-01,year,"New Enterprise Associates, Kleiner Perkins, CORMCO",https://www.linkedin.com/company/juniper-networks
Relay,https://www.crunchbase.com/organization/relay-b375,101-250,Active,https://relaypro.com,jschniepp@relaypro.com,,,,,,,,,,"Hardware, Navigation and Mapping, Software","Communication Hardware, GPS, Productivity Tools, Software",74,6,Electric Communication Technique,Telecommunications,,,,,,"Raleigh, North Carolina, United States",$1M to $10M,2015-01-01,year,Sovereign’s Capital,https://www.linkedin.com/company/relaypro
Solace,https://www.crunchbase.com/organization/solace,251-500,Active,https://solace.com,info@solace.com,+1 613 271 1010,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Communication Hardware, Hardware, Information Technology, SaaS",25,11,Computing; Calculating,Scientific and electric apparatus and instruments,7779447,USD,7779447,,,"Ottawa, Ontario, Canada",$1M to $10M,2001-01-01,year,"HarbourVest Partners, FedDev, Wesley Clover, Ontario Teachers' Pension Plan, Tandem Expansion",https://www.linkedin.com/company/solacedotcom
Neat,https://www.crunchbase.com/organization/neat-17f0,101-250,Active,https://neat.no,,,,,,,,,,,"Hardware, Messaging and Telecommunications, Software","Communication Hardware, Hardware, Meeting Software, Telecommunications",,,,,1558273,USD,1558273,,,"Oslo, Oslo, Norway",$50M to $100M,2019-01-01,year,Zoom,https://www.linkedin.com/company/neat-no
SmartSky Networks,https://www.crunchbase.com/organization/smartsky-networks,51-100,Active,http://smartskynetworks.com,info@smartskynetworks.com,(800) 660-9982,,,,,,,,,"Hardware, Internet Services, Mobile","Communication Hardware, Telecommunications, Web Hosting, Wireless",176,8,Electric Communication Technique,Scientific and electric apparatus and instruments,1806498,USD,1806498,,,"Morrisville, North Carolina, United States",$100M to $500M,2011-01-01,year,"BlackRock, WP Global Partners, Tiger Infrastructure Partners, Meritage Funds, Platform Partners",http://www.linkedin.com/company/smartsky-networks-llc
Eswin,https://www.crunchbase.com/organization/eswin,251-500,Active,http://www.eswin.com,,,,,,,,,,,"Consumer Electronics, Hardware, Science and Engineering","Communication Hardware, Hardware, Semiconductor, Wearables",46,0,Computing; Calculating,,,,,,,"Beijing, Beijing, China",$1M to $10M,2016-01-01,year,"Legend Capital, Source Code Capital, ZWC Partners, IDG Capital, SAIC Capital",https://www.linkedin.com/company/%E5%8C%97%E4%BA%AC%E5%A5%95%E6%96%AF%E4%BC%9F%E8%AE%A1%E7%AE%97%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
Vibe,https://www.crunchbase.com/organization/vibe-3fdf,51-100,Active,https://vibe.us/,info@vibe.us,+1 864-335-2007,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Collaboration, Communication Hardware, Computer, Information Technology, SaaS, Software",0,2,,Scientific and electric apparatus and instruments,1620779,USD,1620779,,,"Bellevue, Washington, United States",$10M to $50M,2016-01-01,year,"Sequoia Capital China, Cherubic Ventures, China Growth Capital | CGC, Challenjers Capital, Unity Ventures",https://www.linkedin.com/company/vibe-inc/
Skorpios Technologies,https://www.crunchbase.com/organization/skorpios-technologies,101-250,Active,https://www.skorpiosinc.com,Information@skorpiosinc.com,+1 505 369 1542,,,,,,,,,"Hardware, Manufacturing, Other","Commercial, Communication Hardware, Communications Infrastructure, Manufacturing, Telecommunications",,,,,1776236,USD,1776236,,,"Albuquerque, New Mexico, United States",$1M to $10M,2009-01-01,year,"Ericsson, Nokia, Cottonwood Technology Fund, Sun Mountain Capital, Deutsche Telekom Strategic Investments",https://www.linkedin.com/company/skorpios-technologies-inc-
Huaqin Communication Technology,https://www.crunchbase.com/organization/huaqin-communication-technology,10001+,Active,https://www.huaqin.com,gms@huaqin.com,021-61651266,6,6,1,,,,,,"Consumer Electronics, Hardware, Mobile, Software","Communication Hardware, Mobile Devices, Software, Telecommunications, Wireless",13,0,Computing; Calculating,,,,,,,"Shanghai, Shanghai, China",$10M to $50M,2005-08-01,month,"Qualcomm Ventures, Walden International, Northern Light Venture Capital, Intel Capital, CMB International Capital Corporation",https://www.linkedin.com/company/%E4%B8%8A%E6%B5%B7%E5%8D%8E%E5%8B%A4%E9%80%9A%E8%AE%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/
Cell C,https://www.crunchbase.com/organization/cell-c,1001-5000,Active,https://www.cellc.co.za,,+27 84 140,,,,,,,,,"Hardware, Messaging and Telecommunications","Communication Hardware, Telecommunications, Wired Telecommunications",1,0,Electric Communication Technique,,,,,,,"Gauteng, NA - South Africa, South Africa",$500M to $1B,2000-01-01,year,Blue Label Telecoms,https://www.linkedin.com/company/cell-c/
