Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
PlayVS,https://www.crunchbase.com/organization/playvs,51-100,Active,https://www.playvs.com,team@playvs.com,,,,,,,,,,"Consumer Electronics, Gaming, Hardware, Sports","Computer, eSports, Gaming, PC Games",0,5,,Education; entertainment,1470167,USD,1470167,,,"Los Angeles, California, United States",$1M to $10M,2018-01-09,day,"SoftBank, Science, Adidas, MaC Venture Capital, Crosscut Ventures",https://www.linkedin.com/company/playversus/
Cerebras Systems,https://www.crunchbase.com/organization/cerebras-systems,251-500,Active,http://cerebras.net/,info@cerebras.net,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Hardware, Software",75,4,Computing; Calculating,Scientific and electric apparatus and instruments,3174299,USD,3174299,,,"Sunnyvale, California, United States",$10M to $50M,2016-01-01,year,"Sequoia Capital, Alpha Wave Ventures, Empede Capital, Scale-Up, Benchmark",https://www.linkedin.com/company/cerebras-systems
PsiQuantum,https://www.crunchbase.com/organization/psiquantum,251-500,Active,https://www.psiquantum.com,info@psiquantum.com,+1 (650) 427-0904,,,,,,,,,"Consumer Electronics, Hardware, Science and Engineering, Software","Computer, Hardware, Quantum Computing, Semiconductor, Software",207,10,Optics,Scientific and electric apparatus and instruments,1302180,USD,1302180,,,"Palo Alto, California, United States",,2016-01-01,year,"Playground Global, Baillie Gifford, M12 - Microsoft's Venture Fund, The House Fund, SciFi VC",https://www.linkedin.com/company/psiquantum-ltd
SAP,https://www.crunchbase.com/organization/sap,10001+,Active,https://www.sap.com,sapnetwork@sap.com,+496227747474,29,35,7,,,,,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Analytics, Business Intelligence, Business Process Automation (BPA), Computer, Data Management, Finance, Software","9,774",349,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Walldorf, Baden-Wurttemberg, Germany",$10B+,1972-04-01,day,"Elliott Investment Management, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/sap
Clumio,https://www.crunchbase.com/organization/clumio,101-250,Active,https://clumio.com/,press@clumio.com,+1 844-425-8646,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Cloud Security, Computer, SaaS, Software",13,3,Computing; Calculating,Scientific and technological services,3781050,USD,3781050,,,"Santa Clara, California, United States",$1M to $10M,2017-01-01,year,"Sutter Hill Ventures, Human Capital, NewView Capital, Index Ventures, Altimeter Capital",https://www.linkedin.com/company/clumio
DevRev,https://www.crunchbase.com/organization/devrev,251-500,Active,https://devrev.ai,contacts@devrev.ai,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Other, Professional Services, Sales and Marketing, Software","Business Information Systems, Computer, CRM, Customer Service, Developer APIs, Developer Platform, Product Management, Software",0,3,Computing; Calculating,Scientific and technological services,,,,,,"Palo Alto, California, United States",$10M to $50M,2020-10-20,day,"Alumni Ventures, Khosla Ventures, Firebolt Ventures, Ballistic Ventures, Bradley Horowitz",https://www.linkedin.com/company/devrev
DocuSign,https://www.crunchbase.com/organization/docusign,1001-5000,Active,http://www.docusign.com,info@docusign.com,866-219-4318,6,6,1,1,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Business Process Automation (BPA), Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",162,40,Computing; Calculating,Scientific and technological services,8664352,USD,8664352,,,"San Francisco, California, United States",$1B to $10B,2003-01-01,year,"Employee Stock Option Fund, Microsoft, Visa, Bain Capital Ventures, Deutsche Telekom",http://www.linkedin.com/company/docusign
HackerOne,https://www.crunchbase.com/organization/hackerone,251-500,Active,https://hackerone.com,sales@hackerone.com,(415) 891-0777,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security","Computer, Internet, Network Security",,,,,11531850,USD,11531850,,,"San Francisco, California, United States",$10M to $50M,2012-01-01,year,"Dragoneer Investment Group, GP Bullhound, Marc Benioff, New Enterprise Associates, David O. Sacks",http://www.linkedin.com/company/hackerone
Ayar Labs,https://www.crunchbase.com/organization/ayar-labs,101-250,Active,https://ayarlabs.com,info@ayarlabs.com,650-963-7200,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Science and Engineering","Computer, Hardware, Information Technology, Semiconductor",85,2,Optics,Scientific and electric apparatus and instruments,2257167,USD,2257167,,,"Emeryville, California, United States",$1M to $10M,2015-01-01,year,"NVIDIA, GlobalFoundries, Alumni Ventures, Playground Global, Hewlett Packard Enterprise",https://www.linkedin.com/company/ayar-labs
Halcyon,https://www.crunchbase.com/organization/halcyon-d8cf,51-100,Active,http://www.halcyon.ai,pr@halcyon.ai,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Computer, Cyber Security, Network Security, Software",1,2,Computing; Calculating,Scientific and technological services,253872,USD,253872,,,"Austin, Texas, United States",,2021-09-20,day,"Bain Capital Ventures, Dell Technologies Capital, Founders Fund, SYN Ventures, Corner Ventures",https://www.linkedin.com/company/halcyonai
