Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ClassPass,https://www.crunchbase.com/organization/classpass,501-1000,Active,http://classpass.com,info@classpass.com,,,,,,,,,,"Apps, Health Care, Other, Software, Sports","Consumer Applications, Fitness, Health Care, Subscription Service, Wellness",0,1,,Scientific and electric apparatus and instruments,3867530,USD,3867530,,,"New York, New York, United States",$100M to $500M,2011-01-01,year,"WME, Techstars, Thrive Capital, M13, L Catterton",https://www.linkedin.com/company/classpass/
CookUnity,https://www.crunchbase.com/organization/cookunity,501-1000,Active,http://www.cookunity.com,info@cookunity.us,888-221-8187,,,,,,,,,"Apps, Food and Beverage, Other, Software, Transportation","Consumer Applications, Food and Beverage, Food Delivery, Organic Food, Subscription Service",0,1,,Advertising; business,693392,USD,693392,,,"Brooklyn, New York, United States",Less than $1M,2015-01-01,year,"Gaingels, Fuel Ventures, Evolution VC Partners, AngelPad, Insight Partners",https://www.linkedin.com/company/cookunity
Oddity,https://www.crunchbase.com/organization/oddity-7f15,251-500,Active,https://www.oddity.com,,,,,,,,,,,"Apps, Consumer Goods, Other, Software","Consumer, Consumer Applications, Consumer Goods",,,,,25039286,USD,25039286,,,"New York, New York, United States",$100M to $500M,2018-01-01,year,"Fidelity, Franklin Templeton, L Catterton, Thomas Tull, First Light Capital",https://www.linkedin.com/company/odditytech
Collectors,https://www.crunchbase.com/organization/collectors,1001-5000,Active,https://www.collectors.com/,,,,,,,,,,,"Apps, Data and Analytics, Design, Software","Consumer Applications, Consumer Research, Consumer Software",16,54,Computing; Calculating,Scientific and technological services,,,,,,"Santa Ana, California, United States",$100M to $500M,1986-01-01,year,"TCG, Cohen Private Ventures, D1 Capital Partners, Nat Turner",https://www.linkedin.com/company/collectors-holdings/
Canary,https://www.crunchbase.com/organization/canary,101-250,Active,http://canary.is,info@canary.is,,,,,,,,,,"Apps, Community and Lifestyle, Health Care, Internet Services, Other, Software","Cloud Computing, Consumer, Consumer Applications, Elder Care, Elderly, Internet, Internet of Things, SaaS, Software",,,,,,,,,,"New York, New York, United States",$10M to $50M,2012-01-01,year,"Smartfrog Group, Cota Capital, Celesta Capital, Flex, Khosla Ventures",http://www.linkedin.com/company/canary-connect
Up,https://www.crunchbase.com/organization/react-labs-pvt-ltd,101-250,Active,https://www.upliance.ai,contact@reactlabs.ai,9916897598,,,,,,,,,"Apps, Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Internet Services, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Consumer Applications, Consumer Electronics, Hardware, Home Appliances, Internet of Things, Smart Home",,,,,,,,,,"Bengaluru, Karnataka, India",$10M to $50M,2021-06-17,day,"Rainmatter Capital, Khosla Ventures, Tim Draper, Tarun Mehta, Gaurav Munjal",http://www.linkedin.com/company/react-labs-pvt-ltd
Gideon,https://www.crunchbase.com/organization/GideonRobotics,101-250,Active,http://www.gideon.ai,info@gideonbros.ai,,,,,,,,,,"Apps, Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Internet Services, Mobile, Real Estate, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",4,0,Hoisting; Lifting; Hauling,,,,,,,"Zagreb, Grad Zagreb, Croatia",Less than $1M,2017-02-01,month,"HCVC, Koch Disruptive Technologies, DB Schenker, Prologis Ventures, Taavet Hinrikus",http://linkedin.com/company/gideonrobotics
Ethereum Foundation,https://www.crunchbase.com/organization/ethereum,51-100,Active,https://www.ethereum.org/,info@ethereum.org,,11,12,9,2,,,,,"Apps, Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Internet Services, Other, Payments, Software","Application Performance Management, Blockchain, Consumer Applications, Cryptocurrency, Decentralized Finance (DeFi), Ethereum, Internet, Smart Contracts, Transaction Processing, Virtual Currency",0,7,,Scientific and technological services,,,,,,"Zug, Zug, Switzerland",$1M to $10M,2014-01-01,year,"Placeholder, Winklevoss Capital, KR1, Block Ventures, Karnika Yashwant",https://www.linkedin.com/company/ethereum/
Smartfrog Group,https://www.crunchbase.com/organization/smartfrog-com,101-250,Active,https://www.smartfrog.group,info@smartfrog.group,+353 16087758,1,2,2,,,,,,"Apps, Community and Lifestyle, Consumer Electronics, Health Care, Internet Services, Other, Real Estate, Software, Transportation","Cloud Computing, Consumer, Consumer Applications, Elder Care, Home Health Care, Last Mile Transportation, Pet, Property Management, SaaS, Smart Home",12,12,Signalling,Scientific and electric apparatus and instruments,,,,,,"New York, New York, United States",$10M to $50M,2014-01-01,year,"Target Global, Cota Capital, Celesta Capital, Khosla Ventures, Western Technology Investment",https://www.linkedin.com/company/canary-connect
Allset,https://www.crunchbase.com/organization/allset,51-100,Active,http://allsetnow.com,support@allsetnow.com,510-210-1052,,,,,,,,,"Apps, Commerce and Shopping, Events, Food and Beverage, Media and Entertainment, Other, Software","Apps, B2B, Consumer Applications, Marketplace, Reservations, Restaurants",,,,,243588,USD,243588,,,"Los Angeles, California, United States",$10M to $50M,2015-01-01,year,"Gaingels, Andreessen Horowitz, Compound, Flyer One Ventures, Flashpoint",https://www.linkedin.com/company/allset
