Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Hewlett Packard Enterprise Software,https://www.crunchbase.com/organization/hewlett-packard-s-enterprise-software,10001+,Active,https://www.hpe.com/us/en/home.html,,800-633-3600,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Information Technology, Privacy and Security, Software","Analytics, Computer, Consumer Software, Information Technology, IT Management, Security, Software",,,,,1798446,USD,1798446,,,"Palo Alto, California, United States",$10B+,1939-01-01,year,,https://www.linkedin.com/company/hewlett-packard-enterprise
Microsoft Danmark,https://www.crunchbase.com/organization/microsoft-danmark,251-500,Active,http://www.microsoft.dk,danmark@microsoft.com,45 82333100,,,,,,,,,"Apps, Software","Consumer Applications, Productivity Tools, Software",,,,,,,,,,"Kongens Lyngby, Hovedstaden, Denmark",$10B+,1991-01-01,day,,
Dexter,https://www.crunchbase.com/organization/run-dexter,1-10,Active,https://rundexter.com/,info@rundexter.com,,,,,,,,,,Software,"Consumer Software, Enterprise Software, SaaS",0,1,,Scientific and electric apparatus and instruments,154547,USD,154547,,,"New York, New York, United States",$1B to $10B,2015-01-01,year,"Betaworks, Rakuten, Social Starts",https://www.linkedin.com/company/run-dexter
Westcoast,https://www.crunchbase.com/organization/westcoast,1001-5000,Active,http://www.westcoast.co.uk/,web.support@westcoast.co.uk,+01189126000,,,,,,,,,"Information Technology, Software","Consumer Software, Information Technology",,,,,200805733,USD,200805733,,,"Theale, West Berkshire, United Kingdom",$1B to $10B,1984-01-01,year,,https://www.linkedin.com/company/westcoast-limited
Maytag Corporation,https://www.crunchbase.com/organization/maytag-corporation,1-10,Active,http://www.maytag.com,,269-923-5000,1,1,1,,,,,,"Apps, Clothing and Apparel, Commerce and Shopping, Consumer Goods, Manufacturing, Software","Consumer Applications, Home Appliances, Laundry and Dry-cleaning, Manufacturing, Retail",,,,,188211,USD,188211,,,"Benton Harbor, Michigan, United States",$1B to $10B,1893-01-01,year,,https://www.linkedin.com/showcase/maytag
Snap One,https://www.crunchbase.com/organization/snapav-e07d,1001-5000,Active,https://www.snapav.com/shop/en/snapav/home,techsupport@snapone.com,+1 866-424-4489,,,,,,,,,"Apps, Consumer Electronics, Hardware, Manufacturing, Software","Consumer Applications, Consumer Electronics, Manufacturing",,,,,267670,USD,267670,,,"Charlotte, North Carolina, United States",$1B to $10B,2005-01-01,year,,https://www.linkedin.com/company/snaponellc/about/
Walton Hi Tech Industries,https://www.crunchbase.com/organization/walton-hi-tech-industries,5001-10000,Active,http://www.waltonhil.com,info@waltonbd.com,+880 9606-555555,,,,,,,,,"Apps, Consumer Electronics, Hardware, Manufacturing, Software, Transportation","Automotive, Consumer Applications, Consumer Electronics, Electronics, Manufacturing",0,1,,Environmental control apparatus,,,,,,"Dhaka, Dhaka, Bangladesh",$1B to $10B,2006-01-01,year,,https://www.linkedin.com/company/walton-hi-tech-industries-limited./about/
Adaptive Software,https://www.crunchbase.com/organization/adaptive-software,11-50,Active,http://adaptivesoftware.com,support@adaptiverx.com,(913)815-1737,,,,,,,,,Software,"Consumer Software, Software",,,,,,,,,,"Shawnee, Kansas, United States",$1B to $10B,2001-01-01,year,,https://www.linkedin.com/company/adaptive-software-adaptiverx
Gojek,https://www.crunchbase.com/organization/go-jek,1001-5000,Active,https://www.gojek.io,info@go-jek.com,+62 21 50251110,12,13,10,,,,,,"Apps, Commerce and Shopping, Financial Services, Food and Beverage, Payments, Software, Transportation","Consumer Applications, E-Commerce, Food Delivery, Logistics, Payments, Transportation",3,0,Computing; Calculating,,,,,,,"Jakarta, Jakarta Raya, Indonesia",$500M to $1B,2010-01-01,year,"PayPal, Meituan, JD.com, Meta, Google",https://in.linkedin.com/company/gojektech
Al Hassan Ghazi Ibrahim Shaker Co.,https://www.crunchbase.com/organization/al-hassan-ghazi-ibrahim-shaker-co,501-1000,Active,https://www.shaker.com.sa/,,8002445454,1,1,1,,,,,,"Apps, Consumer Goods, Real Estate, Software","Consumer Applications, Heating, Ventilation, and Air Conditioning (HVAC), Home Appliances",,,,,,,,,,"Riyadh, Ar Riyad, Saudi Arabia",$500M to $1B,1950-01-01,day,,https://www.linkedin.com/company/al-hassan-ghazi-ibrahim-shaker-company
ETLAND,https://www.crunchbase.com/organization/etland,501-1000,Active,http://www.etland.co.kr,priceking@etland.co.kr,82 1588-6651,,,,,,,,,"Apps, Commerce and Shopping, Consumer Electronics, Consumer Goods, Hardware, Internet Services, Software","Consumer Applications, E-Commerce, E-Commerce Platforms, Electronics, Home Appliances",,,,,,,,,,"Yongsan, Seoul-t'ukpyolsi, South Korea",$500M to $1B,1963-12-04,day,,
Increment P,https://www.crunchbase.com/organization/increment-p,501-1000,Active,https://www.incrementp.co.jp/,,+66 2 060 1700,1,1,,,,,,,"Hardware, Navigation and Mapping, Software","Consumer Software, GPS, Mapping Services, Navigation, Software",1,0,Testing,,,,,,,"Tokyo, Tokyo, Japan",$500M to $1B,1994-05-01,day,,https://www.linkedin.com/company/increment-p-corporation/
Lassila & Tikanoja,https://www.crunchbase.com/organization/lassila-tikanoja,5001-10000,Active,http://www.lassila-tikanoja.fi,,+358 10 636 111,,,,,,,,,"Apps, Consumer Electronics, Hardware, Professional Services, Software","Consumer Applications, Consumer Electronics, Environmental Consulting",3,5,Cleaning,Building; repairs,5182,USD,5182,,,"Helsinki, Southern Finland, Finland",$500M to $1B,1905-01-01,year,,https://www.linkedin.com/company/lassila-&amp;-tikanoja
Siemens Enterprise Communications,https://www.crunchbase.com/organization/unify-2dfa,10001+,Active,https://unify.com/en/,,+44 800-310-6308,,,,,,,,,"Apps, Hardware, Information Technology, Privacy and Security, Software","Communications Infrastructure, Consumer Applications, Network Security",0,1,,Advertising; business,196452802,USD,196452802,,,"Bezons, Ile-de-France, France",$500M to $1B,2006-01-01,year,,https://www.linkedin.com/company/unifyco
ClassPass,https://www.crunchbase.com/organization/classpass,501-1000,Active,http://classpass.com,info@classpass.com,,,,,,,,,,"Apps, Health Care, Other, Software, Sports","Consumer Applications, Fitness, Health Care, Subscription Service, Wellness",0,1,,Scientific and electric apparatus and instruments,3867530,USD,3867530,,,"New York, New York, United States",$100M to $500M,2011-01-01,year,"WME, Techstars, Thrive Capital, M13, L Catterton",https://www.linkedin.com/company/classpass/
Lightricks,https://www.crunchbase.com/organization/lightricks,251-500,Active,http://www.lightricks.com,contact@lightricks.com,1-722-644-5449,,,,,,,,,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software","Consumer Software, Content, Mobile Apps, Photo Editing, Social Network",2,50,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Jerusalem, Yerushalayim, Israel",$100M to $500M,2013-01-01,day,"Left Lane Capital, Goldman Sachs Asset Management, Goldman Sachs, Viola Ventures, GS Growth",http://www.linkedin.com/company/lightricks
Palmetto Clean Technology,https://www.crunchbase.com/organization/palmetto,501-1000,Active,http://www.palmetto.com,chris@palmetto.com,855-339-1831,1,1,1,1,,,,,"Energy, Software, Sustainability","Clean Energy, CleanTech, Consumer Software, Energy, Software",0,1,,Scientific and electric apparatus and instruments,58928250,USD,58928250,,,"Charleston, South Carolina, United States",$100M to $500M,2009-01-01,year,"Red Ventures, Main Street Capital, Gaingels, Social Capital, JP Morgan",https://www.linkedin.com/company/palmetto%E2%84%A2
Oddity,https://www.crunchbase.com/organization/oddity-7f15,251-500,Active,https://www.oddity.com,,,,,,,,,,,"Apps, Consumer Goods, Other, Software","Consumer, Consumer Applications, Consumer Goods",,,,,25039286,USD,25039286,,,"New York, New York, United States",$100M to $500M,2018-01-01,year,"Fidelity, Franklin Templeton, L Catterton, Thomas Tull, First Light Capital",https://www.linkedin.com/company/odditytech
Collectors,https://www.crunchbase.com/organization/collectors,1001-5000,Active,https://www.collectors.com/,,,,,,,,,,,"Apps, Data and Analytics, Design, Software","Consumer Applications, Consumer Research, Consumer Software",16,54,Computing; Calculating,Scientific and technological services,,,,,,"Santa Ana, California, United States",$100M to $500M,1986-01-01,year,"TCG, Cohen Private Ventures, D1 Capital Partners, Nat Turner",https://www.linkedin.com/company/collectors-holdings/
Craftwork,https://www.crunchbase.com/organization/craftwork-be22,11-50,Active,https://craftwork.com,info@craftwork.com,,,,,,,,,,"Information Technology, Real Estate, Software","Consumer Software, Home Services, Information Technology",,,,,,,,,,"Charlotte, North Carolina, United States",$100M to $500M,2023-01-01,day,"General Catalyst, Y Combinator, Costanoa Ventures, Four Cities Capital, Immad Akhund",https://www.linkedin.com/company/craftworkhome
Joy,https://www.crunchbase.com/organization/joy-3,11-50,Active,https://joy.co,hello@joy.co,,,,,,,,,,"Community and Lifestyle, Content and Publishing, Media and Entertainment, Other, Software","Consumer Software, Parenting, Photography, Subscription Service",,,,,,,,,,"Oakland, California, United States",$100M to $500M,2021-01-01,year,"Obvious Ventures, TCG, Maywic Select Investments, David Heller",https://www.linkedin.com/company/joyparentingclub/
Nothing,https://www.crunchbase.com/organization/nothing-4537,251-500,Active,https://nothing.tech,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Other, Software","Consumer, Consumer Electronics, Consumer Software, Information Technology",1,10,,Scientific and electric apparatus and instruments,,,,,,"London, England, United Kingdom",$100M to $500M,2020-01-01,year,"Animoca Brands, Crowdcube, Google Ventures, Kevin Lin, Gaorong Capital",https://www.linkedin.com/company/nothingtech
Cohere Health,https://www.crunchbase.com/organization/cohere-health,501-1000,Active,https://coherehealth.com,hello@coherehealth.com,857  557 6802,,,,,,,,,"Health Care, Software","Consumer Software, Health Care, SaaS, Software",1,1,,Scientific and technological services,1620779,USD,1620779,,,"Boston, Massachusetts, United States",$100M to $500M,2019-01-01,year,"Humana, Deerfield, Polaris Partners, Flare Capital Partners, Longitude Capital",https://www.linkedin.com/company/coherehealth
Glamsquad,https://www.crunchbase.com/organization/downloadcherry,11-50,Closed,http://downloadcherry.com,admin@downloadcherry.com,,,,,,,,,,"Apps, Consumer Goods, Internet Services, Mobile, Software","Beauty, Consumer Software, Internet, Mobile Apps",0,1,,Scientific and electric apparatus and instruments,64584,USD,64584,,,"Dallas, Texas, United States",$100M to $500M,2017-07-01,month,,
