Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
HP,https://www.crunchbase.com/organization/hewlett-packard,10001+,Active,http://www.hp.com,,(650) 857-1501,25,30,6,,,,,,"Consumer Electronics, Hardware, Information Technology, Software","Computer, Consumer Electronics, Hardware, IT Infrastructure, Software","27,056",412,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Palo Alto, California, United States",$10B+,1939-01-01,day,Berkshire Hathaway,https://www.linkedin.com/company/hp
Philips,https://www.crunchbase.com/organization/koninklijke-philips,10001+,Active,https://www.usa.philips.com,Deanbridges99@gmail.com,+1-800 102 2929,22,23,4,1,,,,,"Consumer Electronics, Hardware, Health Care, Other","B2B, Consumer Electronics, Electronics, Lighting, Wellness",,,,,,,,,,"Amsterdam, Noord-Holland, The Netherlands",$10B+,1891-01-01,year,"EXOR N.V., Bill & Melinda Gates Foundation, Innovative Health Initiative",http://www.linkedin.com/company/philips
Taiwan Semiconductor Manufacturing Company,https://www.crunchbase.com/organization/tsmc,10001+,Active,http://www.tsmc.com,,+886 3 563 6688,6,6,1,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Electronics, Manufacturing, Product Design, Semiconductor","28,326",76,Basic Electric Elements,Treatment of materials,,,,,,"Hsinchu, T'ai-wan, Taiwan",$10B+,1987-01-01,day,"Berkshire Hathaway, U.S. Department of Commerce, CID Group",https://www.linkedin.com/company/tsmc
Infineon Technologies,https://www.crunchbase.com/organization/infineon,10001+,Active,https://www.infineon.com,support@infineon.com,+49 89 234 65555,14,17,5,1,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing, Science and Engineering, Sustainability","Consumer Electronics, Electronics, Energy Efficiency, Manufacturing, Semiconductor","9,129",151,Basic Electric Elements,Scientific and electric apparatus and instruments,276800,USD,276800,,,"Neubiberg, Bayern, Germany",$10B+,1999-04-01,day,,https://www.linkedin.com/company/infineon-technologies
Electrolux,https://www.crunchbase.com/organization/electrolux,10001+,Active,https://www.electroluxappliances.com,customerservice@electrolux.com,+1 877 435 3287,3,3,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing","Consumer Electronics, Electronics, Home Appliances, Machinery Manufacturing, Manufacturing",406,333,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Machines and machine tools,,,,,,"Stockholm, Stockholms Lan, Sweden",$10B+,1919-01-01,year,,https://www.linkedin.com/company/electrolux/
UNISOC,https://www.crunchbase.com/organization/unisoc,5001-10000,Active,http://www.unisoc.com,,86 21 2036 0600,1,1,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Hardware, Manufacturing, Semiconductor, Telecommunications",,,,,,,,,,"Shanghai, Shanghai, China",$10B+,2001-01-01,year,"Legend Capital, Northern Light Venture Capital, New Enterprise Associates, Intel Capital, KTB Ventures",https://www.linkedin.com/company/unisoctechnologies
Pioneer Corporation,https://www.crunchbase.com/organization/pioneer-corporation,10001+,Active,https://jpn.pioneer/ja/,,81 44 580 3211,2,2,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Media and Entertainment, Navigation and Mapping, Video","Consumer Electronics, Manufacturing, Navigation, TV Production","4,759",27,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Kanagawa, Fukushima, Japan",$10B+,1938-01-01,day,BPEA EQT,https://www.linkedin.com/company/pioneer-corporation/
Panasonic,https://www.crunchbase.com/organization/panasonic,10001+,Active,https://www.panasonic.com,helpline@in.panasonic.com,1(800)108-1333,24,26,7,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing","Consumer Electronics, Electronics, Hardware, Home Appliances, Manufacturing","62,584",676,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,,,"Kadoma, Osaka, Japan",$10B+,1918-01-01,year,Vaga Gilga,http://www.linkedin.com/company/panasonic
Apple,https://www.crunchbase.com/organization/apple,10001+,Active,http://www.apple.com,,408-996-1010,28,30,20,2,,,,2,"Consumer Electronics, Hardware, Mobile, Platforms, Software","Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables","40,443","3,248",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Cupertino, California, United States",$10B+,1976-04-01,day,"Berkshire Hathaway, Microsoft, Sequoia Capital, KB Securities, Matrix",http://www.linkedin.com/company/apple
Saudi Electricity Company,https://www.crunchbase.com/organization/saudi-electricity-company,10001+,Active,https://www.se.com.sa/en-us/Pages/home.aspx,,,1,1,1,,,,,,"Consumer Electronics, Energy, Hardware","Consumer Electronics, Electronics, Energy",2,0,,,,,,,,"Riyadh, Ar Riyad, Saudi Arabia",$10B+,2000-01-01,year,"Saudi National Bank, Mashreq Bank, Dubai Islamic Bank, Kuwait Finance House (Malaysia) Berhad",https://www.linkedin.com/company/saudielectricity
China Electronics Corporation,https://www.crunchbase.com/organization/china-electronics-corporation-cec,10001+,Active,http://www.cec.com.cn/,webmaster@cec.com.cn,010-83026500,9,9,4,,,,,,"Consumer Electronics, Hardware, Information Technology","Consumer Electronics, Electronics, Information Technology",,,,,,,,,,"Shenzhen, Guangdong, China",$10B+,1989-01-01,year,China Life Insurance,https://www.linkedin.com/company/china-electronics-corporation-beijing
Gree Electric Appliance,https://www.crunchbase.com/organization/gree-electric-appliance,10001+,Active,http://www.gree.com.cn/,,(0756) 8614883,7,7,4,,,,,,"Consumer Electronics, Hardware","Consumer Electronics, Electronics","2,724",97,Heating; Ranges,Environmental control apparatus,,,,,,"Hefei, Anhui, China",$10B+,1985-03-01,month,Hillhouse Investment,https://www.linkedin.com/company/格力电器-合肥-有限公司
