Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
PCCW,https://www.crunchbase.com/organization/pccw,10001+,Active,http://www.pccw.com,,852 2888 2888,14,15,5,,,,,,"Information Technology, Internet Services, Software","Contact Management, Web Hosting",0,12,,Insurance; financial affairs,,,,,,"Quarry Bay, Hong Kong Island, Hong Kong",$1B to $10B,1979-01-01,year,,https://www.linkedin.com/company/pccw
Concord,https://www.crunchbase.com/organization/concord-5,51-100,Active,https://www.concordnow.com,sales@concordnow.com,844-693-7446,,,,,,,,,"Hardware, Information Technology, Software","Contact Management, Data Storage, Document Management, Enterprise Software, Software",0,3,,Scientific and technological services,,,,,,"San Francisco, California, United States",$500M to $1B,2014-01-01,year,"Cota Capital, Tenaya Capital, CRV, Streamlined Ventures, Alven",https://www.linkedin.com/company/concordnow/
Pearle Vision,https://www.crunchbase.com/organization/pearle-vision,10001+,Active,http://www.pearlevision.com,icare@pearlevision.com,+1 800-937-3937,,,,,,,,,"Consumer Goods, Health Care, Information Technology, Software","Contact Management, Eyewear, Health Care",,,,,12251273,USD,12251273,,,"Savannah, Georgia, United States",$500M to $1B,1961-01-01,year,,https://www.linkedin.com/company/pearle-vision
ABDULLAH AM AL KHODARI SONS CO,https://www.crunchbase.com/organization/abdullah-am-al-khodari-sons-co,5001-10000,Active,http://www.alkhodari.com,info@alkhodari.com,+966 13 814 7200,,,,,,,,,"Information Technology, Other, Science and Engineering, Software","Civil Engineering, Contact Management, Service Industry",,,,,,,,,,"Al Khobar, Ash Sharqiyah, Saudi Arabia",$500M to $1B,1966-01-01,year,,https://www.linkedin.com/company/abdullah-a-m--al-khodari-sons-&-co-/
Newgen Software Technologies,https://www.crunchbase.com/organization/newgen-software-technologies,1001-5000,Active,http://www.newgensoft.com,corpmktg@newgensoft.com,1(703) 439-0703,,,,,,,,,"Information Technology, Professional Services, Software","Business Development, Business Process Automation (BPA), Contact Management, Document Management, Enterprise Software, Software",2,0,Computing; Calculating,,,,,,,"New Delhi, Delhi, India",$100M to $500M,1992-01-01,year,"Societe Generale, Goldman Sachs, Chiratae Ventures, BNP Paribas Private Equity, Ascent Capital",http://www.linkedin.com/company/newgen
Sansan,https://www.crunchbase.com/organization/sansan,501-1000,Active,https://www.sansan.com,info@sansan.com,+65 8322 2160,7,8,4,,,,,,"Information Technology, Other, Sales and Marketing, Software","B2B, Contact Management, CRM, Enterprise Software, Small and Medium Businesses, Software",6,6,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$100M to $500M,2007-06-11,day,"Toyota Motor, DCM Ventures, T. Rowe Price, Goldman Sachs, SBI Investment",http://www.linkedin.com/company/sansan-corporation
Servion,https://www.crunchbase.com/organization/servion-global-solutions,1001-5000,Active,http://servion.com,marketing@servion.com,(609)987-0044,,,,,,,,,"Data and Analytics, Information Technology, Mobile, Software","Big Data, Contact Management, Information Technology, Mobile, Software",,,,,12754280,USD,12754280,,,"Chennai, Tamil Nadu, India",$100M to $500M,1995-01-01,year,Everstone,https://www.linkedin.com/company/servion-global-solutions
Precisely,https://www.crunchbase.com/organization/precisely,51-100,Active,https://preciselycontracts.com/,hello@preciselycontracts.com,+46775333230,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Software","Contact Management, Enterprise Software, Legal, Legal Tech, Natural Language Processing, SaaS, Software",0,1,,Scientific and electric apparatus and instruments,293843,USD,293843,,,"Göteborg, Vastra Gotaland, Sweden",$100M to $500M,2014-02-24,day,"Peak, The Springfield Project",https://www.linkedin.com/company/precisely
Speed Commerce,https://www.crunchbase.com/organization/speed-commerce-corp,1001-5000,Active,https://www.speedcommerce.com,letsgo@speedcommerce.com,866-377-3331,,,,,,,,,"Administrative Services, Commerce and Shopping, Information Technology, Software, Transportation","Call Center, Contact Management, E-Commerce, Information Technology, Logistics, Supply Chain Management",0,2,,Advertising; business,10476193,USD,10476193,,,"Las Vegas, Nevada, United States",$100M to $500M,1982-01-01,year,GE Commercial Finance,https://www.linkedin.com/company/speed-commerce
XING,https://www.crunchbase.com/organization/xing,1001-5000,Active,http://www.xing.com,info@xing.com,+49 40 419 131-0,,,,,,,,,"Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Professional Services, Software","Contact Management, Professional Networking, Social Media",0,3,,Scientific and electric apparatus and instruments,41091156,USD,41091156,,,"Hamburg, Hamburg, Germany",$100M to $500M,2003-08-13,day,"Wellington Partners, Konstantin von Unger, ECONA AG, b2venture",http://www.linkedin.com/company/167869
