Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Taboola,https://www.crunchbase.com/organization/taboola,1001-5000,Active,https://www.taboola.com,info@taboola.com,212-206-7663,,,,,,,,,"Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Advertising, Advertising Platforms, Artificial Intelligence (AI), Content Discovery, Content Marketing, Native Advertising",,,,,104934762,USD,104934762,,,"New York, New York, United States",$1B to $10B,2007-01-01,year,"Fidelity, Arrowshare Ventures, Phoenix Insurance Company, Crescent Point Energy, Yahoo",http://www.linkedin.com/company/taboola
Fastly,https://www.crunchbase.com/organization/fastly,1001-5000,Active,http://www.fastly.com,sales@fastly.com,,,,,,,,,,"Content and Publishing, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Data Services, Cloud Infrastructure, Cloud Security, Content Delivery Network, Enterprise Software, Security, Software",127,14,Electric Communication Technique,Scientific and technological services,34559569,USD,34559569,,,"San Francisco, California, United States",$10M to $50M,2011-01-01,year,"ICONIQ Growth, DTCP, Ridge Ventures, Sorenson Capital, August Capital",http://www.linkedin.com/company/fastly
Outbrain,https://www.crunchbase.com/organization/outbrain,501-1000,Active,http://www.outbrain.com,info@outbrain.com,+1 877 870 7282,,,,,,,,,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Advertising Platforms, Content Marketing, Content Syndication, Digital Marketing, Internet, Native Advertising",53,23,Computing; Calculating,Advertising; business,148812300,USD,148812300,,,"New York, New York, United States",$500M to $1B,2006-01-01,year,"Susquehanna Growth Equity, HarbourVest Partners, Viola Ventures, Lightspeed Venture Partners, Vintage Investment Partners",http://www.linkedin.com/company/outbrain
Smartling,https://www.crunchbase.com/organization/smartling,101-250,Active,http://smartling.com,hi@smartling.com,(866) 707-6278,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Software","Content Delivery Network, Information Services, Information Technology, Natural Language Processing",0,7,,Scientific and technological services,1317708,USD,1317708,,,"New York, New York, United States",$10M to $50M,2009-01-01,year,"Techstars, ICONIQ Growth, U.S. Venture Partners, Ridge Ventures, Harmony Partners",https://www.linkedin.com/company/smartling
Productsup,https://www.crunchbase.com/organization/productsup,251-500,Active,http://productsup.com,hello@productsup.com,+49 30 577003875,,,,,,,,,"Commerce and Shopping, Content and Publishing, Data and Analytics, Hardware, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Cloud Data Services, Content Syndication, Data Integration, Digital Marketing, E-Commerce Platforms, Marketing, Marketing Automation, Marketplace, Retail Technology, SaaS",1,11,Computing; Calculating,Advertising; business,6437938,USD,6437938,,,"Berlin, Berlin, Germany",$50M to $100M,2010-02-01,day,"KfW, Bregal Milestone, Nordwind Growth, Nordwind Capital, Deutsche Handelsbank",http://www.linkedin.com/company/productsup
Talespin,https://www.crunchbase.com/organization/talespin-company,51-100,Active,https://www.talespin.com,learnmore@talepsin.company,+1 323 452 6998,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Education, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Content Delivery Network, Corporate Training, Skill Assessment, Software, Virtual Reality",2,0,Education; Cryptography; Display; Advertising; Seals,,3339900,USD,3339900,,,"Culver City, California, United States",Less than $1M,2015-01-01,year,"Cornerstone OnDemand, Go1, SEEK, HTC, Accenture Ventures",https://www.linkedin.com/company/talespin
Aura Health,https://www.crunchbase.com/organization/aura-health,101-250,Active,https://aurahealth.io,hello@aurahealth.io,,,,,,,,,,"Apps, Content and Publishing, Health Care, Media and Entertainment, Mobile, Other, Software","Alternative Medicine, Consumer, Content Discovery, Health Care, Mobile Apps, Personal Health, Wellness",0,0,,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$1M to $10M,2017-01-01,year,"Reach Capital, Praxis, Cowboy Ventures, 1517 Fund, Berkeley SkyDeck Fund",https://www.linkedin.com/company/12956248
Qwilt,https://www.crunchbase.com/organization/qwilt,101-250,Active,http://www.qwilt.com,hello@qwilt.com,1(866) 824-8009,,,,,,,,,"Content and Publishing, Hardware, Internet Services, Media and Entertainment, Software, Video","Cloud Computing, Content Delivery Network, Software, Telecommunications, Video Streaming",13,1,Electric Communication Technique,Scientific and electric apparatus and instruments,4505700,USD,4505700,,,"Redwood City, California, United States",$1M to $10M,2010-01-01,year,"Cisco Investments, Accel, Bessemer Venture Partners, Redpoint, Innovation Endeavors",http://www.linkedin.com/company/qwilt
INAP,https://www.crunchbase.com/organization/internap,501-1000,Active,https://www.inap.com,sales@internap.com,(877)843-7627,,,,,,,,,"Content and Publishing, Hardware, Health Care, Information Technology, Internet Services, Other, Privacy and Security, Software","Cloud Computing, Cloud Management, Content Delivery Network, Cyber Security, Data Center, Hospital, Information Technology, Infrastructure, IT Infrastructure, IT Management",1,15,Electric Communication Technique,Telecommunications,15288918,USD,15288918,,,"Atlanta, Georgia, United States",$100M to $500M,1996-05-01,day,"DCM Ventures, Vulcan Capital, Oak Investment Partners, Fidelity Ventures, Morgan Stanley Dean Witter",https://www.linkedin.com/company/inap
Smytten,https://www.crunchbase.com/organization/smytten,251-500,Active,http://smytten.com,care@smytten.com,+91 124 4005 922,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Content and Publishing, Media and Entertainment, Other","Consumer, Content Discovery, E-Commerce, Lifestyle, Retail",,,,,,,,,,"Bengaluru, Karnataka, India",$50M to $100M,2015-11-01,month,"Fireside Ventures, Rajan Anandan, Sharrp Ventures, Anuj Srivastava, Arjun Purkayastha",https://www.linkedin.com/company/smytten
