Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Siemens,https://www.crunchbase.com/organization/siemens,10001+,Active,https://www.siemens.com,contact@siemens.com,+49 89 636 00,31,36,14,3,,,,1,"Information Technology, Manufacturing, Privacy and Security, Professional Services, Real Estate","Consulting, Cyber Security, Manufacturing, Real Estate","29,834","2,015",Computing; Calculating,Scientific and electric apparatus and instruments,1568902745,USD,1568902745,,,"Munich, Bayern, Germany",$10B+,1847-01-01,year,US Department of Energy,https://www.linkedin.com/company/siemens
Lockheed Martin,https://www.crunchbase.com/organization/lockheed-martin,10001+,Active,http://www.lockheedmartin.com,community.relations@lmco.com,(866)562-2363,17,20,11,1,,,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering","Aerospace, Cyber Security, Machinery Manufacturing, Military, National Security, Remote Sensing, Security","4,249",495,Aircraft; Aviation; Cosmonautics,Scientific and electric apparatus and instruments,4967989128,USD,4967989128,,,"Bethesda, Maryland, United States",$10B+,1912-01-01,year,"NYSERDA, U.S. Air Force, Air Force Research Laboratory",http://www.linkedin.com/company/lockheed-martin
Jacobs,https://www.crunchbase.com/organization/jacobs,10001+,Active,http://www.jacobs.com,,+1 214-638-0145,5,5,1,1,,,,,"Information Technology, Manufacturing, Other, Privacy and Security, Professional Services, Real Estate, Science and Engineering","Civil Engineering, Consulting, Cyber Security, Industrial, Industrial Engineering, Information Technology, Infrastructure, Professional Services, Real Estate",54,34,,Scientific and technological services,77946,USD,77946,,,"Dallas, Texas, United States",$10B+,1947-01-01,year,,https://www.linkedin.com/company/jacobs/
Siemens Energy,https://www.crunchbase.com/organization/siemens-energy-6cf7,10001+,Active,https://www.siemens-energy.com/,,,1,1,,,,,,,"Energy, Information Technology, Manufacturing, Natural Resources, Privacy and Security, Science and Engineering, Sustainability","Cyber Security, Energy, Energy Storage, Industrial, Industrial Automation, Oil and Gas, Power Grid, Renewable Energy",,,,,,,,,,"München, Bayern, Germany",$10B+,2020-01-01,year,Siemens Pension-Trust e.V,https://www.linkedin.com/company/siemens-energy/
Allied Universal,https://www.crunchbase.com/organization/allied-universal,10001+,Active,http://www.aus.com,info@aus.com,877-400-4397,,,,,,,,,"Information Technology, Privacy and Security, Software","Cyber Security, Information Technology, Security, Software",,,,,1584786520,USD,1584786520,,,"Santa Ana, California, United States",$10B+,1957-01-01,year,"Warburg Pincus, Caisse de Depot et Placement du Quebec",https://www.linkedin.com/company/allied-universal
Airbus Defence & Space,https://www.crunchbase.com/organization/airbus-defense-space,10001+,Active,https://www.airbus.com/defence.html,asbc.customercare@astrium.eads.net,(013) 906-1234,,,,,,,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation","Aerospace, Cyber Security, Manufacturing, Military, National Security, Satellite Communication, Security, Space Travel, Telecommunications, Transportation",,,,,3421167178,USD,3421167178,,,"Houston, Texas, United States",$10B+,2003-01-01,year,UK Space Agency,https://www.linkedin.com/showcase/airbus-defence-and-space/
BT,https://www.crunchbase.com/organization/bt,10001+,Active,https://www.bt.com,ir@bt.com,(+44) 020 7440 4220,10,10,5,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security","Cyber Security, Information Technology, Internet, Network Security, Telecommunications","2,366",74,Electric Communication Technique,Telecommunications,,,,,,"London, England, United Kingdom",$10B+,1969-10-01,day,"Altice, Patrick Drahi, Sekunjalo Group, AYO Technology Solutions",http://www.linkedin.com/company/bt
Thales Group,https://www.crunchbase.com/organization/thales-group,10001+,Active,http://www.thalesgroup.com,ir@thalesgroup.com,+33 (0) 1 57 77 80 00,7,8,2,2,,,,,"Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation","Aerospace, Cyber Security, Industrial Manufacturing, Remote Sensing, Security, Transportation","2,549",211,Testing,Scientific and electric apparatus and instruments,1214325793,USD,1214325793,,,"Paris, Ile-de-France, France",$10B+,1893-01-01,day,,http://www.linkedin.com/company/thales
Fujitsu,https://www.crunchbase.com/organization/fujitsu,10001+,Active,http://www.fujitsu.com,info@au.fujitsu.com,+81-44-777-1111,15,19,3,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Infrastructure, Cyber Security, Enterprise Software, Information and Communications Technology (ICT), Information Technology, IT Infrastructure, Software","19,801",490,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1935-06-20,day,,http://www.linkedin.com/company/1374
CGI,https://www.crunchbase.com/organization/cgi,10001+,Active,https://www.cgi.com,info@cgi.com,+1 514 841 3200,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Software","Analytics, Application Performance Management, Business Intelligence, Consulting, Cyber Security, Finance, Information Technology, Technical Support",0,79,,Scientific and technological services,993022340,USD,993022340,,,"Montréal, Quebec, Canada",$10B+,1976-01-01,year,,https://www.linkedin.com/company/cgi
Optus,https://www.crunchbase.com/organization/optus,5001-10000,Active,http://www.optus.com.au/,,+61 1300 298 011,1,1,,,,,,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Apps, Cyber Security, Messaging, Mobile, Mobile Apps, Telecommunications",0,1,,Advertising; business,,,,,,"Sydney, New South Wales, Australia",$10B+,1981-01-01,year,,http://www.linkedin.com/company/optus
"Boeing Defense, Space & Security",https://www.crunchbase.com/organization/boeing-defense-space-security,10001+,Active,http://www.boeing.com/boeing/bds/index.page68000,,,,,,,,,,,"Government and Military, Information Technology, Privacy and Security, Science and Engineering","Aerospace, Cyber Security, National Security, Security",,,,,1134727960,USD,1134727960,,,"St Louis, Missouri, United States",$10B+,1939-01-01,year,,https://www.linkedin.com/company/boeing
Memento Security,https://www.crunchbase.com/organization/memento-security,10001+,Active,http://www.fisglobal.com/products-financial-crime,,,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security, Software","Cyber Security, Enterprise Software, Financial Services, Fraud Detection",,,,,1469228730,USD,1469228730,,,"Jacksonville, Florida, United States",$10B+,1968-01-01,year,,https://www.linkedin.com/company/fis/
Square D,https://www.crunchbase.com/organization/square-d,10001+,Active,http://www.schneider-electric.us,,(859) 817-6144,,,,,,,,,"Consumer Electronics, Energy, Hardware, Information Technology, Manufacturing, Privacy and Security, Software","Cyber Security, Electrical Distribution, Electronics, Manufacturing, Security, Software",,,,,2459912088,USD,2459912088,,,"Palatine, Illinois, United States",$10B+,1917-01-01,year,,https://www.linkedin.com/company/square-d-company
Oregon Army National Guard Recruiting,https://www.crunchbase.com/organization/oregon-army-national-guard-recruiting,5001-10000,Active,https://nationalguard.com/,Joindcarng@gmail.com,+1-503-887-5792,,,,,,,,,"Government and Military, Information Technology, Other, Privacy and Security, Professional Services, Social Impact","Cyber Security, Government, Military, Non Profit, Public Safety, Recruiting",,,,,1134862,USD,1134862,,,"Salem, Oregon, United States",$10B+,1636-01-01,year,,https://www.linkedin.com/company/oregon-army-national-guard-recruiting-orng/
FaceTime Communications,https://www.crunchbase.com/organization/facetime-communications-inc-2,251-500,Active,http://www.facetime.com,info@facetime.com,+1 888 349 3223,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security","Cyber Security, Internet, Messaging, Mobile, Unified Communications",,,,,127449,USD,127449,,,"Foster City, California, United States",$10B+,1998-01-01,year,"Sutter Hill Ventures, Compaq, TH Lee Putnam Ventures, Sumitomo Ventures, Novell Ventures",https://www.linkedin.com/company/facetime-communications
Numeum,https://www.crunchbase.com/organization/numeum,10001+,Active,https://numeum.fr/,contact@numeum.fr,+33 14-430-4970,,,,,,,,,"Information Technology, Privacy and Security, Professional Services, Software","Consulting, Cyber Security, Information Technology, Software",,,,,,,,,,"Paris, Ile-de-France, France",$10B+,2021-06-01,month,,https://www.linkedin.com/company/2970743
Zscaler,https://www.crunchbase.com/organization/zscaler,5001-10000,Active,https://www.zscaler.com,info@zscaler.com,1(408) 533-0288,4,5,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Enterprise Software, Security",226,21,Electric Communication Technique,Scientific and technological services,124764345,USD,124764345,,,"San Jose, California, United States",$1B to $10B,2008-01-01,year,"Employee Stock Option Fund, EquityZen, CapitalG, TPG Growth, Lightspeed Venture Partners",https://www.linkedin.com/company/zscaler
Akamai Technologies,https://www.crunchbase.com/organization/akamai-technologies,10001+,Active,https://www.akamai.com/,support@akamai.com,(877) 325-2624,24,25,4,3,On-Site,,,,"Content and Publishing, Information Technology, Media and Entertainment, Privacy and Security, Software, Video","Cyber Security, Digital Media, SaaS, Software, Video Streaming",667,24,Electric Communication Technique,Scientific and technological services,549164100,USD,549164100,,,"Cambridge, Massachusetts, United States",$1B to $10B,1998-08-01,day,"Polaris Partners, The TCW Group, Battery Ventures, CORMCO, IVP",http://www.linkedin.com/company/akamai-technologies
Sophos,https://www.crunchbase.com/organization/sophos,1001-5000,Active,http://www.sophos.com,support@sophos.com,+441235559933,,,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Network Security, Software",315,120,Computing; Calculating,Scientific and technological services,112142062,USD,112142062,,,"Abingdon, Oxfordshire, United Kingdom",$1B to $10B,1985-01-01,year,TA Associates,https://www.linkedin.com/company/sophos
Motorola Solutions,https://www.crunchbase.com/organization/motorola-solutions,10001+,Active,http://www.motorolasolutions.com,motosols@motorolasolutions.com,6264847779,46,50,12,2,,,,,"Hardware, Information Technology, Media and Entertainment, Privacy and Security, Video","Cyber Security, Telecommunications, Video","7,820",96,Electric Communication Technique,Scientific and electric apparatus and instruments,688491512,USD,688491512,,,"Chicago, Illinois, United States",$1B to $10B,1928-09-25,day,"Silver Lake, Huawei Technologies",http://www.linkedin.com/company/motorolasolutions
Booz Allen Hamilton,https://www.crunchbase.com/organization/booz-allen-hamilton,10001+,Active,http://www.boozallen.com,communications@bah.com,(703)902-5000,9,11,4,1,,,,,"Information Technology, Privacy and Security, Professional Services","Consulting, Cyber Security, IT Infrastructure, Management Consulting, Security",156,34,,Scientific and technological services,699338182,USD,699338182,,,"Mclean, Virginia, United States",$1B to $10B,1914-01-01,year,,https://www.linkedin.com/company/booz-allen-hamilton
Mphasis,https://www.crunchbase.com/organization/mphasis,10001+,Active,https://www.mphasis.com,,+91 80 4004 4444,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cyber Security, Information Technology",4,17,,Scientific and technological services,,,,,,"Bangalore, Karnataka, India",$1B to $10B,1998-01-01,year,Blackstone Group,https://www.linkedin.com/company/mphasis/
