Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Texas Instruments,https://www.crunchbase.com/organization/texas-instruments,10001+,Active,http://www.ti.com,,(972) 995-2011,27,34,6,,,,,,"Consumer Electronics, Hardware, Science and Engineering","Computer, DSP, Semiconductor","19,263",213,Basic Electric Elements,Scientific and electric apparatus and instruments,1513291046,USD,1513291046,,,"Dallas, Texas, United States",$10B+,1930-01-01,year,,http://www.linkedin.com/company/texas-instruments
"DSP Concepts, Inc.",https://www.crunchbase.com/organization/dsp-concepts,101-250,Active,https://w.dspconcepts.com,cbeckmann@dspconcepts.com,(408)747-5200,,,,,,,,,"Consumer Electronics, Hardware, Health Care, Internet Services, Media and Entertainment, Mobile, Music and Audio, Software, Transportation","Audio, Automotive, Consumer Electronics, DSP, Internet of Things, Medical Device, Mobile Devices, Software, Wearables",8,5,Musical Instruments; Acoustics,Scientific and electric apparatus and instruments,,,,,,"Santa Clara, California, United States",$10M to $50M,2015-05-27,day,"Walden International, Porsche Ventures, Taiwania Capital Management Corporation, Yuchun Lee, Porsche Digital",https://www.linkedin.com/company/1915605
Mobilewalla,https://www.crunchbase.com/organization/mobilewalla,51-100,Active,http://www.mobilewalla.com/,contact@mobilewalla.com,(404) 402-7894,,,,,,,,,"Advertising, Data and Analytics, Hardware, Mobile, Sales and Marketing","Advertising, Analytics, Big Data, Digital Marketing, DSP, Mobile",,,,,1326900,USD,1326900,,,"New York, New York, United States",$1M to $10M,2010-01-01,year,"Madrona, Indian Angel Network, Artha Group, ATW Partners, Rajan Anandan",https://in.linkedin.com/company/mobilewalla
Bidease,https://www.crunchbase.com/organization/bidease,101-250,Active,https://www.bidease.com/,hello@bidease.com,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Hardware, Sales and Marketing, Software","Advertising, Advertising Platforms, App Marketing, DSP, Machine Learning, Mobile Advertising",0,5,,Insurance; financial affairs,,,,,,"New York, New York, United States",$10M to $50M,2016-07-14,day,,https://www.linkedin.com/company/bidease/
Aehr Test Systems,https://www.crunchbase.com/organization/aehr-test-systems,51-100,Active,http://www.aehr.com,info@aehr.com,(510) 623-9400,,,,,,,,,"Hardware, Manufacturing, Software","DSP, Hardware, Manufacturing, Software",61,1,Testing,Scientific and electric apparatus and instruments,2127886,USD,2127886,,,"Fremont, California, United States",$50M to $100M,1977-01-01,year,Summit Partners,https://in.linkedin.com/company/aehr-test-systems
VeriSilicon Holdings,https://www.crunchbase.com/organization/verisilicon-holdings,251-500,Active,http://www.verisilicon.com,,86 21 5131 1118,2,2,,,,,,,"Hardware, Internet Services, Manufacturing, Science and Engineering, Software","Cloud Computing, DSP, Manufacturing, Semiconductor",23,2,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Shanghai, Shanghai, China",$100M to $500M,2001-01-01,year,"IBM, International Finance Corporation, Sierra Ventures, Celesta Capital, Samsung Ventures",http://www.linkedin.com/company/verisilicon
WMG International (adWMG),https://www.crunchbase.com/organization/wmg-international,51-100,Active,https://adwmg.com/,contact@adwmg.com,+1-310-890-92-51,,,,,,,,,"Advertising, Gaming, Hardware, Sales and Marketing","Ad Exchange, Ad Server, Advertising, Advertising Platforms, Console Games, Digital Marketing, DSP, Online Games, PC Games, Video Games",,,,,1575450,USD,1575450,,,"Los Angeles, California, United States",,2014-05-01,month,,https://www.linkedin.com/company/wmg-international/
BidMind,https://www.crunchbase.com/organization/fiksu,101-250,Active,https://www.bidmind.com/,sales@bidmind.com,,,,,,,,,,"Advertising, Apps, Hardware, Sales and Marketing, Software","Apps, DSP, Mobile Advertising",2,0,Computing; Calculating,,622279,USD,622279,,,"Boston, Massachusetts, United States",$100M to $500M,2020-03-01,day,"Qualcomm Ventures, Silicon Valley Bank, CRV, Venrock",https://www.linkedin.com/company/bidmind/
Hybrid,https://www.crunchbase.com/organization/hybrid,101-250,Active,http://hybrid.ai/,sales@hybrid.ai,+48 601 26 56 78,,,,,,,,,"Advertising, Hardware, Sales and Marketing, Software","Advertising, Advertising Platforms, Digital Marketing, DSP, Marketing Automation",0,1,,Education; entertainment,,,,,,"Warsaw, Mazowieckie, Poland",$100M to $500M,2011-02-23,day,,https://www.linkedin.com/company/hybrid-adtech-inc./
Harman International,https://www.crunchbase.com/organization/harman-international,10001+,Active,http://www.harman.com,contactus@harman.com,+1 203 328 3500,3,3,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Media and Entertainment, Music and Audio, Other","Audio, Consumer, Consumer Electronics, DSP, Electronics, Manufacturing",1,0,Electric Communication Technique,,615586895,USD,615586895,,,"Stamford, Connecticut, United States",$1B to $10B,1980-01-01,year,,https://www.linkedin.com/company/harman-international
Analog Devices,https://www.crunchbase.com/organization/analog-devices,10001+,Active,http://www.analog.com,distribution.literature@analog.com,(781)461-4482,4,4,,1,,,,,"Consumer Electronics, Hardware, Science and Engineering","DSP, Electronics, Lighting, Semiconductor","3,185",195,Basic Electronic Circuitry,Scientific and electric apparatus and instruments,950475680,USD,950475680,,,"Norwood, Massachusetts, United States",$10B+,1965-01-01,year,,https://www.linkedin.com/company/3450
Affle,https://www.crunchbase.com/organization/affle,501-1000,Active,https://www.affle.com,partners@affle.com,+65 6225 2652,4,7,6,,,,,,"Advertising, Apps, Data and Analytics, Financial Services, Hardware, Information Technology, Mobile, Payments, Privacy and Security, Sales and Marketing, Software","Analytics, App Marketing, Big Data, Brand Marketing, CRM, Digital Marketing, DSP, Enterprise Applications, Fraud Detection, Information Technology, Mobile, Mobile Advertising",,,,,,,,,,"Mumbai, Maharashtra, India",$10M to $50M,2005-01-01,year,"Microsoft, ITOCHU Corporation, Bennett Coleman and Co Ltd, Tribe, D2 Communications",http://www.linkedin.com/company/affle
Marvell,https://www.crunchbase.com/organization/marvell-technology,5001-10000,Active,https://www.marvell.com/,pr@marvell.com,408-222-2500,4,4,,,,,,,"Hardware, Internet Services, Manufacturing, Mobile, Science and Engineering","DSP, Internet of Things, Manufacturing, Semiconductor, Wireless",90,0,Electric Communication Technique,,447277695,USD,447277695,,,"Santa Clara, California, United States",$1B to $10B,1995-01-01,year,"Ameriprise Financial, Tsinghua Holdings",https://www.linkedin.com/company/marvell
Luminex,https://www.crunchbase.com/organization/luminex,501-1000,Active,http://www.luminexcorp.com,info@luminexcorp.com,(512) 219-7692,,,,,,,,,"Biotechnology, Hardware, Health Care, Manufacturing, Science and Engineering","Biotechnology, DSP, Health Diagnostics, Manufacturing",252,57,Testing,Scientific and electric apparatus and instruments,24101740,USD,24101740,,,"Austin, Texas, United States",$100M to $500M,1995-01-01,year,,http://www.linkedin.com/company/luminex-corporation
Cirrus Logic,https://www.crunchbase.com/organization/cirrus-logic,5001-10000,Active,http://www.cirrus.com/en/,webmaster@cirrus.com,512-851-4000,3,4,,,,,,,"Consumer Electronics, Energy, Hardware","DSP, Electronics, Energy","1,773",24,Basic Electronic Circuitry,Scientific and electric apparatus and instruments,152233316,USD,152233316,,,"Austin, Texas, United States",$1B to $10B,1984-01-01,year,New Enterprise Associates,http://www.linkedin.com/company/cirrus-logic
