Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Hewlett Packard Enterprise,https://www.crunchbase.com/organization/hewlett-packard-enterprise,10001+,Active,https://www.hpe.com,,800-633-3600,26,37,6,5,,,,,"Hardware, Information Technology, Privacy and Security, Software","Data Center, Enterprise Software, Information Technology, IT Management, Network Security","9,782",407,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Roseville, California, United States",$10B+,1939-07-02,day,,https://www.linkedin.com/company/hewlett-packard-enterprise
Nippon Telegraph and Telephone,https://www.crunchbase.com/organization/nippon-telegraph-and-telephone-corporation,10001+,Active,https://group.ntt,,+81368385111,17,17,3,,,,,,"Hardware, Information Technology, Internet Services","Data Center, Information and Communications Technology (ICT), Internet, Telecommunications","11,853",75,Electric Communication Technique,Scientific and technological services,,,,,,"Tokyo, Tokyo, Japan",$10B+,1985-04-01,day,,https://www.linkedin.com/company/ntt-nippon-telegraph-and-telephone-corporation
China Telecom,https://www.crunchbase.com/organization/china-telcom,10001+,Active,https://www.chinatelecomglobal.com/,cs@chinatelecomglobal.com,+86 10 6642 8166,2,2,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Data Center, Information Services, Internet, Mobile, Telecommunications, Unified Communications",0,2,,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$10B+,2002-01-01,year,,https://www.linkedin.com/company/china-telecom-global/
Dell EMC,https://www.crunchbase.com/organization/dell-emc,10001+,Closed,http://dellemc.com,EdServices@emc.com,+118664383622,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services","Big Data, Cloud Infrastructure, Data Center, Information Technology",,,,,146032,USD,146032,,,"Hopkinton, Massachusetts, United States",$10B+,2016-09-07,day,,https://www.linkedin.com/company-beta/1128
OpenText,https://www.crunchbase.com/organization/opentext,10001+,Active,https://www.opentext.com,support@opentext.com,+118004996544,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Media and Entertainment, Privacy and Security, Software","Content, Data Center, Data Management, Information Services, Information Technology, Network Security, Software",510,36,Computing; Calculating,Scientific and electric apparatus and instruments,272692499,USD,272692499,,,"Waterloo, Ontario, Canada",$1B to $10B,1991-06-26,day,"TCV, Tera Capital Corporation",http://www.linkedin.com/company/opentext
Nutanix,https://www.crunchbase.com/organization/nutanix,5001-10000,Active,http://www.nutanix.com,info@nutanix.com,+1 408-216-8360,,,,,,,,,"Hardware, Information Technology, Software","Data Center, Enterprise Software, Information Technology, Software, Virtualization",508,49,Computing; Calculating,Scientific and technological services,,,,,,"San Jose, California, United States",$1B to $10B,2009-09-01,month,"Fidelity, Employee Stock Option Fund, Wellington Management, EquityZen, Goldman Sachs",http://www.linkedin.com/company/nutanix
Equinix,https://www.crunchbase.com/organization/equinix,10001+,Active,http://www.equinix.com,info@equinix.com,1.855.403.9086,1,1,1,,,,,,"Hardware, Information Technology, Internet Services, Other, Software","Cloud Data Services, Data Center, Information Technology, Infrastructure, Internet, Software",194,66,Electric Communication Technique,Telecommunications,560406024,USD,560406024,,,"Redwood City, California, United States",$1B to $10B,1998-01-01,year,"Ameriprise Financial, The Carlyle Group, Cisco, Microsoft, Dell",http://www.linkedin.com/company/equinix
Digital Realty,https://www.crunchbase.com/organization/digital-realty-trust,1001-5000,Active,http://www.digitalrealty.com,customersuccessteam@digitalrealty.com,+1 737 281 0101,3,3,2,,,,,,"Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Media and Entertainment, Mobile, Software","3D Technology, Analytics, Data Center, Digital Media, Finance, Mobile, Social Media",3,40,Computing; Calculating,Scientific and technological services,703775100,USD,703775100,,,"Austin, Texas, United States",$1B to $10B,2004-01-01,year,,http://www.linkedin.com/company/digitalrealty
Vertiv,https://www.crunchbase.com/organization/vertiv,10001+,Active,https://www.Vertiv.com,Vertiv@Vertiv.com,1.614.888.0246,,,,,,,,,"Hardware, Information Technology","Data Center, Information Technology, IT Infrastructure, Telecommunications",276,69,Generation; Conversion Or Distribution Of Electric Power,Scientific and electric apparatus and instruments,158211008,USD,158211008,,,"Westerville, Ohio, United States",$1B to $10B,2016-12-01,day,"Goldman Sachs, Platinum Equity, Starboard Value, David Cote",https://www.linkedin.com/company/Vertiv/
Alibaba Cloud,https://www.crunchbase.com/organization/alibaba-cloud,10001+,Active,https://in.alibabacloud.com,carlosavirella@gmail.com,7187900461,3,5,3,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Management, Data Center, Data Management, Software",,,,,,,,,,"Hangzhou, Zhejiang, China",$1B to $10B,2009-09-10,day,Alibaba Group,https://www.linkedin.com/company/alibaba-cloud-computing-company
Arista Networks,https://www.crunchbase.com/organization/arista-networks,1001-5000,Active,http://www.arista.com,info@arista.com,(408) 547-5500,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Data Center Automation, Hardware, Information Technology, Software",732,46,Electric Communication Technique,Scientific and electric apparatus and instruments,331046395,USD,331046395,,,"Santa Clara, California, United States",$1B to $10B,2004-01-01,year,"Summit Partners, Khosla Ventures, Singtel Innov8, Accel, Greylock",http://www.linkedin.com/company/arista-networks-inc
VNET Group,https://www.crunchbase.com/organization/vnet-group,1001-5000,Active,https://www.vnet.com,marketing@vnet.com,+86-010-8456 2121,,,,,,,,,"Hardware, Information Technology, Privacy and Security, Sustainability","Cyber Security, Data Center, Information Technology, Sustainability",,,,,,,,,,"Beijing, Beijing, China",$1B to $10B,1996-01-01,year,"Shandong Hi-Speed New Energy Group, Blackstone Tactical Opportunities",https://www.linkedin.com/company/21vianet-group-limited/?lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3BLZS%2Ff22NTv2vR50G2fSb7A%3D%3D
21viaNet,https://www.crunchbase.com/organization/21vianet,1001-5000,Active,https://www.21vianet.com,marketing@21vianet.com,+86 10 8456 2121,1,1,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Data Center, Enterprise Software, Information Technology, Internet, Web Hosting",,,,,63547168,USD,63547168,,,"Beijing, Beijing, China",$1B to $10B,1996-01-01,year,"Meritech Capital Partners, Goldman Sachs, Trinity Ventures, Temasek Holdings, GGV Capital",https://www.linkedin.com/company/21vianet-group-limited
ConvergeOne,https://www.crunchbase.com/organization/convergeone,1001-5000,Active,https://www.convergeone.com/,ContactUs@converge-one.com,888-321-6227,,,,,,,,,"Hardware, Information Technology, Software","Data Center, Enterprise Software, Virtualization",0,12,Computing; Calculating,Scientific and technological services,57095467,USD,57095467,,,"Eagan, Minnesota, United States",$1B to $10B,1993-01-01,year,Clearlake Capital Group,https://www.linkedin.com/company/converge-one
Micro Focus,https://www.crunchbase.com/organization/micro-focus,10001+,Active,https://www.microfocus.com,info@microfocus.com,+44 0 1635 565 200,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Privacy and Security, Software","Data Center, Data Management, Enterprise Software, Information Technology, Security, Software",10,56,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Newbury, West Berkshire, United Kingdom",$1B to $10B,1976-01-01,year,,https://www.linkedin.com/company/micro-focus
ePlus,https://www.crunchbase.com/organization/eplus-inc,1001-5000,Active,http://www.eplus.com/,info@eplus.com,(703)984-8400,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Data Center, Information Technology, IT Management, Software",2,6,Computing; Calculating,Scientific and technological services,196290,USD,196290,,,"Herndon, Virginia, United States",$1B to $10B,1990-01-01,year,,https://www.linkedin.com/company/eplus-technology
CompuCom,https://www.crunchbase.com/organization/compucom,10001+,Active,http://www.compucom.com,info@compucom.com,(972)856-3600,,,,,,,,,"Hardware, Information Technology, Other, Privacy and Security, Professional Services, Software","Data Center, Hardware, Information Technology, Infrastructure, Outsourcing, Security, Software",2,20,Electric Communication Technique,Scientific and technological services,131638498,USD,131638498,,,"Plano, Texas, United States",$1B to $10B,1987-01-01,year,,https://www.linkedin.com/company/compucom
Sirius Computer Solutions,https://www.crunchbase.com/organization/sirius-computer-solutions,1001-5000,Active,http://www.siriuscom.com/,info@siriuscom.com,(800)460-1237,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Data Center, Information Technology, Internet of Things, Security, Software",0,1,,Advertising; business,53381393,USD,53381393,,,"San Antonio, Texas, United States",$1B to $10B,1980-01-01,year,,https://www.linkedin.com/company/sirius-computer-solutions
SONDA,https://www.crunchbase.com/organization/sonda,10001+,Active,https://www.sonda.com/pt-br,,56-2-657-50-00,,,,,,,,,"Hardware, Information Technology, Mobile, Platforms, Software","Data Center, Information Technology, iOS, IT Infrastructure, Software",,,,,,,,,,"Santiago, Region Metropolitana, Chile",$1B to $10B,1974-01-01,year,,https://www.linkedin.com/company/sonda
Telekom Malaysia,https://www.crunchbase.com/organization/telekom-malaysia,10001+,Active,https://www.tm.com.my/,,60 3 2240 9494,1,1,,,,,,,"Administrative Services, Hardware, Information Technology, Internet Services, Other, Privacy and Security, Professional Services","Call Center, Communications Infrastructure, Customer Service, Cyber Security, Data Center, Infrastructure, Internet of Things, Telecommunications",18,0,Electric Communication Technique,,,,,,,"Kuala Lumpur, Kuala Lumpur, Malaysia",$1B to $10B,1984-10-12,day,,https://www.linkedin.com/company/telekom-malaysia
Iron Mountain - Russia/Ukraine,https://www.crunchbase.com/organization/iron-mountain-russia-ukraine,1001-5000,Active,http://www.ironmountain.com.ua/,,+380 (44) 490 12 77,,,,,,,,,"Hardware, Information Technology, Software","Data Center Automation, Data Storage",,,,,,,,,,"Kiev, Kyyivs'ka Oblast', Ukraine",$1B to $10B,1951-01-01,year,,https://www.linkedin.com/company/osg-records-management
VMWare Denmark,https://www.crunchbase.com/organization/vmware-denmark,10001+,Active,http://www.vmware.dk,,45 70106888,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Data Center Automation, Open Source",,,,,,,,,,"Vedbæk, Hovedstaden, Denmark",$1B to $10B,1998-01-01,day,,https://www.linkedin.com/company/vmware/about/
ACO Severin Ahlmann,https://www.crunchbase.com/organization/aco-severin-ahlmann-gmbh-co,5001-10000,Active,https://www.aco.com/,socialmedia@aco.com,+49-4331-354-0,,,,,,,,,"Hardware, Information Technology, Real Estate, Science and Engineering, Travel and Tourism","Building Material, Civil Engineering, Construction, Data Center, Hospitality",109,6,Water Supply; Sewerage,Non-metallic building materials,,,,,,"Büdelsdorf, Schleswig-Holstein, Germany",$1B to $10B,1946-01-01,year,,https://www.linkedin.com/company/aco-group/
Tech Data,https://www.crunchbase.com/organization/tech-data-de8b,101-250,Active,http://www.techdata.nu,info@techdata.nu,46-8-7952000,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services","Analytics, Cloud Data Services, Data Center, Information Technology",,,,,,,,,,"Spånga, Skane Lan, Sweden",$1B to $10B,1982-12-20,day,,https://www.linkedin.com/company/td-tech
NewGLink,https://www.crunchbase.com/organization/newglink,10001+,Active,https://newglink.com/,sales@newglink.com,+1 860 266 5465,,,,,,,,,"Hardware, Information Technology, Software","Data Center, Information Technology, Software, Web Development",,,,,1258109,USD,1258109,,,"South Amboy, New Jersey, United States",$1B to $10B,2008-01-01,year,,https://www.linkedin.com/company/newglink
Veeam Software,https://www.crunchbase.com/organization/veeam-software,1001-5000,Active,http://www.veeam.com,veeam_team@veeam.com,800-691-1991,1,1,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, Data Center, Data Management, Enterprise Software, Software, Virtualization",7,5,Computing; Calculating,Scientific and electric apparatus and instruments,108021078,USD,108021078,,,"Columbus, Ohio, United States",$500M to $1B,2006-01-01,year,"Canada Pension Plan Investment Board, Insight Partners",https://www.linkedin.com/company/veeam-software/
Liquid Intelligent Technologies,https://www.crunchbase.com/organization/liquid-telecom,1001-5000,Active,https://liquid.tech,info@liquidtelecom.com,+230 466 7620,,,,,,,,,"Hardware, Information Technology, Internet Services, Other","Data Center, Internet, ISP, Professional Services, Service Industry, Telecommunications",,,,,,,,,,"Ebène, Plaines Wilhems, Mauritius",$500M to $1B,2004-01-01,year,"Standard Chartered Bank, Investec, Emerging Africa Infrastructure Fund, International Finance Corporation, Barclays Corporate Banking",https://www.linkedin.com/company/liquid-telecom
DLT Solutions,https://www.crunchbase.com/organization/dlt-solutions,251-500,Active,http://www.dlt.com,sales@dlt.com,703-709-7172,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Data Center, Information Technology, Software",0,2,,Advertising; business,103372,USD,103372,,,"Herndon, Virginia, United States",$500M to $1B,1991-01-01,year,"TZP Group, Mill Point Capital, United States Navy",http://www.linkedin.com/company/dlt-solutions
