Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
OwnBackup,https://www.crunchbase.com/organization/ownbackup,501-1000,Active,https://www.ownbackup.com,info@ownbackup.com,+1 646 503 5100,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Data Services, Cloud Security, Data Storage, Enterprise Software, SaaS",1,0,Computing; Calculating,,13451942,USD,13451942,,,"Englewood Cliffs, New Jersey, United States",$100M to $500M,2012-01-01,year,"B Capital, Vertex Ventures, Eric Schmidt, BlackRock Private Equity Partners, Vintage Investment Partners",https://www.linkedin.com/company/ownbackup
Druva,https://www.crunchbase.com/organization/druva-software,1001-5000,Active,http://www.druva.com,press@druva.com,800-852-3060,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Data Services, Cloud Security, Compliance, Data Management, Data Storage, Enterprise Software, SaaS, Software",35,0,Computing; Calculating,,38853150,USD,38853150,,,"Sunnyvale, California, United States",$10M to $50M,2008-08-02,day,"Neuberger Berman, Hercules Capital, Nexus Venture Partners, Riverwood Capital, EDBI",http://www.linkedin.com/company/960262
Hammerspace,https://www.crunchbase.com/organization/hammerspace-4936,101-250,Active,https://hammerspace.com,info@hammerspace.com,650-516-4949,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Storage, Data Management, Data Storage, Information Technology, Software",0,0,,Scientific and electric apparatus and instruments,907609,USD,907609,,,"San Mateo, California, United States",$1M to $10M,2018-01-01,year,"ARK Investment Management, Prosperity7 Ventures, Pier 88 Investment Partners",https://www.linkedin.com/company/hammerspace
Nasuni,https://www.crunchbase.com/organization/nasuni,251-500,Active,http://www.nasuni.com,info@nasuni.com,857-444-8500,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Storage, Data Storage, Enterprise Software, File Sharing, Information Technology, SaaS",43,13,Computing; Calculating,Scientific and electric apparatus and instruments,16460483,USD,16460483,,,"Boston, Massachusetts, United States",$50M to $100M,2009-04-01,day,"Sixth Street, Goldman Sachs, Telstra Ventures, Dell Technologies Capital, GS Growth",http://www.linkedin.com/company/nasuni
Qumulo,https://www.crunchbase.com/organization/qumulo,251-500,Active,http://qumulo.com,info@qumulo.com,(206) 260-3588,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Big Data, Cloud Data Services, Cloud Storage, Data Management, Data Storage, Enterprise Software, Software",58,10,Computing; Calculating,Scientific and technological services,,,,,,"Seattle, Washington, United States",$1M to $10M,2012-01-01,year,"Western Digital, DCVC, Madrona, Goldman Sachs, Allen & Company",https://www.linkedin.com/company/qumulo/
Blockstream,https://www.crunchbase.com/organization/blockstream,101-250,Active,https://blockstream.com,inquiries@blockstream.com,,,,,,,,,,"Blockchain and Cryptocurrency, Consumer Electronics, Financial Services, Hardware, Other, Payments, Software","Asset Management, Bitcoin, Blockchain, Computer, Cryptocurrency, Data Storage, Finance, Financial Services, FinTech, Software",6,6,Computing; Calculating,Scientific and technological services,64011,USD,64011,,,"Montréal, Quebec, Canada",$1M to $10M,2014-01-01,year,"AngelList, Tencent, Gaingels, DCVC, Horizons Ventures",https://www.linkedin.com/company/blockstream
TileDB,https://www.crunchbase.com/organization/tiledb,51-100,Active,https://tiledb.com/,hello@tiledb.com,,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Software","Analytics, Big Data, Computer, Data Storage, Software",,,,,379050,USD,379050,,,"Cambridge, Massachusetts, United States",$1M to $10M,2017-01-01,year,"Lockheed Martin, Nexus Venture Partners, Uncorrelated Ventures, Lockheed Martin Ventures, LDV Partners",https://www.linkedin.com/company/11301003/
OVHcloud,https://www.crunchbase.com/organization/ovh-com,1001-5000,Active,https://www.ovhcloud.com/en/,,+1 855 579 0059,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Data Services, Cloud Infrastructure, Data Center, Data Storage, Web Hosting",3,13,Electric Techniques Not Otherwise Provided For,Scientific and electric apparatus and instruments,96822135,USD,96822135,,,"Paris, Ile-de-France, France",$100M to $500M,1999-01-01,year,"JP Morgan Chase, European Investment Bank, TowerBrook Capital Partners, Kohlberg Kravis Roberts, Banque Commerciale du Marché Nord Europe",https://www.linkedin.com/company/ovhgroup
Hazelcast,https://www.crunchbase.com/organization/hazelcast,101-250,Active,http://www.hazelcast.com,info@hazelcast.com,(650) 521-5453,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Data Storage, Enterprise Software, Open Source, Software",0,1,,Scientific and electric apparatus and instruments,5494650,USD,5494650,,,"Palo Alto, California, United States",$10M to $50M,2012-12-20,day,"Striim, Bain Capital Ventures, Earlybird Venture Capital, Capital One Ventures, KFW DEG",http://www.linkedin.com/company/hazelcast
Pure Storage,https://www.crunchbase.com/organization/pure-storage,5001-10000,Active,http://www.purestorage.com,info@purestorage.com,833-371-7873,,,,,,,,,"Hardware, Internet Services, Software","Cloud Computing, Data Storage, Enterprise Software","1,987",32,Computing; Calculating,Scientific and electric apparatus and instruments,208046086,USD,208046086,,,"Santa Clara, California, United States",$1B to $10B,2009-09-01,day,"Sutter Hill Ventures, Employee Stock Option Fund, Wellington Management, T. Rowe Price, Samsung Ventures",http://www.linkedin.com/company/pure-storage
