Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SAP,https://www.crunchbase.com/organization/sap,10001+,Active,https://www.sap.com,sapnetwork@sap.com,+496227747474,29,35,7,,,,,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Analytics, Business Intelligence, Business Process Automation (BPA), Computer, Data Management, Finance, Software","9,774",349,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Walldorf, Baden-Wurttemberg, Germany",$10B+,1972-04-01,day,"Elliott Investment Management, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/sap
Thermo Fisher Scientific,https://www.crunchbase.com/organization/thermo-fisher-scientific,10001+,Active,http://www.thermofisher.com,,+1 (781) 622-1000,2,2,1,,,,,,"Biotechnology, Commerce and Shopping, Data and Analytics, Health Care, Information Technology, Internet Services, Professional Services, Science and Engineering","Bioinformatics, Biotechnology, Cloud Data Services, Consulting, Health Care, Life Science, Management Information Systems, Office Supplies, Precision Medicine","3,916","1,418",Testing,Chemical substances,,,,,,"Waltham, Massachusetts, United States",$10B+,1956-01-01,year,National Grid,https://www.linkedin.com/company/thermo-fisher-scientific
IQVIA,https://www.crunchbase.com/organization/quintilesims,10001+,Active,https://www.iqvia.com,,+1 866 267 4479,7,7,6,,,,,,"Biotechnology, Data and Analytics, Health Care, Science and Engineering","Analytics, Health Care, Life Science",,,,,519024,USD,519024,,,"Danbury, Connecticut, United States",$10B+,1982-01-01,year,"TPG, Bain Capital, CPP Investment Board Europe",https://www.linkedin.com/company/iqvia
Northrop Grumman,https://www.crunchbase.com/organization/northrop-grumman,10001+,Active,http://www.northropgrumman.com,,+1 703 280 2900,5,6,3,,,,,,"Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software","Aerospace, Data Integration, Manufacturing, Remote Sensing, Security, Software","2,661",127,Basic Electric Elements,Scientific and electric apparatus and instruments,623548414,USD,623548414,,,"Falls Church, Virginia, United States",$10B+,1994-01-01,year,"NASA, U.S. Department of Defense",http://www.linkedin.com/company/northrop-grumman-corporation
S&P Global,https://www.crunchbase.com/organization/s-p-global,10001+,Active,https://www.spglobal.com,investor.relations@spglobal.com,+1 212 438 1000,20,31,7,4,,,,,"Data and Analytics, Design, Financial Services, Information Technology, Lending and Investments, Software","Analytics, Business Intelligence, Credit, Enterprise Software, Finance, Financial Services, Information Services, Market Research",44,318,Computing; Calculating,Insurance; financial affairs,,,,,,"New York, New York, United States",$10B+,1860-01-01,year,,https://www.linkedin.com/company/spglobal
Western Digital,https://www.crunchbase.com/organization/western-digital,10001+,Active,https://www.westerndigital.com,investor@wdc.com,+1 949 672 7000,8,8,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Software","Big Data, Computer, Hardware, Manufacturing, Software",907,170,Computing; Calculating,Scientific and electric apparatus and instruments,1190201745,USD,1190201745,,,"Milpitas, California, United States",$10B+,1970-01-01,year,"Apollo, Elliott Investment Management, Tsinghua Unisplendour Venture Capital",https://www.linkedin.com/company/western-digital
Banco Bilbao Vizcaya Argentaria,https://www.crunchbase.com/organization/banco-bilbao-vizcaya-argentaria,10001+,Active,https://www.bbva.es,infobbvaresponde@bbva.com,902 22 44 66,19,27,9,,,,,,"Data and Analytics, Financial Services, Lending and Investments","Banking, Big Data, Finance, Financial Services, FinTech",30,93,Computing; Calculating,Insurance; financial affairs,11463463,USD,11463463,,,"Bilbao, Pais Vasco, Spain",$10B+,1857-05-28,day,International Finance Corporation,
NEC Corporation,https://www.crunchbase.com/organization/nec,10001+,Active,http://www.nec.com,,+81 3-3454-1111,25,28,7,,,,,,"Data and Analytics, Hardware, Information Technology, Privacy and Security","Big Data, Information Technology, Network Security, Telecommunications","31,716",173,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1899-07-17,day,Nippon Telegraph and Telephone,https://www.linkedin.com/company/nec
Lumen Technologies,https://www.crunchbase.com/organization/centurylink,10001+,Active,https://news.lumen.com/home,media@lumen.com,(186) 664-2044,4,4,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security","Big Data, Information Services, Infrastructure, Optical Communication, Security, Telecommunications, VoIP, Wireless",188,79,Electric Communication Technique,Telecommunications,1424268045,USD,1424268045,,,"Monroe, Louisiana, United States",$10B+,1968-01-01,day,,https://www.linkedin.com/company/lumentechnologies
Crown Holdings,https://www.crunchbase.com/organization/crown-holdings,10001+,Active,http://crowncork.com,ir@crowncork.com,215-698-5100,,,,,,,,,"Administrative Services, Data and Analytics, Information Technology, Internet Services, Manufacturing, Navigation and Mapping, Professional Services","Information Technology, Innovation Management, Location Based Services, Manufacturing, Packaging Services",,,,,297689000,USD,297689000,,,"Yardley, Pennsylvania, United States",$10B+,1892-01-01,year,Icahn Partners,https://www.linkedin.com/company/crown-holdings-inc-/
ByteDance,https://www.crunchbase.com/organization/bytedance,10001+,Active,http://bytedance.com,press@bytedance.com,+86 4243510993,55,65,37,,,,,,"Data and Analytics, Information Technology, Internet Services, Media and Entertainment","Content, Data Mining, Internet, Social Media",0,8,,Scientific and technological services,,,,,,"Beijing, Beijing, China",$10B+,2012-03-01,month,"G42, Weibo, TCV, Sequoia Capital China, Morgan Stanley",https://www.linkedin.com/company/bytedance
Gazprom,https://www.crunchbase.com/organization/gazprom,10001+,Active,http://www.gazprom.com,gazprom@gazprom.ru,+7 495 719-30-01,,,,,,,,,"Data and Analytics, Energy, Natural Resources, Sustainability","Business Intelligence, Energy, Energy Efficiency, Mining, Renewable Energy",,,,,,,,,,"Moscow, Moscow City, Russian Federation",$10B+,1989-01-01,year,Credit Agricole CIB,https://www.linkedin.com/company/gazprom/
"iQuanti, Inc.",https://www.crunchbase.com/organization/iquanti,101-250,Active,https://www.iquanti.com/,marketing@iquanti.com,201-633-2125,,,,,,,,,"Data and Analytics, Professional Services, Sales and Marketing","Analytics, Consulting, Digital Marketing",2,4,Computing; Calculating,Advertising; business,13118620,USD,13118620,,,"Jersey City, New Jersey, United States",$10B+,2008-01-01,year,,http://www.linkedin.com/company/iquanti-inc
Ping An Healthcare Management,https://www.crunchbase.com/organization/ping-an-healthcare-management,1001-5000,Active,https://health.pingan.com/,health@pingan.com.cn,86 400 88 33 663,,,,,,,,,"Data and Analytics, Financial Services, Health Care","Data Collection and Labeling, Health Care, Insurance, Medical",93,0,,,,,,,,"Shanghai, Shanghai, China",$10B+,2005-06-01,month,"SBI Group, IDG Capital, SoftBank Vision Fund, Hermitage Equity Partners",https://www.linkedin.com/company/pingan-medical-healthcare-management/
IBM,https://www.crunchbase.com/organization/ibm,10001+,Active,http://www.ibm.com,ews@us.ibm.com,(914)499-1900,61,66,20,5,,,,,"Data and Analytics, Information Technology, Professional Services, Sales and Marketing, Software","Business Development, Business Information Systems, CRM, Data Management, Software","54,628","1,295",Computing; Calculating,Scientific and electric apparatus and instruments,4251481,USD,4251481,,,"Armonk, New York, United States",$10B+,1911-06-06,day,,https://www.linkedin.com/company/ibm
KPMG,https://www.crunchbase.com/organization/kpmg,10001+,Active,https://home.kpmg,digital@kpmg.com,(416) 777-3319,19,21,9,2,,,,1,"Data and Analytics, Financial Services, Information Technology, Media and Entertainment, Other, Professional Services","Accounting, Advice, Big Data, Consulting, Financial Services, Information Technology, Legal, Management Consulting, Professional Services",0,90,,Advertising; business,379124510,USD,379124510,,,"Toronto, Ontario, Canada",$10B+,1987-01-01,day,,http://www.linkedin.com/company/kpmg
DXC Technology,https://www.crunchbase.com/organization/dxc-technology,10001+,Active,https://www.dxc.com,,+1 860 739 8305,1,1,1,,,,,,"Data and Analytics, Financial Services, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Analytics, Consulting, Information Technology, InsurTech, Outsourcing, Security, Software Engineering",19,69,Computing; Calculating,Scientific and technological services,1145563534,USD,1145563534,,,"Ashburn, Virginia, United States",$10B+,2017-01-01,year,,https://www.linkedin.com/company/dxctechnology/
BASF,https://www.crunchbase.com/organization/basf,10001+,Active,http://www.basf.com,,800-424-9300,11,12,4,2,,,,,"Agriculture and Farming, Data and Analytics, Design, Energy, Manufacturing, Natural Resources, Science and Engineering","Agriculture, Chemical, Industrial Engineering, Manufacturing, Oil and Gas, Product Research","21,185","4,312",Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up,Chemical substances,2214695691,USD,2214695691,,,"Ludwigshafen, Rheinland-Pfalz, Germany",$10B+,1865-01-01,year,MassChallenge,http://www.linkedin.com/company/basf
Airbus,https://www.crunchbase.com/organization/airbus-group,10001+,Active,http://www.airbus.com,airbusgroup.web@airbus.com,+33 5 81 31 75 00,6,6,3,,On-Site,,26,,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering","Aerospace, Industrial, Manufacturing, Product Design, Product Research, Remote Sensing","7,217",243,Aircraft; Aviation; Cosmonautics,Vehicles,3421167178,USD,3421167178,,,"Leiden, Zuid-Holland, The Netherlands",$10B+,1970-12-18,day,,https://www.linkedin.com/showcase/airbus
Merative,https://www.crunchbase.com/organization/ibm-watson-health,10001+,Active,https://www.merative.com,,,,,,,,,,,"Data and Analytics, Health Care, Information Technology","Analytics, Health Care, Information Services, Information Technology",508,37,Computing; Calculating,Scientific and technological services,,,,,,"Ann Arbor, Michigan, United States",$10B+,2015-01-01,year,ITOCHU Technology Ventures,https://www.linkedin.com/company/merative
RELX,https://www.crunchbase.com/organization/relx-is-a-software-company,10001+,Active,https://www.relx.com,london@relx.com,+44 20 7166 5500,1,2,,,,,,,"Data and Analytics, Financial Services, Information Technology, Professional Services","Analytics, Business Information Systems, Consulting, Information Services, Information Technology, Insurance, Risk Management",134,574,Computing; Calculating,Advertising; business,631217684,USD,631217684,,,"London, England, United Kingdom",$10B+,1993-01-01,year,,https://www.linkedin.com/company/relx-group/
CGI,https://www.crunchbase.com/organization/cgi,10001+,Active,https://www.cgi.com,info@cgi.com,+1 514 841 3200,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Software","Analytics, Application Performance Management, Business Intelligence, Consulting, Cyber Security, Finance, Information Technology, Technical Support",0,79,,Scientific and technological services,993022340,USD,993022340,,,"Montréal, Quebec, Canada",$10B+,1976-01-01,year,,https://www.linkedin.com/company/cgi
Dell Technologies,https://www.crunchbase.com/organization/dell-technologies,10001+,Active,https://www.delltechnologies.com,,,3,3,3,,,,,,"Data and Analytics, Information Technology","Data Management, Information and Communications Technology (ICT), Information Services, Information Technology","20,135",641,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Round Rock, Texas, United States",$10B+,2016-01-01,year,,https://www.linkedin.com/company/delltechnologies
SAP Litmos,https://www.crunchbase.com/organization/litmos,501-1000,Active,http://www.litmos.com,support@litmos.com,(866) 447-2211,,,,,,,,,"Data and Analytics, Design, Education, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video","E-Learning, Education, Market Research, Messaging, Presentations, SaaS, Skill Assessment, Software, Training, Video",,,,,,,,,,"Dublin, California, United States",$10B+,2006-08-01,day,,https://www.linkedin.com/company/litmos
Honda,https://www.crunchbase.com/organization/honda-5087,10001+,Active,https://heylink.me/spmbet77_link/,,+819339489303,2,2,1,1,,,,,"Commerce and Shopping, Data and Analytics, Design, Manufacturing, Science and Engineering, Transportation","Automotive, Manufacturing, Marine Technology, Product Design, Product Research, Retail","20,926","1,114",Vehicles In General,Vehicles,,,,,,"Tokyo, Tokyo, Japan",$10B+,1948-01-01,year,,https://www.linkedin.com/company/honda-motor-europe-ltd/
Radian6,https://www.crunchbase.com/organization/radian6,1001-5000,Active,https://www.salesforce.com,community@radian6.com,1-888-747-9736,,,,,,,,,"Advertising, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Navigation and Mapping, Sales and Marketing, Software, Video","Advertising, CRM, Information Technology, Location Based Services, Messaging, Social Media Management, Social Media Marketing, Software, Video",,,,,,,,,,"Fredericton, Nova Scotia, Canada",$10B+,2006-04-01,day,"BDC Venture Capital, Brightspark Ventures, BDC IT Venture Fund, New Brunswick Innovation Foundation, East Valley Ventures",https://www.linkedin.com/company/salesforce
Huawei Enterprise,https://www.crunchbase.com/organization/huawei-enterprise,10001+,Active,https://e.huawei.com/us/,,1-855-464-8293,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Cloud Computing, Internet of Things, Software",,,,,,,,,,"Cupertino, California, United States",$10B+,1987-09-15,day,,https://www.linkedin.com/showcase/huawei-enterprise/
