Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
London Stock Exchange Group,https://www.crunchbase.com/organization/london-stock-exchange-group,10001+,Active,http://www.lseg.com,irinfo-r@lseg.com,+44 20 7797 1000,11,15,11,,,,,,"Data and Analytics, Financial Services, Lending and Investments, Other, Professional Services, Software","Consulting, Data Management, Database, Finance, Financial Services, Infrastructure, Stock Exchanges",12,140,Computing; Calculating,Insurance; financial affairs,406666855,USD,406666855,,,"London, England, United Kingdom",$1B to $10B,2007-01-01,year,Microsoft,https://www.linkedin.com/company/london-stock-exchange-group
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,1001-5000,Active,https://www.mongodb.com/,info@mongodb.com,+1 866-237-8815,1,1,,,,,,,"Data and Analytics, Internet Services, Software","Cloud Computing, Database, Open Source, SaaS, Software",78,22,,Scientific and technological services,114734125,USD,114734125,,,"New York, New York, United States",$1B to $10B,2007-11-01,day,"Fidelity, Employee Stock Option Fund, Union Square Ventures, Sequoia Capital, Red Hat",http://www.linkedin.com/company/783611
MathWorks,https://www.crunchbase.com/organization/mathworks,1001-5000,Active,http://www.mathworks.com,,5086477001,,,,,,,,,"Data and Analytics, Education, Software","Analytics, Database, Education, Enterprise Software, Software","1,045",37,Computing; Calculating,Scientific and electric apparatus and instruments,100189339,USD,100189339,,,"Natick, Massachusetts, United States",$1B to $10B,1984-01-01,year,,http://www.linkedin.com/company/the-mathworks_2
Veritas Technologies,https://www.crunchbase.com/organization/veritas-technologies,5001-10000,Active,https://www.veritas.com/,,+1-866-837-4827,7,7,1,2,,,,,"Data and Analytics, Information Technology, Other, Software","Data Management, Database, Enterprise, Information Services, Information Technology, Service Industry, Software","1,538",48,Computing; Calculating,Scientific and electric apparatus and instruments,396004,USD,396004,,,"Mountain View, California, United States",$1B to $10B,1995-01-01,year,,https://www.linkedin.com/company/veritas-technologies-corporation
Equifax,https://www.crunchbase.com/organization/equifax,10001+,Active,http://www.equifax.com,ecissupport@equifax.com,+1 404 885 8000,2,2,1,,,,,,"Data and Analytics, Professional Services, Software","Analytics, Consulting, Database",211,64,Computing; Calculating,Scientific and technological services,405879676,USD,405879676,,,"Atlanta, Georgia, United States",$1B to $10B,1899-01-01,year,,https://www.linkedin.com/company/equifax
Foundry,https://www.crunchbase.com/organization/foundry-inc,11-50,Active,http://www.foundryseoul.com,,+82264750014,,,,,,,,,"Clothing and Apparel, Community and Lifestyle, Data and Analytics, Design, Financial Services, Hardware, Information Technology, Lending and Investments, Other, Real Estate, Sales and Marketing, Software","Collaboration, Coworking, Database, Fashion, Incubators, Information Services, Lifestyle, Local Business, Virtual Reality",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1B to $10B,2014-10-01,day,Bigbang Angels,https://www.linkedin.com/company/foundry-inc/
Capgemini Invent,https://www.crunchbase.com/organization/capgemini-consulting,10001+,Active,http://www.capgemini.com/invent,,33 1 49 67 30 00,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Privacy and Security, Professional Services, Science and Engineering, Software","Advice, Artificial Intelligence (AI), Business Development, Consulting, Cyber Security, Database",,,,,1608032093,USD,1608032093,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$1B to $10B,1990-01-01,year,,https://www.linkedin.com/company/capgemini-invent
Modern Marketing & Commerce,https://www.crunchbase.com/organization/modern-marketing-concepts-inc,251-500,Active,https://www.mmcgrowth.com/,letsgrow@mmcgrowth.com,+1-800-733-7479,,,,,,,,,"Advertising, Data and Analytics, Sales and Marketing, Software","Advertising, Database, Digital Marketing, Marketing",0,0,,Advertising; business,2868114,USD,2868114,,,"Binghamton, New York, United States",$1B to $10B,1986-01-01,year,,https://www.linkedin.com/company/modern-marketing-commerce/
Axians,https://www.crunchbase.com/organization/axians-a476,10001+,Active,https://www.axians.com/en/,,,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Software","Analytics, Database, Information Technology, Telecommunications",,,,,37152,USD,37152,,,"Nanterre, Ile-de-France, France",$1B to $10B,1999-01-01,year,,https://www.linkedin.com/company/axians/
BNZSA,https://www.crunchbase.com/organization/bnzsa,251-500,Active,https://bnzsa.com,bnzsa@office.eu,34-917379003,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Database, Lead Generation, Marketing",0,2,,Advertising; business,80400000,USD,80400000,,,"Pozuelo De Alarcón, Madrid, Spain",$1B to $10B,2013-01-01,day,,https://www.linkedin.com/company/bnzsa/
EBSCO,https://www.crunchbase.com/organization/ebsco-f34b,1001-5000,Active,http://www.ebsco.de,info-berlin@ebsco.com,49-030340050,,,,,,,,,"Data and Analytics, Media and Entertainment, Software","Content Creators, Database, SaaS",,,,,,,,,,"Berlin, Berlin, Germany",$1B to $10B,1999-01-01,day,,https://www.linkedin.com/company/ebsco-information-services/
Transform Solution,https://www.crunchbase.com/organization/transform-solution,101-250,Active,http://www.transformsolution.com,vishal.mehta@transformsolution.net,+61 3 9039 3737,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Professional Services, Science and Engineering, Software","Consulting, Database, Information Technology, Robotics, Software",,,,,2934393,USD,2934393,,,"Surat, Gujarat, India",$1B to $10B,2000-01-01,year,,http://www.linkedin.com/company/transform-solution-pvt-ltd
Radian Solutions,https://www.crunchbase.com/organization/radian-solutions-sacramento-california,1-10,Active,http://radiansolutionsllc.com/,info@radiansolutionsllc.com,916-717-8714,,,,,,,,,"Administrative Services, Data and Analytics, Information Technology, Software","Database, Information and Communications Technology (ICT), Information Services, Information Technology, Software, Staffing Agency",,,,,316810,USD,316810,,,"Sacramento, California, United States",$1B to $10B,1998-01-01,year,,https://www.linkedin.com/company/radian-solutions-llc/
Elar corporation,https://www.crunchbase.com/organization/elar-corporation,5001-10000,Active,https://elar.ru,office@elar.ru,+7 495 274 31 31,,,,,,,,,"Data and Analytics, Information Technology, Professional Services, Software","Consulting, Database, Information Technology, Software",,,,,,,,,,"Moscow, Moscow City, Russian Federation",$1B to $10B,1992-01-01,year,,https://www.linkedin.com/company/elar-corporation
Stride,https://www.crunchbase.com/organization/stride-ee6e,1-10,Active,https://www.stride.io,,,,,,,,,,,"Data and Analytics, Information Technology, Software","Analytics, Database, Information Technology, Software",,,,,,,,,,"Venice, California, United States",$1B to $10B,2014-01-01,year,Y Combinator,
A. P. Inspections,https://www.crunchbase.com/organization/a-p-inspections,1-10,Active,https://apinspections.com,ranunez@apinspectionsusa.com,+1 281 355 8015,,,,,,,,,"Data and Analytics, Information Technology, Software, Transportation","Database, Document Management, Procurement",,,,,,,,,,"Spring, Texas, United States",$1B to $10B,2004-01-01,year,,https://www.linkedin.com/company/a-p-inspections
