Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Microsoft,https://www.crunchbase.com/organization/microsoft,10001+,Active,https://www.microsoft.com,mdcc@microsoft.com,1800 1 441 0158,238,262,93,10,,,,,"Data and Analytics, Information Technology, Platforms, Software","Data Management, Developer Tools, DevOps, Enterprise Software, Operating Systems","56,609","2,646",Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Redmond, Washington, United States",$10B+,1975-04-04,day,"KB Securities, Lucky Everlasting Peace, Technology Venture Investors",https://www.linkedin.com/company/microsoft
Amazon Web Services,https://www.crunchbase.com/organization/amazon-web-services,10001+,Active,http://aws.amazon.com,,,108,114,71,13,,,,4,"Consumer Electronics, Hardware, Information Technology, Internet Services, Other, Professional Services, Software","Computer, Consulting, DevOps, Information Services, Information Technology, Internet, Service Industry, Software, Web Development",,,,,,,,,,"Seattle, Washington, United States",$10B+,2012-01-01,year,,https://www.linkedin.com/company/amazon-web-services
Juniper Networks,https://www.crunchbase.com/organization/juniper-networks,5001-10000,Active,http://www.juniper.net,social-media@juniper.net,888-586-4737,42,52,9,4,,,,1,"Hardware, Information Technology, Other, Privacy and Security, Software","Communication Hardware, DevOps, Information Technology, Infrastructure, Security","3,250",98,Electric Communication Technique,Scientific and electric apparatus and instruments,428063100,USD,428063100,,,"Sunnyvale, California, United States",$1B to $10B,1996-01-01,year,"New Enterprise Associates, Kleiner Perkins, CORMCO",https://www.linkedin.com/company/juniper-networks
Delta-N,https://www.crunchbase.com/organization/delta-n,101-250,Active,http://www.delta-n.nl,info@delta-n.nl,31-854875200,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, Cloud Management, DevOps, Information Technology",,,,,951983,USD,951983,,,"The Hague, Zuid-Holland, The Netherlands",$1B to $10B,1998-03-01,day,,https://www.linkedin.com/company/delta-n/
NGINX,https://www.crunchbase.com/organization/nginx,101-250,Active,https://www.nginx.com,nginx-inquiries@nginx.com,800-915-9122,,,,,,,,,"Apps, Information Technology, Other, Software","DevOps, Enterprise Applications, Enterprise Software, Infrastructure, IT Infrastructure, Software",,,,,1499796,USD,1499796,,,"San Francisco, California, United States",$500M to $1B,2011-01-01,day,"Runa Capital, Goldman Sachs, Telstra Ventures, MSD Capital, Blue Cloud Ventures",http://www.linkedin.com/company/nginx
Datadog,https://www.crunchbase.com/organization/datadog,1001-5000,Active,https://www.datadoghq.com,info@datadoghq.com,866 329-4466,1,1,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Data Management, DevOps, Productivity Tools, SaaS",19,15,,Scientific and technological services,129247220,USD,129247220,,,"New York, New York, United States",$500M to $1B,2010-01-01,year,"ICONIQ Growth, Meritech Capital Partners, Pario Ventures, Contour Venture Partners, Index Ventures",http://www.linkedin.com/company/datadog
Andersen Inc.,https://www.crunchbase.com/organization/andersen,1001-5000,Active,https://andersenlab.com?utm_source=catalog&utm_medium=crunchbase.com,vn@andersenlab.com,800-967-7762,,,,,,,,,"Administrative Services, Apps, Design, Education, Information Technology, Mobile, Other, Privacy and Security, Science and Engineering, Software","DevOps, E-Learning, Information Technology, Mobile Apps, Project Management, Security, Software, Software Engineering, UX Design, Web Development",,,,,50242147,USD,50242147,,,"Warsaw, Mazowieckie, Poland",$500M to $1B,2007-01-01,day,,https://www.linkedin.com/company/andersen-lab
Equal Experts,https://www.crunchbase.com/organization/equal-experts,501-1000,Active,https://www.equalexperts.com/,,866-943-9737,,,,,,,,,"Data and Analytics, Information Technology, Software","Analytics, DevOps, Information Technology, Software",0,5,,Education; entertainment,83068194,USD,83068194,,,"London, England, United Kingdom",$500M to $1B,2005-01-01,year,,https://www.linkedin.com/company/equal-experts
NIX Solutions Ltd,https://www.crunchbase.com/organization/nix-solutions-ltd,1001-5000,Active,https://www.nixsolutions.com/,ask@nixsolutions.com,+38 057 784-06-00,,,,,,,,,"Apps, Design, Hardware, Information Technology, Internet Services, Mobile, Platforms, Science and Engineering, Software","Android, DevOps, Internet, iOS, IT Management, Mobile Apps, Robotics, Software, UX Design, Web Development",,,,,,,,,,"Kharkov, Kharkivs'ka Oblast', Ukraine",$500M to $1B,1994-09-10,day,,https://www.linkedin.com/company/52527/admin/
OutSystems,https://www.crunchbase.com/organization/outsystems,1001-5000,Active,https://www.outsystems.com,info@outsystems.com,617 837 6840,,,,,,,,,"Data and Analytics, Information Technology, Software","Data Integration, Developer Platform, Developer Tools, DevOps, PaaS, SaaS, Software",0,1,,Scientific and technological services,24310761,USD,24310761,,,"Boston, Massachusetts, United States",$100M to $500M,2001-01-01,year,"Guidepost Growth Equity, Goldman Sachs, Canada Pension Plan Investment Board, GS Growth, Armilar Venture Partners",https://www.linkedin.com/company/outsystems
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,1001-5000,Active,http://www.digitalocean.com,contact@digitalocean.com,212-226-2794,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, DevOps, SaaS, Virtualization, Web Hosting",2,15,Computing; Calculating,Scientific and technological services,50157350,USD,50157350,,,"New York, New York, United States",$100M to $500M,2012-01-01,year,"Techstars, Trinity Capital, Employee Stock Option Fund, Opus Bank, Andreessen Horowitz",http://www.linkedin.com/company/digitalocean
CloudBees,https://www.crunchbase.com/organization/cloudbees,501-1000,Active,http://www.cloudbees.com,info@cloudbees.com,408-805-3552,,,,,,,,,"Administrative Services, Information Technology, Internet Services, Professional Services, Software","Business Development, Cloud Computing, Cloud Data Services, Delivery, DevOps, SaaS",,,,,8103587,USD,8103587,,,"San Jose, California, United States",$100M to $500M,2010-03-09,day,"HSBC, Unusual Ventures, Bridgepoint, Goldman Sachs Asset Management, Lightspeed Venture Partners",http://www.linkedin.com/company/cloudbees
Tricentis,https://www.crunchbase.com/organization/tricentis,1001-5000,Active,https://tricentis.com,office@tricentis.com,+1 650 383 8329,1,1,,,,,,,"Information Technology, Professional Services, Software","Business Process Automation (BPA), DevOps, Enterprise Software, Information Technology, Quality Assurance, Software",0,26,Computing; Calculating,Scientific and electric apparatus and instruments,23147374,USD,23147374,,,"Austin, Texas, United States",$100M to $500M,2007-01-01,year,"Wipro Ventures, Insight Partners, Claret Capital Partners, ViewPoint Capital Partners",http://www.linkedin.com/company/tricentis-technology-&-consulting-gmbh
Mirantis,https://www.crunchbase.com/organization/mirantis,501-1000,Active,http://www.mirantis.com,pr@mirantis.com,(650) 963-9828,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, DevOps, Enterprise Software, IaaS, IT Infrastructure, Open Source",0,6,,Scientific and technological services,8196943,USD,8196943,,,"Campbell, California, United States",$100M to $500M,1999-01-01,year,"Ericsson, Horizon Technology Finance, Red Hat, Goldman Sachs, Dell Technologies Capital",http://www.linkedin.com/company/mirantis
Perforce Software,https://www.crunchbase.com/organization/perforce-software,501-1000,Active,http://www.perforce.com,info@perforce.com,+1 510 864-7400,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Mobile, Platforms, Science and Engineering, Software","Analytics, DevOps, Information Technology, iOS, Mobile, Robotics, SaaS, Software",5,31,Computing; Calculating,Scientific and electric apparatus and instruments,10975119,USD,10975119,,,"Minneapolis, Minnesota, United States",$100M to $500M,1995-01-01,year,"Francisco Partners, Clearlake Capital Group",http://www.linkedin.com/company/perforce-software
HashiCorp,https://www.crunchbase.com/organization/hashicorp,1001-5000,Active,https://www.hashicorp.com,hello@hashicorp.com,1 415-301-3250,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Infrastructure, Cyber Security, DevOps, Information Technology, Private Cloud, Software",,,,,71385000,USD,71385000,,,"San Francisco, California, United States",$100M to $500M,2012-01-01,year,"Notable Capital, TCV, Employee Stock Option Fund, Franklin Templeton, ICONIQ Growth",https://www.linkedin.com/company/HashiCorp
LaunchDarkly,https://www.crunchbase.com/organization/launchdarkly,501-1000,Active,http://launchdarkly.com,hello@launchdarkly.com,,,,,,,,,,"Data and Analytics, Information Technology, Software","Developer Tools, DevOps, Software, Test and Measurement",0,3,,Scientific and technological services,989797,USD,989797,,,"Oakland, California, United States",$100M to $500M,2014-01-01,year,"500 Global, Vertex Ventures, Alchemist Accelerator, Lead Edge Capital, Bloomberg Beta",https://www.linkedin.com/company/3749939
GitLab,https://www.crunchbase.com/organization/gitlab-com,1001-5000,Active,http://about.gitlab.com,sales@gitlab.com,(415) 761-1791,,,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Developer Tools, DevOps, Open Source, SaaS",7,4,Computing; Calculating,Scientific and electric apparatus and instruments,21922599,USD,21922599,,,"San Francisco, California, United States",$100M to $500M,2014-01-01,year,"TCV, 500 Global, ICONIQ Growth, Y Combinator, Adage Capital Management",https://www.linkedin.com/company/gitlab-com
Visionary Integration Professionals,https://www.crunchbase.com/organization/visionary-integration-professionals,501-1000,Active,http://www.trustvip.com,sales@trustvip.com,9169859632,,,,,,,,,"Government and Military, Hardware, Information Technology, Professional Services, Sales and Marketing, Science and Engineering, Software","CRM, DevOps, Government, Information Technology, Management Consulting, Robotics, Software",0,9,,Advertising; business,1391620,USD,1391620,,,"Folsom, California, United States",$100M to $500M,1996-01-01,year,Morgan Stanley Credit Partners,https://www.linkedin.com/company/201227
Basis Technologies,https://www.crunchbase.com/organization/basis-technologies,51-100,Active,https://www.basistechnologies.com,,,,,,,,,,,"Hardware, Information Technology, Software","DevOps, Enterprise Resource Planning (ERP), Enterprise Software, Hardware, Information Technology",,,,,3056458,USD,3056458,,,"Richmond, Virginia, United States",$100M to $500M,1997-01-01,year,Scottish Equity Partners,https://www.linkedin.com/company/basistechnologies/
