Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Vonage,https://www.crunchbase.com/organization/vonage,5001-10000,Active,http://www.vonage.com,press@nexmo.com,7322025221,,,,,,,,,"Apps, Hardware, Information Technology, Software","Communications Infrastructure, Developer APIs, Enterprise Applications, Information Services, Information Technology, PaaS, Telecommunications",113,5,Electric Communication Technique,Telecommunications,6720902,USD,6720902,,,"Holmdel, New Jersey, United States",$1B to $10B,2001-01-01,year,"JP Morgan Chase, Bain Capital Ventures, Meritech Capital Partners, 3i Group, Fifth Third Bank",http://www.linkedin.com/company/vonage
MuleSoft,https://www.crunchbase.com/organization/mulesoft,1001-5000,Active,http://www.mulesoft.com,press@mulesoft.com,(415) 229-2009,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Software","Apps, Cloud Infrastructure, Data Integration, Developer APIs, Enterprise Software, Robotic Process Automation (RPA)",11,0,,,100438200,USD,100438200,,,"San Francisco, California, United States",$1B to $10B,2006-07-01,day,"Employee Stock Option Fund, Sands Capital Ventures, Meritech Capital Partners, Adage Capital Management, Lightspeed Venture Partners",https://www.linkedin.com/company/mulesoft
SK Pharmteco,https://www.crunchbase.com/organization/sk-pharmteco,10001+,Active,https://www.skpharmteco.com/,skpharmteco@sk.com,+1 888 330 2232,,,,,,,,,"Manufacturing, Science and Engineering, Software","Chemical, Chemical Engineering, Developer APIs, Manufacturing",,,,,36632147,USD,36632147,,,"Rancho Cordova, California, United States",$1B to $10B,2019-01-01,year,,https://www.linkedin.com/company/skpharmteco/
Checkr,https://www.crunchbase.com/organization/checkr,1001-5000,Active,https://checkr.com,hello@checkr.com,844-824-3257,1,4,1,,,,,,"Administrative Services, Professional Services, Software","Developer APIs, Enterprise Software, Human Resources, Legal, Legal Tech",1,4,Computing; Calculating,Scientific and technological services,18850990,USD,18850990,,,"San Francisco, California, United States",$500M to $1B,2014-01-01,year,"Fidelity, UpHonest Capital, DCVC, T. Rowe Price, Franklin Templeton",https://www.linkedin.com/company/checkr-com
Helpware,https://www.crunchbase.com/organization/helpware,1001-5000,Active,https://www.helpware.com,hello@helpware.com,+1 (949) 273-2824,,,,,,,,,"Data and Analytics, Financial Services, Hardware, Other, Professional Services, Software","Accounting, Computer Vision, Customer Service, Data Collection and Labeling, Developer APIs, Outsourcing, Software",0,1,,Advertising; business,490504,USD,490504,,,"Lexington, Kentucky, United States",$500M to $1B,2015-11-03,day,"Brainware Ventures LLC, Andy Steuer",https://www.linkedin.com/company/7601584/
Wakam,https://www.crunchbase.com/organization/wakam,251-500,Active,https://wakam.com,contact@wakam.com,+33 0 1 86 76 73 13,,,,,,,,,"Financial Services, Software","Developer APIs, Insurance, InsurTech",0,3,,Insurance; financial affairs,9754355,USD,9754355,,,"Paris, Ile-de-France, France",$500M to $1B,1829-01-01,year,,https://www.linkedin.com/company/wearewakam
Foursquare,https://www.crunchbase.com/organization/foursquare,251-500,Active,https://foursquare.com,support@foursquare.com,,,,,,,,,,"Advertising, Apps, Community and Lifestyle, Data and Analytics, Media and Entertainment, Sales and Marketing, Software","Advertising, Advertising Platforms, Analytics, Apps, Big Data, Developer APIs, Developer Tools, Guides, Mobile Advertising, Private Social Networking",53,34,Computing; Calculating,Scientific and technological services,19847985,USD,19847985,,,"New York, New York, United States",$100M to $500M,2009-03-01,day,"Silver Lake, Naver, Union Square Ventures, Morgan Stanley, DFJ Growth",https://www.linkedin.com/company/foursquare
Zuora,https://www.crunchbase.com/organization/zuora,1001-5000,Active,https://www.zuora.com,info@zuora.com,(800) 425-1281,,,,,,,,,"Financial Services, Payments, Software","Billing, Developer APIs, Payments, SaaS, Software",54,16,Computing; Calculating,Scientific and technological services,,,,,,"Redwood City, California, United States",$100M to $500M,2007-01-01,year,"Silver Lake, Wellington Management, EquityZen, PremjiInvest, Marc Benioff",https://www.linkedin.com/company/zuora
Auth0,https://www.crunchbase.com/organization/auth0,501-1000,Active,https://auth0.com,info@auth0.com,(425) 312-6521,1,1,1,,,,,,"Information Technology, Privacy and Security, Software","Developer APIs, Enterprise Software, Identity Management, Information Technology, SaaS, Software",8,0,Computing; Calculating,,14586472,USD,14586472,,,"Bellevue, Washington, United States",$100M to $500M,2013-02-01,day,"Employee Stock Option Fund, Meritech Capital Partners, Telstra Ventures, Trinity Ventures, DTCP",http://www.linkedin.com/company/auth0
Tealium,https://www.crunchbase.com/organization/tealium,501-1000,Active,http://www.tealium.com,info@tealium.com,+1 858  779 1344,,,,,,,,,"Data and Analytics, Information Technology, Sales and Marketing, Software","Analytics, Data Integration, Developer APIs, Enterprise Software, Marketing",66,9,Computing; Calculating,Advertising; business,19175207,USD,19175207,,,"San Diego, California, United States",$100M to $500M,2008-01-01,year,"Silver Lake, Bain Capital Ventures, Bain Capital, Georgian, Industry Ventures",http://www.linkedin.com/company/tealium
