Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Riot Games,https://www.crunchbase.com/organization/riot-games,1001-5000,Active,http://www.riotgames.com,iletisim@riotgames.com,424-231-1111,19,24,7,2,,,,,"Consumer Electronics, Gaming, Hardware, Software","Computer, Developer Platform, PC Games, Video Games",36,243,Sports; Games; Amusements,Education; entertainment,100651340,USD,100651340,,,"Los Angeles, California, United States",$10B+,2006-01-01,year,"Tencent, HAX, Benchmark, FirstMark",http://www.linkedin.com/company/riot-games
Devon Energy Corporation,https://www.crunchbase.com/organization/devon-energy-corporation,10001+,Active,https://www.devonenergy.com,webinar@navexglobal.com,405-235-3611,1,1,1,,,,,,"Energy, Natural Resources, Software","Developer Platform, Energy, Oil and Gas",11,14,Earth Drilling; Mining,Scientific and technological services,492894893,USD,492894893,,,"Oklahoma City, Oklahoma, United States",$10B+,1971-01-01,year,,http://www.linkedin.com/company/6848
Veolia Environmental Solutions,https://www.crunchbase.com/organization/veolia-environmental-solutions,10001+,Active,https://www.veolia.com/fr,olivier.tridon@veolia.com,+33-1-71750000,,,,,,,,,"Energy, Information Technology, Other, Professional Services, Software, Sustainability","Developer Platform, Energy Management, Innovation Management, Management Information Systems, Service Industry, Waste Management",8,24,Testing,Advertising; business,1001646558,USD,1001646558,,,"Paris, Ile-de-France, France",$10B+,1853-12-14,day,,https://www.linkedin.com/company/veolia-environnement/
UI Bakery,https://www.crunchbase.com/organization/ui-bakery,11-50,Active,https://uibakery.io,hello@uibakery.io,+1 (415) 670-90-34,,,,,,,,,"Apps, Information Technology, Software","Apps, Developer Platform, Developer Tools, Information Services, Information Technology, Web Apps, Web Development",,,,,13915,USD,13915,,,"Lakewood, Colorado, United States",$10B+,2018-12-12,day,,https://www.linkedin.com/company/uibakery
Paramount Group,https://www.crunchbase.com/organization/paramount-group,5001-10000,Active,http://www.paramountgroup.biz/,info@paramountgroup.com,27 11 086 6800,,,,,,,,,"Design, Science and Engineering, Software","Aerospace, Developer Platform, Product Design",,,,,,,,,,"Gauteng, NA - South Africa, South Africa",$10B+,1994-01-01,year,,https://www.linkedin.com/company/paramount-group_2
PTC,https://www.crunchbase.com/organization/parametric-technology,5001-10000,Active,http://www.ptc.com,info@ptc.com,+1 (781) 370-5000,4,4,1,,,,,,"Design, Hardware, Information Technology, Internet Services, Software","3D Technology, CAD, Developer Platform, Enterprise Software, Information Technology, Internet of Things, Product Design, Software",117,74,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Boston, Massachusetts, United States",$1B to $10B,1985-01-01,year,"Rockwell Automation, Bosch Capital",http://www.linkedin.com/company/ptc
BioMarin Pharmaceutical,https://www.crunchbase.com/organization/biomarin-pharmaceutical,1001-5000,Active,https://www.biomarin.com,info@bmrn.nl,415-506-6700,,,,,,,,,"Biotechnology, Science and Engineering, Software","Biotechnology, Developer Platform",227,95,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products",45491575,USD,45491575,,,"San Rafael, California, United States",$1B to $10B,1997-03-01,month,,http://www.linkedin.com/company/biomarin
Boosted Commerce,https://www.crunchbase.com/organization/boosted-commerce,51-100,Active,https://boostedcommerce.com/,acquisitions@boostedcommerce.com,,,,,,,,,,"Commerce and Shopping, Professional Services, Software","Business Development, Developer Platform, E-Commerce",,,,,92134,USD,92134,,,"Los Angeles, California, United States",$1B to $10B,2019-01-01,year,"25madison, Crosscut Ventures, Torch Capital, Spencer Rascoff, Marc Mezvinsky",https://www.linkedin.com/company/boostedcommerce/
Pocket Network,https://www.crunchbase.com/organization/pocket-network,51-100,Active,https://www.pokt.network,hola@pokt.network,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software","Blockchain, Cryptocurrency, Developer Platform, Infrastructure, IT Infrastructure, Software",0,0,,Scientific and technological services,466111,USD,466111,,,"Tampa, Florida, United States",$1B to $10B,2017-02-01,day,"Arrington XRP Capital, Borderless Capital, Decentral Park Capital, Mechanism Capital, Placeholder",https://www.linkedin.com/company/pocket-network/
Penumbra,https://www.crunchbase.com/organization/penumbra,5001-10000,Active,http://penumbrainc.com,info@penumbrainc.com,5107483232,,,,,,,,,"Biotechnology, Health Care, Science and Engineering, Software","Biotechnology, Developer Platform, Medical Device",,,,,29964051,USD,29964051,,,"Alameda, California, United States",$1B to $10B,2004-01-01,year,The Halo Fund,https://www.linkedin.com/company/penumbra-inc
Liberty Oilfield Services,https://www.crunchbase.com/organization/liberty-oilfield-services,501-1000,Active,https://www.libertyenergy.com/,sales@libertyfrac.com,303-515-2800,3,3,2,,,,,,"Energy, Natural Resources, Software, Sustainability","Developer Platform, Energy, Natural Resources, Oil and Gas",53,0,Earth Drilling; Mining,Building; repairs,187867866,USD,187867866,,,"Denver, Colorado, United States",$1B to $10B,2011-01-01,year,,https://www.linkedin.com/company/liberty-oilfield-services
Epic Games,https://www.crunchbase.com/organization/epic-games-2,1001-5000,Active,http://www.epicgames.com,pr@epicgames.com,(919) 854-0070,26,28,12,1,,,,,"Gaming, Media and Entertainment, Software","Developer Platform, Gaming, Metaverse, Software, Video Games",17,341,Computing; Calculating,Scientific and electric apparatus and instruments,276376950,USD,276376950,,,"Cary, North Carolina, United States",$1B to $10B,1991-01-01,year,"Fidelity, The Walt Disney Company, Stableton Financial, Tencent, AXiomatic",https://www.linkedin.com/company/epic-games
THQ Nordic,https://www.crunchbase.com/organization/nordic-games,51-100,Active,https://www.thqnordic.com/,lwingefors@thqnordic.com,43 720 51879 0,1,1,1,,,,,,"Gaming, Information Technology, Software","Developer Platform, Information Technology, Video Games",,,,,2738826,USD,2738826,,,"Vienna, Wien, Austria",$1B to $10B,2011-01-01,year,,https://www.linkedin.com/company/nordic-games-gmbh/
Unity,https://www.crunchbase.com/organization/unity-technologies,5001-10000,Active,https://unity.com,info@unity3d.com,+1 (415) 539-3162,2,2,1,,,,,,"Apps, Hardware, Media and Entertainment, Mobile, Software","Augmented Reality, Developer Platform, Metaverse, Mobile Apps, Virtual Reality",,,,,126083,USD,126083,,,"San Francisco, California, United States",$1B to $10B,2004-08-02,day,"Silver Lake, Thrive Capital, Sequoia Capital, DFJ Growth, Canada Pension Plan Investment Board",http://www.linkedin.com/company/unity-technologies
Radiant Entertainment,https://www.crunchbase.com/organization/radiant-entertainment,11-50,Active,http://www.radiant-entertainment.com/,contact@radiant-entertainment.com,,,,,,,,,,"Gaming, Software","Developer Platform, Gaming, PC Games",0,1,,Scientific and electric apparatus and instruments,457560,USD,457560,,,"Los Altos, California, United States",$1B to $10B,2013-01-01,year,"Andreessen Horowitz, General Catalyst, LVP",
GlobalLogic,https://www.crunchbase.com/organization/globallogic,10001+,Active,http://www.globallogic.com,privacy@globallogic.com,0911202585721,,,,,,,,,"Design, Information Technology, Software","Developer Platform, Information Technology, Product Design, Software",3,10,Electric Communication Technique,Scientific and technological services,445696280,USD,445696280,,,"San Jose, California, United States",$1B to $10B,2000-01-01,year,"Canada Pension Plan Investment Board, New Enterprise Associates, Peak XV Partners",http://www.linkedin.com/company/globallogic
Microsemi,https://www.crunchbase.com/organization/microsemi-corporation,5001-10000,Active,http://www.microsemi.com/,,(800)713-4113,2,3,2,,,,,,"Design, Hardware, Science and Engineering, Software","Developer Platform, Semiconductor, Web Design",206,33,Electric Communication Technique,Scientific and electric apparatus and instruments,102597854,USD,102597854,,,"Aliso Viejo, California, United States",$1B to $10B,1960-01-01,year,,https://www.linkedin.com/company/microsemi
GoTo Meeting,https://www.crunchbase.com/organization/gotomeeting,1001-5000,Active,https://www.goto.com/meeting,press@goto.com,617-279-2443,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Developer Platform, Software, Video Conferencing",13,48,Electric Communication Technique,Scientific and technological services,100305287,USD,100305287,,,"Boston, Massachusetts, United States",$1B to $10B,2004-01-01,year,,https://www.linkedin.com/company/goto
Barr Laboratories,https://www.crunchbase.com/organization/barr-laboratories,10001+,Closed,http://www.barrlabs.com/,,+972 3-914-8171,,,,,,,,,"Biotechnology, Health Care, Manufacturing, Science and Engineering, Software","Biotechnology, Developer Platform, Manufacturing, Pharmaceutical",,,,,323926111,USD,323926111,,,"Pomona, New York, United States",$1B to $10B,2003-01-01,year,,https://www.linkedin.com/company/5239
Mott MacDonald,https://www.crunchbase.com/organization/mott-macdonald-d436,5001-10000,Active,https://www.mottmac.com/hungary,albania@mottmac.com,+355 0 44 540 775,,,,,,,,,"Other, Professional Services, Software","Consulting, Developer Platform, Professional Services, Software",,,,,,,,,,"Tirana, Tirane, Albania",$1B to $10B,1902-01-01,year,,https://www.linkedin.com/company/mott-macdonald/
Studio Moderna,https://www.crunchbase.com/organization/studio-moderna,1001-5000,Active,http://www.studio-moderna.com,info@studio-moderna.com,41-91-966-95-44,,,,,,,,,"Commerce and Shopping, Internet Services, Software","Developer Platform, E-Commerce, Marketplace, Social Network",8,20,Land Vehicles For Travelling Otherwise Than On Rails,Vehicles,95241129,USD,95241129,,,"Cadempino, Ticino, Switzerland",$1B to $10B,1992-01-01,year,"Franklin Templeton, Insight Partners, JH Partners, General Atlantic",http://www.linkedin.com/company/22371
Ruralco Holdings,https://www.crunchbase.com/organization/ruralco-holdings,1001-5000,Closed,http://ruralco.com.au,asomann-crawford@ruralco.com.au,61 3 6235 1412,,,,,,,,,"Agriculture and Farming, Software","Agriculture, Developer Platform, Farming",0,6,,Clothing; footwear; headgear,,,,,,"Hobart Town, Tasmania, Australia",$1B to $10B,1865-01-01,year,,
Carsem,https://www.crunchbase.com/organization/carsem,5001-10000,Active,https://carsem.com,,+60 5 3123333,,,,,,,,,"Administrative Services, Data and Analytics, Design, Manufacturing, Software","Developer Platform, Manufacturing, Market Research, Packaging Services",,,,,,,,,,"Ipoh, Perak, Malaysia",$1B to $10B,1972-01-01,year,,https://www.linkedin.com/company/carsem/
