Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Azure,https://www.crunchbase.com/organization/azure,101-250,Active,https://azure.microsoft.com/en-in/,,1-855-270-0615,3,3,3,,,,,,"Information Technology, Privacy and Security, Software","Developer Tools, Information Services, Information Technology, Network Security, Software",,,,,1193850,USD,1193850,,,"Redmond, Washington, United States",$10B+,2010-02-01,day,,https://www.linkedin.com/showcase/azure---microsoft's-cloud-computing-platform/
Microsoft,https://www.crunchbase.com/organization/microsoft,10001+,Active,https://www.microsoft.com,mdcc@microsoft.com,1800 1 441 0158,238,262,93,10,,,,,"Data and Analytics, Information Technology, Platforms, Software","Data Management, Developer Tools, DevOps, Enterprise Software, Operating Systems","56,609","2,646",Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Redmond, Washington, United States",$10B+,1975-04-04,day,"KB Securities, Lucky Everlasting Peace, Technology Venture Investors",https://www.linkedin.com/company/microsoft
UI Bakery,https://www.crunchbase.com/organization/ui-bakery,11-50,Active,https://uibakery.io,hello@uibakery.io,+1 (415) 670-90-34,,,,,,,,,"Apps, Information Technology, Software","Apps, Developer Platform, Developer Tools, Information Services, Information Technology, Web Apps, Web Development",,,,,13915,USD,13915,,,"Lakewood, Colorado, United States",$10B+,2018-12-12,day,,https://www.linkedin.com/company/uibakery
Snail Games,https://www.crunchbase.com/organization/snail-games,51-100,Active,http://snailgamesusa.com/,hello@snailgamesusa.com,,,,,,,,,,"Gaming, Software","Developer Tools, Gaming, Video Games",0,15,,Scientific and electric apparatus and instruments,3775338,USD,3775338,,,"Santa Monica, California, United States",$10B+,2000-01-01,year,,http://www.linkedin.com/company/446946
SunCat,https://www.crunchbase.com/organization/suncat,10001+,Active,http://suncat.stanford.edu,amitagupta@stanford.edu,(650) 498-1396,,,,,,,,,"Content and Publishing, Gaming, Media and Entertainment, Software","Developer Tools, Gaming, Publishing",,,,,592418,USD,592418,,,"Stanford, California, United States",$10B+,1891-01-01,year,,https://www.linkedin.com/company/stanford-university
Squarespace,https://www.crunchbase.com/organization/squarespace,1001-5000,Active,http://www.squarespace.com,press@squarespace.com,+1 646-580-3456,,,,,,,,,"Commerce and Shopping, Content and Publishing, Design, Internet Services, Media and Entertainment, Software","Developer Tools, E-Commerce Platforms, Publishing, Software, Web Design",5,19,Information Storage,Scientific and electric apparatus and instruments,66893750,USD,66893750,,,"New York, New York, United States",$1B to $10B,2003-01-01,year,"Fidelity, Employee Stock Option Fund, Dragoneer Investment Group, T. Rowe Price, Accel",http://www.linkedin.com/company/squarespace
Yandex,https://www.crunchbase.com/organization/yandex,10001+,Active,http://www.yandex.ru,pr@yandex-team.com,+7 495 739 7000,15,19,9,1,,,,,"Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Big Data, Developer Tools, Email, Information Services, Information Technology, Mobile, Search Engine",170,48,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Moscow, Moscow City, Russian Federation",$1B to $10B,1997-09-23,day,"International Finance Corporation, Almaz Capital, Tiger Global Management, Baring Vostok Capital Partners, RTP Global",http://www.linkedin.com/company/yandex
Sentry,https://www.crunchbase.com/organization/sentry,251-500,Active,https://www.sentry.io,hello@sentry.io,,,,,,,,,,"Apps, Data and Analytics, Other, Software","Application Performance Management, Developer Tools, Real Time, Web Apps",0,6,,Scientific and technological services,6301650,USD,6301650,,,"San Francisco, California, United States",$1B to $10B,2012-02-01,day,"Slack, Bond, K5 Global, Accel, New Enterprise Associates",https://www.linkedin.com/company/getsentry
Lifco,https://www.crunchbase.com/organization/lifco,5001-10000,Active,http://lifco.se,ir@lifco.se,+46727175933,,,,,,,,,"Data and Analytics, Design, Other, Software","Developer Tools, Market Research, Service Industry",44,53,"Crushing, Pulverising, Or Disintegrating; Preparatory Treatment Of Grain For Milling",Medical apparatus and instruments,3721,USD,3721,,,"Enköping, Uppsala Lan, Sweden",$1B to $10B,1946-01-01,year,,https://www.linkedin.com/company/lifco-ab
Reviewpad,https://www.crunchbase.com/organization/reviewpad,1-10,Active,https://reviewpad.com/,info@reviewpad.com,,,,,,,,,,Software,"Developer Tools, SaaS",,,,,239223,USD,239223,,,"Porto, Lisboa, Portugal",$1B to $10B,2019-11-12,day,"Shilling, Freddy Mallet, Simon Brandhof",https://www.linkedin.com/company/reviewpad
