Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Ricoh Company,https://www.crunchbase.com/organization/ricoh,10001+,Active,https://www.ricoh.com,info@ricoh.se,+81 3-3777-8111,1,1,,,,,,,"Commerce and Shopping, Consumer Electronics, Content and Publishing, Hardware, Information Technology, Manufacturing, Media and Entertainment, Science and Engineering, Software","Document Management, Electronics, Hardware, IT Infrastructure, IT Management, Manufacturing, Printing, Semiconductor, Software, Wholesale","12,348",289,Photography; Cinematography; Electrography,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1962-02-06,day,,https://www.linkedin.com/company/ricoh-company-ltd/
RealPage,https://www.crunchbase.com/organization/realpage,1001-5000,Active,http://www.realpage.com,realpagemediarelations@realpage.com,(877) 325-7243,1,2,,,,,,,"Financial Services, Information Technology, Payments, Real Estate, Software","Document Management, Payments, Property Management, PropTech, SaaS, Software",8,0,Computing; Calculating,Advertising; business,123791770,USD,123791770,,,"Richardson, Texas, United States",$1B to $10B,1998-01-01,year,"Apax Partners, Leeds Equity Partners, Camden Partners",https://www.linkedin.com/company/realpage/
EPIQ,https://www.crunchbase.com/organization/epiq-systems,5001-10000,Active,https://www.epiqglobal.com/,,+1 913 321 1243,,,,,,,,,"Information Technology, Internet Services, Professional Services, Software","Document Management, Ediscovery, Information Technology, Legal, Legal Tech",0,2,,Advertising; business,107832678,USD,107832678,,,"Chicago, Illinois, United States",$1B to $10B,1988-01-01,year,,https://www.linkedin.com/company/epiqglobal/
Pitney Bowes,https://www.crunchbase.com/organization/pitney-bowes,10001+,Active,https://www.pitneybowes.com,,(844)256-6444,2,2,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Hardware, Information Technology, Sales and Marketing, Software, Transportation","Analytics, CRM, Document Management, E-Commerce, Financial Services, Hardware, Information Technology, Predictive Analytics, Shipping, Software",212,176,Computing; Calculating,Scientific and electric apparatus and instruments,208744478,USD,208744478,,,"Stamford, Connecticut, United States",$1B to $10B,1920-01-01,year,Saratoga Partners,http://www.linkedin.com/company/pitney-bowes
Konica Minolta,https://www.crunchbase.com/organization/konica-minolta-inc,10001+,Active,https://www.konicaminolta.com,,3-6250-2102,6,7,2,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Information Technology, Manufacturing, Professional Services, Software","Consulting, Consumer Electronics, Document Management, Information Technology, Manufacturing, Retail","12,810",414,Photography; Cinematography; Electrography,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$1B to $10B,1873-01-01,year,,http://www.linkedin.com/company/konica-minolta-inc-
Konica Minolta Business Solutions U.S.A.,https://www.crunchbase.com/organization/konica-minolta-business-solutions-u-s-a,5001-10000,Active,http://kmbs.konicaminolta.us,marketing@se.konicaminolta.us,+1 201 825 4000,,,,,,,,,"Apps, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Manufacturing, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Business Intelligence, Cloud Data Services, Document Management, Enterprise Resource Planning (ERP), Information Technology, Manufacturing, Mobile Apps, Printing, Unified Communications, Web Development",52,24,Computing; Calculating,Scientific and technological services,222687616,USD,222687616,,,"Ramsey, New Jersey, United States",$1B to $10B,1873-01-01,year,,https://www.linkedin.com/company/konica-minolta-business-solutions-u-s-a--inc-/
Swiss Post Solutions,https://www.crunchbase.com/organization/swiss-post-solutions-b504,5001-10000,Active,https://www.swisspostsolutions.com/,global.sps@swisspost.com,33 144743515,,,,,,,,,"Information Technology, Professional Services, Software","Document Management, Outsourcing",,,,,,,,,,"Paris, Ile-de-France, France",$1B to $10B,2000-01-01,day,,https://www.linkedin.com/company/swiss-post-solutions-ltd_146075/
WorkflowOne,https://www.crunchbase.com/organization/workflowone,1001-5000,Closed,http://www.workflowone.com,cscdayton@standardregister.com,757-624-3221,,,,,,,,,"Content and Publishing, Information Technology, Media and Entertainment, Sales and Marketing, Software","Document Management, Marketing, Printing",,,,,114253038,USD,114253038,,,"Dayton, Ohio, United States",$1B to $10B,1912-01-01,year,,https://www.linkedin.com/company/workflowone
Automated Health Systems,https://www.crunchbase.com/organization/automated-health-systems,501-1000,Active,https://www.automated-health.com,mcable@automated-health.com,+1-800-892-1028,,,,,,,,,"Administrative Services, Financial Services, Health Care, Information Technology, Software","Call Center, Document Management, Health Care, Health Insurance",,,,,685259,USD,685259,,,"Pittsburgh, Pennsylvania, United States",$1B to $10B,1979-01-01,year,,https://www.linkedin.com/company/automated-health-systems/
IKON Office Solutions,https://www.crunchbase.com/organization/ikon-office-solutions,10001+,Active,http://www.ikon.com,,,,,,,,,,,"Hardware, Information Technology, Software","Document Management, Hardware, Software",0,18,,Scientific and technological services,3973555,USD,3973555,,,"Malvern, Pennsylvania, United States",$1B to $10B,1952-01-01,year,,https://www.linkedin.com/company/ikon-office-solutions
Konica Minolta Malaysia,https://www.crunchbase.com/organization/konica-minolta-malaysia,501-1000,Active,http://www.konicaminolta.com.my/,marketing.1@konicaminolta.com,1300 22 5556,,,,,,,,,"Content and Publishing, Information Technology, Media and Entertainment, Other, Software","Document Management, Information Technology, Infrastructure, Printing",,,,,,,,,,"Selangor, Selangor, Malaysia",$1B to $10B,1981-01-01,year,,https://www.linkedin.com/company/konicaminoltamy/
Shanti Shipping Agency,https://www.crunchbase.com/organization/shanti-shipping-agency,5001-10000,Active,https://www.shantishipping.in/contact.php,shantishippingagencypvtltd@gmail.com,+91 9820194759,,,,,,,,,"Information Technology, Software, Transportation","Document Management, Logistics, Shipping",,,,,,,,,,"Mumbai, Maharashtra, India",$1B to $10B,,,,https://www.linkedin.com/company/shanti-shipping-agency-pvt-ltd---india/
