Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Quince,https://www.crunchbase.com/organization/Quince,101-250,Active,https://www.quince.com,care@onequince.com,913-845-9376,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Hardware, Software, Transportation","Apparel, E-Commerce, Logistics, Retail, Retail Technology",0,0,,Advertising; business,,,,,,"San Francisco, California, United States",$1M to $10M,2018-08-01,day,"Notable Capital, Wellington Management, Luxor Capital Group, Basis Set Ventures, Founders Fund",https://www.linkedin.com/company/onequince
Linktree,https://www.crunchbase.com/organization/linktree,101-250,Active,https://linktr.ee,,7478137904,,,,,,,,,"Commerce and Shopping, Internet Services, Media and Entertainment, Software","E-Commerce, Internet, Social Media, Software",0,5,,Advertising; business,,,,,,"Melbourne, Victoria, Australia",$10M to $50M,2016-01-01,year,"Airtree Ventures, Next Play Ventures, Insight Partners, Index Ventures, Coatue",https://www.linkedin.com/company/linktree
Odoo,https://www.crunchbase.com/organization/odoo,1001-5000,Active,http://www.odoo.com,info@odoo.com,1(650)691-3277,,,,,,,,,"Administrative Services, Commerce and Shopping, Software","E-Commerce, Human Resources, Open Source, Software",0,5,,Scientific and electric apparatus and instruments,16149948,USD,16149948,,,"Grand-rosière, Brabant Wallon, Belgium",$10M to $50M,2005-01-01,year,"Summit Partners, Sofinnova Partners, Meusinvest (Noshaq), General Atlantic, S.R.I.W.",http://www.linkedin.com/company/odoo
Fetch,https://www.crunchbase.com/organization/fetch-rewards,501-1000,Active,https://business.fetch.com,info@fetchrewards.com,,,,,,,,,,"Apps, Commerce and Shopping, Mobile, Sales and Marketing, Software","E-Commerce, Loyalty Programs, Mobile Apps, Shopping",1,9,Computing; Calculating,Advertising; business,,,,,,"Madison, Wisconsin, United States",$10M to $50M,2013-01-01,year,"Nielsen, Hamilton Lane, TelevisaUnivision, Gaingels, Yieldstreet",https://www.linkedin.com/company/fetch-rewards
PayPal,https://www.crunchbase.com/organization/paypal,10001+,Active,https://www.paypal.com/home,spoof@paypal.com,(408)967-1000,33,34,10,3,,,,,"Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software","E-Commerce Platforms, FinTech, Mobile Payments, Transaction Processing","3,081",243,Computing; Calculating,Insurance; financial affairs,2743824717,USD,2743824717,,,"San Jose, California, United States",$10B+,1998-12-01,day,"Singtel, Sequoia Capital, Qualcomm Ventures, Peter Thiel, Goldman Sachs",http://www.linkedin.com/company/paypal
ShipBob,https://www.crunchbase.com/organization/shipbob,501-1000,Active,http://www.shipbob.com,support@shipbob.com,+1 844 474 4726,,,,,,,,,"Commerce and Shopping, Mobile, Software, Transportation","E-Commerce, Logistics, Mobile, SaaS, Shipping, Supply Chain Management",0,3,,"Transport, packaging and storing",25128900,USD,25128900,,,"Chicago, Illinois, United States",$1M to $10M,2014-01-01,year,"SoftBank, Wefunder, Hyde Park Venture Partners, Bluestein Ventures, HPA (Hyde Park Angels)",https://www.linkedin.com/company/shipbob-inc-
HighLevel,https://www.crunchbase.com/organization/highlevel,501-1000,Active,https://www.gohighlevel.com,hello@gohighlevel.com,1 888 732 4197,,,,,,,,,"Advertising, Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","Advertising, CRM, E-Commerce Platforms, Marketing",,,,,,,,,,"Dallas, Texas, United States",$10M to $50M,2018-01-01,year,"Peakequity, General Atlantic",https://www.linkedin.com/company/highlevel
Mayvenn,https://www.crunchbase.com/organization/mayvenn,51-100,Active,https://shop.mayvenn.com,info@mayvenn.com,888-562-7952,,,,,,,,,"Commerce and Shopping, Consumer Goods, Mobile","Beauty, E-Commerce, Mobile, Retail",0,2,,Advertising; business,,,,,,"Oakland, California, United States",$100M to $500M,2012-09-01,day,"500 Global, Andreessen Horowitz, Goldman Sachs Asset Management, TSVC, MaC Venture Capital",https://www.linkedin.com/company/mayvenn
Cherry,https://www.crunchbase.com/organization/cherry-4954,101-250,Active,https://withcherry.com/,support@withcherry.com,,,,,,,,,,"Commerce and Shopping, Financial Services","E-Commerce, Financial Services",,,,,129548,USD,129548,,,"San Francisco, California, United States",$1M to $10M,2017-01-01,year,"Cross River Bank, DCM Ventures, CSC Upshot, Inertia Ventures, Bossanova Investimentos",https://www.linkedin.com/company/cherryllc/
Grin,https://www.crunchbase.com/organization/grin-inc,251-500,Active,https://grin.co,support@grin.co,+1 866 979-1792,,,,,,,,,"Commerce and Shopping, Data and Analytics, Sales and Marketing","Analytics, E-Commerce, Marketing, Social Media Marketing",0,1,,Scientific and electric apparatus and instruments,9452400,USD,9452400,,,"Sacramento, California, United States",$1M to $10M,2014-01-01,year,"LAUNCH, Bond, Imaginary Ventures, MAGIC Fund, Lone Pine Capital",https://www.linkedin.com/company/grin-inc-
SoftBank,https://www.crunchbase.com/organization/softbank,251-500,Active,https://group.softbank,pr@softbank.co.jp,+81-3-6889-2000,259,326,158,38,,,,,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Mobile","Banking, E-Commerce, Internet, Mobile, Telecommunications",512,52,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Minato, Chiba, Japan",$10B+,1981-09-03,day,"Microsoft, Samsung Electronics, Ilya Sutskever, Tiger Global Management",https://www.linkedin.com/company/softbankgroup
Ninjacart,https://www.crunchbase.com/organization/ninjacart,1001-5000,Active,http://ninjacart.com/,care@ninjacart.in,+91-8884446207,2,2,1,,,,,,"Agriculture and Farming, Commerce and Shopping, Other, Sales and Marketing, Transportation","AgTech, B2B, E-Commerce, Marketing, Sales, Supply Chain Management",,,,,,,,,,"Bengaluru, Karnataka, India",$500M to $1B,2015-07-01,month,"Walmart, Flipkart, Qualcomm Ventures, Steadview Capital, ZopSmart",https://www.linkedin.com/company/ninja-cart/
Goldbelly,https://www.crunchbase.com/organization/goldbelly,51-100,Active,https://www.goldbelly.com,info@goldbelly.com,+1 (888) 675-6892,,,,,,,,,"Commerce and Shopping, Food and Beverage, Transportation","Delivery Service, E-Commerce, Food and Beverage, Last Mile Transportation",,,,,,,,,,"New York, New York, United States",$10M to $50M,2012-01-01,year,"500 Global, Y Combinator, Spectrum Equity, Tim Draper, Counterpart Advisors",https://www.linkedin.com/company/goldbelly
