Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ExecOnline,https://www.crunchbase.com/organization/execonline,251-500,Active,https://www.execonline.com/,sbailey@execonline.com,202-413-4115,,,,,,,,,"Education, Software","Corporate Training, E-Learning, EdTech, Education, Software, Training",0,1,,Education; entertainment,1426342,USD,1426342,,,"New York, New York, United States",$50M to $100M,2012-01-01,year,"NewSpring, ABS Capital Partners, Osage Venture Partners, Kaplan, The Washington Post",https://www.linkedin.com/company/execonline/
Nearpod,https://www.crunchbase.com/organization/nearpod,251-500,Active,http://www.nearpod.com,marketing@nearpod.com,1 855-632-7763,,,,,,,,,"Apps, Education, Hardware, Mobile, Software","E-Learning, EdTech, Education, Mobile Apps, Skill Assessment, Software, Virtual Reality",0,3,,Scientific and technological services,5105308,USD,5105308,,,"Dania, Florida, United States",$50M to $100M,2012-01-01,year,"Reach Capital, Emerson Collective, Miami Angels, GSV Ventures, Storm Ventures",https://www.linkedin.com/company/nearpod
Duolingo,https://www.crunchbase.com/organization/duolingo,501-1000,Active,https://www.duolingo.com,press@duolingo.com,412-567-6602,,,,,,,,,"Apps, Education, Mobile, Software","E-Learning, Education, Language Learning, Mobile Apps",3,12,Education; Cryptography; Display; Advertising; Seals,Scientific and technological services,21344348,USD,21344348,,,"Pittsburgh, Pennsylvania, United States",$500M to $1B,2011-01-01,year,"Union Square Ventures, Drive Capital, CapitalG, Kleiner Perkins, New Enterprise Associates",https://www.linkedin.com/company/duolingo
Udemy,https://www.crunchbase.com/organization/udemy,1001-5000,Active,http://www.udemy.com,info@udemy.com,,2,2,1,,,,,,"Education, Software","E-Learning, EdTech, Education, Training",3,0,Computing; Calculating,,45120296,USD,45120296,,,"San Francisco, California, United States",$500M to $1B,2009-01-01,year,"Tencent, 500 Global, Stripes, Prosus & Naspers, Lightbank",http://www.linkedin.com/company/udemy
GoStudent,https://www.crunchbase.com/organization/gostudent,1001-5000,Active,https://gostudent.org,support@gostudent.org,+43-670-308-0372,,,,,,,,,"Education, Software","EdTech, Education, Tutoring",0,3,,Scientific and electric apparatus and instruments,27727234,USD,27727234,,,"Vienna, Wien, Austria",$100M to $500M,2016-01-01,year,"Tencent, Left Lane Capital, Deutsche Telekom, Dragoneer Investment Group, Prosus & Naspers",https://www.linkedin.com/company/gostudent-gmbh
Degreed,https://www.crunchbase.com/organization/degreed,501-1000,Active,http://degreed.com,info@degreed.com,,,,,,,,,,"Education, Software","Corporate Training, EdTech, Education, Skill Assessment, Software",0,0,,Advertising; business,18904650,USD,18904650,,,"Pleasanton, California, United States",$100M to $500M,2012-03-01,day,"Techstars, Owl Ventures, GSV Ventures, Riverwood Capital, Mighty Capital",http://www.linkedin.com/company/degreed
Quizlet,https://www.crunchbase.com/organization/quizlet,101-250,Active,https://quizlet.com,info@quizlet.com,510-495-6550,,,,,,,,,"Administrative Services, Education, Internet Services, Other, Software","E-Learning, EdTech, Education, Internet, Knowledge Management",,,,,,,,,,"San Francisco, California, United States",$50M to $100M,2005-10-01,month,"Union Square Ventures, Costanoa Ventures, Owl Ventures, Industry Ventures, Icon Ventures",https://www.linkedin.com/company/quizlet
Cornerstone OnDemand,https://www.crunchbase.com/organization/cornerstone-ondemand,1001-5000,Active,http://www.cornerstoneondemand.com,info@cornerstoneondemand.com,310-752-0200,11,15,1,,,,,,"Administrative Services, Education, Professional Services, Software","E-Learning, Employment, Enterprise Software, Human Resources, SaaS, Training",1,41,Computing; Calculating,Scientific and technological services,94523250,USD,94523250,,,"Santa Monica, California, United States",$500M to $1B,1999-01-01,year,"Silver Lake, Meritech Capital Partners, LinkedIn, Bessemer Venture Partners, Bay Partners",http://www.linkedin.com/company/cornerstone-ondemand
ApplyBoard,https://www.crunchbase.com/organization/applyboard,1001-5000,Active,http://www.applyboard.com,Josh@applyboard.com,1-844-972-7759,2,2,,,,,,,"Education, Information Technology, Internet Services, Sales and Marketing, Software","EdTech, Education, Internet, PaaS, Sales Automation",2,8,Computing; Calculating,Scientific and electric apparatus and instruments,22598125,USD,22598125,,,"Waterloo, Ontario, Canada",$100M to $500M,2015-05-01,day,"Fidelity, BDC Venture Capital, Accelerator Centre, 500 Global, Drive Capital",https://www.linkedin.com/company/applyboard
Articulate,https://www.crunchbase.com/organization/articulate,251-500,Active,http://www.articulate.com,sales@articulate.com,800-861-4880,,,,,,,,,"Education, Software","E-Learning, EdTech, Education, Software, Training",0,1,,Scientific and technological services,15888430,USD,15888430,,,"New York, New York, United States",$1M to $10M,2002-01-01,year,"ICONIQ Growth, General Atlantic, Blackstone Accelerates Growth",https://www.linkedin.com/company/articulate
Kajabi,https://www.crunchbase.com/organization/kajabi,251-500,Active,http://www.kajabi.com,info@kajabi.com,1-855-4-kajabi,,,,,,,,,"Commerce and Shopping, Education, Information Technology, Sales and Marketing, Software","CRM, E-Commerce, EdTech, Lead Generation, Marketing",,,,,7715791,USD,7715791,,,"Irvine, California, United States",$1M to $10M,2009-10-01,day,"TPG, Spectrum Equity, Meritech Capital Partners, Owl Rock Capital, Tidemark",https://www.linkedin.com/company/kajabi/
WalkMe,https://www.crunchbase.com/organization/walkme,1001-5000,Active,http://www.walkme.com,support@walkme.com,1-855-4-925563,,,,,,,,,"Design, Education, Media and Entertainment, Other, Software","E-Learning, Guides, Product Design, Product Management, Software",,,,,,,,,,"San Francisco, California, United States",$100M to $500M,2011-01-01,year,"Scale Venture Partners, EDBI, Vitruvian Partners, Flint Capital, Greenspring Associates",http://www.linkedin.com/company/walkme
Elsa,https://www.crunchbase.com/organization/elsa,101-250,Active,https://elsaspeak.com,support@elsanow.io,+84 904 065 063,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Education, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), E-Learning, EdTech, Language Learning, Mobile Apps",3,0,Education; Cryptography; Display; Advertising; Seals,Scientific and electric apparatus and instruments,276765,USD,276765,,,"Los Gatos, California, United States",$1M to $10M,2015-01-01,year,"Monk’s Hill Ventures, Gradient Ventures, Susquehanna International Group (SIG), Orbit Startups, StartX (Stanford-StartX Fund)",https://www.linkedin.com/company/elsa-corp
Emversity,https://www.crunchbase.com/organization/beyond-odds,51-100,Active,https://www.emversity.com,admissions@emversity.com,80808 04980,,,,,,,,,"Education, Professional Services, Software","EdTech, Education, Employment, Software, Training",,,,,,,,,,"Bangalore, Karnataka, India",,2023-09-13,day,"Matrix Partners India, Ritesh Agarwal, InnoVen Capital, Alteria Capital, Lightspeed India Partners",https://www.linkedin.com/company/emversity
