Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
DocuSign,https://www.crunchbase.com/organization/docusign,1001-5000,Active,http://www.docusign.com,info@docusign.com,866-219-4318,6,6,1,1,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Business Process Automation (BPA), Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",162,40,Computing; Calculating,Scientific and technological services,8664352,USD,8664352,,,"San Francisco, California, United States",$1B to $10B,2003-01-01,year,"Employee Stock Option Fund, Microsoft, Visa, Bain Capital Ventures, Deutsche Telekom",http://www.linkedin.com/company/docusign
PandaDoc,https://www.crunchbase.com/organization/pandadoc,501-1000,Active,https://www.pandadoc.com,info@pandadoc.com,44 1451 604069,,,,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software","Contact Management, Document Management, E-Signature, SaaS, Sales Automation, Software",0,5,,Scientific and technological services,,,,,,"San Francisco, California, United States",$50M to $100M,2011-01-01,year,"HubSpot, G Squared, M12 - Microsoft's Venture Fund, One Peak, TMT Investments",https://www.linkedin.com/company/pandadoc
Isabel Group,https://www.crunchbase.com/organization/isabel-group,251-500,Active,https://www.isabelgroup.eu,,+32 (0) 2 545 17 11,,,,,,,,,"Financial Services, Information Technology, Lending and Investments, Payments, Privacy and Security, Software","Banking, Document Management, E-Signature, FinTech, Identity Management, Information Technology, Payments, Software",0,6,,Insurance; financial affairs,,,,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$50M to $100M,1995-01-01,year,,https://www.linkedin.com/company/isabel
ScopeSky,https://www.crunchbase.com/organization/scopesky,251-500,Active,https://www.scopesky.com,info@scopesky.com,+964-781-069 7147,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security","Cloud Data Services, E-Signature, Telecommunications, VoIP",,,,,,,,,,"Baghdad, Baghdad, Iraq",$50M to $100M,2004-01-01,year,,https://www.linkedin.com/company/scopesky-communications
Yousign,https://www.crunchbase.com/organization/yousign,101-250,Active,https://yousign.com/,hello@yousign.com,+33 1 84 88 02 89,,,,,,,,,"Information Technology, Other, Privacy and Security, Software","E-Signature, Information Technology, SaaS, Small and Medium Businesses, Software",0,3,,Scientific and electric apparatus and instruments,3335881,USD,3335881,,,"Paris, Ile-de-France, France",$10M to $50M,2013-01-01,year,"Hexa, Bpifrance, Lead Edge Capital, Thibaud Elziere, Normandie Incubation",https://www.linkedin.com/company/yousign
HelloSign,https://www.crunchbase.com/organization/hellosign,51-100,Active,http://www.hellosign.com,,,,,,,,,,,"Apps, Information Technology, Mobile, Other, Privacy and Security, Professional Services, Software","B2B, Developer APIs, Developer Platform, Document Management, E-Signature, Enterprise Applications, Enterprise Software, Legal, Mobile, SaaS, Software",1,1,Computing; Calculating,Scientific and electric apparatus and instruments,2032172,USD,2032172,,,"San Francisco, California, United States",$10M to $50M,2011-01-01,year,"Haystack, Y Combinator, Google Ventures, U.S. Venture Partners, Khosla Ventures",https://www.linkedin.com/company-beta/953240/
Unifiedpost Group,https://www.crunchbase.com/organization/unifiedpost,1001-5000,Active,https://www.unifiedpostgroup.com/,info@unifiedpost.com,+32 2 634 06 28,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security, Professional Services, Software, Transportation","Accounting, Compliance, E-Signature, Enterprise Software, Finance, Information Technology, Payments, Procurement, Software",0,8,,Advertising; business,,,,,,"La Hulpe, Brabant Wallon, Belgium",$10M to $50M,2001-01-01,year,"Fortino Capital, PMV, SmartFin, Cytiholding",https://www.linkedin.com/company/unifiedpost
BestSign,https://www.crunchbase.com/organization/bestsign,251-500,Active,https://www.bestsign.cn,support@bestsign.cn,400-993-6665,,,,,,,,,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Other, Privacy and Security, Sales and Marketing, Software","Blockchain, Cloud Data Services, Digital Signage, E-Signature, SaaS, Software",,,,,,,,,,"Hangzhou, Zhejiang, China",$10M to $50M,2014-08-01,day,"DCM Ventures, Shunwei Capital, 5Y Capital, Matrix Partners China, Matrix",https://www.linkedin.com/company/bestsign
Penneo,https://www.crunchbase.com/organization/penneo,101-250,Active,https://penneo.com/,hello@penneo.com,+45 71 99 98 93,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Professional Services, Software","Compliance, Computer, E-Signature, Identity Management, Information Technology, Software",1,0,Computing; Calculating,,,,,,,"Copenhagen, Hovedstaden, Denmark",$10M to $50M,2012-10-01,month,"PreSeed Ventures, Seed Capital, EASME - EU Executive Agency for SMEs",http://www.linkedin.com/company/penneo
Lightico,https://www.crunchbase.com/organization/lightico,51-100,Active,http://www.lightico.com,info@lightico.com,+1 888 252 1440,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security, Software","Document Management, E-Signature, InsurTech, Payments, Software",2,2,Electric Communication Technique,Scientific and electric apparatus and instruments,21843,USD,21843,,,"New York, New York, United States",$10M to $50M,2014-01-01,year,"Capital One Ventures, Oxx, Mangrove Capital Partners, Harmony Partners, lool ventures",https://www.linkedin.com/company/13200839/
Signeasy,https://www.crunchbase.com/organization/signeasy,51-100,Active,http://signeasy.com,support@signeasy.com,+1 866-965-1533,,,,,,,,,"Information Technology, Other, Privacy and Security, Software","B2B, Contact Management, E-Signature, Productivity Tools, SaaS, Small and Medium Businesses, Software",0,6,,Scientific and electric apparatus and instruments,,,,,,"Dallas, Texas, United States",$10M to $50M,2010-03-01,month,"Girish Mathrubootham, Anand Chandrasekaran, Village Global, Jeremy Stoppelman, Microsoft Accelerator Bangalore",https://www.linkedin.com/company/signeasy/
WiseStamp,https://www.crunchbase.com/organization/wisestamp,51-100,Active,http://www.wisestamp.com,marketing@wisestamp.com,,,,,,,,,,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Sales and Marketing, Software","Brand Marketing, Browser Extensions, E-Signature, Email, Email Marketing, Messaging, Social Media Advertising, Web Browsers",,,,,,,,,,"Bellevue, Washington, United States",$10M to $50M,2008-02-01,day,"Zohar Gilon, Fabrice Grinda, Naftali Bennett, Kerim Baran, Simon Gelfand",https://www.linkedin.com/company/wisestamp
Integrated Media Management,https://www.crunchbase.com/organization/integrated-media-management,101-250,Active,https://www.immonline.com/,info@immonline.com,+1 800-836-4750,,,,,,,,,"Consumer Electronics, Financial Services, Hardware, Information Technology, Lending and Investments, Privacy and Security, Software","Banking, Computer, Computer Vision, E-Signature, Financial Services, Lending, Software",,,,,,,,,,"Rahway, New Jersey, United States",$10M to $50M,1996-01-01,year,,https://www.linkedin.com/company/immesign/about/
TECNOSPEED,https://www.crunchbase.com/organization/tecnospeed,101-250,Active,https://www.grupotecnospeed.com/,contato@tecnospeed.com.br,+55 0800 006 9500,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Payments, Privacy and Security, Sales and Marketing, Software","Billing, CRM, Developer APIs, E-Signature, Messaging, SaaS, Software",,,,,,,,,,"Maringá, Parana, Brazil",$10M to $50M,2006-01-01,year,,https://www.linkedin.com/company/tecnospeed-ti/
