Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Scribd,https://www.crunchbase.com/organization/scribd,251-500,Active,http://www.scribd.com,press@scribd.com,(415) 896-9890,,,,,,,,,"Content and Publishing, Media and Entertainment, Music and Audio, Software","Audiobooks, Books, EBooks, File Sharing, News, Podcast, Publishing",4,12,Computing; Calculating,Scientific and technological services,,,,,,"San Francisco, California, United States",$10M to $50M,2007-03-01,month,"Y Combinator, Spectrum Equity, Khosla Ventures, SVB Capital, Marc Andreessen",http://www.linkedin.com/company/scribd
Epic,https://www.crunchbase.com/organization/epic,101-250,Active,http://www.getepic.com,support@getepic.com,,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Other","EBooks, Education, Media and Entertainment, Publishing, Subscription Service",4,35,Physical Or Chemical Processes Or Apparatus In General,Advertising; business,,,,,,"Redwood City, California, United States",$1M to $10M,2013-01-01,year,"Reach Capital, 500 Global, Translink Capital, Maven Ventures, Creative Artists Agency",https://www.linkedin.com/company/epic4kids
Houghton Mifflin Harcourt,https://www.crunchbase.com/organization/houghton-mifflin-harcourt,1001-5000,Active,http://www.hmhco.com,,617-351-5000,5,6,,1,,,,,"Content and Publishing, Education, Media and Entertainment, Software","Content, E-Learning, EBooks, Education",20,271,Education; Cryptography; Display; Advertising; Seals,"Paper, cardboard and goods made from these materials",,,,,,"Boston, Massachusetts, United States",$10M to $50M,1832-01-01,year,ABRY Partners,http://www.linkedin.com/company/houghton-mifflin-harcourt
Perlego,https://www.crunchbase.com/organization/perlego,51-100,Active,http://www.perlego.com,help@perlego.com,,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Other, Software","EBooks, EdTech, Education, Publishing, Subscription Service",0,4,,Scientific and electric apparatus and instruments,,,,,,"London, England, United Kingdom",$1M to $10M,2016-01-01,year,"Founders Factory, Raine Ventures, Redbus Ventures, KPN Ventures, ADV",https://www.linkedin.com/company/perlego.com
Storytel,https://www.crunchbase.com/organization/storytel-ab,501-1000,Active,https://www.storytel.com,support.se@storytel.com,46 7 68 72 58 75,1,1,,,,,,,"Apps, Content and Publishing, Media and Entertainment, Mobile, Music and Audio, Other, Software","Audiobooks, EBooks, Mobile Apps, Publishing, Subscription Service",0,23,,Education; entertainment,,,,,,"Stockholm, Stockholms Lan, Sweden",$100M to $500M,2005-01-01,year,"Svenska Handelsbanken, EQT, Vitruvian Partners, Swedbank Robur, C WorldWide Asset Management",https://www.linkedin.com/company/storytel
Educative,https://www.crunchbase.com/organization/educative,101-250,Active,https://www.educative.io/,hello@educative.io,,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Software","E-Learning, EBooks, Education, Software",0,2,,Education; entertainment,6710115,USD,6710115,,,"Bellevue, Washington, United States",$10M to $50M,2015-01-01,year,"Techstars, Kevin Mahaffey, Matrix, Immad Akhund, Irregular Expressions",https://www.linkedin.com/company/educative-inc/
RIDI,https://www.crunchbase.com/organization/ridi,101-250,Active,http://www.ridicorp.com,start@ridi.com,,1,1,1,,,,,,"Apps, Commerce and Shopping, Content and Publishing, Media and Entertainment, Software","Apps, Digital Entertainment, Digital Media, E-Commerce, EBooks",0,3,,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$50M to $100M,2008-03-31,day,"Mirae Asset Venture Investment, Korea Development Bank, Atinum Partners, Premier Partners, Hana Financial Investment",https://www.linkedin.com/company/ridi
Spark Education Group,https://www.crunchbase.com/organization/sparkedu,5001-10000,Active,https://www.sparkeducationgroup.com/,,65-6932-2832,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Software","E-Learning, EBooks, EdTech, Education",0,0,,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$100M to $500M,2016-07-01,day,"Kuaishou Technology, Yuanfudao, The Carlyle Group, Tencent, Sequoia Capital China",https://www.linkedin.com/company/spark-education/
RedShelf,https://www.crunchbase.com/organization/redshelf,51-100,Active,https://about.redshelf.com/,hello@redshelf.com,(312) 878-8586,,,,,,,,,"Commerce and Shopping, Content and Publishing, Education, Media and Entertainment, Software","Digital Media, E-Commerce, EBooks, Education, Web Development",,,,,3953295,USD,3953295,,,"Chicago, Illinois, United States",$10M to $50M,2012-01-01,month,"DNS Capital, Tao Huang, Coniston Capital, National Association of College Stores, Rick Lane",https://www.linkedin.com/company/redshelf
BookBub,https://www.crunchbase.com/organization/bookbub,51-100,Active,http://www.bookbub.com,info@bookbub.com,,,,,,,,,,"Commerce and Shopping, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Books, E-Commerce, EBooks, Email, Internet, Publishing, Retail",0,5,,Scientific and electric apparatus and instruments,,,,,,"Cambridge, Massachusetts, United States",$1M to $10M,2012-01-01,year,"Bloomberg Beta, Avalon Ventures, Founder Collective, NextView Ventures",http://www.linkedin.com/company/bookbub
