Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Canoo,https://www.crunchbase.com/organization/canoo-tech,251-500,Active,http://www.canoo.com,info@canoo.com,+41 61 228 9444,,,,,,,,,"Consumer Electronics, Hardware, Software, Transportation","Automotive, Consumer Electronics, Electric Vehicle, Electronic Design Automation (EDA)",106,3,Vehicles In General,Scientific and electric apparatus and instruments,4060697,USD,4060697,,,"Torrance, California, United States",Less than $1M,2017-01-01,year,"BlackRock, Yorkville Advisors",https://www.linkedin.com/company/canoo
Tempo Automation,https://www.crunchbase.com/organization/tempo-automation,101-250,Active,https://tempoautomation.com,sales@tempoautomation.com,415-320-1261,,,,,,,,,"Consumer Electronics, Government and Military, Hardware, Information Technology, Internet Services, Manufacturing, Science and Engineering, Software, Transportation","Automotive, Consumer Electronics, Electronic Design Automation (EDA), Electronics, Industrial Manufacturing, Internet of Things, Manufacturing, Military, Semiconductor, Software",,,,,365624,USD,365624,,,"San Francisco, California, United States",$10M to $50M,2013-07-01,month,"Alumni Ventures, Point72 Ventures, Haystack, AME Cloud Ventures, Industry Ventures",http://www.linkedin.com/company/tempo-automation
Hejian,https://www.crunchbase.com/organization/hejian,251-500,Active,https://www.univista-isg.com/,wben34690@gmail.com,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","Electronic Design Automation (EDA), Industrial Automation, Software","3,436",21,Basic Electric Elements,Scientific and technological services,,,,,,"Shanghai, Shanghai, China",,2020-05-01,month,"Huaqin Communication Technology, Sequoia Capital China, Shenzhen Capital Group, IDG Capital, China Integrated Circuit Industry Investment Fund (CICF)",https://www.linkedin.com/company/univistaindustrial
Faraday Future,https://www.crunchbase.com/organization/faraday-future,1001-5000,Active,https://www.ff.com,sales@ff.com,+1 800 228 7702,,,,,,,,,"Hardware, Information Technology, Software, Transportation","Automotive, Electric Vehicle, Electronic Design Automation (EDA), Information Technology",276,24,Vehicles In General,Vehicles,,,,,,"Gardena, California, United States",$100M to $500M,2014-05-01,month,"Ares Management, China Evergrande New Energy Vehicle Group, Geely, Yorkville Advisors, ATW Partners",https://www.linkedin.com/company/faradayfuture
TECHNORED,https://www.crunchbase.com/organization/technored,51-100,Active,https://technored.ru/,sales@technored.ru,+7 (495) 777-51-71,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","Electronic Design Automation (EDA), Industrial Automation, Manufacturing, Robotics",,,,,,,,,,"Moscow, Moscow City, Russian Federation",,2015-01-01,year,"IMPACT Capital, Valerii Zolotukhin",https://www.linkedin.com/company/technored/
Digital Workforce,https://www.crunchbase.com/organization/digital-workforce-2,101-250,Active,https://digitalworkforce.com,info@digitalworkforce.com,+358 44 3217 833,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software","Computer, Electronic Design Automation (EDA), Industrial Automation, Industrial Engineering, Information Technology, IT Management, Robotics, Software",0,2,,Scientific and electric apparatus and instruments,,,,,,"Helsinki, Southern Finland, Finland",$1M to $10M,2015-01-01,year,"CapMan, Lifeline Ventures, Leena Niemistö, Norvestia Growth Equity, Korkia",https://www.linkedin.com/company/10208874
Bluespec,https://www.crunchbase.com/organization/bluespec,101-250,Active,http://www.bluespec.com,sales@bluespec.com,7816841199,,,,,,,,,"Consumer Electronics, Hardware, Software","Electronic Design Automation (EDA), Electronics, Field-Programmable Gate Array (FPGA), Hardware",,,,,2756913,USD,2756913,,,"Framingham, Massachusetts, United States",Less than $1M,2003-01-01,year,"North Bridge Venture Partners & Growth Equity, Atlas Venture",http://www.linkedin.com/company/bluespec-inc
Mara Technologies,https://www.crunchbase.com/organization/mara-technologies,501-1000,Active,https://invotekgroup.com,,,,,,,,,,,"Hardware, Manufacturing, Software","Electronic Design Automation (EDA), Manufacturing",,,,,,,,,,"Markham, Ontario, Canada",$10M to $50M,2003-01-01,year,Frontwell Capital Partners,https://www.linkedin.com/company/invotekgroup
Synopsys,https://www.crunchbase.com/organization/synopsys,10001+,Active,http://www.synopsys.com,,(650) 584-5000,16,23,1,,,,,,"Hardware, Information Technology, Software","Electronic Design Automation (EDA), Information Services, Information Technology, Software","2,586",132,Computing; Calculating,Scientific and electric apparatus and instruments,605659478,USD,605659478,,,"Mountain View, California, United States",$1B to $10B,1986-01-01,year,"New Enterprise Associates, Green Pine Capital Partners",http://www.linkedin.com/company/synopsys
Sankalp Semiconductors,https://www.crunchbase.com/organization/sankalp-semiconductors,501-1000,Active,http://sankalpsemi.com/,sales@sankalpsemi.com,+ 91-836- 3980300,,,,,,,,,"Hardware, Mobile, Platforms, Science and Engineering, Software, Sports","Electronic Design Automation (EDA), Fitness, iOS, Semiconductor",,,,,,,,,,"Hubli, Karnataka, India",,2005-01-01,year,Stakeboat Capital,https://in.linkedin.com/company/sankalp-semiconductor-pvt-ltd
