Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Koch Industries,https://www.crunchbase.com/organization/koch-industries,10001+,Active,https://www.kochind.com,info@kochind.com,316-828-5500,11,11,3,1,,,,,"Agriculture and Farming, Consumer Electronics, Energy, Hardware, Natural Resources","Electronics, Energy, Farming, Oil and Gas","3,194",403,Basic Electric Elements,Scientific and electric apparatus and instruments,13790263500,USD,13790263500,,,"Wichita, Kansas, United States",$10B+,1940-01-01,year,,https://www.linkedin.com/company/kochindustries
General Electric,https://www.crunchbase.com/organization/general-electric,10001+,Active,http://www.ge.com,,1-844-302-2943,35,43,16,2,,,,1,"Consumer Electronics, Energy, Financial Services, Hardware, Manufacturing","Electronics, Energy, Energy Management, Finance, Manufacturing","20,813",897,Testing,Scientific and electric apparatus and instruments,2249979302,USD,2249979302,,,"Boston, Massachusetts, United States",$10B+,1892-04-15,day,"US Department of Energy, Massachusetts Clean Energy Center, ARPA-E, National Institute of Standards and Technology",http://www.linkedin.com/company/ge
Philips,https://www.crunchbase.com/organization/koninklijke-philips,10001+,Active,https://www.usa.philips.com,Deanbridges99@gmail.com,+1-800 102 2929,22,23,4,1,,,,,"Consumer Electronics, Hardware, Health Care, Other","B2B, Consumer Electronics, Electronics, Lighting, Wellness",,,,,,,,,,"Amsterdam, Noord-Holland, The Netherlands",$10B+,1891-01-01,year,"EXOR N.V., Bill & Melinda Gates Foundation, Innovative Health Initiative",http://www.linkedin.com/company/philips
Lenovo,https://www.crunchbase.com/organization/lenovo,10001+,Active,http://www.lenovo.com,,855-253-6686,29,31,8,1,,,,,"Consumer Electronics, Hardware, Mobile","Computer, Electronics, Hardware, Mobile","7,726",119,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$10B+,1984-01-01,year,"TPG, General Atlantic, Chinese Academy Of Sciences, Legend Holdings, The Parent Company",http://www.linkedin.com/company/lenovo
Taiwan Semiconductor Manufacturing Company,https://www.crunchbase.com/organization/tsmc,10001+,Active,http://www.tsmc.com,,+886 3 563 6688,6,6,1,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Electronics, Manufacturing, Product Design, Semiconductor","28,326",76,Basic Electric Elements,Treatment of materials,,,,,,"Hsinchu, T'ai-wan, Taiwan",$10B+,1987-01-01,day,"Berkshire Hathaway, U.S. Department of Commerce, CID Group",https://www.linkedin.com/company/tsmc
Infineon Technologies,https://www.crunchbase.com/organization/infineon,10001+,Active,https://www.infineon.com,support@infineon.com,+49 89 234 65555,14,17,5,1,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing, Science and Engineering, Sustainability","Consumer Electronics, Electronics, Energy Efficiency, Manufacturing, Semiconductor","9,129",151,Basic Electric Elements,Scientific and electric apparatus and instruments,276800,USD,276800,,,"Neubiberg, Bayern, Germany",$10B+,1999-04-01,day,,https://www.linkedin.com/company/infineon-technologies
Broadcom Limited,https://www.crunchbase.com/organization/avago-technologies,5001-10000,Active,http://broadcom.com,cxoon@gmx.com,1(408)433-8000,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering","Electronics, Information Technology, Manufacturing, Semiconductor",,,,,763048787,USD,763048787,,,"San Jose, California, United States",$10B+,2005-01-01,year,"Citi, Silver Lake, Bank of America, JP Morgan Chase, Morgan Stanley",http://www.linkedin.com/company/broadcom
Applied Materials,https://www.crunchbase.com/organization/applied-materials,10001+,Active,http://www.appliedmaterials.com,customer_portal@amat.com,+1 408 727 5555,2,2,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software","Electronics, Manufacturing, Semiconductor, Software","15,719",513,Basic Electric Elements,Machines and machine tools,2025626690,USD,2025626690,,,"Santa Clara, California, United States",$10B+,1967-11-10,day,"US Department of Energy, NYSERDA, Stonnington Group",http://www.linkedin.com/company/applied-materials
ASML,https://www.crunchbase.com/organization/asml,10001+,Active,https://www.asml.com,corpcom@asml.com,+31 40 268 3000,1,1,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Other, Science and Engineering","Commercial, Electronics, Industrial, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Nanotechnology, Semiconductor","6,705",142,Photography; Cinematography; Electrography,Scientific and electric apparatus and instruments,516519165,USD,516519165,,,"Veldhoven, Noord-Brabant, The Netherlands",$10B+,1984-01-01,year,,http://www.linkedin.com/company/asml
Corning,https://www.crunchbase.com/organization/corning,10001+,Active,http://www.corning.com/,inquiries@corning.com,(828) 901-5488,19,21,4,1,,,,,"Biotechnology, Consumer Electronics, Hardware, Manufacturing, Real Estate, Science and Engineering","Building Material, Electronics, Hardware, Life Science, Manufacturing, Telecommunications","11,606",340,Glass,Scientific and electric apparatus and instruments,217799930,USD,217799930,,,"Corning, New York, United States",$10B+,1851-01-01,year,"Apple, Biomedical Advanced Research and Development Authority (BARDA)",http://www.linkedin.com/company/3678
Electrolux,https://www.crunchbase.com/organization/electrolux,10001+,Active,https://www.electroluxappliances.com,customerservice@electrolux.com,+1 877 435 3287,3,3,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing","Consumer Electronics, Electronics, Home Appliances, Machinery Manufacturing, Manufacturing",406,333,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Machines and machine tools,,,,,,"Stockholm, Stockholms Lan, Sweden",$10B+,1919-01-01,year,,https://www.linkedin.com/company/electrolux/
Allegion,https://www.crunchbase.com/organization/allegion,5001-10000,Active,https://www.allegion.com,vnmstheegreat@gmail.com,+35312546200,2,2,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Privacy and Security","Electronics, Manufacturing, Product Design, Security","1,058",169,Locks; Keys; Window Or Door Fittings; Safes,Common metals and their alloys; ores,251188,USD,251188,,,"Dublin, Dublin, Ireland",$10B+,2013-01-01,year,,http://www.linkedin.com/company/allegion-plc
WESCO International,https://www.crunchbase.com/organization/wesco-distribution,5001-10000,Active,http://www.wesco.com/,,(412)454-2200,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Other","Commercial, Electronics, Manufacturing",35,72,Generation; Conversion Or Distribution Of Electric Power,Scientific and electric apparatus and instruments,1263786844,USD,1263786844,,,"Pittsburgh, Pennsylvania, United States",$10B+,1922-01-01,year,Reference Capital SA,https://www.linkedin.com/company/wesco.corp/
Panasonic,https://www.crunchbase.com/organization/panasonic,10001+,Active,https://www.panasonic.com,helpline@in.panasonic.com,1(800)108-1333,24,26,7,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing","Consumer Electronics, Electronics, Hardware, Home Appliances, Manufacturing","62,584",676,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,,,"Kadoma, Osaka, Japan",$10B+,1918-01-01,year,Vaga Gilga,http://www.linkedin.com/company/panasonic
Rexel Worldwide,https://www.crunchbase.com/organization/rexel-worldwide,10001+,Active,http://www.rexel.com/en/,,+33 (0)1 42 85 85 00,,,,,,,,,"Consumer Electronics, Energy, Hardware, Sustainability, Transportation","Electronics, Energy, Energy Efficiency, Logistics",0,78,,Advertising; business,914263469,USD,914263469,,,"Paris, Ile-de-France, France",$10B+,1967-01-01,year,,https://www.linkedin.com/company/rexel
Saudi Electricity Company,https://www.crunchbase.com/organization/saudi-electricity-company,10001+,Active,https://www.se.com.sa/en-us/Pages/home.aspx,,,1,1,1,,,,,,"Consumer Electronics, Energy, Hardware","Consumer Electronics, Electronics, Energy",2,0,,,,,,,,"Riyadh, Ar Riyad, Saudi Arabia",$10B+,2000-01-01,year,"Saudi National Bank, Mashreq Bank, Dubai Islamic Bank, Kuwait Finance House (Malaysia) Berhad",https://www.linkedin.com/company/saudielectricity
Kla,https://www.crunchbase.com/organization/kla-1ea0,10001+,Active,https://www.kla.com,,+1 408-875-3000,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing","Electronics, Information Technology, Manufacturing",902,90,Testing,Scientific and electric apparatus and instruments,792137442,USD,792137442,,,"Milpitas, California, United States",$10B+,1976-01-01,year,,https://www.linkedin.com/company/klacorp
China Electronics Corporation,https://www.crunchbase.com/organization/china-electronics-corporation-cec,10001+,Active,http://www.cec.com.cn/,webmaster@cec.com.cn,010-83026500,9,9,4,,,,,,"Consumer Electronics, Hardware, Information Technology","Consumer Electronics, Electronics, Information Technology",,,,,,,,,,"Shenzhen, Guangdong, China",$10B+,1989-01-01,year,China Life Insurance,https://www.linkedin.com/company/china-electronics-corporation-beijing
Gree Electric Appliance,https://www.crunchbase.com/organization/gree-electric-appliance,10001+,Active,http://www.gree.com.cn/,,(0756) 8614883,7,7,4,,,,,,"Consumer Electronics, Hardware","Consumer Electronics, Electronics","2,724",97,Heating; Ranges,Environmental control apparatus,,,,,,"Hefei, Anhui, China",$10B+,1985-03-01,month,Hillhouse Investment,https://www.linkedin.com/company/格力电器-合肥-有限公司
LG Group,https://www.crunchbase.com/organization/lg-group,10001+,Active,https://ofwchanneltv.su/,,(02) 902 5544,6,8,2,,,,,,"Consumer Electronics, Hardware, Information Technology, Science and Engineering","Chemical, Electronics, Information Technology, Telecommunications","91,170","5,299",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10B+,1947-01-05,day,P. Addo-Nyarko,
Hanwha Systems,https://www.crunchbase.com/organization/hanwha-systems,501-1000,Active,https://www.hanwhasystems.com,,82-2-729-3030,9,11,7,1,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering","Aerospace, Electronics, Information and Communications Technology (ICT), Manufacturing",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10B+,2000-01-11,day,STIC Investment,https://www.linkedin.com/company/hanwhasystems
LG Display Co,https://www.crunchbase.com/organization/lg-display-co,10001+,Active,https://www.lgdisplay.com,,+82 2-3777-1297,3,3,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Transportation","Automotive, Electronics, Manufacturing",1,0,Computing; Calculating,,,,,,,"Yongdungpo, Seoul-t'ukpyolsi, South Korea",$10B+,1985-02-27,day,LG Electronics,https://www.linkedin.com/company-beta/983146/
Rakuten,https://www.crunchbase.com/organization/rakuten,10001+,Active,http://global.rakuten.com,support@customersupport.rakuten.com,+815055816910,56,73,39,4,,,,,"Commerce and Shopping, Consumer Electronics, Financial Services, Hardware, Internet Services, Payments","E-Commerce, Electronics, FinTech, Internet, Payments","1,125",94,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1997-02-07,day,"Walmart, Tencent, Intel Capital, Japan Post Holdings, MVI (MENA Venture Investments)",http://www.linkedin.com/company/rakuten
Nokia,https://www.crunchbase.com/organization/nokia,10001+,Active,http://www.nokia.com,press.services@nokia.com,+3580104488000,35,40,11,3,,,,,"Consumer Electronics, Hardware, Internet Services, Mobile, Software","Electronics, Enterprise Software, Internet of Things, Mobile Devices, Telecommunications","24,123",282,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Espoo, Southern Finland, Finland",$10B+,1865-05-12,day,"European Investment Bank, Nordic Investment Bank",http://www.linkedin.com/company/nokia
Tongfu Microelectronics,https://www.crunchbase.com/organization/tongfu-microelectronics,10001+,Active,http://www.tfme.com,tfme_stock@tfme.com,0513-85058888,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Electronics, Manufacturing, Semiconductor",,,,,,,,,,"Nantong, Jiangsu, China",$10B+,1997-10-01,day,,
Midea Group,https://www.crunchbase.com/organization/midea-2,10001+,Active,https://midea-group.com,sales@midea.com,+867 572 260 7708,15,16,6,,,,,,"Consumer Electronics, Hardware, Manufacturing","Consumer Electronics, Electronics, Manufacturing","3,676",198,Heating; Ranges,Environmental control apparatus,,,,,,"Beijiao, Guangdong, China",$10B+,1968-01-01,year,EASME - EU Executive Agency for SMEs,https://www.linkedin.com/company/midea
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,10001+,Active,http://www.samsung.com,,+82 312001114,54,56,22,3,,,,,"Apps, Consumer Electronics, Financial Services, Hardware, Manufacturing, Mobile, Payments, Software","Consumer Electronics, Electronics, Manufacturing, Mobile, Mobile Apps, Mobile Devices, Mobile Payments, Software","135,752","3,604",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10B+,1969-02-12,day,KB Securities,https://www.linkedin.com/company/samsung-electronics
Schneider Electric,https://www.crunchbase.com/organization/schneider-electric,10001+,Active,https://www.se.com,global.dnsadmin@eud.schneider-electric.com,+33 4 76 57 60 60,25,32,8,4,,,,,"Consumer Electronics, Energy, Hardware, Information Technology, Sustainability","Electronics, Energy, Energy Management, Information Technology, Renewable Energy","1,024",187,Basic Electric Elements,Scientific and electric apparatus and instruments,2459912088,USD,2459912088,,,"Rueil-malmaison, Ile-de-France, France",$10B+,1836-01-01,year,"California State Water Resources Control Board, Idinvest Partners",http://www.linkedin.com/company/schneider-electric
Honeywell,https://www.crunchbase.com/organization/honeywell,10001+,Active,http://www.honeywell.com,security.ap@honeywell.com,(877)841-2840,18,20,8,1,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering","Aerospace, Electronics, Information Technology, Innovation Management, Manufacturing, Service Industry",,,,,2731222859,USD,2731222859,,,"Charlotte, North Carolina, United States",$10B+,1906-01-01,year,US Department of Energy,https://www.linkedin.com/company/honeywell
Eaton Electrical,https://www.crunchbase.com/organization/eaton,10001+,Active,https://www.eaton.com,info-ex@eaton.com,+353 440 523 5000,5,5,4,,,,,,"Consumer Electronics, Energy, Hardware, Manufacturing, Other, Software, Transportation","Automotive, Electrical Distribution, Electronics, Hardware, Industrial, Manufacturing, Service Industry, Software","2,381","1,068",Basic Electric Elements,Scientific and electric apparatus and instruments,1701664000,USD,1701664000,,,"Dublin, Dublin, Ireland",$10B+,1911-01-01,year,"U.S. Department of Energy Solar Energy Technologies Office, Shalamuka Capital",http://www.linkedin.com/company/eaton-corporation
Sony,https://www.crunchbase.com/organization/sony,10001+,Active,http://www.sony.net,,1(800) 222-7669,48,56,12,2,,,,,"Consumer Electronics, Hardware, Media and Entertainment, Software, Video","Consumer Electronics, Digital Entertainment, Electronics, Software, Video on Demand","41,385","1,842",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1946-05-07,day,,https://www.linkedin.com/company/sony
3M,https://www.crunchbase.com/organization/3m,10001+,Active,https://www.3m.com,,+1 651 733 1110,10,11,1,2,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Professional Services, Software, Transportation","Automotive, Cleaning Products, Consulting, Electronics, Enterprise Software, Manufacturing","19,116","2,315",Medical Or Veterinary Science; Hygiene,Scientific and electric apparatus and instruments,1210718409,USD,1210718409,,,"Saint Paul, Minnesota, United States",$10B+,1902-01-01,year,,http://www.linkedin.com/company/3m
Flex,https://www.crunchbase.com/organization/flextronics-international,10001+,Active,https://flex.com,info@flex.com,(408) 576-7000,15,19,2,3,,,,,"Consumer Electronics, Design, Hardware, Manufacturing","Electronics, Manufacturing, Product Design",201,49,Basic Electric Elements,Scientific and technological services,,,,,,"Singapore, Central Region, Singapore",$10B+,1969-01-01,year,"Silver Lake, Sequoia Capital, Ciena, Shaw Kwei & Partners",https://www.linkedin.com/company/flexintl
