Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ExactTarget,https://www.crunchbase.com/organization/exacttarget,1001-5000,Closed,http://www.exacttarget.com,website@exacttarget.com,866-362-4538,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Email, Email Marketing, Marketing Automation, Social Media Marketing, Software",9,0,Computing; Calculating,,,,,,,"Indianapolis, Indiana, United States",$10B+,2000-12-01,day,"TCV, Scale Venture Partners, Greenspring Associates, Insight Partners, Battery Ventures",http://www.linkedin.com/company/exacttarget
Mars Petcare,https://www.crunchbase.com/organization/mars-petcare,10001+,Active,http://www.mars.com/global/brands/petcare.aspx,contact.uk@mars.com,+1(703) 821-4900,6,6,,3,,,,,"Community and Lifestyle, Hardware, Health Care, Information Technology, Internet Services, Messaging and Telecommunications, Other, Transportation","Email, Hardware, Health Diagnostics, Pet, Service Industry, Supply Chain Management, Veterinary",,,,,1035000000,USD,1035000000,,,"Mclean, Virginia, United States",$10B+,1935-01-01,year,,https://www.linkedin.com/company/mars/
ADP Employer Services,https://www.crunchbase.com/organization/adp-employer-services,10001+,Active,https://www.de-adp.com/,,1 800-225-5237,,,,,,,,,"Administrative Services, Information Technology, Internet Services, Messaging and Telecommunications, Other","Email, Human Resources, Professional Services",,,,,,,,,,"Roseland, New Jersey, United States",$10B+,1949-01-01,day,,https://www.linkedin.com/company/adp/
Yahoo Advertising,https://www.crunchbase.com/organization/yahoo-advertising,10001+,Active,https://www.yahoo-inc.com,,,,,,,,,,,"Advertising, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing","Advertising, Email, News",,,,,,,,,,"Sunnyvale, California, United States",$10B+,1996-01-01,year,,https://www.linkedin.com/company/yahoo-advertising
Titans Group,https://www.crunchbase.com/organization/titans-group,101-250,Closed,https://www.titansgroup.com.br/,,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Email, Information Technology, ISP",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$10B+,2008-01-01,year,,https://www.linkedin.com/company/titans-group/
Yandex,https://www.crunchbase.com/organization/yandex,10001+,Active,http://www.yandex.ru,pr@yandex-team.com,+7 495 739 7000,15,19,9,1,,,,,"Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Big Data, Developer Tools, Email, Information Services, Information Technology, Mobile, Search Engine",170,48,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Moscow, Moscow City, Russian Federation",$1B to $10B,1997-09-23,day,"International Finance Corporation, Almaz Capital, Tiger Global Management, Baring Vostok Capital Partners, RTP Global",http://www.linkedin.com/company/yandex
Yahoo,https://www.crunchbase.com/organization/yahoo,5001-10000,Active,http://www.yahoo.com,support@yahoo.com,+1 800 305 7664,19,24,6,,,,,,"Advertising, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Email, Internet, Native Advertising, Online Portals, Search Engine, Social Media",677,295,Computing; Calculating,Education; entertainment,268017000,USD,268017000,,,"Sunnyvale, California, United States",$1B to $10B,1994-01-01,month,"Visa, Sequoia Capital, Randy Adams, SoftBank Capital, Reuters Venture Capital",http://www.linkedin.com/company/yahoo
Asendia Management,https://www.crunchbase.com/organization/asendia-management,1001-5000,Active,http://www.asendia.com/,info.com@asendia.com,+41 228608401,1,1,1,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Transportation","Delivery Service, E-Commerce, Email, Freight Service, Shipping",,,,,9555878,USD,9555878,,,"Bern, Bern, Switzerland",$1B to $10B,2012-01-01,year,,https://www.linkedin.com/company/asendia/
Castellini Company,https://www.crunchbase.com/organization/castellini-company,1001-5000,Active,https://castellinicompany.com/,info@castellinicompany.com,8594424600,1,1,,,,,,,"Commerce and Shopping, Food and Beverage, Information Technology, Internet Services, Messaging and Telecommunications, Transportation","Email, Food and Beverage, Logistics, Supply Chain Management, Wholesale",,,,,22023529,USD,22023529,,,"Newport, Kentucky, United States",$1B to $10B,1896-01-01,year,,https://www.linkedin.com/company/castellini-company/
Epsilon,https://www.crunchbase.com/organization/epsilon,5001-10000,Active,https://www.epsilon.com/us,,(800) 309-0505,,,,,,,,,"Advertising, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Sales and Marketing","Advertising, Digital Media, Email, Marketing, Mobile, Social Media",9,67,Computing; Calculating,Advertising; business,222425585,USD,222425585,,,"Irving, Texas, United States",$1B to $10B,1969-01-01,year,,http://www.linkedin.com/company/epsilon
Van Wijnen,https://www.crunchbase.com/organization/van-wijnen,1001-5000,Active,https://www.vanwijnen.nl/,,+31 35 548 2828,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Real Estate","Construction, Email, Real Estate",,,,,38038406,USD,38038406,,,"Baarn, Utrecht, The Netherlands",$1B to $10B,1907-01-01,year,,https://www.linkedin.com/company/van-wijnen/
Electrabel,https://www.crunchbase.com/organization/electrabel,10001+,Active,https://corporate.engie.be,,+32 78 35 33 33,,,,,,,,,"Energy, Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications, Natural Resources, Professional Services, Sustainability","Email, Energy, Environmental Consulting, Industrial, Natural Resources, Oil and Gas",0,2,,Advertising; business,,,,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$1B to $10B,1905-01-01,year,,https://www.linkedin.com/company/engie-belgium/
Beaulieu International Group,https://www.crunchbase.com/organization/beaulieu-international-group,1001-5000,Active,https://bintg.com/en,,32 56 62 59 00,,,,,,,,,"Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications, Other, Science and Engineering","Chemical, Email, Manufacturing, Service Industry",61,39,Building,Floor and wall coverings,,,,,,"Waregem, West-Vlaanderen, Belgium",$1B to $10B,1959-01-01,year,,https://www.linkedin.com/company/beaulieu-international-group/
Vertas Group,https://www.crunchbase.com/organization/vertas-group-limited,1001-5000,Active,https://www.vertas.co.uk/,mail@vertas.co.uk,01473263600,,,,,,,,,"Administrative Services, Information Technology, Internet Services, Messaging and Telecommunications","Email, Facilities Support Services",,,,,3649900,USD,3649900,,,"Ipswich, Suffolk, United Kingdom",$1B to $10B,2010-01-01,year,,https://www.linkedin.com/company/vertas-group-limited/
epost,https://www.crunchbase.com/organization/epost-1b4a,51-100,Active,https://www.epost.ch,support.epost@epost.ch,+41 848 333 888,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Communications Infrastructure, Email, Messaging, Software",,,,,125198,USD,125198,,,"Lucerne, Luzern, Switzerland",$1B to $10B,2020-10-01,month,,https://www.linkedin.com/company/epost-schweiz
Weber Hydraulik,https://www.crunchbase.com/organization/weber-hydraulik,1001-5000,Active,https://www.weber-hydraulik.com/,info@weber-hydraulik.com,+49 (0) 7135 71-0,,,,,,,,,"Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications","Email, Industrial Manufacturing, Machinery Manufacturing",12,8,Land Vehicles For Travelling Otherwise Than On Rails,Machines and machine tools,14203458,USD,14203458,,,"Güglingen, Baden-Wurttemberg, Germany",$1B to $10B,1939-01-01,year,,https://www.linkedin.com/company/weber-hydraulik-gmbh/?originalSubdomain=de
VF COMFORT,https://www.crunchbase.com/organization/vf-comfort,101-250,Active,https://www.vfconfort.fr,vfconfort@vfconfort.fr,03 81 61 68 68,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications","Email, Wholesale",,,,,317668,USD,317668,,,"Thise, Franche-Comte, France",$1B to $10B,1977-01-01,year,,https://www.linkedin.com/company/vf-confort/?originalSubdomain=il
Cap/Amazon,https://www.crunchbase.com/organization/cap-amazon,1-10,Active,https://www.cap-amazon.com,info@cap-amazon.com,(11) 4508-8465,,,,,,,,,"Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications","Email, Lifestyle",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$1B to $10B,2011-01-01,year,,https://www.linkedin.com/company/cap-amazon/?originalSubdomain=ca
PRO Negocios,https://www.crunchbase.com/organization/pró-negócios,11-50,Active,https://www.pronegocios.net.br,contato@redepro.net.br,(11) 2676-9191,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Professional Services, Sales and Marketing","Business Development, Email, Management Consulting, Marketing, Retail",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$1B to $10B,2010-01-01,year,,https://www.linkedin.com/company/pr%C3%B3-neg%C3%B3cios/about/
Mimecast,https://www.crunchbase.com/organization/mimecast,1001-5000,Active,http://www.mimecast.com,info@mimecast.com,44 20 7847 8700,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Professional Services, Software","Cyber Security, Email, Legal, SaaS, Security",33,45,Computing; Calculating,Scientific and technological services,57089383,USD,57089383,,,"London, England, United Kingdom",$500M to $1B,2003-01-01,year,"Dawn Capital, Insight Partners, Index Ventures, ATL Partners",http://www.linkedin.com/company/mimecast
Hunter,https://www.crunchbase.com/organization/email-hunter,1-10,Active,https://hunter.io,contact@hunter.io,+33176440373,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Email, Social Network, Web Browsers",,,,,,,,,,"Paris, Ile-de-France, France",$500M to $1B,2015-03-28,day,,https://www.linkedin.com/company/hunterio/
Stryten Energy,https://www.crunchbase.com/organization/stryten-manufacturing,1001-5000,Active,https://www.stryten.com,,1.678.566.9000,,,,,,,,,"Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications","Email, Manufacturing",15,109,Basic Electric Elements,Scientific and electric apparatus and instruments,21053975,USD,21053975,,,"Alpharetta, Georgia, United States",$500M to $1B,2020-01-01,year,,https://www.linkedin.com/company/stryten-energy/
Pronaca,https://www.crunchbase.com/organization/pronaca,5001-10000,Active,https://www.pronaca.com,,,,,,,,,,,"Food and Beverage, Information Technology, Internet Services, Messaging and Telecommunications","Email, Food and Beverage",0,6,,Meats and prepared or preserved foods; dairy products,,,,,,"Quito, Pichincha, Ecuador",$500M to $1B,1957-01-01,year,,https://www.linkedin.com/company/pronaca/
WesTrac,https://www.crunchbase.com/organization/westrac,1001-5000,Active,https://www.westrac.com.au/,themarketingteam@westrac.com.au,1300 881 064,,,,,,,,,"Financial Services, Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications, Sales and Marketing","Asset Management, Email, Machinery Manufacturing, Sales",,,,,,,,,,"South Perth, Western Australia, Australia",$500M to $1B,1990-01-01,year,,https://www.linkedin.com/company/westrac/
