Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
"HP Electronik , Herning",https://www.crunchbase.com/organization/hp-electronik-herning,1-10,Active,http://www.hpelec.dk,hp@hpelec.dk,45 96264333,,,,,,,,,"Consumer Electronics, Hardware, Software","Electronics, Embedded Software, Hardware, Software",,,,,,,,,,"Vejle, Syddanmark, Denmark",$10B+,1984-10-10,day,,https://www.linkedin.com/company/hp-electronik-a-s/about/
Green Hills Software,https://www.crunchbase.com/organization/green-hills-software,251-500,Active,http://www.ghs.com,,8059656343,,,,,,,,,Software,"Embedded Software, Software",30,28,Computing; Calculating,Scientific and electric apparatus and instruments,4514201,USD,4514201,,,"Santa Barbara, California, United States",$1B to $10B,1982-01-01,year,,https://www.linkedin.com/company/green-hills-software/
Virtual Employee,https://www.crunchbase.com/organization/virtualemployee-com,1001-5000,Active,https://www.virtualemployee.com,sales@virtualemployee.com,(877) 697-8006,,,,,,,,,"Administrative Services, Data and Analytics, Financial Services, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Software, Video","Accounting, Animation, Data Mining, Digital Marketing, Embedded Software, Legal, Outsourcing, Software, Staffing Agency, Web Development",,,,,,,,,,"Rockland, Maine, United States",$500M to $1B,2007-08-01,day,,https://www.linkedin.com/company/virtual-employee-pvt--ltd
Starkbits,https://www.crunchbase.com/organization/starkbits,11-50,Active,https://www.starkbits.com/,contact@starkbits.com,+1 (415) 854-4991,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Analytics, Artificial Intelligence (AI), Automotive, Computer Vision, Embedded Software, Machine Learning, Robotics, Software",,,,,404539,USD,404539,,,"San Francisco, California, United States",$500M to $1B,2014-01-01,year,,https://www.linkedin.com/company/starkbits/
Hancom,https://www.crunchbase.com/organization/hancom-inc,501-1000,Active,https://office.hancom.com,donSoutherton@bridgingculture.com,,4,4,1,,,,,,"Information Technology, Software","Embedded Software, Information Technology, Software",44,19,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Seongnam, Kyonggi-do, South Korea",$100M to $500M,1990-10-09,day,"Crescendo Equity Partners, Dattoz Partners, Lindeman Asia Investment",https://www.linkedin.com/company/hancom-corp.
Altium,https://www.crunchbase.com/organization/altium-limited,501-1000,Active,http://www.altium.com,sales.na@altium.com,1(800)488-0681,1,1,,,,,,,"Consumer Electronics, Hardware, Science and Engineering, Software","Electronic Design Automation (EDA), Electronics, Embedded Software, Software, Software Engineering",2,61,Computing; Calculating,Scientific and electric apparatus and instruments,2167683,USD,2167683,,,"La Jolla, California, United States",$100M to $500M,1985-01-01,year,Mission Ventures,https://www.linkedin.com/company/altium
Logicalis,https://www.crunchbase.com/organization/logicalis,1001-5000,Active,http://www.logicalis.com,info@logicalis.com,(753) 797-100,,,,,,,,,"Hardware, Information Technology, Internet Services, Mobile, Other, Privacy and Security, Software","Cloud Infrastructure, Collaboration, Data Center, Embedded Software, Information Technology, IT Infrastructure, Security, Telecommunications, Web Hosting, Wireless",0,11,,Advertising; business,193825785,USD,193825785,,,"Slough, Buckinghamshire, United Kingdom",$100M to $500M,1998-01-01,year,,http://www.linkedin.com/company/logicalis
intive,https://www.crunchbase.com/organization/intive-gmbh,1001-5000,Active,https://intive.com/,info@intive.com,+49 941 569 590 0,,,,,,,,,"Apps, Design, Information Technology, Internet Services, Mobile, Science and Engineering, Software","Embedded Software, Enterprise Software, Information Technology, Internet, Mobile Apps, Product Design, Software, Software Engineering",0,1,,Scientific and electric apparatus and instruments,6703015,USD,6703015,,,"Munich, Bayern, Germany",$100M to $500M,1999-01-01,year,,https://www.linkedin.com/company/intive/
Vincit,https://www.crunchbase.com/organization/vincit-oy,501-1000,Active,https://www.vincit.com/,info@vincit.com,+358 3 217 3762,,,,,,,,,"Apps, Design, Mobile, Science and Engineering, Software","Embedded Software, Mobile Apps, Software, Software Engineering, UX Design, Web Development",0,3,,Scientific and electric apparatus and instruments,14929884,USD,14929884,,,"Tampere, Western Finland, Finland",$100M to $500M,2007-01-01,year,,https://www.linkedin.com/company/vincit-plc/
Vates,https://www.crunchbase.com/organization/vates,501-1000,Active,http://www.vates.com,vatessa@vates.com,+543515709800,,,,,,,,,"Information Technology, Internet Services, Science and Engineering, Software","Embedded Software, Information Technology, Internet of Things, Software, Software Engineering",,,,,,,,,,"Córdoba, Cordoba, Argentina",$100M to $500M,1991-01-01,year,,https://www.linkedin.com/company/vates/
Pentalog,https://www.crunchbase.com/organization/pentalog,501-1000,Active,https://www.pentalog.com/,commercial@pentalog.com,+33 9 70 75 45 70,1,2,,,,,,,"Design, Information Technology, Internet Services, Professional Services, Software","Cloud Computing, Consulting, Embedded Software, Enterprise Software, Freelance, Information Technology, Product Design, Recruiting, Web Design, Web Development",,,,,40182333,USD,40182333,,,"New York, New York, United States",$100M to $500M,1993-01-01,year,Marlin Equity Partners,http://www.linkedin.com/company/pentalog
SoCtronics,https://www.crunchbase.com/organization/soctronics,501-1000,Active,https://soctronics.com/,usa_sales@soctronics.com,408 758 5636,,,,,,,,,"Hardware, Internet Services, Professional Services, Science and Engineering, Software","Embedded Software, Embedded Systems, Internet of Things, Outsourcing, Semiconductor, Software, Software Engineering",19,0,Computing; Calculating,,9548513,USD,9548513,,,"Santa Clara, California, United States",$100M to $500M,2003-01-01,year,,https://www.linkedin.com/company/soctronics/
Advans,https://www.crunchbase.com/organization/advans-287e,1001-5000,Active,https://www.advans-group.com,drh@advans-group.com,+33 1 41 87 67 00,1,1,,,,,,,"Consumer Electronics, Hardware, Information Technology, Professional Services, Software","Consulting, DevOps, Electronics, Embedded Software, Software",,,,,40182333,USD,40182333,,,"Cachan, Ile-de-France, France",$100M to $500M,2000-01-01,year,,https://www.linkedin.com/company/advans-group
Hepster,https://www.crunchbase.com/organization/hepster-moinsure-gmbh,101-250,Active,https://partner.hepster.com,christian@hepster.com,,,,,,,,,,"Financial Services, Hardware, Science and Engineering, Software","Embedded Software, Embedded Systems, Financial Services, Insurance, InsurTech",0,3,,Advertising; business,4923880,USD,4923880,,,"Rostock, Mecklenburg-Vorpommern, Germany",$50M to $100M,2016-05-18,day,"Seventure Partners, 13books Capital, Claret Capital Partners, Isomer Capital, IPGL",https://www.linkedin.com/company/hepster
Ingeliance,https://www.crunchbase.com/organization/ingeliance,501-1000,Active,http://www.ingeliance.com/,,,,,,,,,,,"Manufacturing, Science and Engineering, Software","Embedded Software, Industrial Automation, Mechanical Engineering",,,,,175906,USD,175906,,,"Angoulême, Poitou-Charentes, France",$50M to $100M,2005-01-01,year,"Activa Capital, Arkea Capital Investissement",https://www.linkedin.com/company/ingeliance/
Seavus,https://www.crunchbase.com/organization/seavus,501-1000,Active,http://www.seavus.com,info@seavus.com,(464) 030-0940,,,,,,,,,"Administrative Services, Other, Science and Engineering, Software","Consumer Software, Embedded Software, Enterprise Software, Project Management, Software, Software Engineering, Web Development",,,,,4381733,USD,4381733,,,"Malmö, Skane Lan, Sweden",$50M to $100M,1999-06-01,day,,https://www.linkedin.com/company/seavus/
