Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
SiMa.ai,https://www.crunchbase.com/organization/sima-ai,101-250,Active,https://sima.ai,mlsoc@sima.ai.,(408) 827-7462,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Embedded Systems, Machine Learning, Semiconductor, Software",,,,,1620779,USD,1620779,,,"San Jose, California, United States",$1M to $10M,2018-11-01,month,"Fidelity, Wing Venture Capital, Point72, Dell Technologies Capital, Adage Capital Management",https://www.linkedin.com/company/sima-ai
Hailo,https://www.crunchbase.com/organization/hailo-technologies,101-250,Active,https://hailo.ai,contact@hailo.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Embedded Systems, Machine Learning, Semiconductor",22,0,Computing; Calculating,,,,,,,"Tel Aviv, Tel Aviv, Israel",$10M to $50M,2017-02-02,day,"Alfred Akirov, DCLBA, NEC Corporation, OurCrowd, Shlomo Group",https://www.linkedin.com/company/hailo-technologies
Supermicro,https://www.crunchbase.com/organization/super-micro-computer,5001-10000,Active,http://www.supermicro.com,ir@supermicro.com,408-895-6568,,,,,,,,,"Hardware, Internet Services, Manufacturing, Science and Engineering, Software","Cloud Computing, Cloud Infrastructure, Embedded Systems, Manufacturing, Software",130,39,Electric Techniques Not Otherwise Provided For,Scientific and electric apparatus and instruments,,,,,,"San Jose, California, United States",$10B+,1993-01-01,year,Pioneer Holding Group,http://www.linkedin.com/company/supermicro
Blackberry,https://www.crunchbase.com/organization/blackberry,10001+,Active,https://www.blackberry.com,help@rim.com,15198887465,36,37,23,,,,,,"Hardware, Mobile, Science and Engineering, Software","Embedded Systems, Hardware, Mobile, Telecommunications","7,879",179,Electric Communication Technique,Scientific and electric apparatus and instruments,5061559,USD,5061559,,,"Waterloo, Ontario, Canada",$500M to $1B,1984-01-01,day,Fairfax Financial Holdings,http://www.linkedin.com/company/blackberry
Ilink Digital,https://www.crunchbase.com/organization/ilink-systems,501-1000,Active,https://www.ilink-digital.com,info@ilink-systems.com,(425) 869-8104,,,,,,,,,"Hardware, Information Technology, Science and Engineering, Software","Embedded Systems, Information Technology, Software",,,,,2586179,USD,2586179,,,"Bothell, Washington, United States",$1M to $10M,2002-01-01,year,True North Managers LLP,http://www.linkedin.com/company/ilink-systems
Quali,https://www.crunchbase.com/organization/qualisystems,101-250,Active,http://www.quali.com,info@quali.com,1(408)858-8177,,,,,,,,,"Hardware, Information Technology, Internet Services, Science and Engineering, Software","Cloud Management, Data Center Automation, Embedded Systems, Enterprise Software, Software, Telecommunications",,,,,1719927,USD,1719927,,,"Santa Clara, California, United States",$10M to $50M,2004-01-01,year,"Hamilton Lane, Dell Technologies Capital, Jerusalem Venture Partners (JVP), Kreos Capital, Greenfield Partners",http://www.linkedin.com/company/qualisystems
Codasip,https://www.crunchbase.com/organization/codasip,101-250,Active,http://codasip.com,contact@codasip.com,+49-89-21544270,,,,,,,,,"Hardware, Internet Services, Science and Engineering, Software","Embedded Systems, Hardware, Internet of Things, RISC, Semiconductor",,,,,406962,USD,406962,,,"Munich, Bayern, Germany",$1M to $10M,2014-01-01,year,"European Innovation Council, Ventech, SquareOne Venture Capital, Shenzhen Capital Group, RSJ Investments SICAV a.s.",https://www.linkedin.com/company/codasip/
Hepster,https://www.crunchbase.com/organization/hepster-moinsure-gmbh,101-250,Active,https://partner.hepster.com,christian@hepster.com,,,,,,,,,,"Financial Services, Hardware, Science and Engineering, Software","Embedded Software, Embedded Systems, Financial Services, Insurance, InsurTech",0,3,,Advertising; business,4923880,USD,4923880,,,"Rostock, Mecklenburg-Vorpommern, Germany",$50M to $100M,2016-05-18,day,"Seventure Partners, 13books Capital, Claret Capital Partners, Isomer Capital, IPGL",https://www.linkedin.com/company/hepster
XMOS,https://www.crunchbase.com/organization/xmos,51-100,Active,https://www.xmos.com,,+44 117 927 6004,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Embedded Software, Embedded Systems, Internet of Things, Semiconductor",,,,,520490,USD,520490,,,"Bristol, Bristol, City of, United Kingdom",$10M to $50M,2005-01-01,year,"Infineon Technologies, Molten Ventures, Amadeus Capital Partners, Huawei Technologies, Bosch Ventures",https://www.linkedin.com/company/xmos
Uniken,https://www.crunchbase.com/organization/uniken,101-250,Active,http://uniken.com/,sales@uniken.com,(212)520-2557,,,,,,,,,"Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Cyber Security, Embedded Systems, Security, Software",8,3,Electric Communication Technique,Scientific and technological services,2176239,USD,2176239,,,"Chatham, New Jersey, United States",$10M to $50M,2013-08-01,month,"Nexus Venture Partners, Exfinity Venture Partners, Startup Equity Partners",https://www.linkedin.com/company/uniken-inc/
Synapticon,https://www.crunchbase.com/organization/synapticon,51-100,Active,http://www.synapticon.com,info@synapticon.com,+49 7031 30 478 0,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","Embedded Systems, Hardware, Industrial Automation, Machinery Manufacturing, Robotics, Software",8,14,Generation; Conversion Or Distribution Of Electric Power,Machines and machine tools,,,,,,"Schönaich, Baden-Wurttemberg, Germany",$10M to $50M,2012-01-01,year,"VentureOut, SE Ventures, HTGF | High-Tech Gruenderfonds, MBG Baden Wuerttemberg, Stabilus GmbH",https://www.linkedin.com/company/synapticon-gmbh
Tangram Flex,https://www.crunchbase.com/organization/tangram-flex,51-100,Active,https://www.tangramflex.com/,hello@tangramflex.com,937-985-3199,,,,,,,,,"Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Cyber Security, Embedded Systems, Information Technology, SaaS",0,6,,Scientific and electric apparatus and instruments,444584,USD,444584,,,"Dayton, Ohio, United States",$1M to $10M,2018-01-01,month,Hale Capital,https://www.linkedin.com/company/tangram-flex/
Abaco Systems,https://www.crunchbase.com/organization/abaco-systems,251-500,Active,http://www.abaco.com,,(866)652-2226,,,,,,,,,"Consumer Electronics, Hardware, Real Estate, Science and Engineering, Software","Aerospace, Architecture, Electronics, Embedded Systems",,,,,24556600,USD,24556600,,,"Huntsville, Alabama, United States",$500M to $1B,2015-12-07,day,,https://www.linkedin.com/company/abaco-systems-embedded-solutions
Logic PD,https://www.crunchbase.com/organization/logic-pd,101-250,Closed,http://logicpd.com,solutions@logicpd.com,+1 952 941 8071,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering, Software","Electronics, Embedded Systems, Industrial Engineering, Manufacturing, Product Design",4,26,Electric Communication Technique,Scientific and electric apparatus and instruments,4702698,USD,4702698,,,"Eden Prairie, Minnesota, United States",$10M to $50M,1960-01-01,year,MB Business Capital,https://www.linkedin.com/company/logic-pd
GainSpan,https://www.crunchbase.com/organization/gainspan,51-100,Active,http://www.gainspan.com,Info@GainSpan.com,408-627-6500,,,,,,,,,"Energy, Hardware, Information Technology, Internet Services, Manufacturing, Science and Engineering, Software","Battery, Embedded Systems, Information Technology, Internet of Things, Manufacturing, Semiconductor, Software, Telecommunications",52,1,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"San Jose, California, United States",$10M to $50M,2006-09-01,day,"Trinity Capital, Sigma Partners, Intel Capital, In-Q-Tel, Zebra Ventures",https://www.linkedin.com/company/gainspan
