Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Miro,https://www.crunchbase.com/organization/mirohq,1001-5000,Active,https://miro.com,,,,,,,,,,,"Apps, Design, Other, Software","B2B, Enterprise Applications, Enterprise Software, Product Management, UX Design",,,,,29172867,USD,29172867,,,"San Francisco, California, United States",$100M to $500M,2011-06-01,day,"TCV, ICONIQ Growth, Dragoneer Investment Group, Bradley Horowitz, Accel",https://www.linkedin.com/company/mirohq
Mural,https://www.crunchbase.com/organization/mural-ly,501-1000,Active,https://www.mural.co,support@mural.co,415-687-2501,,,,,,,,,"Apps, Design, Other, Software","B2B, Collaboration, Enterprise Applications, Enterprise Software, Product Design, Product Management, Software, UX Design",,,,,,,,,,"San Francisco, California, United States",$1M to $10M,2011-01-01,year,"500 Global, Gradient Ventures, Radian Capital, WiL (World Innovation Lab), NXTP Ventures",https://www.linkedin.com/company/mural.co
Tulip Interfaces,https://www.crunchbase.com/organization/tulip-interfaces,251-500,Active,https://tulip.co,hello@tulip.co,,,,,,,,,,"Apps, Data and Analytics, Manufacturing, Software","Analytics, Enterprise Applications, Manufacturing, Productivity Tools, Software",5,6,Computing; Calculating,Scientific and technological services,2106951,USD,2106951,,,"Somerville, Massachusetts, United States",$1M to $10M,2014-01-01,year,"Vertex Ventures, MIT Media Lab, The E14 Fund, New Enterprise Associates, Time Ventures",https://www.linkedin.com/company/tulip-interfaces
Guru,https://www.crunchbase.com/organization/guru-technologies,251-500,Active,http://www.getguru.com,,,,,,,,,,,"Administrative Services, Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, IT Infrastructure, Knowledge Management, Natural Language Processing, SaaS, Search Engine, Semantic Search",,,,,5135123,USD,5135123,,,"Philadelphia, Pennsylvania, United States",$1M to $10M,2013-01-01,year,"Thrive Capital, Emergence, MSD Capital, Accel, Slack Fund",https://www.linkedin.com/company/getguru
Whatfix,https://www.crunchbase.com/organization/whatfix-2,501-1000,Active,https://whatfix.com,info@whatfix.com,+1 800 459 7098,,,,,,,,,"Apps, Education, Financial Services, Information Technology, Software","Enterprise Applications, Information Technology, InsurTech, Training",,,,,18866100,USD,18866100,,,"San Jose, California, United States",$50M to $100M,2014-06-15,day,"Block, Inc., Eight Roads Ventures, F-Prime Capital, Dragoneer Investment Group, Cisco Investments",https://www.linkedin.com/company/whatfix
Globality,https://www.crunchbase.com/organization/globality-inc,101-250,Active,http://www.globality.com/,careers@globality.com,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Applications, SaaS, Sales Enablement",1,9,Computing; Calculating,Advertising; business,10000500,USD,10000500,,,"Palo Alto, California, United States",$1M to $10M,2015-01-01,year,"Scott Belsky, Raine Ventures, SanDisk, SoftBank Vision Fund, David Rosenblatt",https://www.linkedin.com/company/globality-inc-
Expensify,https://www.crunchbase.com/organization/expensify-com,101-250,Active,https://we.are.expensify.com,concierge@expensify.com,,,,,,,,,,"Apps, Financial Services, Professional Services, Software","Accounting, Enterprise Applications, Enterprise Software, Financial Services, FinTech",24,37,Computing; Calculating,Scientific and electric apparatus and instruments,23022750,USD,23022750,,,"San Francisco, California, United States",$10M to $50M,2008-05-01,day,"CIBC, Barracuda Networks, PJC, Delta-v Capital, Travis Kalanick",http://www.linkedin.com/company/expensify
Appfire Technologies,https://www.crunchbase.com/organization/appfire,501-1000,Active,https://www.appfire.com/,Sales@Appfire.com,+1 781-444-5700,,,,,,,,,"Apps, Information Technology, Software","Enterprise Applications, Enterprise Software, Information Technology, Software",0,10,,Scientific and technological services,7715791,USD,7715791,,,"Burlington, Massachusetts, United States",$100M to $500M,2005-01-01,year,"TA Associates, Silversmith Capital Partners",https://www.linkedin.com/company/appfire/
Cobalt,https://www.crunchbase.com/organization/cobalt-io,251-500,Active,https://www.cobalt.io,hello@cobalt.io,,,,,,,,,,"Apps, Information Technology, Privacy and Security, Software","Cloud Security, Enterprise Applications, Penetration Testing, SaaS, Security",0,1,,Education; entertainment,6657767,USD,6657767,,,"Boston, Massachusetts, United States",$10M to $50M,2013-07-01,month,"Boost VC, Alchemist Accelerator, Scott Belsky, Tim Draper, Highland Europe",https://www.linkedin.com/company/cobalt_io
Bionic,https://www.crunchbase.com/organization/bionic-9498,101-250,Active,https://bionic.ai,info@bionic.ai,415-794-0180,,,,,,,,,"Apps, Information Technology, Internet Services, Software","Cloud Management, Enterprise Applications, Information Technology",,,,,1620779,USD,1620779,,,"Palo Alto, California, United States",$10M to $50M,2019-01-01,year,"Cyberstarts, Insight Partners, Battery Ventures, Michael Fey, Ariel Maislos",https://www.linkedin.com/company/bionicai
Esper,https://www.crunchbase.com/organization/esper-9f13,101-250,Active,https://www.esper.io,andi@esper.io,,,,,,,,,,"Apps, Data and Analytics, Information Technology, Privacy and Security, Software","Application Performance Management, Developer Platform, DevOps, Enterprise Applications, Security",,,,,1837593,USD,1837593,,,"Bellevue, Washington, United States",$1M to $10M,2017-01-01,year,"Madrona, Haystack, Scale Venture Partners, Root Ventures, Ubiquity Ventures",https://www.linkedin.com/company/esperdev
