Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Mosaic,https://www.crunchbase.com/organization/mosaic-app,11-50,Active,https://www.mosaicapp.com,founders@mosaicapp.com,(212) 597-9333,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Collaboration, Enterprise Resource Planning (ERP), Enterprise Software, Machine Learning, Project Management, Software",2,0,Computing; Calculating,,25748,USD,25748,,,"New York, New York, United States",$10B+,2020-01-01,day,"Ocean Azul Partners, (ERA) Entrepreneurs Roundtable Accelerator, Las Olas Venture Capital, Tensility Venture Partners, ff Venture Capital",https://www.linkedin.com/company/mosaicnyc/
AssoSoftware,https://www.crunchbase.com/organization/assosoftware,10001+,Active,https://www.assosoftware.it,info@assosoftware.it,+39 02 4699957,,,,,,,,,"Information Technology, Software","Enterprise Resource Planning (ERP), Information Technology, Software",,,,,,,,,,"Milan, Lombardia, Italy",$10B+,1994-01-01,year,,https://www.linkedin.com/company/assosoftware
Workday Adaptive Planning,https://www.crunchbase.com/organization/adaptive-insights,251-500,Active,https://www.adaptiveinsights.com,media@adaptiveinsights.com,+1 650 528 7500,,,,,,,,,"Data and Analytics, Design, Financial Services, Information Technology, Internet Services, Other, Software","Business Intelligence, Cloud Computing, Data Visualization, Enterprise, Enterprise Resource Planning (ERP), Enterprise Software, Finance, SaaS, Software",414,56,Computing; Calculating,Scientific and technological services,,,,,,"Pleasanton, California, United States",$1B to $10B,2003-01-01,year,"JMI Equity, Founders Circle Capital, Information Venture Partners, Bessemer Venture Partners, Norwest Venture Partners",http://www.linkedin.com/company/29762
Katana,https://www.crunchbase.com/organization/katana-mrp,101-250,Active,https://www.katanamrp.com,support@katanamrp.com,,,,,,,,,,"Manufacturing, Software","Enterprise Resource Planning (ERP), Manufacturing, Software",0,3,,Scientific and technological services,,,,,,"Tallinn, Harjumaa, Estonia",$1B to $10B,2017-05-15,day,"Startup Wise Guys, Lightrock, 42CAP, Atomico, Northzone",https://www.linkedin.com/company/katanamrp
Visma,https://www.crunchbase.com/organization/visma,10001+,Active,http://www.visma.com,visma@visma.no,+46101411200,2,3,2,,,,,,"Administrative Services, Consumer Electronics, Financial Services, Hardware, Information Technology, Other, Professional Services, Sales and Marketing, Software","Accounting, Computer, CRM, Enterprise Resource Planning (ERP), Human Resources, Information Technology, Professional Services, Software",0,18,,Scientific and technological services,37939200,USD,37939200,,,"Oslo, Oslo, Norway",$1B to $10B,1996-02-09,day,"Warburg Pincus, Hg, Cinven, Canada Pension Plan Investment Board, Intermediate Capital Group",http://www.linkedin.com/company/visma
Konica Minolta Business Solutions U.S.A.,https://www.crunchbase.com/organization/konica-minolta-business-solutions-u-s-a,5001-10000,Active,http://kmbs.konicaminolta.us,marketing@se.konicaminolta.us,+1 201 825 4000,,,,,,,,,"Apps, Content and Publishing, Data and Analytics, Information Technology, Internet Services, Manufacturing, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Business Intelligence, Cloud Data Services, Document Management, Enterprise Resource Planning (ERP), Information Technology, Manufacturing, Mobile Apps, Printing, Unified Communications, Web Development",52,24,Computing; Calculating,Scientific and technological services,222687616,USD,222687616,,,"Ramsey, New Jersey, United States",$1B to $10B,1873-01-01,year,,https://www.linkedin.com/company/konica-minolta-business-solutions-u-s-a--inc-/
Primus Global Services,https://www.crunchbase.com/organization/primus-global-services,1001-5000,Active,https://primusglobal.com/,info@primusglobal.com,1-972-753-6500,,,,,,,,,"Apps, Professional Services, Software","Apps, Consulting, Enterprise Resource Planning (ERP)",,,,,113063888,USD,113063888,,,"Irving, Texas, United States",$1B to $10B,2002-01-01,year,,https://www.linkedin.com/company/primus-global-services/
Dsflow,https://www.crunchbase.com/organization/dsflow,11-50,Active,https://www.dsflow.io,hello@dsflow.io,+ 1 415 912 0595,,,,,,,,,"Energy, Software","Energy Management, Enterprise Resource Planning (ERP), Enterprise Software, SaaS, Software",0,0,,Scientific and electric apparatus and instruments,796207,USD,796207,,,"Paris, Ile-de-France, France",$1B to $10B,2020-12-01,day,,https://www.linkedin.com/company/dsflow/
Master System (OMS),https://www.crunchbase.com/organization/office-master-system,11-50,Active,https://www.mastersystem.com/,service@mastersystem.com,626-821-0882,,,,,,,,,"Commerce and Shopping, Information Technology, Other, Sales and Marketing, Software","B2B, CRM, E-Commerce, Enterprise Resource Planning (ERP), Software, Wholesale",0,3,,Scientific and electric apparatus and instruments,357835,USD,357835,,,"Arcadia, California, United States",$1B to $10B,1987-01-01,day,,https://www.linkedin.com/company/master-system-inc/
CrescentOne,https://www.crunchbase.com/organization/crescentone,51-100,Active,https://www.crescentone.com,marketing@glovia.com,+1 800 223 3799,,,,,,,,,"Administrative Services, Other, Software","Enterprise Resource Planning (ERP), Enterprise Software, Project Management, Software",6,2,Computing; Calculating,Scientific and electric apparatus and instruments,270679,USD,270679,,,"El Segundo, California, United States",$1B to $10B,1970-01-01,year,,http://www.linkedin.com/company/3063519
Mayer Group,https://www.crunchbase.com/organization/mayer-group-erp-consultants,1-10,Active,http://mayererp.com,info@mayererp.com,610.828.0200,,,,,,,,,"Information Technology, Media and Entertainment, Professional Services, Software","Advice, Consulting, Enterprise Resource Planning (ERP), Information Technology, Software",,,,,263340,USD,263340,,,"Conshohocken, Pennsylvania, United States",$1B to $10B,1994-01-01,year,,https://www.linkedin.com/company/the-mayer-group/
