Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
GOWIN Semiconductor,https://www.crunchbase.com/organization/gowin-semiconductor,101-250,Active,http://www.gowinsemi.com/,info@gowinsemi.com,408-588-4007,,,,,,,,,"Hardware, Science and Engineering","Field-Programmable Gate Array (FPGA), Semiconductor",29,15,,Scientific and electric apparatus and instruments,1024275,USD,1024275,,,"Guangzhou, Guangdong, China",,2013-01-01,year,"Guangzhou Bay Area Semiconductor Industry Group, Shanghai Semiconductor Equipment and Material Fund, Guangdong Macao Semiconductor Industry Investment",https://www.linkedin.com/company/gowin-semiconductor-corp/
Bluespec,https://www.crunchbase.com/organization/bluespec,101-250,Active,http://www.bluespec.com,sales@bluespec.com,7816841199,,,,,,,,,"Consumer Electronics, Hardware, Software","Electronic Design Automation (EDA), Electronics, Field-Programmable Gate Array (FPGA), Hardware",,,,,2756913,USD,2756913,,,"Framingham, Massachusetts, United States",Less than $1M,2003-01-01,year,"North Bridge Venture Partners & Growth Equity, Atlas Venture",http://www.linkedin.com/company/bluespec-inc
Silexica,https://www.crunchbase.com/organization/silexica,51-100,Closed,http://www.silexica.com,,,,,,,,,,,"Hardware, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Developer Tools, Embedded Software, Embedded Systems, Enterprise Software, Field-Programmable Gate Array (FPGA), Software",0,3,,Scientific and electric apparatus and instruments,1390206,USD,1390206,,,"Cologne, Nordrhein-Westfalen, Germany",$10M to $50M,2014-08-20,day,"SquareOne Venture Capital, Merus Capital, TechVision Fund, EQT Ventures, EASME - EU Executive Agency for SMEs",https://www.linkedin.com/company/silexica/
Rapid Silicon,https://www.crunchbase.com/organization/rapid-silicon,101-250,Active,https://rapidsilicon.com,diana@rapidsilicon.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Electronic Design Automation (EDA), Field-Programmable Gate Array (FPGA), Hardware, Industrial, Open Source, Semiconductor",0,0,,Scientific and electric apparatus and instruments,565104,USD,565104,,,"Los Gatos, California, United States",$1M to $10M,2021-01-01,month,"Chengwei Capital, Cambium Capital Partners",https://www.linkedin.com/company/rapidsilicon/
Achronix Semiconductor,https://www.crunchbase.com/organization/achronix-semiconductor,101-250,Active,http://www.achronix.com,info@achronix.com,(408) 889-4100,,,,,,,,,"Hardware, Information Technology, Manufacturing, Other, Science and Engineering, Software","3D Technology, Developer APIs, Developer Tools, Field-Programmable Gate Array (FPGA), Hardware, Manufacturing, Semiconductor, Software, Technical Support",76,10,Computing; Calculating,Scientific and electric apparatus and instruments,2348895,USD,2348895,,,"Santa Clara, California, United States",$100M to $500M,2004-01-01,year,"Battery Ventures, New Science Ventures, Easton Capital, Larkspur Capital Corporation, Entrepia Ventures",https://www.linkedin.com/company/achronix-semiconductor
Xilinx,https://www.crunchbase.com/organization/xilinx,1001-5000,Closed,http://www.xilinx.com,publicrelations@xilinx.com,+1 408-559-7778,30,35,9,,,,,,"Hardware, Mobile, Science and Engineering, Software","Electronic Design Automation (EDA), Field-Programmable Gate Array (FPGA), Hardware, Semiconductor, Software, Wireless","3,908",78,Computing; Calculating,Scientific and electric apparatus and instruments,237828709,USD,237828709,,,"San Jose, California, United States",$500M to $1B,1984-01-01,year,"Kleiner Perkins, Matrix",http://www.linkedin.com/company/xilinx
IMC Trading,https://www.crunchbase.com/organization/imc-financial-markets,1001-5000,Active,http://www.imc.com,imcinvestments@imc.com,+31 (20) 798 8400,2,2,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Hardware, Lending and Investments, Other, Payments, Software","Cryptocurrency, Field-Programmable Gate Array (FPGA), Financial Services, FinTech, Service Industry, Trading Platform",,,,,22839943,USD,22839943,,,"Amsterdam, Noord-Holland, The Netherlands",$100M to $500M,1989-01-01,year,,https://www.linkedin.com/company/200030/
Lattice Semiconductor,https://www.crunchbase.com/organization/lattice-semiconductor,501-1000,Active,http://www.latticesemi.com,sales@latticesemi.com,(503) 268 8000,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Field-Programmable Gate Array (FPGA), Semiconductor",776,65,Electric Communication Technique,Scientific and electric apparatus and instruments,1698032,USD,1698032,,,"Hillsboro, Oregon, United States",$500M to $1B,1983-01-01,year,Tsinghua Holdings,https://www.linkedin.com/company/lattice-semiconductor/
Napatech,https://www.crunchbase.com/organization/napatech,51-100,Active,http://www.napatech.com,info@napatech.com,888.318.8288,,,,,,,,,"Hardware, Information Technology, Internet Services, Mobile, Privacy and Security, Software","Cloud Computing, Cloud Data Services, Cyber Security, Field-Programmable Gate Array (FPGA), Information Technology, Internet of Things, Mobile, Network Hardware, Network Security",,,,,2143829,USD,2143829,,,"Los Altos, California, United States",$10M to $50M,2003-01-01,year,"Ferd, Northzone, DTU Innovation",https://www.linkedin.com/company/napatech/
Logic Fruit Technologies,https://www.crunchbase.com/organization/logic-fruit-technologies,251-500,Active,https://www.logic-fruit.com/,info@logic-fruit.com,91 1244117090,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software","Field-Programmable Gate Array (FPGA), Manufacturing, Semiconductor, Software",,,,,1511175,USD,1511175,,,"Gurgaon, Haryana, India",$10M to $50M,2009-01-01,year,,https://www.linkedin.com/company/logicfruit
