Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Filefly,https://www.crunchbase.com/organization/filefly,1-10,Active,,contact@catchfilefly.com,,,,,,,,,,"Data and Analytics, Platforms, Software","Application Performance Management, Facebook, File Sharing",,,,,,,,,,,$10B+,2011-04-23,day,,
Dropbox,https://www.crunchbase.com/organization/dropbox,1001-5000,Active,https://www.dropbox.com,,+18552376726,3,3,1,,,,,,"Hardware, Information Technology, Internet Services, Other, Software","Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting","1,195",34,Computing; Calculating,Scientific and technological services,179384432,USD,179384432,,,"San Francisco, California, United States",$1B to $10B,2007-06-01,day,"Bank of America, JP Morgan Chase, Innovation Department, Macquarie Group, RBC Capital",https://www.linkedin.com/company/dropbox
Box,https://www.crunchbase.com/organization/box,1001-5000,Active,http://www.box.com,sales@box.com,1(877) 729-4269,1,1,,,,,,,"Hardware, Internet Services, Software","Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",251,100,Computing; Calculating,Scientific and technological services,148631100,USD,148631100,,,"Redwood City, California, United States",$500M to $1B,2005-01-01,year,"Telefonica, Telstra, TPG, Emergence, Social Capital",https://www.linkedin.com/company/box
At-Scene,https://www.crunchbase.com/organization/at-scene-fbb1,1-10,Active,https://www.at-scene.com,support@at-scene.com,,,,,,,,,,"Apps, Internet Services, Mobile, Software","File Sharing, Internet, Mobile Apps",,,,,315056,USD,315056,,,"Minneapolis, Minnesota, United States",$500M to $1B,2011-01-01,year,,
Vimeo,https://www.crunchbase.com/organization/vimeo,1001-5000,Active,https://vimeo.com,help@vimeo.com,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software, Video","File Sharing, Software, Video, Video Streaming",2,0,Electric Communication Technique,,654188,USD,654188,,,"New York, New York, United States",$100M to $500M,2004-01-01,year,"Thrive Capital, T. Rowe Price, Oberndorf Enterprises, GIC",https://www.linkedin.com/company/167813
Egnyte,https://www.crunchbase.com/organization/egnyte,1001-5000,Active,https://www.egnyte.com,media@egnyte.com,1-877-734-6983,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Other, Software","Collaboration, Computer, Data Governance, Enterprise Software, File Sharing",18,6,,Scientific and electric apparatus and instruments,21505500,USD,21505500,,,"Mountain View, California, United States",$100M to $500M,2007-01-01,year,"Seagate Technology, Lumen Technologies, Polaris Partners, Floodgate, Google Ventures",https://www.linkedin.com/company/egnyte
Bynder,https://www.crunchbase.com/organization/bynder,501-1000,Active,https://www.bynder.com,info@bynder.com,+31208203740,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Asset Management, Brand Marketing, Digital Marketing, Document Management, File Sharing, Marketing Automation, SaaS",0,6,,Scientific and technological services,11341641,USD,11341641,,,"Amsterdam, Noord-Holland, The Netherlands",$100M to $500M,2013-01-01,month,"Insight Partners, CNBB Venture Partners",https://linkedin.com/company/bynder
Intralinks,https://www.crunchbase.com/organization/intralinks,501-1000,Active,http://www.intralinks.com,,212-543-7700,1,2,,,,,,,"Health Care, Other, Software","Clinical Trials, Collaboration, File Sharing",39,51,Computing; Calculating,Scientific and technological services,63015450,USD,63015450,,,"New York, New York, United States",$100M to $500M,1996-01-01,year,"TowerBrook Capital Partners, Chase, Pamlico Capital, Rho Ventures, Emigrant Capital",http://www.linkedin.com/company/intralinks
Liquid,https://www.crunchbase.com/organization/liquid-4,1-10,Active,https://getliquid.io/,,,,,,,,,,,"Mobile, Software","File Sharing, Mobile, Software",,,,,156216,USD,156216,,,"Cincinnati, Ohio, United States",$100M to $500M,2013-01-01,year,UpTech Accelerator,https://www.linkedin.com/company/liquid-innovation
Ipswitch File Transfer(Now Progress),https://www.crunchbase.com/organization/ipswitch-file-transfer-now-progress,1001-5000,Active,https://ipswitchft.com,,+1 781-676-5700,,,,,,,,,"Information Technology, Other, Professional Services, Software","Business Development, File Sharing, Infrastructure, IT Infrastructure, IT Management, Software",,,,,,,,,,"Burlington, Massachusetts, United States",$100M to $500M,1991-01-01,year,,https://www.linkedin.com/showcase/progress-moveit/
