Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Box,https://www.crunchbase.com/organization/box,1001-5000,Active,http://www.box.com,sales@box.com,1(877) 729-4269,1,1,,,,,,,"Hardware, Internet Services, Software","Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",251,100,Computing; Calculating,Scientific and technological services,148631100,USD,148631100,,,"Redwood City, California, United States",$500M to $1B,2005-01-01,year,"Telefonica, Telstra, TPG, Emergence, Social Capital",https://www.linkedin.com/company/box
ScaleFlux,https://www.crunchbase.com/organization/scaleflux,251-500,Active,http://scaleflux.com/,info@scaleflux.com,,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Analytics, Computer, Data Storage, Flash Storage, Hardware, Internet, Semiconductor",20,1,Computing; Calculating,Scientific and electric apparatus and instruments,2015908,USD,2015908,,,"Milpitas, California, United States",$1M to $10M,2014-01-01,year,"KIOXIA, Micron Technology, MediaTek, Shunwei Capital, Xilinx",https://www.linkedin.com/company/scaleflux/
Seagate Technology,https://www.crunchbase.com/organization/seagate,10001+,Active,http://www.seagate.com,info@scientificdigitalimaging.com,(800) 732-4283,14,17,3,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Manufacturing, Software","Cloud Storage, Consumer Electronics, Data Storage, Flash Storage, Hardware, Information Services, Manufacturing, Software","4,081",69,Information Storage,Scientific and electric apparatus and instruments,799487345,USD,799487345,,,"Cupertino, California, United States",$1B to $10B,1979-01-01,year,ValueAct Capital,https://www.linkedin.com/company/seagate-technology
Datto,https://www.crunchbase.com/organization/datto,501-1000,Active,http://datto.com/,info@datto.com,877-455-6015,,,,,,,,1,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Flash Storage, Information Technology, SaaS, Software",10,0,Computing; Calculating,,28650508,USD,28650508,,,"Norwalk, Connecticut, United States",$100M to $500M,2007-01-01,year,"TCV, General Catalyst",https://www.linkedin.com/company/datto-inc-
CNEX Labs,https://www.crunchbase.com/organization/cnex-labs,101-250,Active,https://www.cnexlabs.com,info@cnexlabs.com,+1.408.217.6136,,,,,,,,,"Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Application Specific Integrated Circuit (ASIC), Big Data, Cloud Infrastructure, Data Storage, Flash Storage, Semiconductor, Software",6,0,Computing; Calculating,,5889126,USD,5889126,,,"San Jose, California, United States",$1M to $10M,2013-01-01,year,"Alumni Ventures, Sierra Ventures, Celesta Capital, Castor Ventures, M12 - Microsoft's Venture Fund",https://www.linkedin.com/company/cnex-labs/
Avalanche Technology,https://www.crunchbase.com/organization/avalanche-technology,51-100,Active,http://www.avalanche-technology.com/,info@Avalanche-Technology.com,15104380143,,,,,,,,,"Consumer Electronics, Hardware, Information Technology","Computer, Flash Storage, Information Technology",293,4,Information Storage,Scientific and electric apparatus and instruments,1669244,USD,1669244,,,"Fremont, California, United States",$10M to $50M,2006-01-01,year,"Horizon Technology Finance, Rogers Communications, Sequoia Capital, Qualcomm Ventures, Thomvest Ventures",https://www.linkedin.com/company/avalanche-technology-inc-/
SmartX,https://www.crunchbase.com/organization/smartx,251-500,Active,http://www.smartx.com/,info@smartx.com,,,,,,,,,,"Hardware, Information Technology, Internet Services, Other, Software","Cloud Infrastructure, Data Storage, Enterprise Software, Flash Storage, Infrastructure, Software, Virtualization",,,,,520524,USD,520524,,,"Beijing, Beijing, China",$1M to $10M,2013-07-11,day,"Samsung Ventures, Gaorong Capital, Matrix Partners China, Lenovo Capital and Incubator Group (LCIG), Hua Capital",https://www.linkedin.com/company/smartx/
Racktop Systems,https://www.crunchbase.com/organization/racktop-systems,51-100,Active,http://www.racktopsystems.com,media@racktopsystems.com,(888) 472-2586,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Data Services, Cloud Security, Cloud Storage, Compliance, Cyber Security, Data Storage, Flash Storage, Security, Software",1,0,Computing; Calculating,Scientific and electric apparatus and instruments,923812,USD,923812,,,"Fulton, Maryland, United States",$10M to $50M,2010-01-01,year,"Blu Venture Investors, Grotech Ventures, Razor's Edge Ventures, Gula Tech Adventures, Maryland Venture Fund",https://www.linkedin.com/company/racktop-systems
Nyriad,https://www.crunchbase.com/organization/nyriad,51-100,Active,https://nyriad.io,info@nyriad.io,,,,,,,,,,"Consumer Electronics, Hardware, Software","Computer, Data Storage, Flash Storage, Software",,,,,972498,USD,972498,,,"Austin, Texas, United States",$1M to $10M,2014-01-01,year,"DCVC, East Ventures, Icehouse Ventures, Prelude Ventures, Enterprise Angels",https://www.linkedin.com/company/nyriad/
Tegile Systems,https://www.crunchbase.com/organization/tegile-systems,251-500,Closed,https://tintri.com,sales@tegile.com,(855) 583-4453,,,,,,,,,"Hardware, Information Technology, Software","Data Storage, Flash Storage, Hardware, Virtualization",0,1,,Scientific and electric apparatus and instruments,4570912,USD,4570912,,,"Newark, California, United States",$10M to $50M,2010-01-01,year,"Western Digital, Capricorn Investment Group, Meritech Capital Partners, August Capital, Moment Ventures",http://www.linkedin.com/company/tegile-systems
