Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
onxMaps,https://www.crunchbase.com/organization/onxmaps,251-500,Active,https://www.onxmaps.com/,help@onxmaps.com,,,,,,,,,,"Apps, Hardware, Information Technology, Mobile, Navigation and Mapping, Software","GPS, Information Services, Information Technology, Mobile Apps",2,14,Computing; Calculating,Scientific and electric apparatus and instruments,1539455,USD,1539455,,,"Missoula, Montana, United States",$1M to $10M,2009-01-01,year,"Summit Partners, Millennium Technology Value Partners, Bessemer Venture Partners, NEXT Frontier Capital, Madison Valley Partners",https://www.linkedin.com/company/2736516/
Tractive,https://www.crunchbase.com/organization/tractive,101-250,Active,http://www.tractive.com,,,,,,,,,,,"Community and Lifestyle, Consumer Electronics, Hardware, Navigation and Mapping, Software","GPS, Pet, Software, Wearables",0,7,,Scientific and electric apparatus and instruments,916642,USD,916642,,,"Pasching, Oberosterreich, Austria",$1M to $10M,2012-10-20,day,"Guidepost Growth Equity, Adjacent, Monkfish Equity, Johann ""Hansi"" Hansmann, Harold Primat",https://www.linkedin.com/company/2851090
Relay,https://www.crunchbase.com/organization/relay-b375,101-250,Active,https://relaypro.com,jschniepp@relaypro.com,,,,,,,,,,"Hardware, Navigation and Mapping, Software","Communication Hardware, GPS, Productivity Tools, Software",74,6,Electric Communication Technique,Telecommunications,,,,,,"Raleigh, North Carolina, United States",$1M to $10M,2015-01-01,year,Sovereign’s Capital,https://www.linkedin.com/company/relaypro
Kayrros,https://www.crunchbase.com/organization/kayrros,101-250,Active,https://www.kayrros.com/,contact@kayrros.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Hardware, Information Technology, Internet Services, Natural Resources, Navigation and Mapping, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Energy, Geospatial, GPS, Image Recognition, Information Technology, Intelligent Systems, Machine Learning, Oil and Gas, Predictive Analytics, Real Time, Semantic Search",18,2,Computing; Calculating,Advertising; business,1204898,USD,1204898,,,"Paris, Ile-de-France, France",Less than $1M,2016-01-01,year,"Bpifrance, European Investment Bank, Cathay Innovation, Korelya Capital, Index Ventures",https://www.linkedin.com/company/kayrros/
Linxup,https://www.crunchbase.com/organization/linxup,101-250,Active,https://www.linxup.com/,info@linxup.com,1-877-732-4980,,,,,,,,,"Hardware, Navigation and Mapping, Software, Transportation","Fleet Management, GPS, SaaS, Software",,,,,,,,,,"Saint Louis, Missouri, United States",$10M to $50M,2004-01-01,year,Runway Growth Capital,https://www.linkedin.com/company/linxup/
SureCam,https://www.crunchbase.com/organization/surecam,51-100,Active,https://surecam.com,info@surecam.com,+1 855 870 7205,,,,,,,,,"Financial Services, Hardware, Navigation and Mapping, Transportation","Fleet Management, GPS, InsurTech, Transportation",,,,,1026013,USD,1026013,,,"St Louis, Missouri, United States",$10M to $50M,2014-01-01,year,"CCA Financial, Lewis & Clark Capital",https://www.linkedin.com/company/intelligent-telematics/
"Inertial Labs, Inc.",https://www.crunchbase.com/organization/inertial-labs,101-250,Active,https://inertiallabs.com,sales@inertiallabs.com,(703) 880-4222,,,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Navigation and Mapping, Science and Engineering, Transportation","Aerospace, Autonomous Vehicles, Electronics, Geospatial, GPS, Manufacturing, Navigation",,,,,430761,USD,430761,,,"Paeonian Springs, Virginia, United States",$1M to $10M,2001-01-01,year,,https://www.linkedin.com/company/inertial-labs-inc/?originalSubdomain=in
Qianxun Spatial Intelligence,https://www.crunchbase.com/organization/qianxun-spatial-intelligence,501-1000,Active,https://www.qxwz.com/,Service@qxwz.com,,,,,,,,,,"Data and Analytics, Hardware, Internet Services, Navigation and Mapping","Geospatial, GPS, Location Based Services, Navigation",9,8,Testing,Scientific and electric apparatus and instruments,,,,,,"Shanghai, Shanghai, China",$100M to $500M,2015-08-01,month,"Shanghai International Group (SIG), ICBC Investment, Shanghai GuoHe Capital, China State-Owned Capital Venture Investment Fund, Y.H. Capital",https://www.linkedin.com/company/%E5%8D%83%E5%AF%BB%E4%BD%8D%E7%BD%AE%E7%BD%91%E7%BB%9C%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
RAKwireless Technology Limited,https://www.crunchbase.com/organization/rakwireless-technology,51-100,Active,https://www.rakwireless.com/en-us,inquiry@rakwireless.com,,,,,,,,,,"Consumer Electronics, Hardware, Internet Services, Manufacturing, Navigation and Mapping","Electronics, GPS, Internet, Internet of Things, Manufacturing",2,11,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Shenzhen, Guangdong, China",$10M to $50M,2014-06-29,day,"Shunwei Capital, NWS Holdings",https://www.linkedin.com/company/rakwireless/
Skitude,https://www.crunchbase.com/organization/skitude,51-100,Active,https://www.skitudegroup.com/,info@skitude.com,+34648216586,,,,,,,,,"Community and Lifestyle, Gaming, Hardware, Internet Services, Mobile, Navigation and Mapping, Sports, Travel and Tourism","Gamification, GPS, Internet, Mobile, Skiing, Social, Sports, Tourism",0,2,,Telecommunications,,,,,,"Oslo, Oslo, Norway",$1M to $10M,2014-04-23,day,"Draper B1, Investinor, IESE Business School, ESADE BAN, Canica",https://www.linkedin.com/company/skitude
Integer.pl Group,https://www.crunchbase.com/organization/integer-pl-group,10001+,Active,https://integer.pl/en,webmaster@inpost.pl,,,,,,,,,,"Hardware, Navigation and Mapping, Transportation","GPS, Logistics, Supply Chain Management",0,1,,Common metals and their alloys; ores,,,,,,"Cracow, Malopolskie, Poland",$100M to $500M,1999-01-01,year,,https://www.linkedin.com/company/integer.pl-s.a./
