Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Lambda,https://www.crunchbase.com/organization/lambda-labs,101-250,Active,https://lambdalabs.com,enterprise@lambdalabs.com,+1 866 711 2025,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, GPU, Hardware, Machine Learning, Software",0,1,,Scientific and electric apparatus and instruments,505337,USD,505337,,,"San Francisco, California, United States",$10M to $50M,2012-01-01,year,"Industrial Development Funding, Razer, Alumni Ventures, B Capital, Gradient Ventures",https://www.linkedin.com/company/lambda-labs
Basemark,https://www.crunchbase.com/organization/basemark-ltd,51-100,Active,https://www.basemark.com,sales@basemark.com,+358 10 315 3950,,,,,,,,,"Hardware, Software, Transportation","Augmented Reality, Automotive, Computer Vision, GPU, Software",8,10,Computing; Calculating,Scientific and electric apparatus and instruments,1370991,USD,1370991,,,"Helsinki, Southern Finland, Finland",$10M to $50M,2015-04-23,day,"European Innovation Council, ETF Partners, Tesi, EIC Accelerator, Business Finland",https://www.linkedin.com/company/basemarkltd
NVIDIA,https://www.crunchbase.com/organization/nvidia,10001+,Active,https://www.nvidia.com,info@nvidia.com,+1 (140) 848-6200,64,77,19,7,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), GPU, Hardware, Software, Virtual Reality","4,907",284,Computing; Calculating,Scientific and electric apparatus and instruments,2081257545,USD,2081257545,,,"Santa Clara, California, United States",$10B+,1993-01-01,year,"Sequoia Capital, TriplePoint Capital, ARK Investment Management, DARPA, ARPA-E",https://www.linkedin.com/company/nvidia
Vastai Technologies,https://www.crunchbase.com/organization/vastai-technologies,101-250,Active,https://www.vastaitech.com/,info@vastaitech.com,+021-61060282,,,,,,,,,"Consumer Electronics, Hardware, Science and Engineering","Electronics, GPU, Semiconductor",,,,,2856877,USD,2856877,,,"Shanghai, Shanghai, China",,2018-12-01,month,"Alibaba Group, Kuaishou Technology, ZhenFund, Mirae Asset Venture Investment, 5Y Capital",https://www.linkedin.com/company/vastaitech/
SQream Technologies,https://www.crunchbase.com/organization/sqream-technologies,101-250,Active,https://sqream.com,info@sqream.com,877 878 4081,,,,,,,,,"Data and Analytics, Hardware, Software","Analytics, Big Data, Business Intelligence, Database, Enterprise Software, GPU",15,1,Computing; Calculating,Scientific and electric apparatus and instruments,4411200,USD,4411200,,,"New York, New York, United States",$1M to $10M,2010-09-01,day,"Alibaba Group, AngelList, Blumberg Capital, Hanaco Venture Capital, Mangrove Capital Partners",https://www.linkedin.com/company/sqream_
Imagination Technologies,https://www.crunchbase.com/organization/imagination-technologies,1001-5000,Active,http://imgtec.com,info@imgtec.com,+44 1923 260511,2,2,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Mobile, Software","Communications Infrastructure, Developer Tools, Electronics, GPU, Manufacturing, Software, Wireless","1,086",46,Computing; Calculating,Scientific and electric apparatus and instruments,16389627,USD,16389627,,,"Kings Langley, Hertford, United Kingdom",$100M to $500M,1985-01-01,year,"Apple, Intel, Intel Capital",https://www.linkedin.com/company/imaginationtech
AMD,https://www.crunchbase.com/organization/amd,10001+,Active,http://www.amd.com,,(408) 749-4000,9,10,2,,,,,,"Consumer Electronics, Hardware, Internet Services, Science and Engineering, Software","Cloud Computing, Computer, Embedded Systems, GPU, Hardware, Semiconductor","5,402",129,Computing; Calculating,Scientific and electric apparatus and instruments,1783262531,USD,1783262531,,,"Santa Clara, California, United States",$10B+,1969-05-01,day,"KB Securities, Daniel Loeb",https://www.linkedin.com/company/amd
Muxi,https://www.crunchbase.com/organization/muxi-f3f5,51-100,Active,,,,,,,,,,,,"Hardware, Science and Engineering","GPU, Semiconductor",,,,,,,,,,"Shanghai, Shanghai, China",,2020-09-01,month,"Sequoia Capital China, ZhenFund",
Nebius AI,https://www.crunchbase.com/organization/nebius,251-500,Active,https://nebius.ai,hello@nebius.com,,,,,,,,,,"Hardware, Internet Services, Software","Cloud Infrastructure, GPU, IaaS, PaaS",0,1,,Scientific and electric apparatus and instruments,,,,,,"Amsterdam, Noord-Holland, The Netherlands",,2022-09-06,day,,https://www.linkedin.com/company/nebius
Synapse,https://www.crunchbase.com/organization/synapse-3,501-1000,Active,http://www.synapse-da.com/,info@synapse-da.com,(408)850-9527,,,,,,,,,"Hardware, Manufacturing, Other, Science and Engineering","GPU, Industrial, Infrastructure, Semiconductor",,,,,11414356,USD,11414356,,,"Santa Clara, California, United States",$50M to $100M,2003-01-01,year,Agility Capital,https://www.linkedin.com/company-beta/1006448/
Hyperstack,https://www.crunchbase.com/organization/hyperstack-97fc,51-100,Active,https://www.hyperstack.cloud/,info@hyperstack.cloud,+44 (0) 203 475 3402,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Software","Cloud Computing, Generative AI, GPU, Machine Learning",,,,,170998,USD,170998,,,,,2020-04-15,day,,https://www.linkedin.com/showcase/hyperstackshowcasepage
brandXchange,https://www.crunchbase.com/organization/brandxchange,51-100,Active,https://brandxchange.agency,john@brandxchange.agency,,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Hardware, Health Care, Internet Services, Other, Payments, Sales and Marketing, Science and Engineering, Software, Sustainability","Artificial Intelligence (AI), Carbon Capture, Cryptocurrency, GPU, Marketing, Sales, Small and Medium Businesses, Telecommunications, Web3, Wellness",,,,,41525,USD,41525,,,"London, England, United Kingdom",,2022-08-19,day,,https://www.linkedin.com/company/brandxchange
Denglin Technology,https://www.crunchbase.com/organization/denglin-technology,101-250,Active,http://www.denglinai.com/,communication@denglin.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, GPU, Hardware",,,,,,,,,,"Shanghai, Shanghai, China",,2017-11-01,month,"Qualcomm Ventures, Northern Light Venture Capital, China Internet Investment Fund, COCOCapital, Silicon Harbor Capital",https://www.linkedin.com/company/denglinai
Colorado Engineering,https://www.crunchbase.com/organization/colorado-engineering,51-100,Active,https://coloradoengineering.com/,sales@coloradoengineering.com,719-388-8582,,,,,,,,,"Hardware, Information Technology, Internet Services, Manufacturing, Software","Computer Vision, GPU, Information Technology, Internet of Things, Manufacturing, Network Hardware, Software",,,,,677292,USD,677292,,,"Colorado Springs, Colorado, United States",$10M to $50M,2003-01-01,year,,https://www.linkedin.com/company/colorado-engineering-inc/
Wireless System Integration AB,https://www.crunchbase.com/organization/wireless-system-integration-ab,101-250,Active,http://wsisweden.com/,info@wsi.nu,+46812017221,,,,,,,,,"Hardware, Internet Services, Mobile","GPU, Internet, Wireless",,,,,,,,,,"Stockholm, Stockholms Lan, Sweden",,2002-01-01,year,,https://www.linkedin.com/company/wireless-system-integration-ab
