Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Krafton,https://www.crunchbase.com/organization/bluehole,1001-5000,Active,https://www.krafton.com,biz@krafton.com,031 698 3311,30,33,18,,,,,,"Gaming, Mobile, Platforms, Software","Gaming, iOS, Mobile, Video Games",4,80,Sports; Games; Amusements,Education; entertainment,,,,,,"Seongnam, Kyonggi-do, South Korea",$10B+,2007-03-01,day,"Tencent, IMM Investment, Premier Partners, Altos Ventures, Aju IB Investment",https://www.linkedin.com/company/krafton-inc
Riot Games,https://www.crunchbase.com/organization/riot-games,1001-5000,Active,http://www.riotgames.com,iletisim@riotgames.com,424-231-1111,19,24,7,2,,,,,"Consumer Electronics, Gaming, Hardware, Software","Computer, Developer Platform, PC Games, Video Games",36,243,Sports; Games; Amusements,Education; entertainment,100651340,USD,100651340,,,"Los Angeles, California, United States",$10B+,2006-01-01,year,"Tencent, HAX, Benchmark, FirstMark",http://www.linkedin.com/company/riot-games
MGM Resorts International,https://www.crunchbase.com/organization/mgm-resorts-international,10001+,Active,http://mgmresorts.com,Grant@MGMResorts.email,702-693-7120,4,5,1,,,,,,"Gaming, Travel and Tourism","Gambling, Hospitality, Resorts",3,278,Electric Communication Technique,Education; entertainment,324073221,USD,324073221,,,"Las Vegas, Nevada, United States",$10B+,1986-01-29,day,IAC,http://www.linkedin.com/company/1075291
Embracer Group,https://www.crunchbase.com/organization/embracer-group,10001+,Active,https://embracer.com,info@embracer.com,,,,,,,,,,"Gaming, Software","Online Games, PC Games, Software, Video Games",0,13,,Scientific and electric apparatus and instruments,358800,USD,358800,,,"Karlstad, Varmlands Lan, Sweden",$10B+,1999-01-01,year,"Canada Pension Plan Investment Board, Savvy Gaming Group",https://www.linkedin.com/company/embracergroup
Caesars Entertainment,https://www.crunchbase.com/organization/caesars-entertainment,10001+,Active,https://www.caesars.com/corporate,,(702) 407-6000,1,1,1,,,,,,"Gaming, Travel and Tourism","Casino, Gambling, Gaming, Hospitality",13,422,Checking-Devices,Education; entertainment,100821,USD,100821,,,"Las Vegas, Nevada, United States",$10B+,1937-01-01,year,,https://www.linkedin.com/company/caesars-entertainment-corporation
Tencent,https://www.crunchbase.com/organization/tencent,10001+,Active,https://www.tencent.com/en-us,gc@tencent.com,+86 75 5860 13388,576,792,421,17,,,,,"Advertising, Gaming, Internet Services, Sales and Marketing","Advertising, Internet, Online Games, Online Portals, Social Media Marketing",1,0,Computing; Calculating,,,,,,,"Shenzhen, Guangdong, China",$10B+,1998-11-01,day,"PCCW, Prosus & Naspers, IDG Capital, Lippo Group",https://www.linkedin.com/company/tencentglobal
Aiming,https://www.crunchbase.com/organization/aiming,501-1000,Active,http://aiming-inc.com/en,,81 3 5333 8424,,,,,,,,,"Apps, Gaming, Mobile, Software","Gaming, Mobile Apps, Online Games",0,3,,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,2011-05-12,day,"Alibaba Group, SMBC Venture Capital, JAFCO, Incubate Fund, Mizuho Capital",https://www.linkedin.com/company/aiming-inc-/
NetEase,https://www.crunchbase.com/organization/netease-com,10001+,Active,https://www.neteasegames.com,neteasegamespr@global.netease.com,+86 2085105163 ext. 57169,44,50,27,,,,,,"Advertising, Apps, Financial Services, Gaming, Hardware, Lending and Investments, Media and Entertainment, Mobile, Music and Audio, Sales and Marketing, Software","Advertising, Gaming, Mobile, Mobile Apps, Music, PC Games, Venture Capital, Wireless",0,7,,Telecommunications,,,,,,"Tokyo, Tokyo, Japan",$10B+,1997-06-01,month,SoftBank Capital,https://www.linkedin.com/company/netease
Logitech,https://www.crunchbase.com/organization/logitech,5001-10000,Active,https://www.logitech.com/business,,+1 510-795-8500,9,10,,1,,,,,"Consumer Electronics, Gaming, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","B2B, Consumer Electronics, Gaming, Hardware, Professional Services, Software, Video Conferencing, Virtual Reality",1,1,Controlling,Scientific and electric apparatus and instruments,84022845,USD,84022845,,,"San Jose, California, United States",$10B+,1981-01-01,year,,https://www.linkedin.com/showcase/logitech-business/
ESPN,https://www.crunchbase.com/organization/espn,5001-10000,Active,http://www.espn.com,,,2,5,1,,,,,,"Content and Publishing, Gaming, Media and Entertainment, Sports, Video","Fantasy Sports, Journalism, Media and Entertainment, Sports, TV, Video Streaming",5,134,Computing; Calculating,Education; entertainment,,,,,,"Bristol, Connecticut, United States",$10B+,1979-09-07,day,,https://www.linkedin.com/company/espn
Newzoo,https://www.crunchbase.com/organization/newzoo,51-100,Active,http://www.newzoo.com,info@newzoo.com,(415)779-7799,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Gaming, Mobile, Software, Sports","Analytics, Consumer Research, eSports, Market Research, Mobile, Mobile Apps, Predictive Analytics, Video Games",0,2,,Advertising; business,3762116,USD,3762116,,,"Amsterdam, Noord-Holland, The Netherlands",$10B+,2007-06-01,day,"TalkingData, Michiel Mol",http://www.linkedin.com/company/newzoo
GoerTek Inc.,https://www.crunchbase.com/organization/goertek-inc,10001+,Active,http://www.goertek.com/en/,goertek@goertek.com,+86-536-3051234,9,12,6,,,,,,"Consumer Electronics, Gaming, Hardware, Media and Entertainment, Music and Audio","Audio, Consumer Electronics, Gaming","2,268",5,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Weifang, Shandong, China",$10B+,2001-01-01,year,,https://www.linkedin.com/company/goertek-inc./
