Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
United States Army,https://www.crunchbase.com/organization/united-states-army,10001+,Active,https://www.army.mil,hq-publicaffairs@usace.army.mil,1-888-276-9472,5,7,2,,,,,,"Education, Government and Military, Health Care, Information Technology, Privacy and Security, Science and Engineering","Chemical, Education, Government, GovTech, Law Enforcement, Medical, Military, National Security, Public Safety",,,,,7997040314,USD,7997040314,,,"Arlington, Virginia, United States",$10B+,1775-06-14,day,,https://www.linkedin.com/company/us-army
The Florida Senate,https://www.crunchbase.com/organization/the-florida-senate,251-500,Active,https://www.flsenate.gov,,+1 850-487-5828,,,,,,,,,"Government and Military, Information Technology, Other","Government, GovTech, Service Industry",,,,,6907333,USD,6907333,,,"Tallahassee, Florida, United States",$10B+,,,,https://www.linkedin.com/company/the-florida-senate/
GovHK,https://www.crunchbase.com/organization/govhk,10001+,Active,https://www.gov.hk/en/residents/,enquiry@1835500.gov.hk,+852 183 5500,,,,,,,,,"Administrative Services, Government and Military, Information Technology, Other, Social Impact","Government, GovTech, Information Services, Non Profit, Office Administration",,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",$10B+,2007-01-01,year,,
Infor,https://www.crunchbase.com/organization/infor,10001+,Active,https://www.infor.com/,CustomerExperienceTeam@infor.com,(800)260-2642,2,2,1,1,,,,,"Commerce and Shopping, Education, Food and Beverage, Government and Military, Health Care, Information Technology, Manufacturing, Other, Software","Education, Food and Beverage, GovTech, Health Care, Industrial, Retail, SaaS, Service Industry",0,179,,Scientific and electric apparatus and instruments,,,,,,"New York, New York, United States",$1B to $10B,2002-05-30,day,"Summit Partners, Golden Gate Capital, Salesforce Ventures, Koch Equity Development",https://www.linkedin.com/company/info
Axon,https://www.crunchbase.com/organization/taser-international,1001-5000,Active,https://www.axon.com,taser@taser.com,(800)978-2737,4,5,2,,,,,,"Consumer Electronics, Government and Military, Hardware, Information Technology, Software","Electronics, GovTech, Hardware, Software",349,149,Weapons,Scientific and electric apparatus and instruments,,,,,,"Scottsdale, Arizona, United States",$1B to $10B,1993-01-01,year,,https://www.linkedin.com/company/axon-protect-life
Maximus,https://www.crunchbase.com/organization/maximus,10001+,Active,http://www.maximus.com/,info@maximus.com,7032518240,,,,,,,,,"Education, Government and Military, Health Care, Information Technology, Professional Services, Software","Business Process Automation (BPA), Consulting, Education, Government, GovTech, Health Care, Information Technology",8,26,Computing; Calculating,Advertising; business,357319684,USD,357319684,,,"Mclean, Virginia, United States",$1B to $10B,1975-01-01,year,,https://www.linkedin.com/company/maximus/
Itron,https://www.crunchbase.com/organization/itron,10001+,Active,http://www.itron.com,,3609060622,1,1,,,,,,,"Energy, Government and Military, Hardware, Information Technology, Manufacturing, Natural Resources, Science and Engineering, Software, Sustainability","Advanced Materials, Clean Energy, Communications Infrastructure, Energy, Energy Management, GovTech, Oil and Gas, Software, Water",625,45,Electric Communication Technique,Scientific and electric apparatus and instruments,135670607,USD,135670607,,,"Liberty Lake, Washington, United States",$1B to $10B,1977-01-01,year,,https://www.linkedin.com/company/itroninc/
Future Fund,https://www.crunchbase.com/organization/future-fund,251-500,Active,http://www.futurefund.gov.au,contact@futurefund.gov.au,+61386566400,49,58,19,6,,,,,"Financial Services, Government and Military, Information Technology, Lending and Investments","Angel Investment, Finance, Financial Services, Government, GovTech, Venture Capital",,,,,,,,,,"Melbourne, Victoria, Australia",$1B to $10B,2006-04-03,day,,https://www.linkedin.com/company/future-fund/
NIC,https://www.crunchbase.com/organization/nic,501-1000,Active,http://www.egov.com,nic@egov.com,(913) 498-3472,,,,,,,,,"Financial Services, Government and Military, Information Technology, Payments","Government, GovTech, Information Technology, Payments",1,16,Computing; Calculating,Scientific and technological services,122857542,USD,122857542,,,"Olathe, Kansas, United States",$1B to $10B,1992-01-01,day,,http://www.linkedin.com/company/nic-inc
Dyncorp,https://www.crunchbase.com/organization/dyncorp,10001+,Active,http://www.dyn-intl.com,mary.lawrence@dyn-intl.com,571-722-0210,,,,,,,,,"Government and Military, Information Technology","Government, GovTech, National Security",1,0,Signalling,,1276963,USD,1276963,,,"Falls Church, Virginia, United States",$1B to $10B,1946-01-01,year,,http://www.linkedin.com/company/dyncorp-international
Arrondissement de Saint-Laurent,https://www.crunchbase.com/organization/arrondissement-de-saint-laurent,10001+,Active,https://montreal.ca/saint-laurent?fbclid=IwAR1nSEcCTjWjnRw4HkZU0iGFJ8qJdYSCGMC2PyehhethcZuLY8cwSzB-vE0,saint-laurent@montreal.ca,+1 514-855-6000,,,,,,,,,"Community and Lifestyle, Government and Military, Information Technology","Communities, Government, GovTech",,,,,,,,,,"Saint Laurent, Quebec, Canada",$1B to $10B,1883-01-01,year,Employment and Social Development Canada (ESDC),
Verra Mobility,https://www.crunchbase.com/organization/verra-mobility,1001-5000,Active,https://www.verramobility.com,info@verramobility.com,,,,,,,,,,"Government and Military, Information Technology, Real Estate, Transportation","Automotive, Fleet Management, Government, GovTech, Public Safety, Smart Cities, Transportation",,,,,94667550,USD,94667550,,,"Mesa, Arizona, United States",$500M to $1B,2016-01-01,year,,https://www.linkedin.com/company/verramobility
Veritone,https://www.crunchbase.com/organization/veritone,501-1000,Active,https://www.veritone.com,info@veritone.com,888-507-1737,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Government and Military, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Asset Management, CivicTech, GovTech, Information Technology, Machine Learning, Search Engine, Speech Recognition, Visual Search",0,24,Computing; Calculating,Scientific and technological services,8896693,USD,8896693,,,"Denver, Colorado, United States",$100M to $500M,2014-01-01,year,"US Department of Energy, Acacia Research, Miramar Ventures, Checketts Partners Investment Fund",https://www.linkedin.com/company/veritone-inc-
