Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Adobe,https://www.crunchbase.com/organization/adobe-systems,10001+,Active,http://www.adobe.com,,408-536-6000,22,28,7,2,,,,,"Content and Publishing, Data and Analytics, Design, Media and Entertainment, Professional Services, Software","Consulting, Enterprise Software, Graphic Design, Image Recognition, Photo Editing, SaaS, Software, UX Design, Web Design","5,728",469,Computing; Calculating,Scientific and electric apparatus and instruments,1358442216,USD,1358442216,,,"San Jose, California, United States",$10B+,1982-01-01,year,Apple,http://www.linkedin.com/company/adobe
Dentsu Polska,https://www.crunchbase.com/organization/dentsu-polska,501-1000,Active,https://dentsu.pl,office@dentsu.com,+48 22 316 9000,,,,,,,,,"Advertising, Design, Sales and Marketing","Advertising, Graphic Design, Outdoor Advertising",,,,,898747,USD,898747,,,"Warsaw, Mazowieckie, Poland",$10B+,1996-01-01,year,,https://www.linkedin.com/company/dentsupl/
Cimpress,https://www.crunchbase.com/organization/cimpress,10001+,Active,http://www.cimpress.com,Careers@Cimpress.com,+353 022 6718 6718,,,,,,,,,"Commerce and Shopping, Content and Publishing, Design, Media and Entertainment","Graphic Design, Made to Order, Printing",,,,,388623335,USD,388623335,,,"Dundalk, Louth, Ireland",$1B to $10B,1994-01-01,year,Apollo,https://www.linkedin.com/company/cimpress
Sigma Technology,https://www.crunchbase.com/organization/sigma-technology-ab,501-1000,Active,https://sigmatechnology.se,info@sigmatechnology.se,+46 70 601 18 11,,,,,,,,,"Design, Hardware, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Professional Services, Science and Engineering, Software, Video","Animation, Cloud Data Services, Consulting, Cyber Security, Embedded Systems, Graphic Design, IT Infrastructure, Outsourcing, Software, UX Design",,,,,174711677,USD,174711677,,,"Göteborg, Vastra Gotaland, Sweden",$1B to $10B,1997-01-01,year,,https://www.linkedin.com/company/sigma-technology-ab
Worldwide Partners,https://www.crunchbase.com/organization/worldwide-partners,5001-10000,Active,http://www.worldwidepartners.com,info@worldwidepartners.com,+1 720 362 0164,,,,,,,,,"Advertising, Design, Hardware, Sales and Marketing, Software","3D Technology, Advertising, Digital Marketing, Graphic Design",0,1,,Advertising; business,174763,USD,174763,,,"Denver, Colorado, United States",$1B to $10B,1938-01-01,year,,https://www.linkedin.com/company/worldwide-partners-inc.
Hertz Bogtrykkergården,https://www.crunchbase.com/organization/hertz-bogtrykkergården,5001-10000,Active,http://hertz.dk,post@hertz.dk,45 32544022,,,,,,,,,"Content and Publishing, Design, Media and Entertainment, Professional Services","Books, Consulting, Graphic Design, Printing",,,,,237751674,USD,237751674,,,"Brøndby Strand, Hovedstaden, Denmark",$1B to $10B,1828-01-01,year,,
Circle Graphics,https://www.crunchbase.com/organization/circle-graphics,501-1000,Active,http://www.circlegraphicsonline.com/,dbain@circlegraphicsonline.com,1(303)532-2383,,,,,,,,,"Advertising, Content and Publishing, Design, Media and Entertainment, Sales and Marketing","Advertising, Graphic Design, Photography, Printing",14,44,Decorative Arts,Treatment of materials,286895,USD,286895,,,"Longmont, Colorado, United States",$500M to $1B,2000-01-01,year,"H.I.G. Capital, TA Associates, Housatonic Partners",https://www.linkedin.com/company/circle-graphics?trk=tyah&trkInfo=tarId%3A1418924540773%2Ctas%3Acircle+graph%2Cidx%3A2-1-4
Awesome OS,https://www.crunchbase.com/organization/awesome-os,1001-5000,Active,https://awesomeos.com/,info@awesomeos.com,,,,,,,,,,"Administrative Services, Design, Other, Professional Services, Software","Call Center, Customer Service, Graphic Design, Outsourcing, Web Development",,,,,112789,USD,112789,,,"Santa Monica, California, United States",$500M to $1B,2006-01-01,year,,https://www.linkedin.com/company/awesomeos
Stephen Gould,https://www.crunchbase.com/organization/stephen-gould-ef89,1001-5000,Active,https://www.stephengould.com/,info@stephengould.com,+1 973 428 1500,,,,,,,,,"Administrative Services, Design, Manufacturing, Other","Graphic Design, Manufacturing, Packaging Services, Product Management",,,,,68524505,USD,68524505,,,"Whippany, New Jersey, United States",$500M to $1B,1939-01-01,day,,https://www.linkedin.com/company/stephen-gould-corporation/
Walt Disney Animation Studios,https://www.crunchbase.com/organization/walt-disney-animation-studios,501-1000,Active,https://www.disneyanimation.com/,,818-560-1000,,,,,,,,,"Design, Media and Entertainment, Video","Animation, Graphic Design, Media and Entertainment",,,,,24262539,USD,24262539,,,"Burbank, California, United States",$500M to $1B,1923-01-01,year,,https://www.linkedin.com/company/walt-disney-animation-studios
