Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
HP,https://www.crunchbase.com/organization/hewlett-packard,10001+,Active,http://www.hp.com,,(650) 857-1501,25,30,6,,,,,,"Consumer Electronics, Hardware, Information Technology, Software","Computer, Consumer Electronics, Hardware, IT Infrastructure, Software","27,056",412,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Palo Alto, California, United States",$10B+,1939-01-01,day,Berkshire Hathaway,https://www.linkedin.com/company/hp
Lenovo,https://www.crunchbase.com/organization/lenovo,10001+,Active,http://www.lenovo.com,,855-253-6686,29,31,8,1,,,,,"Consumer Electronics, Hardware, Mobile","Computer, Electronics, Hardware, Mobile","7,726",119,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Beijing, Beijing, China",$10B+,1984-01-01,year,"TPG, General Atlantic, Chinese Academy Of Sciences, Legend Holdings, The Parent Company",http://www.linkedin.com/company/lenovo
Western Digital,https://www.crunchbase.com/organization/western-digital,10001+,Active,https://www.westerndigital.com,investor@wdc.com,+1 949 672 7000,8,8,,,,,,,"Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Software","Big Data, Computer, Hardware, Manufacturing, Software",907,170,Computing; Calculating,Scientific and electric apparatus and instruments,1190201745,USD,1190201745,,,"Milpitas, California, United States",$10B+,1970-01-01,year,"Apollo, Elliott Investment Management, Tsinghua Unisplendour Venture Capital",https://www.linkedin.com/company/western-digital
TE Connectivity,https://www.crunchbase.com/organization/tyco-electronics,10001+,Active,http://www.te.com,socialmedia@te.com,+1 800 522 6752,3,3,2,,,,,,"Energy, Hardware, Manufacturing, Software, Transportation","Automotive, Electrical Distribution, Hardware, Manufacturing, Software","6,322",723,Basic Electric Elements,Scientific and electric apparatus and instruments,1600690964,USD,1600690964,,,"Schaffhausen, Schaffhausen, Switzerland",$10B+,1941-01-01,year,,http://www.linkedin.com/company/te-connectivity
Lowe’s,https://www.crunchbase.com/organization/lowes,10001+,Active,https://www.lowes.com,,1 877 465 6937,7,8,3,1,,,,,"Hardware, Manufacturing, Real Estate","Hardware, Home Renovation, Manufacturing",118,3,Computing; Calculating,Floor and wall coverings,1795614018,USD,1795614018,,,"Mooresville, North Carolina, United States",$10B+,1946-01-01,year,,https://www.linkedin.com/company/lowe's-home-improvement
Corning,https://www.crunchbase.com/organization/corning,10001+,Active,http://www.corning.com/,inquiries@corning.com,(828) 901-5488,19,21,4,1,,,,,"Biotechnology, Consumer Electronics, Hardware, Manufacturing, Real Estate, Science and Engineering","Building Material, Electronics, Hardware, Life Science, Manufacturing, Telecommunications","11,606",340,Glass,Scientific and electric apparatus and instruments,217799930,USD,217799930,,,"Corning, New York, United States",$10B+,1851-01-01,year,"Apple, Biomedical Advanced Research and Development Authority (BARDA)",http://www.linkedin.com/company/3678
Duke Energy Corporation,https://www.crunchbase.com/organization/duke-energy-corporation,10001+,Active,http://www.duke-energy.com,,(800) 769-3766,48,52,42,1,,,,,"Energy, Hardware, Natural Resources, Other, Sustainability","Clean Energy, Energy, Hardware, Hydroelectric, Oil and Gas, Service Industry",38,30,Testing,Building; repairs,272213,USD,272213,,,"Charlotte, North Carolina, United States",$10B+,1916-01-01,year,,https://www.linkedin.com/company/duke-energy-corporation
Amphenol,https://www.crunchbase.com/organization/amphenol-corporation,10001+,Active,http://www.amphenol.com,social@amphenol.com,+1-203-265-8900,,,,,,,,,"Hardware, Manufacturing, Transportation","Automotive, Hardware, Manufacturing",786,259,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,,,"Wallingford, Connecticut, United States",$10B+,1932-01-01,year,,https://www.linkedin.com/company/amphenolcorporation
UNISOC,https://www.crunchbase.com/organization/unisoc,5001-10000,Active,http://www.unisoc.com,,86 21 2036 0600,1,1,1,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Hardware, Manufacturing, Semiconductor, Telecommunications",,,,,,,,,,"Shanghai, Shanghai, China",$10B+,2001-01-01,year,"Legend Capital, Northern Light Venture Capital, New Enterprise Associates, Intel Capital, KTB Ventures",https://www.linkedin.com/company/unisoctechnologies
Panasonic,https://www.crunchbase.com/organization/panasonic,10001+,Active,https://www.panasonic.com,helpline@in.panasonic.com,1(800)108-1333,24,26,7,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing","Consumer Electronics, Electronics, Hardware, Home Appliances, Manufacturing","62,584",676,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,,,"Kadoma, Osaka, Japan",$10B+,1918-01-01,year,Vaga Gilga,http://www.linkedin.com/company/panasonic
