Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Rokid,https://www.crunchbase.com/organization/rokid,251-500,Active,http://rokid.ai,sales@rokid.ai,650-294-0103,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Design, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Augmented Reality, Consumer Electronics, Human Computer Interaction, Robotics",,,,,,,,,,"Redwood City, California, United States",$10M to $50M,2014-01-01,year,"Bilibili, Walden International, CDIB Capital, Vision Plus Capital, Temasek Holdings",https://www.linkedin.com/company/rokid-inc
Diligent Robotics,https://www.crunchbase.com/organization/diligent-robotics,101-250,Active,http://diligentrobots.com,info@diligentrobots.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction, Machine Learning, Robotics, Software",7,1,Hand Tools; Portable Power-Driven Tools; Manipulators,Scientific and technological services,228978,USD,228978,,,"Austin, Texas, United States",$10M to $50M,2016-01-01,year,"Northwestern Memorial HealthCare, Gaingels, Capital Factory, Promus Ventures, DNX Ventures",https://www.linkedin.com/company/diligent-robotics
Wandelbots,https://www.crunchbase.com/organization/wandelbots,101-250,Active,http://www.wandelbots.com,contact@wandelbots.com,+49 351 86264000,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Design, Hardware, Manufacturing, Professional Services, Science and Engineering, Software","Human Computer Interaction, Industrial Automation, Innovation Management, Machine Learning, Manufacturing, Robotics, Software, Wearables",2,9,Hand Tools; Portable Power-Driven Tools; Manipulators,Machines and machine tools,1188846,USD,1188846,,,"Dresden, Sachsen, Germany",$1M to $10M,2017-09-21,day,"Atlantic Labs, Next47, M12 - Microsoft's Venture Fund, 83North, SquareOne Venture Capital",https://www.linkedin.com/company/wandelbots/
Intuition Robotics,https://www.crunchbase.com/organization/intuition-robotics,101-250,Active,http://www.intuitionrobotics.com,hello@intuitionrobotics.com,844-944-3554,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Design, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction, Robotics, Social, Software",13,4,,Scientific and electric apparatus and instruments,,,,,,"Ramat Gan, Tel Aviv, Israel",$1M to $10M,2016-01-01,year,"iRobot, OurCrowd, Toyota Ventures, Bloomberg Beta, Western Technology Investment",https://www.linkedin.com/company/intuition-robotics
Affectiva,https://www.crunchbase.com/organization/affectiva,51-100,Active,http://www.affectiva.com,info@affectiva.com,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Sales and Marketing, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Autonomous Vehicles, Digital Marketing, Fleet Management, Human Computer Interaction, Machine Learning, Market Research, Ride Sharing, Software",75,5,Computing; Calculating,Advertising; business,1035614,USD,1035614,,,"Boston, Massachusetts, United States",Less than $1M,2009-01-01,year,"Horizons Ventures, MIT Media Lab, Pegasus Tech Ventures, Motley Fool Ventures, Aptiv",http://www.linkedin.com/company/722122
Arduino,https://www.crunchbase.com/organization/arduino,101-250,Active,http://www.arduino.cc,,,,,,,,,,,"Design, Hardware, Science and Engineering, Software","Hardware, Human Computer Interaction, Product Design, Software",0,2,,Services for providing food and drink; temporary accommodations,1212560,USD,1212560,,,"Monza, Lombardia, Italy",$50M to $100M,2005-01-01,year,"Arm Holdings, Anzu Partners, CDP Venture Capital, Renesas Electronics Corporation, Bosch Ventures",http://www.linkedin.com/company/arduino
CTRL-labs,https://www.crunchbase.com/organization/ctrl-labs,51-100,Closed,https://ctrl-labs.com/,info@ctrl-labs.com,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction, Neuroscience",,,,,,,,,,"New York, New York, United States",$10M to $50M,2015-01-01,year,"Breyer Capital, Google Ventures, Vulcan Capital, Fuel Capital, Amazon Alexa Fund",https://www.linkedin.com/company/11248717/
Posh,https://www.crunchbase.com/organization/posh-bb65,101-250,Active,https://www.posh.tech,hello@posh.tech,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction, Information Technology, Internet, Machine Learning, Natural Language Processing",,,,,1134530,USD,1134530,,,"Boston, Massachusetts, United States",$10M to $50M,2015-01-01,year,"Human Capital, Tenity, Canapi Ventures, JAM FINTOP, Curql",https://www.linkedin.com/company/posh-development/
Bossa Nova Robotics,https://www.crunchbase.com/organization/bossa-nova-robotics-inc,251-500,Active,http://www.bossanova.com/,info@bossanova.com,1 415-878-1812,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Hardware, Internet Services, Science and Engineering, Software, Transportation","Analytics, Artificial Intelligence (AI), Autonomous Vehicles, Cloud Computing, Computer Vision, Human Computer Interaction, Retail Technology, Robotics, Software",3,0,Computing; Calculating,,6575100,USD,6575100,,,"San Francisco, California, United States",$10M to $50M,2005-01-01,year,"LG Electronics, Cota Capital, Celesta Capital, Lucas Venture Group, Intel Capital",https://www.linkedin.com/company/bossa-nova-robotics/
ProtoPie,https://www.crunchbase.com/organization/studio-xid,51-100,Active,https://www.protopie.io,hello@protopie.io,,,,,,,,,,"Design, Science and Engineering, Software","Human Computer Interaction, Product Design, SaaS, Software, UX Design",22,4,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10M to $50M,2014-12-08,day,"LINE Plus Corporation, Korea Investment Partners, Mirae Asset Venture Investment, Vela Partners, LB Investment",https://www.linkedin.com/showcase/protopie
Field Effect Software,https://www.crunchbase.com/organization/field-effect-software,101-250,Active,https://www.fieldeffect.com,hello@fieldeffect.com,613-783-9655,,,,,,,,,"Consumer Electronics, Design, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software","Computer, Cyber Security, Human Computer Interaction, Software, Software Engineering",4,19,,Scientific and electric apparatus and instruments,2755232,USD,2755232,,,"Ottawa, Ontario, Canada",$10M to $50M,2016-01-01,day,"Edison Partners, Scotiabank, Round13 Capital",https://www.linkedin.com/company/field-effect-software
Leap Motion,https://www.crunchbase.com/organization/leap-motion,51-100,Closed,http://www.leapmotion.com,pr@leapmotion.com,(415)692-3860,,,,,,,,,"Design, Hardware, Science and Engineering, Software","3D Technology, Augmented Reality, Hardware, Human Computer Interaction, Software, Virtual Reality",16,1,Computing; Calculating,Advertising; business,2362723,USD,2362723,,,"San Francisco, California, United States",$10M to $50M,2010-10-01,day,"Andreessen Horowitz, Founders Fund, PROfounders Capital, J.P. Morgan Asset Management, SOSV",http://www.linkedin.com/company/leap-motion
HYPERVSN,https://www.crunchbase.com/organization/hypervsn,101-250,Active,https://hypervsn.com,info@hypervsn.com,+44(0)208-0685-328,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Design, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","3D Technology, Augmented Reality, Digital Signage, Electronics, Human Computer Interaction, Media and Entertainment, Retail, Software",6,5,Education; Cryptography; Display; Advertising; Seals,Scientific and electric apparatus and instruments,687331,USD,687331,,,"London, England, United Kingdom",$10M to $50M,2012-01-01,year,,https://www.linkedin.com/company/2656626/
Mobeus,https://www.crunchbase.com/organization/mobeus-industries,51-100,Active,https://mobeus.com/,matt@mobeus.com,,,,,,,,,,"Design, Hardware, Messaging and Telecommunications, Science and Engineering, Software","Augmented Reality, Computer Vision, Human Computer Interaction, Meeting Software",30,3,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Sparta, New Jersey, United States",,2020-05-27,day,"Accenture Ventures, Standish Spring Investments",https://www.linkedin.com/company/mobeus/mycompany/verification/
Xiaoice,https://www.crunchbase.com/organization/xiaoice,51-100,Active,https://www.xiaoice.com,business@xiaobing.ai,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Human Computer Interaction, Machine Learning, Natural Language Processing, Virtual Assistant",,,,,,,,,,"Beijing, Beijing, China",$10M to $50M,2014-01-01,year,"NetEase, Hillhouse Investment, Northern Light Venture Capital, 5Y Capital, GGV Capital",
WiMi Hologram Cloud,https://www.crunchbase.com/organization/wimi-hologram-cloud,101-250,Active,http://en.wimiar.com,info@wimiar.com,86-10-5338-4913,,,,,,,,,"Design, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Augmented Reality, Cloud Infrastructure, Computer Vision, Human Computer Interaction, Information Technology, Software",,,,,,,,,,"Beijing, Beijing, China",$100M to $500M,2015-01-01,year,,
Conversocial,https://www.crunchbase.com/organization/conversocial,51-100,Active,https://www.conversocial.com/,info@conversocial.com,(646) 375 2492,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Sales and Marketing, Science and Engineering, Software","Advertising, Analytics, Artificial Intelligence (AI), Human Computer Interaction, Loyalty Programs, Messaging, Real Time, Security, Text Analytics, Virtual Assistant",,,,,1490768,USD,1490768,,,"New York, New York, United States",$10M to $50M,2009-11-01,day,"Molten Ventures, Octopus Ventures, Dawn Capital, Columbia Lake Partners, Lerer Hippeau",http://www.linkedin.com/company/conversocial
uSens,https://www.crunchbase.com/organization/usens-inc-,51-100,Active,https://en.usens.com,info@usens.com,408-796-9070,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Science and Engineering, Software","3D Technology, Artificial Intelligence (AI), Augmented Reality, Computer Vision, Human Computer Interaction, Machine Learning, Robotics, Software, Virtual Reality",14,3,Computing; Calculating,Scientific and electric apparatus and instruments,925895,USD,925895,,,"San Jose, California, United States",Less than $1M,2013-01-01,year,"Arm Holdings, Stone Point Capital, Chiratae Ventures, Oriental Fortune Capital, Fosun RZ Capital",https://www.linkedin.com/company/usens-inc-
Tigerspike,https://www.crunchbase.com/organization/tigerspike,251-500,Closed,http://www.tigerspike.com,info@tigerspike.com,646 330 4636,,,,,,,,,"Apps, Data and Analytics, Design, Information Technology, Internet Services, Mobile, Science and Engineering, Software","Data Integration, Enterprise Software, Human Computer Interaction, Information Technology, Internet of Things, Mobile Apps, Software Engineering",0,2,,Scientific and electric apparatus and instruments,,,,,,"Sydney, New South Wales, Australia",$10M to $50M,2003-09-11,day,Dentsu Aegis Network,https://www.linkedin.com/company/108629?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A120165741478162992049%2CVSRPtargetId%3A108629%2CVSRPcmpt%3Aprimary
AMERIA,https://www.crunchbase.com/organization/ameria,51-100,Active,https://www.ameria.com,info@ameria.de,+49 6221 3521 500,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Design, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Computer, Human Computer Interaction, Metaverse, Retail, Sales, Software",8,9,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Heidelberg, Baden-Wurttemberg, Germany",,2018-01-01,year,"VentureOut, Wunderkind Invest",https://www.linkedin.com/company/ameria-ag
Advertima AG,https://www.crunchbase.com/organization/advertima,51-100,Closed,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Human Computer Interaction, Retail Technology, Software",1,0,Computing; Calculating,,,,,,,"Saint Gallen, Sankt Gallen, Switzerland",Less than $1M,2016-01-01,year,"Migros, FortyOne Group, Fortimo Group",
Moviebook,https://www.crunchbase.com/organization/moviebook-co,101-250,Active,http://www.moviebook.cn,bd@zhiruyi.com,010-64169889,1,1,,,,,,,"Data and Analytics, Design, Internet Services, Media and Entertainment, Science and Engineering, Software, Video","Human Computer Interaction, Image Recognition, Internet, Video",,,,,,,,,,"Beijing, Beijing, China",$1M to $10M,2009-01-01,year,"SenseTime, Primavera Capital Group, SBCVC, New Horizon Capital, Yao Capital",https://www.linkedin.com/company/%E5%BD%B1%E8%B0%B1%E7%A7%91%E6%8A%80moviebook/
Genesis lab,https://www.crunchbase.com/organization/genesis-lab,51-100,Active,http://www.genesislab.ai/#/,contact@genesislab.ai,82-2-6402-0118,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction",12,0,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Seocho, Seoul-t'ukpyolsi, South Korea",,2017-01-01,year,"Bluepoint Partners, Korea Investment Partners, Korea Development Bank, TIPS Program, Hana Ventures",https://www.linkedin.com/company/genesis-lab-inc
Galois,https://www.crunchbase.com/organization/galois,101-250,Active,http://galois.com,contact@galois.com,+1 503 626 6616,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Government and Military, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Analytics, Cyber Security, Human Computer Interaction, Information Technology, Machine Learning, National Security, Risk Management, Security, Software",6,4,Computing; Calculating,Scientific and electric apparatus and instruments,891174,USD,891174,,,"Portland, Oregon, United States",$10M to $50M,1999-01-01,year,US Department of Energy,https://www.linkedin.com/company/galois-inc-/?originalSubdomain=ph
SELVAS Al,https://www.crunchbase.com/organization/selvas-al,51-100,Active,https://www.selvasai.com,support@selvasai.com,+82-2-6190-7500,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction, Machine Learning, Speech Recognition",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10M to $50M,1999-03-31,day,"Seerslab, WYSIWYG Studio",https://www.linkedin.com/company/selvas-ai-inc.
