Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Virtustream,https://www.crunchbase.com/organization/virtustream,1001-5000,Active,http://www.virtustream.com,info@virtustream.com,+112402521007,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Cloud Management, Enterprise Software, IaaS, Information Technology, SaaS, Software",7,3,Computing; Calculating,Scientific and technological services,44566200,USD,44566200,,,"Mclean, Virginia, United States",$10B+,2008-01-01,year,"SAP, Top Tier Capital Partners, Columbia Capital, Noro-Moseley Partners, Silicon Valley Bank",http://www.linkedin.com/company/virtustream
Kakao Enterprise,https://www.crunchbase.com/organization/kakao-enterprise,501-1000,Active,https://www.kakaoenterprise.com,contact@kakaoenterprise.com,+82 31-600-1000,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Infrastructure, IaaS, Information Technology, PaaS, SaaS, Software",1,0,,,,,,,,"Seongnam, Kyonggi-do, South Korea",$1B to $10B,2019-12-03,day,"Korea Development Bank, Hy",https://www.linkedin.com/company/kakaoenterprise
Rackspace,https://www.crunchbase.com/organization/rackspace,1001-5000,Active,https://www.rackspace.com,sales@rackspace.com,+1-800-961-2888,8,8,1,1,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Big Data, Cloud Computing, Cloud Infrastructure, IaaS, Information Technology",18,104,Computing; Calculating,Scientific and technological services,,,,,,"San Antonio, Texas, United States",$1B to $10B,1998-01-01,year,"Sequoia Capital, Red Hat, Accel-KKR, ABRY Partners, Norwest Venture Partners",http://www.linkedin.com/company/rackspace-hosting
Inteliquent,https://www.crunchbase.com/organization/inteliquent,501-1000,Active,http://www.inteliquent.com,info@inteliquent.com,855-404-4768,1,1,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Communications Infrastructure, IaaS, PaaS, Telecommunications, VoIP, Wireless",10,5,Electric Communication Technique,Telecommunications,19804318,USD,19804318,,,"Chicago, Illinois, United States",$500M to $1B,1997-01-01,year,"DCM Ventures, GTCR, Greenspring Associates, New Enterprise Associates, Wasatch Advisors",http://www.linkedin.com/company/inteliquent
Mirantis,https://www.crunchbase.com/organization/mirantis,501-1000,Active,http://www.mirantis.com,pr@mirantis.com,(650) 963-9828,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, DevOps, Enterprise Software, IaaS, IT Infrastructure, Open Source",0,6,,Scientific and technological services,8196943,USD,8196943,,,"Campbell, California, United States",$100M to $500M,1999-01-01,year,"Ericsson, Horizon Technology Finance, Red Hat, Goldman Sachs, Dell Technologies Capital",http://www.linkedin.com/company/mirantis
Armor,https://www.crunchbase.com/organization/armor,101-250,Active,http://www.armor.com,sales@armor.com,877-262-3473,,,,,,,,,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, IaaS, Security",5,20,Computing; Calculating,Scientific and technological services,7876950,USD,7876950,,,"Richardson, Texas, United States",$100M to $500M,2009-01-01,year,"Stephens Group, ST Telemedia, Neal Rapoport, Pat Sullivan",https://www.linkedin.com/company/armor-cloud-security/
OpenINSIGHTS,https://www.crunchbase.com/organization/zio,1-10,Active,http://www.openinsights.ci/,Sales@openInsights.ci,3179199991,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), IaaS, Machine Learning, SaaS",0,2,,Scientific and technological services,,,,,,"Indianapolis, Indiana, United States",$100M to $500M,2016-01-01,year,"Elevate Ventures, IU Ventures, Gravity Ventures, Indiana University Philanthropic Venture Fund",https://www.linkedin.com/company/openinsightshq
Linode,https://www.crunchbase.com/organization/linode,101-250,Active,http://www.linode.com,service@linode.com,855-454-6633,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Infrastructure, IaaS, Information Technology, Web Hosting",,,,,3345000,USD,3345000,,,"Philadelphia, Pennsylvania, United States",$100M to $500M,2003-06-16,day,,http://www.linkedin.com/company/linode
Wireless Logic,https://www.crunchbase.com/organization/wireless-logic,51-100,Active,http://www.wirelesslogic.com/,hello@wirelesslogic.com,+03300563300,,,,,,,,,"Hardware, Internet Services, Mobile, Software","IaaS, Internet of Things, Mobile, Wireless",0,3,,Scientific and electric apparatus and instruments,,,,,,"Hurley, Warwickshire, United Kingdom",$100M to $500M,2000-01-01,year,ECI Partners,https://www.linkedin.com/company/wireless-logic-ltd
Velocity Technology Solutions,https://www.crunchbase.com/organization/velocity-technology-solutions,501-1000,Closed,https://velocitycloud.com,romy.ribitzky@velocitycloud.com,704-593-3429 ,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Enterprise Software, IaaS, Private Cloud, Security, Software, Web Hosting",7,30,Computing; Calculating,Scientific and technological services,387487,USD,387487,,,"Charlotte, North Carolina, United States",$100M to $500M,2003-01-31,day,"Hercules Capital, MCG Capital, Spire Capital, Pine Street Capital Partners, Keiretsu Forum",https://www.linkedin.com/company/78747/
Datapipe,https://www.crunchbase.com/organization/datapipe,501-1000,Closed,https://www.datapipe.com,,201-792-4847,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, IaaS, Information Technology, Web Hosting",2,22,,Scientific and technological services,5942700,USD,5942700,,,"Jersey City, New Jersey, United States",$100M to $500M,1998-01-01,year,"CIT Group, ABRY Partners, Goldman Sachs, Caterpillar, Millennium Technology Value Partners",http://www.linkedin.com/company/datapipe
UnifyCloud,https://www.crunchbase.com/organization/unifycloud,101-250,Active,https://www.unifycloud.com,info@unifycloud.com,800-535-7443,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, Enterprise Software, IaaS, Information Technology, PaaS, SaaS",,,,,1557124,USD,1557124,,,"Redmond, Washington, United States",$100M to $500M,2009-11-12,day,,https://www.linkedin.com/company/unifycloud
Scheer,https://www.crunchbase.com/organization/scheer-group,1-10,Active,http://www.scheer-group.com,info@scheer-group.com,+4968193511110,1,2,2,,,,,,"Financial Services, Information Technology, Internet Services, Professional Services, Software","Cloud Management, Consulting, Finance, IaaS, Information Technology, Management Information Systems, Software",0,3,,Advertising; business,27394104,USD,27394104,,,"Saarbrücken, Saarland, Germany",$100M to $500M,2000-01-01,year,,https://www.linkedin.com/company/scheer-gmbh
INTEC Solution Power,https://www.crunchbase.com/organization/intec-solution-power,1001-5000,Active,https://www.intec-sp.co.jp/,soumu@intec-sp.co.jp,03-3372-4440,,,,,,,,,"Information Technology, Other, Professional Services, Software","Consulting, IaaS, Information Technology, Infrastructure",,,,,,,,,,"Akasaka, Tokyo, Japan",$100M to $500M,1975-10-28,day,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A4%E3%83%B3%E3%83%86%E3%83%83%E3%82%AF%E3%80%80%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%91%E3%83%AF%E3%83%BC
QingCloud,https://www.crunchbase.com/organization/qingcloud,251-500,Active,http://qingcloud.com,contactus@yunify.com,400-8576-886,,,,,,,,,"Internet Services, Software","Cloud Computing, IaaS, SaaS, Software, Web Hosting",,,,,,,,,,"Beijing, Beijing, China",$50M to $100M,2012-01-01,year,"CICC, Sky9 Capital, Matrix Partners China, Lightspeed China Partners, China Merchants Securities",https://www.linkedin.com/showcase/6462819/
Green Cloud Defense,https://www.crunchbase.com/organization/greencloud-technologies,51-100,Active,https://greenclouddefense.com,support@greenclouddefense.com,(864) 214-0913,,,,,,,,,"Information Technology, Software","Enterprise Software, IaaS, Information Services, Information Technology, Software",0,1,,Scientific and technological services,,,,,,"Greenville, South Carolina, United States",$50M to $100M,2011-09-01,day,"Bridge Bank, Square 1 Bank, Spring Capital Partners, Millry Communications, Management Angels",https://www.linkedin.com/company/green-cloud-defense
GIGAS,https://www.crunchbase.com/organization/gigas,51-100,Active,http://gigas.com/en,info@gigas.com,+34 917696000,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, IaaS, Virtualization, Web Hosting",0,2,,Telecommunications,,,,,,"Madrid, Madrid, Spain",$50M to $100M,2011-01-01,month,"Criteria Venture Tech, Inveready, Bonsai Partners, Bonsai Venture Capital SCR, Bonsal Capital",https://www.linkedin.com/company/gigas
Credibly Neutral,https://www.crunchbase.com/organization/credibly-neutral,1-10,Active,https://crediblyneutral.com/,gm@crediblyneutral.com,,1,1,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software","Cryptocurrency, IaaS, Infrastructure, SaaS, Venture Capital",,,,,,,,,,"Brooklyn, New York, United States",$50M to $100M,2022-01-01,year,"Sandeep Nailwal, Raj Gokal, Ethereal Ventures, Surojit Chatterjee, Anthony Sassano",
Intercloud Systems,https://www.crunchbase.com/organization/intercloud-systems,251-500,Active,http://intercloudsys.com,info@intercloudsys.com,(561) 988-1988,,,,,,,,,"Information Technology, Software","IaaS, Information Services, Information Technology",0,1,,Scientific and technological services,2534406,USD,2534406,,,"Shrewsbury, New Jersey, United States",$50M to $100M,2006-01-01,year,,https://www.linkedin.com/company/intercloud-systems-inc-
Suvola Corporation,https://www.crunchbase.com/organization/suvola-corporation,1-10,Active,http://www.suvola.com,info@suvola.com,+1 (855) 478-8652,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cyber Security, Enterprise Software, IaaS, Internet of Things, Software, Wearables",,,,,106015,USD,106015,,,"Cedar Park, Texas, United States",$50M to $100M,2012-10-01,month,"Capital Factory, NXP Semiconductors, Central Texas Angel Network",http://www.linkedin.com/company/suvola-corporation
Voyatek (formerly GCOM),https://www.crunchbase.com/organization/gcom-software-inc,501-1000,Active,https://www.voyatek.com/,info@voyatek.com,443-276-4788,,,,,,,,,"Data and Analytics, Government and Military, Information Technology, Privacy and Security, Software","Business Intelligence, Cyber Security, GovTech, IaaS, Information Technology, Software",2,2,Computing; Calculating,Scientific and technological services,5715858,USD,5715858,,,"Columbia, Maryland, United States",$50M to $100M,2005-01-01,year,"Audax Private Debt, Sagewind Capital",https://www.linkedin.com/company/voyatek
InfraVia Capital Partners,https://www.crunchbase.com/organization/infravia-capital-partners,51-100,Active,https://infraviacapital.com/,,+33 (0)1 40 68 17 17,16,19,13,,,,,,"Financial Services, Information Technology, Software","Financial Services, IaaS, Information Technology, PaaS",0,1,,Insurance; financial affairs,39234743,USD,39234743,,,"Paris, Ile-de-France, France",$50M to $100M,2008-01-01,year,,https://www.linkedin.com/company/ofi-infravia/mycompany/
CloudBlue,https://www.crunchbase.com/organization/cloudblue-technologies,10001+,Active,http://www.cloudblue.com,together@cloudblue.com,+1 844 957 2708,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Data Services, Enterprise Software, IaaS, Information Technology, SaaS",36,7,Computing; Calculating,Advertising; business,12577050,USD,12577050,,,"Irvine, California, United States",$50M to $100M,2018-01-01,year,,https://www.linkedin.com/company/cloudblue/
"Mythics, LLC",https://www.crunchbase.com/organization/mythics-inc-,251-500,Active,http://www.mythics.com,sales@mythics.com,(757)412-4362,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Consulting, IaaS, Information Technology, PaaS, SaaS",0,1,Computing; Calculating,Scientific and technological services,4438432,USD,4438432,,,"Virginia Beach, Virginia, United States",$50M to $100M,2000-01-01,year,,https://www.linkedin.com/company-beta/470631
iland,https://www.crunchbase.com/organization/iland,101-250,Active,http://www.iland.com,iland@iland.com,+1 713 868 2267,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Storage, IaaS, Information Technology, Internet",0,0,,Scientific and technological services,5376300,USD,5376300,,,"Houston, Texas, United States",$50M to $100M,1994-01-01,year,,http://www.linkedin.com/company/203905
Synextra,https://www.crunchbase.com/organization/synextra,11-50,Active,https://www.synextra.co.uk/,marketing@synextra.co.uk,44 161 883 1383,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Cloud Data Services, Cloud Infrastructure, IaaS, Information Technology, PaaS, Private Cloud, Unified Communications",,,,,376782,USD,376782,,,"Warrington, Warrington, United Kingdom",$50M to $100M,2014-01-01,year,,https://www.linkedin.com/company/synextra-ltd-/
Clickability,https://www.crunchbase.com/organization/clickability,251-500,Closed,http://www.uplandsoftware.com/clickability,info@clickability.com,+1 888 352 9682,,,,,,,,,"Media and Entertainment, Software","Content, Enterprise Software, IaaS, SaaS, Software",,,,,,,,,,"San Francisco, California, United States",$50M to $100M,1999-01-01,year,"SaaS Capital, Convergence Partners, Shasta Ventures, MMV Capital Partners",https://www.linkedin.com/company/clickability
Ecritel Cloud Center,https://www.crunchbase.com/organization/ecritel-cloud-center,101-250,Active,http://www.ecritel-cloud.com,contact@ecritel.com,855-878-2395,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, IaaS, Information Technology, SaaS, Software",,,,,7547400,USD,7547400,,,"New York, New York, United States",$50M to $100M,1985-01-01,year,,https://www.linkedin.com/company/e2c---ecritel-cloud-center
Swiftway,https://www.crunchbase.com/organization/swiftway,11-50,Closed,http://www.swiftway.net,sales@swiftway.co.uk,+857411110,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Software, Video","Cloud Computing, Content Delivery Network, IaaS, Video Streaming, Web Hosting",,,,,,,,,,"Bialystok, Podlaskie, Poland",$50M to $100M,2003-01-01,year,,http://www.linkedin.com/company/swiftway
Skytap,https://www.crunchbase.com/organization/skytap,101-250,Active,http://www.skytap.com,sales@skytap.com,(206) 866-1162,,,,,,,,,"Apps, Data and Analytics, Hardware, Information Technology, Internet Services, Software","Application Performance Management, Cloud Computing, Cloud Infrastructure, DevOps, Enterprise Applications, Enterprise Software, IaaS, SaaS",0,1,,Scientific and technological services,3607750,USD,3607750,,,"Seattle, Washington, United States",$10M to $50M,2006-01-01,year,"Madrona, GS Growth, Bezos Expeditions, Ignition Partners, Vistara Growth",http://www.linkedin.com/company/skytap
