Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Giesecke+Devrient,https://www.crunchbase.com/organization/giesecke-devrient,10001+,Active,https://www.gi-de.com/en/,info@gi-de.com,+49 89 4119 0,2,2,2,,,,,,"Information Technology, Mobile, Privacy and Security","Cyber Security, Identity Management, Information Technology, Mobile, Network Security, Security","1,887",132,Computing; Calculating,Scientific and electric apparatus and instruments,154396083,USD,154396083,,,"Munich, Bayern, Germany",$1B to $10B,1852-01-01,year,"DZ BANK, Bayern LB",https://www.linkedin.com/company/giesecke-devrient/
IDEMIA,https://www.crunchbase.com/organization/idemia-2,10001+,Active,https://www.idemia.com/,info@idemia.com,+33 (0)1 73 60 20 20,,,,,,,,,"Information Technology, Privacy and Security","Identity Management, Information Technology, Network Security",131,0,Computing; Calculating,,167453770,USD,167453770,,,"Courbevoie, Ile-de-France, France",$1B to $10B,2007-01-01,year,,https://www.linkedin.com/company/idemiagroup
Okta,https://www.crunchbase.com/organization/okta,5001-10000,Active,http://www.okta.com,press@okta.com,888-722-7871,1,1,1,,,,,,"Information Technology, Privacy and Security, Sales and Marketing, Software","CRM, Enterprise Software, Identity Management, IT Infrastructure, Management Information Systems, Software, Web Development",69,21,,Scientific and technological services,143359402,USD,143359402,,,"San Francisco, California, United States",$1B to $10B,2009-01-01,day,"Floodgate, Sequoia Capital, Andreessen Horowitz, Employee Stock Option Fund, Glynn Capital Management",https://www.linkedin.com/company/okta-inc-
Brady Corporation,https://www.crunchbase.com/organization/brady-corporation,10001+,Active,https://www.bradyid.com/,,8583127186,1,1,1,,,,,,"Commerce and Shopping, Consumer Goods, Content and Publishing, Information Technology, Manufacturing, Media and Entertainment, Privacy and Security","Consumer Goods, E-Commerce, Identity Management, Manufacturing, Printing",307,303,Printing; Lining Machines; Typewriters,Furniture and decorative products,30161050,USD,30161050,,,"Milwaukee, Wisconsin, United States",$1B to $10B,1914-01-01,year,,http://www.linkedin.com/company/6213
CLEAR,https://www.crunchbase.com/organization/clearme,1001-5000,Active,http://www.clearme.com,media@clearme.com,855-253-2763,,,,,,,,,"Biotechnology, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Biometrics, Facial Recognition, Identity Management, Security",20,11,Computing; Calculating,Scientific and technological services,92589,USD,92589,,,"New York, New York, United States",$500M to $1B,2010-11-01,month,"Liberty Media, Bond, T. Rowe Price, LionTree, Delta Air Lines",https://www.linkedin.com/company/clear-by-alclear-llc
Ping Identity,https://www.crunchbase.com/organization/ping-identity-corporation,1001-5000,Active,https://www.pingidentity.com,sales@pingidentity.com,+1 (303) 468 2900,1,1,,1,,,,,"Government and Military, Information Technology, Privacy and Security, Software","Government, Identity Management, Security, Software",68,68,Computing; Calculating,Scientific and electric apparatus and instruments,23143825,USD,23143825,,,"Denver, Colorado, United States",$500M to $1B,2002-01-01,year,"General Catalyst, Volition Capital, DFJ Growth, Ten Eleven Ventures, Fidelity Ventures",https://www.linkedin.com/company/ping-identity
Alclear LLC,https://www.crunchbase.com/organization/alclear-llc,1001-5000,Active,https://clearme.com,,,,,,,,,,,"Information Technology, Privacy and Security","Identity Management, Security",,,,,65615100,USD,65615100,,,"New York, New York, United States",$500M to $1B,2003-01-01,year,,https://www.linkedin.com/company/clear-by-alclear-llc
EdRic Hosting,https://www.crunchbase.com/organization/edric-host,251-500,Active,https://www.edrichost.net/,sales@edrichost.net,,,,,,,,,,"Commerce and Shopping, Design, Information Technology, Internet Services, Privacy and Security, Software","E-Commerce Platforms, Identity Management, Internet, Open Source, Web Design, Web Development, Web Hosting",,,,,,,,,,"Fort Lauderdale, Florida, United States",$500M to $1B,2004-09-01,day,,
Onfido,https://www.crunchbase.com/organization/onfido,501-1000,Active,http://www.onfido.com,,,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security, Software","FinTech, Fraud Detection, Identity Management, Information Technology, Software",11,10,Computing; Calculating,Scientific and electric apparatus and instruments,18554050,USD,18554050,,,"London, England, United Kingdom",$100M to $500M,2012-01-01,year,"Augmentum Fintech, Eurazeo, Fin Capital, M12 - Microsoft's Venture Fund, Crane Venture Partners",https://www.linkedin.com/company/onfido
Socure,https://www.crunchbase.com/organization/socure,501-1000,Active,http://www.socure.com,salesinfo@socure.com,866-932-9013,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Services, Information Technology, Machine Learning, Predictive Analytics",21,5,Computing; Calculating,Scientific and technological services,8913977,USD,8913977,,,"Incline Village, Nevada, United States",$100M to $500M,2012-09-01,day,"Third Eye Advisors, Bain Capital Ventures, T. Rowe Price, JP Morgan, Scale Venture Partners",http://www.linkedin.com/company/socure
ID.me,https://www.crunchbase.com/organization/id-me,1001-5000,Active,https://www.ID.me,,,,,,,,,,,"Financial Services, Information Technology, Internet Services, Payments, Privacy and Security, Software","Cloud Data Services, Cyber Security, Fraud Detection, Identity Management, Privacy, Software",12,8,Computing; Calculating,Telecommunications,22690059,USD,22690059,,,"Mclean, Virginia, United States",$100M to $500M,2010-01-01,year,"SoftBank, Airbnb, Lyft, Morgan Stanley, CapitalG",https://www.linkedin.com/company/id.me
Jumio,https://www.crunchbase.com/organization/jumio,1001-5000,Active,http://www.jumio.com,press@jumio.com,(650)424-8545,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Biometrics, Facial Recognition, Fraud Detection, Identity Management, Machine Learning",159,22,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Palo Alto, California, United States",$100M to $500M,2016-05-09,day,"Andreessen Horowitz, Great Hill Partners, Citi Ventures, Centana Growth Partners, Millennium Technology Value Partners",https://www.linkedin.com/company/jumio-corporation
Veriff,https://www.crunchbase.com/organization/veriff,501-1000,Active,https://veriff.com,info@veriff.com,+372 607 5050,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Technology",0,3,,Scientific and electric apparatus and instruments,,,,,,"Tallinn, Harjumaa, Estonia",$100M to $500M,2015-10-20,day,"Mosaic Ventures, LIFT99, Paul Buchheit, Taavet Hinrikus, Y Combinator",https://www.linkedin.com/company/veriff
Auth0,https://www.crunchbase.com/organization/auth0,501-1000,Active,https://auth0.com,info@auth0.com,(425) 312-6521,1,1,1,,,,,,"Information Technology, Privacy and Security, Software","Developer APIs, Enterprise Software, Identity Management, Information Technology, SaaS, Software",8,0,Computing; Calculating,,14586472,USD,14586472,,,"Bellevue, Washington, United States",$100M to $500M,2013-02-01,day,"Employee Stock Option Fund, Meritech Capital Partners, Telstra Ventures, Trinity Ventures, DTCP",http://www.linkedin.com/company/auth0
MetaMap,https://www.crunchbase.com/organization/mati,251-500,Active,https://www.metamap.com,hello@metamap.com,859-223-7651,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Professional Services, Software","Computer Vision, Consulting, Identity Management, Information Technology, Internet, Reputation, SaaS, Software",0,1,,Scientific and electric apparatus and instruments,33329700,USD,33329700,,,"San Francisco, California, United States",$100M to $500M,2017-01-01,year,"Titan Capital, Dorm Room Fund, Blackhorn Ventures, Sprint Vc, Aglaé Ventures",https://www.linkedin.com/company/metmap
unico IDtech,https://www.crunchbase.com/organization/acesso-digital,501-1000,Active,https://unico.io,,+55 11 2886-6222,,,,,,,,,"Information Technology, Privacy and Security, Professional Services, Software","Consulting, Identity Management, Information Technology, Software",0,0,,Scientific and electric apparatus and instruments,,,,,,"São Paulo, Sao Paulo, Brazil",$100M to $500M,2007-01-01,year,"GS Growth, Igah Ventures, big_bets, SOFTBANK Latin America Ventures, General Atlantic",https://www.linkedin.com/company/unicoidtech
Telesign,https://www.crunchbase.com/organization/telesign-corporation,501-1000,Active,http://www.telesign.com,press@telesign.com,+1 800 850 3485,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Identity Management, Messaging, Mobile, PaaS, Security",23,10,Electric Communication Technique,Scientific and technological services,8678354,USD,8678354,,,"Marina Del Rey, California, United States",$100M to $500M,2005-01-01,year,"Summit Partners, Adams Street Partners, March Capital, Telstra Ventures",http://www.linkedin.com/company/telesign
Identiv,https://www.crunchbase.com/organization/identiv,251-500,Active,http://www.identiv.com,info@identive-group.com,01524 840112,1,1,1,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cyber Security, Developer Platform, Hardware, Identity Management, Internet of Things, Network Security, NFC, RFID, Security",3,6,Computing; Calculating,Scientific and electric apparatus and instruments,8059703,USD,8059703,,,"Fremont, California, United States",$100M to $500M,1990-01-01,year,"Western Technology Investment, Mountain Partners, Reference Capital SA, Dr. Cornelius Boersch",http://www.linkedin.com/company/identiv
"Centrify (now Delinea, Inc.)",https://www.crunchbase.com/organization/centrify,251-500,Active,https://www.centrify.com,info@centrify.com,669-444-5200,,,,,,,,,"Information Technology, Privacy and Security, Software","Identity Management, Information Technology, SaaS, Security, Software",1,7,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Redwood City, California, United States",$100M to $500M,2004-03-19,day,"Invesco, Fortinet, Samsung Ventures, Jackson Square Ventures, Sigma Partners",https://www.linkedin.com/company/centrify-corporation
Accurate Background,https://www.crunchbase.com/organization/accurate-background,1001-5000,Active,http://www.accurate.com,hello@accurate.com,+1 (800) 784-3911,,,,,,,,,"Administrative Services, Information Technology, Privacy and Security","Human Resources, Identity Management, Information Technology, Security",,,,,27720601,USD,27720601,,,"Irvine, California, United States",$100M to $500M,1997-01-01,year,Apax Partners,https://www.linkedin.com/company/accurate-background/
Thycotic,https://www.crunchbase.com/organization/thycotic-software,501-1000,Closed,http://www.thycotic.com,sales@thycotic.com,1(202) 802-9399,,,,,,,,,"Information Technology, Privacy and Security, Software","Cyber Security, Enterprise Software, Identity Management, Information Technology, Software",0,10,,Scientific and electric apparatus and instruments,,,,,,"Washington, District of Columbia, United States",$100M to $500M,1996-01-01,year,Insight Partners,http://www.linkedin.com/company/thycotic-software-ltd
Intersections,https://www.crunchbase.com/organization/intersections,251-500,Active,http://www.intersections.com,ir@intersections.com,703-488-6100,1,2,,,,,,,"Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Professional Services","Financial Services, Identity Management, Information Technology, Messaging, Risk Management, Security, Subscription Service",,,,,10494942,USD,10494942,,,"Chantilly, Virginia, United States",$100M to $500M,1996-01-01,year,"Crystal Financial, Loeb Holding Corporation",http://www.linkedin.com/company/intersections-inc.
ForgeRock,https://www.crunchbase.com/organization/forgerock,501-1000,Active,http://www.forgerock.com,info@forgerock.com,415-599-1100,,,,,,,,,"Information Technology, Internet Services, Privacy and Security, Software","Enterprise Software, Identity Management, Information Technology, Internet of Things, Software",0,2,Electric Communication Technique,Scientific and electric apparatus and instruments,26539950,USD,26539950,,,"San Francisco, California, United States",$100M to $500M,2010-02-01,day,"Employee Stock Option Fund, Meritech Capital Partners, Riverwood Capital, Accel, Foundation Capital",http://www.linkedin.com/company/forgerock
Integrated Biometrics,https://www.crunchbase.com/organization/integrated-biometrics,51-100,Active,http://integratedbiometrics.com,info@integratedbiometrics.com,864-990-3711,,,,,,,,,"Biotechnology, Data and Analytics, Information Technology, Manufacturing, Privacy and Security, Science and Engineering","Biometrics, Homeland Security, Identity Management, Manufacturing",5,9,Computing; Calculating,Scientific and electric apparatus and instruments,1161641,USD,1161641,,,"Spartanburg, South Carolina, United States",$100M to $500M,2002-01-01,year,,http://www.linkedin.com/company/integrated-biometrics
Zimbra,https://www.crunchbase.com/organization/zimbra,101-250,Active,http://zimbra.com,,877-492-9484,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Software","Cloud Computing, Collaboration, Email, Identity Management, Open Source, Software",,,,,10220700,USD,10220700,,,"Palo Alto, California, United States",$100M to $500M,2003-01-01,year,"Accel, Benchmark, DAG Ventures, Redpoint, Eric Hahn",https://www.linkedin.com/company/synacor
Delinea,https://www.crunchbase.com/organization/delinea-inc,501-1000,Active,https://delinea.com,sales@delinea.com,669-444-5200,0,0,,,,,,,"Information Technology, Privacy and Security, Professional Services, Software","Cloud Security, Compliance, Cyber Security, Identity Management, Information Technology, IT Management, Security, Software",,,,,,,,,,"Redwood City, California, United States",$100M to $500M,2004-03-19,day,TPG,https://linkedin.com/company/delinea
Intermedia,https://www.crunchbase.com/organization/intermedia,501-1000,Active,https://www.intermedia.com,pr@intermedia.net,(180) 037-9772,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Software","Cloud Data Services, Email, Identity Management, Information Technology, SaaS, Security, Small and Medium Businesses, Software, Unified Communications, Video Conferencing",,,,,38728226,USD,38728226,,,"Mountain View, California, United States",$100M to $500M,1995-01-01,year,"NGP Capital, Madison Dearborn Partners",http://www.linkedin.com/company/intermedia
Axway,https://www.crunchbase.com/organization/axway,1001-5000,Active,http://www.axway.com,support@us.axway.com,4806271801,,,,,,,,,"Information Technology, Internet Services, Privacy and Security, Software","Cloud Management, Developer APIs, Identity Management, SaaS, Software",19,13,Computing; Calculating,Scientific and electric apparatus and instruments,23240735,USD,23240735,,,"Phoenix, Arizona, United States",$100M to $500M,2001-01-01,year,Sopra Steria,http://www.linkedin.com/company/162610
Ensign InfoSecurity,https://www.crunchbase.com/organization/ensign-infosecurity,501-1000,Active,https://www.ensigninfosecurity.com,marketing@ensigninfosecurity.com,(65) 6788 2882,,,,,,,,,"Information Technology, Internet Services, Other, Privacy and Security, Professional Services","Cloud Security, Consulting, Cyber Security, Identity Management, Information and Communications Technology (ICT), Information Technology, Internet, Network Security, Penetration Testing, Professional Services",1,2,,Scientific and electric apparatus and instruments,,,,,,"Singapore, Central Region, Singapore",$100M to $500M,2018-10-01,month,,https://www.linkedin.com/company/ensign-infosecurity/?originalSubdomain=in
