Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
General Motors,https://www.crunchbase.com/organization/general-motors,10001+,Active,https://www.gm.com,,(313)556-5000,26,33,22,4,,,,,"Information Technology, Manufacturing, Transportation","Automotive, Electric Vehicle, Information Services, Manufacturing, Transportation","13,864","1,156",Vehicles In General,Vehicles,2738505606,USD,2738505606,,,"Detroit, Michigan, United States",$10B+,1908-09-16,day,"Fannie Mae, NYSERDA",https://www.linkedin.com/company/general-motors
S&P Global,https://www.crunchbase.com/organization/s-p-global,10001+,Active,https://www.spglobal.com,investor.relations@spglobal.com,+1 212 438 1000,20,31,7,4,,,,,"Data and Analytics, Design, Financial Services, Information Technology, Lending and Investments, Software","Analytics, Business Intelligence, Credit, Enterprise Software, Finance, Financial Services, Information Services, Market Research",44,318,Computing; Calculating,Insurance; financial affairs,,,,,,"New York, New York, United States",$10B+,1860-01-01,year,,https://www.linkedin.com/company/spglobal
Telecom Italia,https://www.crunchbase.com/organization/telecom-italia,10001+,Active,https://www.gruppotim.it,hrcontact@telecomitalia.it,00390691253510,10,11,3,,,,,,"Hardware, Information Technology, Internet Services","Information Services, Information Technology, Telecommunications, Web Hosting","1,075",122,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Roma, Lazio, Italy",$10B+,1908-10-20,day,"European Investment Bank, Canada Pension Plan Investment Board, European Investment Fund",https://www.linkedin.com/company/tim
Lumen Technologies,https://www.crunchbase.com/organization/centurylink,10001+,Active,https://news.lumen.com/home,media@lumen.com,(186) 664-2044,4,4,1,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Privacy and Security","Big Data, Information Services, Infrastructure, Optical Communication, Security, Telecommunications, VoIP, Wireless",188,79,Electric Communication Technique,Telecommunications,1424268045,USD,1424268045,,,"Monroe, Louisiana, United States",$10B+,1968-01-01,day,,https://www.linkedin.com/company/lumentechnologies
FirstEnergy Corp.,https://www.crunchbase.com/organization/firstenergy-corp,10001+,Active,http://www.firstenergycorp.com,,+1 888 544-4877,5,6,2,,,,,,"Energy, Information Technology, Sustainability","Clean Energy, Energy, Energy Efficiency, Information Services",20,36,Computing; Calculating,"Transport, packaging and storing",,,,,,"Akron, Ohio, United States",$10B+,1997-01-01,year,"Elliott Investment Management, GIC, Zimmer Lucas Partners",http://www.linkedin.com/company/firstenergy-corp
TheStreet,https://www.crunchbase.com/organization/thestreet,501-1000,Active,http://www.thestreet.com,james.freiman@thestreet.com,2123215448,1,1,1,,,,,,"Content and Publishing, Financial Services, Information Technology, Media and Entertainment","Finance, Information Services, News, Publishing",0,14,,Insurance; financial affairs,,,,,,"New York, New York, United States",$10B+,1996-01-01,year,"TCV, The New York Times",http://www.linkedin.com/company/theStreet
Wipro,https://www.crunchbase.com/organization/wipro,10001+,Active,http://www.wipro.com,reachus@wipro.com,+918028440011,11,13,8,,,,,,"Information Technology, Professional Services","Consulting, Information Services, Information Technology",804,66,Computing; Calculating,Scientific and technological services,,,,,,"Bengaluru, Karnataka, India",$10B+,1945-01-01,year,"Societe Generale, Elliott Investment Management, MAPE Advisory Group",http://www.linkedin.com/company/wipro
New York State,https://www.crunchbase.com/organization/new-york-state,51-100,Active,http://www.ny.gov/,nyag.pressoffice@ag.ny.gov,5184748375,46,46,36,5,,,,,"Government and Military, Information Technology, Internet Services, Media and Entertainment, Other, Sales and Marketing, Travel and Tourism","Association, Consumer, Government, Information Services, Information Technology, Marketing, Online Portals, Social News, Tourism",0,33,,Advertising; business,4606811,USD,4606811,,,"New York, New York, United States",$10B+,1968-01-01,year,,https://www.linkedin.com/company/new-york-state/about/
Accenture,https://www.crunchbase.com/organization/accenture,10001+,Active,https://www.accenture.com/ie-en,,(187) 788-9900,45,51,16,9,,2019-01-01,,,"Information Technology, Other, Professional Services, Real Estate","Business Information Systems, Construction, Consulting, Information Services, Information Technology, Infrastructure, Management Consulting, Outsourcing","3,200",447,Computing; Calculating,Advertising; business,9589654029,USD,9589654029,,,"Dublin, Dublin, Ireland",$10B+,1989-01-01,year,Youth Business International,https://www.linkedin.com/company/accenture
Infosys,https://www.crunchbase.com/organization/infosys,10001+,Active,http://www.infosys.com,askus@infosys.com,+918028520261,14,22,8,3,,,,,"Information Technology, Professional Services, Software","Consulting, Information Services, Information Technology, IT Management, Software",389,47,Computing; Calculating,Scientific and technological services,,,,,,"Bangalore, Karnataka, India",$10B+,1981-07-02,day,Chrys Capital,http://www.linkedin.com/company/infosys
Fiserv,https://www.crunchbase.com/organization/fiserv,10001+,Active,http://www.fiserv.com,getsolutions@fiserv.com,,14,15,4,5,,,,,"Financial Services, Information Technology","Financial Services, FinTech, Information Services, Information Technology",72,162,Computing; Calculating,Insurance; financial affairs,2660550000,USD,2660550000,,,"Brookfield, Wisconsin, United States",$10B+,1984-01-01,year,,http://www.linkedin.com/company/fiserv
Tata Consultancy Services,https://www.crunchbase.com/organization/tata-consultancy-services,10001+,Active,http://www.tcs.com,global.marketing@tcs.com,+91-22-6778 9595,3,3,1,,,,,,"Information Technology, Other, Professional Services","Consulting, Information Services, Information Technology, Professional Services","1,500",74,Computing; Calculating,Scientific and technological services,,,,,,"Mumbai, Maharashtra, India",$10B+,1968-01-01,year,,https://www.linkedin.com/company/tata-consultancy-services/
Atos,https://www.crunchbase.com/organization/atos,10001+,Active,http://atos.net,more-info@atos.net,1844 631 0111,,,,,,,,1,"Information Technology, Professional Services, Software","Business Development, Consulting, Enterprise Software, Information Services, Information Technology, Outsourcing, Software",445,99,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Bezons, Ile-de-France, France",$10B+,1982-01-01,year,,http://www.linkedin.com/company/atos
NTT Data,https://www.crunchbase.com/organization/ntt-data,10001+,Active,https://www.nttdata.com/jp/ja/,webmaster@nttdata.co.jp,+81 355468202,31,34,13,3,,,,,"Financial Services, Information Technology, Software","Information Services, Information Technology, InsurTech, Software",30,4,Computing; Calculating,Scientific and technological services,,,,,,"Koto, Tokyo, Japan",$10B+,1988-05-23,day,,https://www.linkedin.com/company/ntt-data/
Ingram Micro,https://www.crunchbase.com/organization/ingram-micro,10001+,Active,https://corp.ingrammicro.com,investor.relations@ingrammicro.com,(714)566-1000,4,5,1,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Professional Services, Software, Transportation","Consulting, Electronics, Information Services, Information Technology, Logistics, Software, Supply Chain Management, VoIP",36,38,Computing; Calculating,Scientific and electric apparatus and instruments,391962198,USD,391962198,,,"Irvine, California, United States",$10B+,1979-01-01,year,,https://www.linkedin.com/company/ingram-micro/
Merative,https://www.crunchbase.com/organization/ibm-watson-health,10001+,Active,https://www.merative.com,,,,,,,,,,,"Data and Analytics, Health Care, Information Technology","Analytics, Health Care, Information Services, Information Technology",508,37,Computing; Calculating,Scientific and technological services,,,,,,"Ann Arbor, Michigan, United States",$10B+,2015-01-01,year,ITOCHU Technology Ventures,https://www.linkedin.com/company/merative
RELX,https://www.crunchbase.com/organization/relx-is-a-software-company,10001+,Active,https://www.relx.com,london@relx.com,+44 20 7166 5500,1,2,,,,,,,"Data and Analytics, Financial Services, Information Technology, Professional Services","Analytics, Business Information Systems, Consulting, Information Services, Information Technology, Insurance, Risk Management",134,574,Computing; Calculating,Advertising; business,631217684,USD,631217684,,,"London, England, United Kingdom",$10B+,1993-01-01,year,,https://www.linkedin.com/company/relx-group/
Dell Technologies,https://www.crunchbase.com/organization/dell-technologies,10001+,Active,https://www.delltechnologies.com,,,3,3,3,,,,,,"Data and Analytics, Information Technology","Data Management, Information and Communications Technology (ICT), Information Services, Information Technology","20,135",641,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Round Rock, Texas, United States",$10B+,2016-01-01,year,,https://www.linkedin.com/company/delltechnologies
Leidos holdings,https://www.crunchbase.com/organization/leidos-holdings,10001+,Active,https://www.leidos.com/,hrcs@leidos.com,(571)526-6000,2,2,1,,,,,,"Consumer Electronics, Government and Military, Hardware, Information Technology, Software","Computer, Government, Information Services, Information Technology, National Security, Software",186,43,Testing,Scientific and electric apparatus and instruments,1110765316,USD,1110765316,,,"Reston, Virginia, United States",$10B+,1969-01-01,year,,http://www.linkedin.com/company/leidos
