Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Alibaba Group,https://www.crunchbase.com/organization/alibaba,10001+,Active,http://alibabagroup.com,,+865718502208,227,283,184,4,,,,,"Commerce and Shopping, Information Technology, Other","Association, B2B, Information Technology, Office Supplies, Shopping",,,,,,,,,,"Hangzhou, Zhejiang, China",$10B+,1999-04-04,day,"Silver Lake, SoftBank, Yahoo, Eight Roads Ventures, Dragoneer Investment Group",https://www.linkedin.com/company/alibaba-group
SF Pay,https://www.crunchbase.com/organization/sf-pay,1001-5000,Active,https://www.sf-pay.com/,sfpay_service@sf-express.com,9533833,,,,,,,,,"Commerce and Shopping, Financial Services, Information Technology, Internet Services, Payments","E-Commerce, Information Technology, Internet, Payments",,,,,,,,,,"Shenzhen, Guangdong, China",$10B+,2011-04-18,day,Shenzhenshi Hengyi Wuliufuwu Youxiangongsi,https://www.linkedin.com/company/深圳市泰海网络科技服务有限公司
Ericsson,https://www.crunchbase.com/organization/ericsson,10001+,Active,https://www.ericsson.com,asq@ericsson.com,+46 10 719 00 00,17,22,3,1,On-Site,2019-11-28,,,"Hardware, Information Technology, Internet Services, Mobile","Information Technology, Internet, Mobile, Telecommunications",60,0,Electric Communication Technique,,,,,,,"Kista, Stockholms Lan, Sweden",$10B+,1876-01-01,day,"European Investment Bank, Nordic Investment Bank, SEK, Cevian Capital",https://www.linkedin.com/company/ericsson
HP,https://www.crunchbase.com/organization/hewlett-packard,10001+,Active,http://www.hp.com,,(650) 857-1501,25,30,6,,,,,,"Consumer Electronics, Hardware, Information Technology, Software","Computer, Consumer Electronics, Hardware, IT Infrastructure, Software","27,056",412,Computing; Calculating,Scientific and electric apparatus and instruments,2217196547,USD,2217196547,,,"Palo Alto, California, United States",$10B+,1939-01-01,day,Berkshire Hathaway,https://www.linkedin.com/company/hp
Verizon,https://www.crunchbase.com/organization/verizon-communications,10001+,Active,https://www.verizon.com,,+1-800-922-0204,18,19,12,2,,,,,"Hardware, Information Technology, Mobile","Communications Infrastructure, Information Technology, Mobile, Telecommunications","7,122",207,Electric Communication Technique,Telecommunications,11150573178,USD,11150573178,,,"New York, New York, United States",$10B+,1983-10-07,day,"ATN International, U.S. Department of Defense, NYSERDA, Connect Maryland",http://www.linkedin.com/company/verizon
Vodafone,https://www.crunchbase.com/organization/vodafone,10001+,Active,http://vodafone.com,info@vodafone.com,+61 1300 100 818,24,25,13,1,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Information Technology, Messaging, Telecommunications",291,156,Electric Communication Technique,Telecommunications,,,,,,"Newbury, West Berkshire, United Kingdom",$10B+,1982-01-01,year,"e&, Atlas Investissement",https://www.linkedin.com/company/vodafone
Broadcom Limited,https://www.crunchbase.com/organization/avago-technologies,5001-10000,Active,http://broadcom.com,cxoon@gmx.com,1(408)433-8000,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering","Electronics, Information Technology, Manufacturing, Semiconductor",,,,,763048787,USD,763048787,,,"San Jose, California, United States",$10B+,2005-01-01,year,"Citi, Silver Lake, Bank of America, JP Morgan Chase, Morgan Stanley",http://www.linkedin.com/company/broadcom
Baker Hughes,https://www.crunchbase.com/organization/baker-hughes,10001+,Active,http://www.bakerhughes.com,,1(713)439-8600,13,16,10,,,,,,"Energy, Information Technology, Manufacturing, Natural Resources, Sustainability","Clean Energy, Energy, Industrial, Information Technology, Oil and Gas","5,776",94,Earth Drilling; Mining,Chemical substances,1223424000,USD,1223424000,,,"Houston, Texas, United States",$10B+,1972-01-01,year,,http://www.linkedin.com/company/baker-hughes
SiteMinder,https://www.crunchbase.com/organization/siteminder,501-1000,Active,https://www.siteminder.com/,info@siteminder.com,+61 2 9221 4444,,,,,,,,,"Commerce and Shopping, Information Technology, Other, Professional Services, Software, Travel and Tourism","Customer Service, E-Commerce, Enterprise Software, Hotel, Information Technology, SaaS, Software",0,16,,Scientific and technological services,,,,,,"Sydney, New South Wales, Australia",$10B+,2006-09-26,day,"TCV, BlackRock, Fidelity International, Ellerston Capital, AustralianSuper",https://www.linkedin.com/company/302335
Jacobs,https://www.crunchbase.com/organization/jacobs,10001+,Active,http://www.jacobs.com,,+1 214-638-0145,5,5,1,1,,,,,"Information Technology, Manufacturing, Other, Privacy and Security, Professional Services, Real Estate, Science and Engineering","Civil Engineering, Consulting, Cyber Security, Industrial, Industrial Engineering, Information Technology, Infrastructure, Professional Services, Real Estate",54,34,,Scientific and technological services,77946,USD,77946,,,"Dallas, Texas, United States",$10B+,1947-01-01,year,,https://www.linkedin.com/company/jacobs/
