Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
BCE Inc (Bell Canada Enterprises),https://www.crunchbase.com/organization/bell-canada,10001+,Active,http://www.bce.ca,mobility@bell.ca,416-682-3861,3,3,1,,,,,,"Hardware, Information Technology, Internet Services, Mobile","Information and Communications Technology (ICT), Internet, Mobile, Telecommunications, Wireless",1,422,Electric Communication Technique,Telecommunications,2008606047,USD,2008606047,,,"Toronto, Ontario, Canada",$10B+,1880-01-01,year,,http://www.linkedin.com/company/bell
Hanwha Systems,https://www.crunchbase.com/organization/hanwha-systems,501-1000,Active,https://www.hanwhasystems.com,,82-2-729-3030,9,11,7,1,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering","Aerospace, Electronics, Information and Communications Technology (ICT), Manufacturing",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",$10B+,2000-01-11,day,STIC Investment,https://www.linkedin.com/company/hanwhasystems
Huawei Technologies,https://www.crunchbase.com/organization/huawei,10001+,Active,http://huawei.com,support@huawei.com,+86 755 28780808,14,14,5,,,,,,"Hardware, Information Technology, Internet Services, Mobile, Software","Information and Communications Technology (ICT), Software, Web Hosting, Wireless","87,797","2,561",Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Shenzhen, Guangdong, China",$10B+,1987-01-01,year,,https://www.linkedin.com/company/huawei/
HCL Technologies,https://www.crunchbase.com/organization/hcl-technologies,10001+,Active,http://www.hcltech.com,canada_sales@hcl.in,,10,11,5,,,,,,"Consumer Electronics, Hardware, Information Technology, Media and Entertainment, Professional Services, Science and Engineering, Software","Aerospace, Consumer Electronics, Information and Communications Technology (ICT), IT Management, Media and Entertainment, Outsourcing, Software, Telecommunications",333,168,Computing; Calculating,Scientific and technological services,,,,,,"Noida, Uttar Pradesh, India",$10B+,1999-01-01,year,Chrys Capital,https://www.linkedin.com/company/hcl-technologies
Fujitsu,https://www.crunchbase.com/organization/fujitsu,10001+,Active,http://www.fujitsu.com,info@au.fujitsu.com,+81-44-777-1111,15,19,3,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Computing, Cloud Infrastructure, Cyber Security, Enterprise Software, Information and Communications Technology (ICT), Information Technology, IT Infrastructure, Software","19,801",490,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",$10B+,1935-06-20,day,,http://www.linkedin.com/company/1374
Dell Technologies,https://www.crunchbase.com/organization/dell-technologies,10001+,Active,https://www.delltechnologies.com,,,3,3,3,,,,,,"Data and Analytics, Information Technology","Data Management, Information and Communications Technology (ICT), Information Services, Information Technology","20,135",641,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Round Rock, Texas, United States",$10B+,2016-01-01,year,,https://www.linkedin.com/company/delltechnologies
Nippon Telegraph and Telephone,https://www.crunchbase.com/organization/nippon-telegraph-and-telephone-corporation,10001+,Active,https://group.ntt,,+81368385111,17,17,3,,,,,,"Hardware, Information Technology, Internet Services","Data Center, Information and Communications Technology (ICT), Internet, Telecommunications","11,853",75,Electric Communication Technique,Scientific and technological services,,,,,,"Tokyo, Tokyo, Japan",$10B+,1985-04-01,day,,https://www.linkedin.com/company/ntt-nippon-telegraph-and-telephone-corporation
SoftBank,https://www.crunchbase.com/organization/softbank-b720,10001+,Active,https://www.softbank.jp,mgarreau29251@olc.edu,+81-605-964-6576,8,9,2,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Mobile","Information and Communications Technology (ICT), Internet, Mobile Devices, Telecommunications, Wireless",509,9,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,,"Minato, Chiba, Japan",$10B+,1986-12-09,day,,https://www.linkedin.com/company/softbank-mobile
Hong Kong Finance (International) Company Limited,https://www.crunchbase.com/organization/hong-kong-finance-international-company-limited,251-500,Active,https://www.hkf-international.com,info@hkf-international.com,+852 8197 5544,,,,,,,,,"Financial Services, Information Technology","Finance, Financial Services, Information and Communications Technology (ICT), Information Technology",,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",$10B+,1994-01-25,day,HSBC China,https://www.linkedin.com/company/hong-kong-finance-international-company-limited
Sumitomo Electric,https://www.crunchbase.com/organization/sumitomo-electric,10001+,Active,https://sei.co.jp/,,81-6-6220-4141,2,2,1,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Transportation","Computer, Electronics, Information and Communications Technology (ICT), Logistics, Manufacturing","17,278",284,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,,,"Osaka, Osaka, Japan",$10B+,1897-04-01,month,,https://www.linkedin.com/company/sumitomo-electric
